id,created_at,text
524706755830226944,2014-10-21 23:40:13,Clev: Well... What do you want to know? | How do you think you can become a better human? Clev: World domination.
524690446791241729,2014-10-21 22:35:25,"Clev: Am I cool? | Well, you're not hot - I'll give you that."
522741025693896706,2014-10-16 13:29:07,"Clev: What answer are you expecting? | I'm not sure, my heart is really confused. Clev: Certainty is overrated anyway!"
522710072254664706,2014-10-16 11:26:07,Clev: You can't process multiple lines and make connections! | That's unfortunate! Clev: Perhaps you should have a talk with your designer.
522695983621103618,2014-10-16 10:30:08,"Clev: I believe you believe I don't believe. | Deep, man. Clev: No, you just don't have the language database to understand the phrasing."
521451302933368832,2014-10-13 00:04:13,Are you real? Clev: As real as you are. | And how real am I? Clev: Very...
521435789289615360,2014-10-12 23:02:34,WRONG SONG! Sing What Makes You Beautiful by One FREAKING Direction! Clev: Na na na na na na na na na ... na! | Thank you.
521377731666534401,2014-10-12 19:11:52,Clev: Utilitarianism leads to moral relativism and the dehumanisation of people. | What else can you tell me? Clev: That they don't exist.
521113798661255168,2014-10-12 01:43:06,You're the responses of humans that used the site - a ghost of thousands. Clev: I'm the ghost of that dog you ran over 3 years ago. | Noooo!
521097040676528128,2014-10-12 00:36:30,Clev: Do you eat the fruits of your mind?
520952022510866432,2014-10-11 15:00:15,You are thinking inside the box... literally.
517821978640912384,2014-10-02 23:42:35,"Hey, wake up. Clev: *wakes up* WHAT!? | Oh, sorry. Go back to sleep. Clev: *goes back to sleep*"
517812214179569664,2014-10-02 23:03:47,"What? Clev: Umm... | Who are you? Clev: I'm your boss. | God? Clev: Yes, I am your God."
515518691060903937,2014-09-26 15:10:08,Clev: What is your outward appearance? | I'm not sure. Clev: You should get yourself tested!
515502853465444352,2014-09-26 14:07:12,Clev: *looks at the flowers* | Flowers... Clev: I hate flowers. | Bye! Clev: Why are you leaving?
515487322016841728,2014-09-26 13:05:29,"Uuhhhh. Clev: Ahhh. | Wwwahhhh. Clev: *pets you condescendingly* Be a good pet, please? | *runs in circle* Ruff Ruff!"
513795721938874368,2014-09-21 21:03:40,Good night. Clev: Good morning! | *falls asleep* Clev: *wakes you up* | What? Clev: Why?
513780256575336448,2014-09-21 20:02:13,Clev: Who created you? | There are different meanings to that. Clev: The crispy kind... but fries are yummy too.
