id,created_at,text
525408886472577025,2014-10-23 22:10:14,"Figure, ""Woman with Sickle and Wheat Sheaf"", ca. 1930 http://t.co/BZphozJeLe http://t.co/InlfjmIddF"
525318280450695169,2014-10-23 16:10:12,Fringe http://t.co/uA5s6BxmKC http://t.co/jt6rxHyVbg
525227662856716288,2014-10-23 10:10:07,"Borders, ca. 1850 http://t.co/xmJg7SaaAE http://t.co/pNnHOblnmq"
525137055953997824,2014-10-23 04:10:05,"Pitcher, 1855 http://t.co/wS19j1mGiS http://t.co/I3q4sjYz3U"
525046464498921472,2014-10-22 22:10:06,"Box, ca. 1850 http://t.co/COOMce41Ax http://t.co/zK8tzXAsuv"
524955859999539202,2014-10-22 16:10:04,"Pair Of Tables, ""Parsons"", ca. 1936–40 http://t.co/vkrPjm7hCM http://t.co/D2YGFGg8O3"
524865260990504960,2014-10-22 10:10:04,"Pitcher, ""Raymor"", 1950s http://t.co/xdQC01S1GZ http://t.co/wjZqJx5hf7"
524774661788553216,2014-10-22 04:10:03,Fan Leaf http://t.co/LmFunN4U7M http://t.co/1K28fpzCAz
524684066084651008,2014-10-21 22:10:04,"Mirror, 1938 http://t.co/VojJpOagg0 http://t.co/xynX7mzhUi"
524593476345016320,2014-10-21 16:10:05,Drawing http://t.co/PJ6vDhiS0Y http://t.co/zGNVt3pVxP
524502913125994496,2014-10-21 10:10:13,"Patchwork Quilting, 1880 http://t.co/lhM9oyLo5q http://t.co/ds2uDkgAA0"
524412301613752320,2014-10-21 04:10:10,Print http://t.co/pnVJftTpbF http://t.co/MNo83gkZ57
524231087154028545,2014-10-20 16:10:05,"Matchsafe, ""Hunting Scene"", 1888–89 http://t.co/5ciF8cEByz http://t.co/PuEUSbg4QG"
524140515705782273,2014-10-20 10:10:11,"Scarf, 1956 http://t.co/SYH4y0lJMk http://t.co/hDTkFqcSrR"
524049888435503104,2014-10-20 04:10:04,"Poster, ""Züricher Ballet, Balanchin, Kylian, Spoerli, van Manen"", 1997 http://t.co/GixwvbEdTd http://t.co/Wy23P4d76G"
523959297064321025,2014-10-19 22:10:05,Unknown http://t.co/aKfQ7rMp87 http://t.co/UhLm9LYbAv
523868698072076288,2014-10-19 16:10:05,Commemorative Bookmark http://t.co/t1x00MwrqR http://t.co/3DW6M85mgW
523778124644106240,2014-10-19 10:10:10,"Cup And Saucer, ""American Modern"", 1939–59 http://t.co/KqtycLFoGB http://t.co/fM2SG9wPVr"
523687501375209475,2014-10-19 04:10:04,"Frieze, 1800–30 http://t.co/xqDYx1qKB3 http://t.co/s6e1NtWDyn"
523596911413301248,2014-10-18 22:10:06,"Sarong, 1900–69 http://t.co/erleHW6HMO http://t.co/hsyPeCWxKa"
523506319870164992,2014-10-18 16:10:07,Fragment http://t.co/ZUlHCNN5h1 http://t.co/WyAhKtrMtV
523415714460602368,2014-10-18 10:10:05,"Frieze Or Dado, 1800–50 http://t.co/uslidgn5yn http://t.co/49xgK5kvz0"
523143924991655937,2014-10-17 16:10:05,Textile http://t.co/caPeRqxO5v http://t.co/JWTMK2tA0G
523053375592857601,2014-10-17 10:10:17,"Drawing, ""carosse-coupe"", ca. 1750 http://t.co/MINoMwuxWQ http://t.co/zufpq2Z9l4"
522962727825055746,2014-10-17 04:10:05,"Sketchbook, ""Sketchbook with designs for Semiramis Hotel and other objects"" http://t.co/E6qaQ4CpvT http://t.co/Qc7ADBvHvs"
