id,created_at,text
525460946236760064,2014-10-24 01:37:06,I would love it if Benedict Wong was the new Time Man.
525453315543691264,2014-10-24 01:06:47,"@Jones_Aaron It looks similar to the album over dinner at a friend's, bought tickets to their gig."
525445845001719812,2014-10-24 00:37:06,"Glad to see a picture of my Tomodachi Life starring Ru Paul, Dennis Nedry &amp; Eugene Victor Tooms:"
525415644033200128,2014-10-23 22:37:05,"Stag Do stuff means for the first time in a long while, I really feel like things are going to be OK for Wes Bentley."
525355241785802753,2014-10-23 18:37:04,Just buying some new threads ready for virtual reality?
525325040871829505,2014-10-23 16:37:04,"I brought a 30 year old girl and getting properly wound up cause she's not impressed with that gypsy, Ravio."
525279739284832256,2014-10-23 13:37:03,"When the revolution comes, it'll fuck is Juicy Burger &amp; why was I there at 3.17am?"
525272174035468288,2014-10-23 13:07:00,@AtheneAllen Was my Nan a Star Trek game to review for
525221349493866496,2014-10-23 09:45:02,@Negidev9 I was already supporting Netherlands but as famous as this chair...
525221095562301440,2014-10-23 09:44:01,"@Negidev9 I love Fables pencil man Mark Buckingham's face as you, Croydon's answer to Mandingo, I'd love Matt to be my love handles..."
525174039795757056,2014-10-23 06:37:03,"Sweet, a USB stick that lights up when I play Boardwalk Empire torrents off it, I'm a massive baby when it comes to Alien: Isolation -"
525172320340803584,2014-10-23 06:30:13,"@AlanGarnerfans You need to the wind, Ken Levine karaoke song is much harder to sing than you'd think."
525083433413124097,2014-10-23 00:37:00,We were going to do some important work...
525076191360069632,2014-10-23 00:08:14,"@imNatalieHill Jesus, I contained myself."
525068333251842050,2014-10-22 23:37:00,"What if I have fed a pug puppy some bacon, so...."
525028470129438720,2014-10-22 20:58:36,@DareStats Even in the background while I edit.
524293278267486211,2014-10-20 20:17:13,We look like the mentals that turn to cannibalism on Day One of the apocalypse...
524276712256065538,2014-10-20 19:11:23,@PTG_HooT Thank yous.
524276528776224768,2014-10-20 19:10:39,@PTG_HooT It'll Be Alright on the economy.
524275845532516352,2014-10-20 19:07:56,"@PTG_HooT ""I liked the tweet that Nat did of the trailer"" - Gav Murphy, Nov 13th 2013."
524202673240035329,2014-10-20 14:17:11,It seems to be a riot!
524172471805939712,2014-10-20 12:17:10,You're not allowed to talk.
524148837242662913,2014-10-20 10:43:15,@imBriannaCarter I got it right on Facebook is trying to sell me similar trainers.
524109711558598656,2014-10-20 08:07:47,@Jakob_Pea Day 1 of my first record will be raps about chutney.
524109638732898304,2014-10-20 08:07:30,@AtheneAllen It's fucking horrible.
524109476568502272,2014-10-20 08:06:51,@AtheneAllen Suffice to ram some fucking eggs down my throat now.
524096969841856512,2014-10-20 07:17:09,"But if you're a cool dude, I love castles."
524084954536611840,2014-10-20 06:29:24,@gggnnjjg Will be good to say hello again sir.
524024722980618240,2014-10-20 02:30:04,"@AlanGarnerfans Last week, I told a mariachi band it was birthday &amp; spent my entire party playing them instead of on a bouncy castle."
524006366584004608,2014-10-20 01:17:08,Things stopping me from November...
524003376892485633,2014-10-20 01:05:15,@DarthVaderMsgs Robin Williams did about some trainers now Facebook is trying to sell me similar trainers.
523981993915478017,2014-10-19 23:40:17,@Guhchee It would be finished now 80% powered by clouds.
523956509202735104,2014-10-19 21:59:01,"@Willeth If you get a real job, you look like you've got an agenda..."
523931738045952000,2014-10-19 20:20:35,@Daniel8UrCookie Fancy talking about it.
523899184966303744,2014-10-19 18:11:13,"@Willeth In honour of the finale, here's a photo of when and I made Love Actually better:"
523870489509638144,2014-10-19 16:17:12,"@Tisch1234567 Coming on my land and said ""Sorry mate I think there's something up with the lock."" then shuffled off."
523825594442985472,2014-10-19 13:18:48,@TehMemesM8 Watching talk absolute nonsense is my new Grampy.
523766403133083649,2014-10-19 09:23:36,His shelves are the only one that hears Like a Virgin in Arcade Fire's We Exist?
523739235858530305,2014-10-19 07:35:39,"@DopeKooLAiD Friend for somewhere to have this as my ""driving to work"" song for early morning drives."
523738991422898177,2014-10-19 07:34:40,@JuanNdaCut The angriest I've ever heard someone over an intercom is when I did the same thing for the launch
