id,created_at,text
503083150873223168,2014-08-23 07:35:44,Lese mal etwas ueber Heute: http://t.co/TLIVGmTK8f
502353491780980736,2014-08-21 07:16:20,Lese mal etwas ueber Heute: http://t.co/zfFoC0mEk6
501990643934449664,2014-08-20 07:14:30,Lese mal etwas ueber Heute: http://t.co/Pijv8Fb2Hy
501626248310050816,2014-08-19 07:06:32,Lese mal etwas ueber Heute: http://t.co/7m9myHmirR
500963145738100736,2014-08-17 11:11:36,Lese mal etwas ueber Heute: http://t.co/fYojb6t45b
500526783796891648,2014-08-16 06:17:39,Lese mal etwas ueber Heute: http://t.co/aFXC0GXw98
500178472783069184,2014-08-15 07:13:35,Lese mal etwas ueber Heute: http://t.co/ejCapK6Iex
499815591092686848,2014-08-14 07:11:37,Lese mal etwas ueber Heute: http://t.co/cpn4mK7cpS
499461178503221248,2014-08-13 07:43:19,Lese mal etwas ueber Heute: http://t.co/sYVii2kRQF
499092803797123072,2014-08-12 07:19:31,Lese mal etwas ueber Heute: http://t.co/19QpkHbQPv
498728618965868545,2014-08-11 07:12:23,Lese mal etwas ueber Heute: http://t.co/IzK7SAPCBu
498414119712997376,2014-08-10 10:22:40,Lese mal etwas ueber Heute: http://t.co/jSkTomFSsa
498010029677883393,2014-08-09 07:36:58,Lese mal etwas ueber Heute: http://t.co/0flTst3WSi
497692543715643393,2014-08-08 10:35:23,Lese mal etwas ueber Heute: http://t.co/EzQxvFIfk2
497287267258757121,2014-08-07 07:44:58,Lese mal etwas ueber Heute: http://t.co/N64iWoENR9
496919583748808705,2014-08-06 07:23:55,Lese mal etwas ueber Heute: http://t.co/JWPV3xSf5b
496553160266506240,2014-08-05 07:07:53,Lese mal etwas ueber Heute: http://t.co/phChuBokat
496206414197817344,2014-08-04 08:10:02,Lese mal etwas ueber Heute: http://t.co/6r4KEceizC
495838941313269760,2014-08-03 07:49:50,Lese mal etwas ueber Heute: http://t.co/qMw91TylX0
495453263744208896,2014-08-02 06:17:17,Lese mal etwas ueber Heute: http://t.co/7M3g2Gusxu
495090692679823360,2014-08-01 06:16:34,Lese mal etwas ueber Heute: http://t.co/wQfORngI83
494763749652590592,2014-07-31 08:37:24,Lese mal etwas ueber Heute: http://t.co/XDNIfgVoOS
494430264941355008,2014-07-30 10:32:15,Lese mal etwas ueber Heute: http://t.co/nYzBzoqXfr
494069870670397440,2014-07-29 10:40:11,Lese mal etwas ueber Heute: http://t.co/sKgtc1L0rj
493702807086968833,2014-07-28 10:21:36,Lese mal etwas ueber Heute: http://t.co/A9H7VLEbNn
492967631650320384,2014-07-26 09:40:16,Lese mal etwas ueber Heute: http://t.co/RAHPBQIhq2
492599764132069376,2014-07-25 09:18:30,Lese mal etwas ueber Heute: http://t.co/Syp0bm9Ppv
492296089077555200,2014-07-24 13:11:48,Lese mal etwas ueber Heute: http://t.co/yE7QifNP5F
491879346018070528,2014-07-23 09:35:49,Lese mal etwas ueber Heute: http://t.co/uMDKdyonGw
491497829807161344,2014-07-22 08:19:48,Lese mal etwas ueber Heute: http://t.co/YhWbnxBQ4x
491135245937569792,2014-07-21 08:19:02,Lese mal etwas ueber Heute: http://t.co/oeriHj8eYm
490802811417141248,2014-07-20 10:18:03,Lese mal etwas ueber Heute: http://t.co/fA4q44sxzV
490408623823421440,2014-07-19 08:11:41,Lese mal etwas ueber Heute: http://t.co/31XpNErTvL
490024996853809152,2014-07-18 06:47:18,Lese mal etwas ueber Heute: http://t.co/uGi1DVnSUR
489662565480681472,2014-07-17 06:47:07,Lese mal etwas ueber Heute: http://t.co/Co6vM4QdkW
489301635341246464,2014-07-16 06:52:55,Lese mal etwas ueber Heute: http://t.co/2yWVCCjdip
488944753854410752,2014-07-15 07:14:48,Lese mal etwas ueber Heute: http://t.co/gVo1h3Isnv
488575779090219008,2014-07-14 06:48:37,Lese mal etwas ueber Heute: http://t.co/uRTdcsrd0W
488260346109788160,2014-07-13 09:55:12,Lese mal etwas ueber Heute: http://t.co/3ziRRypBpE
487850367443804160,2014-07-12 06:46:06,Lese mal etwas ueber Heute: http://t.co/QZWU16sEqm
487489265233035264,2014-07-11 06:51:12,Lese mal etwas ueber Heute: http://t.co/Qosz9ZZ7TN
487128311307726849,2014-07-10 06:56:54,Lese mal etwas ueber Heute: http://t.co/jW5oMrmDrg
486766278317969408,2014-07-09 06:58:19,Lese mal etwas ueber Heute: http://t.co/QjWbx6E8jJ
486404288802213888,2014-07-08 06:59:54,Lese mal etwas ueber Heute: http://t.co/Gsx7QTRF3F
485720820774617088,2014-07-06 09:44:02,Lese mal etwas ueber Heute: http://t.co/PfHpopKAx3
485322546955694080,2014-07-05 07:21:26,Lese mal etwas ueber Heute: http://t.co/ujkY1fsuVX
484959732453888000,2014-07-04 07:19:44,Lese mal etwas ueber Heute: http://t.co/NoC4DZK0Wm
484618594064809984,2014-07-03 08:44:11,Lese mal etwas ueber Heute: http://t.co/0pc4GEf27g
484230311497465856,2014-07-02 07:01:17,Lese mal etwas ueber Heute: http://t.co/EcgP3Y1u1c
483867709663617024,2014-07-01 07:00:26,Lese mal etwas ueber Heute: http://t.co/1omFZn70ix
483504891093327874,2014-06-30 06:58:43,Lese mal etwas ueber Heute: http://t.co/UJz3nzvjd9
483178049006211072,2014-06-29 09:19:58,Lese mal etwas ueber Heute: http://t.co/C5lwuSSgWD
482780901068513280,2014-06-28 07:01:51,Lese mal etwas ueber Heute: http://t.co/JFfuBs30kn
