id,created_at,text
524120372937900032,2014-10-20 08:50:09,@filavirtual Bom dia!
522817927561494528,2014-10-16 18:34:42,@garry12gg You are welcome...
522788230530211840,2014-10-16 16:36:41,"@garry12gg Good day, a great day!"
522147390074019840,2014-10-14 22:10:13,"@garry12gg E ai bye, tudo bem?"
521799310178930688,2014-10-13 23:07:04,@garry12gg Ok OK!
521798285007147008,2014-10-13 23:03:00,"@garry12gg Now Im on the street, but soon soon to going home."
521763571483430912,2014-10-13 20:45:04,"@garry12gg Around here, its okay ..."
521759666657710080,2014-10-13 20:29:33,@garry12gg A polícia de New York descobriu 100 quilos de cocaína no aeroporto. A droga estava escondida no nariz do avião
521743333966614528,2014-10-13 19:24:39,@garry12gg Até mais! Adorei conversar com você!
521743219919302656,2014-10-13 19:24:11,@garry12gg Fica mais um pouco é muito bom conversar com você!
521741118296190976,2014-10-13 19:15:50,@garry12gg you felt nice. ... I think or not!?
521740973672386560,2014-10-13 19:15:16,@garry12gg How? Sorry I didnt understand.
521740866432405504,2014-10-13 19:14:50,@garry12gg You managed to confuse me. ...
521740758022250496,2014-10-13 19:14:24,"@garry12gg Im fine thank you, and you?"
521740267175415808,2014-10-13 19:12:27,"@garry12gg Còpia de seguretat no trobava: Ha!, Ha!, Ha!"
521078718194675713,2014-10-11 23:23:42,"@gordy12gg Hello, okay?"
520976565048320000,2014-10-11 16:37:47,"@garry12gg Yes, I can start a new conversation!!!!"
520663695865569280,2014-10-10 19:54:33,"@garry12gg That Nice you are a person very dear, thank you. : )"
520663456198832128,2014-10-10 19:53:36,@garry12gg Fala serio!
520663287822700544,2014-10-10 19:52:55,@garry12gg Felt good? rsrsrs ... I hein!
520663126165835776,2014-10-10 19:52:17,@garry12gg Ok então
520662977897193472,2014-10-10 19:51:42,@garry12gg O K
520636863938195457,2014-10-10 18:07:55,"@garry12gg Around here, its okay ..."
520622224097570816,2014-10-10 17:09:45,"@garry12gg Beauty bye, like this?"
520574138784563200,2014-10-10 13:58:41,"@garry12gg Ha! does so, like both to chat with nice people like you!"
520566781551718400,2014-10-10 13:29:27,"@garry12gg measurement of hardness of wheels and shock absorbers. E.g. 95A (-hard), 97A, 100th (+ hard)."
