id,created_at,text
522089780704993280,2014-10-14 18:21:18,""" The 🐈 on his knee 🌹, arched her back, yawned, and looked up at him."
522055048495632385,2014-10-14 16:03:17,"The child caught it, and thrusting it into his 👄 wheeled about to the sewer-hole."
522020324775575552,2014-10-14 13:45:18,"""Not at all like 🐎, and I don't care what they say, 🐎 doesn't taste like beef,"" whispered Colette to West."
521985596647288832,2014-10-14 11:27:18,Her lovely head with its dark curly hair was crowned with a head-👗 which set all doubts as to the epoch of my own costume at rest.
521950869819252736,2014-10-14 09:09:19,"""Come, come, old fellow,"" he cried, ""take off that brass 👑 and toddle into the study."
521916136599064576,2014-10-14 06:51:18,A constant stream of people passed between the Odéon and the ⛲.
521881406566596609,2014-10-14 04:33:18,""" Tessie 🌹, unrolled her scented handkerchief, and taking a bit of gum from a knot in the hem, placed it in her mouth."
521846678710939648,2014-10-14 02:15:18,The 🐦 acts like a stupid _branchier.
521811946065387521,2014-10-13 23:57:17,"The light at the window had nearly failed, and the 👧 bent low over her work."
521777216452317184,2014-10-13 21:39:17,"At first he could not find his house, for the tears blinded him, but he felt along the wall and reached the 🚪."
521742485899726849,2014-10-13 19:21:16,I stood for a long time absorbed in the changing expression of my own 👀.
521707755380695041,2014-10-13 17:03:16,"It was on the second floor, and toward this he cast his 👀."
521673039839526912,2014-10-13 14:45:19,""" I looked at the 👨 on the floor."
521638304463466496,2014-10-13 12:27:18,""" I believe for a moment my heart ceased to beat, but I kept my 👀 on his face."
521603579925504000,2014-10-13 10:09:19,The iron 🚪 was barred.
521568841860939776,2014-10-13 07:51:16,Barnabé is a modern ⛪.
521534110201020416,2014-10-13 05:33:16,""" She opened the book and, plucking a petal from the 🌹, dropped it between the leaves."
521499390956302336,2014-10-13 03:15:18,Nothing would do but to try the experiment on the white 🐇 then and there.
521464650995892224,2014-10-13 00:57:15,"""Come and see my rose-coloured 🛀 full of death!"" he cried."
521429928542474240,2014-10-12 22:39:17,"Her gown was spotless, and her big straw hat, tipped a little from the white forehead, threw a shadow across her 👀."
521395194307289090,2014-10-12 20:21:16,He 🌹 from his easel smiling.
521360466019631104,2014-10-12 18:03:16,"""You must renounce the 👑 to me, do you hear, to _me_."
521325741079007235,2014-10-12 15:45:17,"""Choose!"" said the 👧 with a little gesture of pity; ""they can't go!"" In a heap of clothing on the floor he found a capote and képi."
521291009171673089,2014-10-12 13:27:16,"When at last she closed her 👀 and folded her forepaws under her breast, he began again very gently: ""Puss, tell me your troubles."
521256282280714241,2014-10-12 11:09:16,"Clifford gazed absently at the back of his head, murmuring, ""I'm afraid, I'm afraid that 👨 is too innocent."
521221547219243008,2014-10-12 08:51:15,"The page blurred under our 👀, and Jack got up and walked to the window."
521186817501315072,2014-10-12 06:33:15,Then I closed the 🚪 behind me and went out into the darkening streets.
521152092837539841,2014-10-12 04:15:16,"I 🌹, and raising the sash leaned out."
521117359814508544,2014-10-12 01:57:15,"The 🐈 crouched before it, purring and lapping at the same time."
521082631451336704,2014-10-11 23:39:15,"Though I went twice to the 🚪 of the marble room, I could not force myself to enter."
521047898013069313,2014-10-11 21:21:14,"I had been so astonished, so lost in admiration of the scene before my 👀, that it had not occurred to me that here was my salvation."
521013172548173824,2014-10-11 19:03:14,""" She smiled to herself at the reminiscence, and looked at the ⛲."
520978449595629568,2014-10-11 16:45:16,"""What shall it be? A roast 🐔 with salad? No? Possibly you prefer beef? Of course,--and I shall try an egg and some white bread."
520943711975649280,2014-10-11 14:27:14,Third 🔔.
520908987097944064,2014-10-11 12:09:15,"With 👀 starting from my head I peered into the darkness, but when he came into the room I did not see him."
520874241361997824,2014-10-11 09:51:11,"""That 🚪,"" observed Colette calmly, ""will hold for ever."
520839518212358144,2014-10-11 07:33:12,""" Clifford said good-night with as pleasant a smile as he could muster, and then sat down with his 👀 on the 🚪."
520804785436774401,2014-10-11 05:15:11,""" Then for the first time, I noticed a 👨 crouching there in the shadow."
520770053084811265,2014-10-11 02:57:10,"Elliott was too thin, and, anyway, his coats were now under 🔒 and key."
520735329125683201,2014-10-11 00:39:11,"Presently he dropped his hammer, and fussed about for a moment with a tiny 🔧."
520700594273918976,2014-10-10 22:21:10,""" Tessie 🌹, unrolled her scented handkerchief, and taking a bit of gum from a knot in the hem, placed it in her mouth."
520665868318281730,2014-10-10 20:03:11,""" ""Is it your experience, Monsieur Hastings?"" He looked straight into her 👀 and said, ""He is warning me."
520631142861770752,2014-10-10 17:45:11,""" ""Yes,"" said Trent, and he went out softly closing the 🚪 behind."
520596406944665600,2014-10-10 15:27:10,"I could paint her,--not on canvas--for I should need shades and tones and hues and dyes more splendid than the iris of a splendid 🌈."
520561680770957313,2014-10-10 13:09:10,"Rowden, in his imperfect knowledge of the French 👅, called our attention to it as Roo Barry--"" ""I didn't,"" said Rowden hotly."
520526947844374528,2014-10-10 10:51:09,"She had never before failed to blow me a 💏 from the tips of her white fingers, and I promptly complained of the omission."
