id,created_at,text
526001772884951040,2014-10-25 13:26:09,destroy chintzy
525999248962519040,2014-10-25 13:16:08,destroy chintziest
525996729934831616,2014-10-25 13:06:07,destroy chintzier
525994206452793344,2014-10-25 12:56:05,destroy chintzes
525991682941403136,2014-10-25 12:46:04,destroy chintz
525989159346130944,2014-10-25 12:36:02,destroy chints
525986635180433409,2014-10-25 12:26:00,destroy chins
525984116144369664,2014-10-25 12:16:00,destroy chinos
525981597162426368,2014-10-25 12:05:59,destroy chinooks
525979077862105088,2014-10-25 11:55:59,destroy chinook
525976558163742721,2014-10-25 11:45:58,destroy chinone
525974038859218944,2014-10-25 11:35:57,destroy chino
525971519961583617,2014-10-25 11:25:57,destroy chinning
525969001038757888,2014-10-25 11:15:56,destroy chinned
525966482120130561,2014-10-25 11:05:55,destroy chinless
525963963310551040,2014-10-25 10:55:55,destroy chinky
525961444102533120,2014-10-25 10:45:54,destroy chinks
525958925200678912,2014-10-25 10:35:54,destroy chinking
525956406135259136,2014-10-25 10:25:53,destroy chinkiest
525953887065608194,2014-10-25 10:15:53,destroy chinkier
525951368163786753,2014-10-25 10:05:52,destroy chinked
525948849182228480,2014-10-25 09:55:51,destroy chink
525946330439770112,2014-10-25 09:45:51,destroy chining
525943810959093760,2014-10-25 09:35:50,destroy chinese
525941292044668928,2014-10-25 09:25:50,destroy chines
525938772996009984,2014-10-25 09:15:49,destroy chine
525936253783777280,2014-10-25 09:05:48,destroy chinchy
525933734491869184,2014-10-25 08:55:48,destroy chinchillas
525931215426445312,2014-10-25 08:45:47,destroy chinchilla
525928696277106688,2014-10-25 08:35:47,destroy chinchiest
525926177139982336,2014-10-25 08:25:46,destroy chinches
525923657458020352,2014-10-25 08:15:45,destroy chinch
525921137931583488,2014-10-25 08:05:45,destroy chinbone
525918617888514048,2014-10-25 07:55:44,destroy chinaware
525916098915344384,2014-10-25 07:45:43,destroy chinatown
525913579518959616,2014-10-25 07:35:43,destroy chinas
525911060553818112,2014-10-25 07:25:42,destroy china
525908541454835713,2014-10-25 07:15:41,destroy chin
525906021903253504,2014-10-25 07:05:41,destroy chimps
525903503072714752,2014-10-25 06:55:40,destroy chimpanzees
525900984183431168,2014-10-25 06:45:40,destroy chimpanzee
525898465067692032,2014-10-25 06:35:39,destroy chimp
525895944743956480,2014-10-25 06:25:38,destroy chimneys
525893418661466112,2014-10-25 06:15:36,destroy chimney
525890899512160256,2014-10-25 06:05:35,destroy chimley
525888379893071872,2014-10-25 05:55:34,destroy chiming
525885860894740480,2014-10-25 05:45:34,destroy chimes
525883341909024768,2014-10-25 05:35:33,destroy chimers
525880822751330304,2014-10-25 05:25:33,destroy chimerical
525878303610380288,2014-10-25 05:15:32,destroy chimeric
525875784561725440,2014-10-25 05:05:32,destroy chimeras
525873265425018880,2014-10-25 04:55:31,destroy chimera
525870746376372224,2014-10-25 04:45:30,destroy chimer
525868227331891200,2014-10-25 04:35:30,destroy chimed
525865708500959233,2014-10-25 04:25:29,destroy chime
525863189754699776,2014-10-25 04:15:29,destroy chimbly
525860669670031360,2014-10-25 04:05:28,destroy chimbley
525858150499770368,2014-10-25 03:55:27,destroy chimaeras
525855631622672385,2014-10-25 03:45:27,destroy chimaera
525853111735549952,2014-10-25 03:35:26,destroy chilly
525850590371270656,2014-10-25 03:25:25,destroy chillums
525848071087722496,2014-10-25 03:15:24,destroy chillum
525845551674179584,2014-10-25 03:05:23,destroy chills
525843032130588672,2014-10-25 02:55:23,destroy chillness
525840510133350401,2014-10-25 02:45:21,destroy chillingly
525837990417801217,2014-10-25 02:35:21,destroy chilling
525835470920372227,2014-10-25 02:25:20,destroy chilliness
525832951733305344,2014-10-25 02:15:19,destroy chillily
525830432432988161,2014-10-25 02:05:19,destroy chilliest
525825392301834240,2014-10-25 01:45:17,destroy chillies
525822869771923457,2014-10-25 01:35:16,destroy chillier
525820350882668544,2014-10-25 01:25:15,destroy chilli
525817832182120449,2014-10-25 01:15:15,destroy chillest
525815313217368065,2014-10-25 01:05:14,destroy chillers
525812794328100864,2014-10-25 00:55:13,destroy chiller
525810275581440000,2014-10-25 00:45:13,destroy chilled
525807756666994688,2014-10-25 00:35:12,destroy chill
525805237840650241,2014-10-25 00:25:12,destroy chilies
525802719014318080,2014-10-25 00:15:11,destroy chili
525800200242475008,2014-10-25 00:05:11,destroy chiles
525797681458069504,2014-10-24 23:55:10,destroy chileans
525795162682064897,2014-10-24 23:45:10,destroy chilean
525792643893428224,2014-10-24 23:35:09,destroy chile
525790124995788800,2014-10-24 23:25:09,destroy children
525787605942947843,2014-10-24 23:15:08,destroy childproof
525785087292755968,2014-10-24 23:05:08,destroy childly
525782562917326848,2014-10-24 22:55:06,destroy childlike
525780043981934592,2014-10-24 22:45:05,destroy childliest
525777523842777088,2014-10-24 22:35:05,destroy childlessness
525775002873126912,2014-10-24 22:25:03,destroy childless
525772483455385600,2014-10-24 22:15:03,destroy childishness
525769964234768384,2014-10-24 22:05:02,destroy childishly
525767444535967744,2014-10-24 21:55:01,destroy childish
525764924770107392,2014-10-24 21:45:00,destroy childing
525762405390123008,2014-10-24 21:35:00,destroy childhoods
525759884655345664,2014-10-24 21:24:59,destroy childhood
525757365648629760,2014-10-24 21:14:58,destroy childbirths
525754846428037121,2014-10-24 21:04:58,destroy childbirth
525752327412908033,2014-10-24 20:54:57,destroy childbeds
525749807160492032,2014-10-24 20:44:56,destroy childbed
525747288225103872,2014-10-24 20:34:56,destroy childbearing
525744769235177472,2014-10-24 20:24:55,destroy child
525742250287190017,2014-10-24 20:14:54,destroy chilblains
525739730923962369,2014-10-24 20:04:54,destroy chilblain
525737211778854913,2014-10-24 19:54:53,destroy chihuahuas
525734692650483712,2014-10-24 19:44:53,destroy chihuahua
525732173484425217,2014-10-24 19:34:52,destroy chigoes
525729653118742528,2014-10-24 19:24:51,destroy chigoe
525727133331906560,2014-10-24 19:14:50,destroy chignons
525724614190960640,2014-10-24 19:04:50,destroy chignon
525722094886453248,2014-10-24 18:54:49,destroy chiggers
525719575896522752,2014-10-24 18:44:48,destroy chigger
525717056462024704,2014-10-24 18:34:48,destroy chifforobes
525714537174278145,2014-10-24 18:24:47,destroy chifforobe
525712018087874560,2014-10-24 18:14:47,destroy chiffons
525709498640769025,2014-10-24 18:04:46,destroy chiffonniers
525706979424350208,2014-10-24 17:54:45,destroy chiffonnier
525704459729793024,2014-10-24 17:44:44,destroy chiffoniers
525701940559507458,2014-10-24 17:34:44,destroy chiffonier
525699421137559553,2014-10-24 17:24:43,destroy chiffon
525696902105690112,2014-10-24 17:14:43,destroy chiels
525694383090585600,2014-10-24 17:04:42,destroy chields
525691864314564608,2014-10-24 16:54:41,destroy chiel
525689344825516032,2014-10-24 16:44:41,destroy chieftainships
525686825630068736,2014-10-24 16:34:40,destroy chieftainship
525684306661109761,2014-10-24 16:24:40,destroy chieftains
525681787553722370,2014-10-24 16:14:39,destroy chieftaincy
525679264189153280,2014-10-24 16:04:37,destroy chieftaincies
525676745274691585,2014-10-24 15:54:37,destroy chieftain
525674221461340160,2014-10-24 15:44:35,destroy chiefs
525671698138693634,2014-10-24 15:34:34,destroy chiefly
525669174715355136,2014-10-24 15:24:32,destroy chiefest
525666651325616128,2014-10-24 15:14:30,destroy chiefer
525664127646466048,2014-10-24 15:04:29,destroy chiefdoms
525661603933741056,2014-10-24 14:54:27,destroy chiefdom
525659080510427137,2014-10-24 14:44:25,destroy chief
525656561243664384,2014-10-24 14:34:25,destroy chidingly
525654037862301697,2014-10-24 14:24:23,destroy chiding
525651518813667329,2014-10-24 14:14:22,destroy chides
525649000033423360,2014-10-24 14:04:22,destroy chiders
525646480540176385,2014-10-24 13:54:21,destroy chider
525643960916910080,2014-10-24 13:44:20,destroy chided
525641441998274560,2014-10-24 13:34:20,destroy chide
525638922937049088,2014-10-24 13:24:19,destroy chidden
525636403850674176,2014-10-24 13:14:19,destroy chid
525633884613255168,2014-10-24 13:04:18,destroy chics
525631365627539457,2014-10-24 12:54:17,destroy chicos
525628846700498944,2014-10-24 12:44:17,destroy chicory
525626327735746560,2014-10-24 12:34:16,destroy chicories
525623808687079425,2014-10-24 12:24:16,destroy chico
525621289579720705,2014-10-24 12:14:15,destroy chicness
525618770493337600,2014-10-24 12:04:15,destroy chicly
525616251474042880,2014-10-24 11:54:14,destroy chicles
525613732375056385,2014-10-24 11:44:13,destroy chicle
525611213422862336,2014-10-24 11:34:13,destroy chickweeds
525608694378418176,2014-10-24 11:24:12,destroy chickweed
525606175132622848,2014-10-24 11:14:12,destroy chicks
525603655840722944,2014-10-24 11:04:11,destroy chickpeas
525601135160479744,2014-10-24 10:54:10,destroy chickpea
525598615637864448,2014-10-24 10:44:09,destroy chickens
525596095997837312,2014-10-24 10:34:09,destroy chickening
525593576236134401,2014-10-24 10:24:08,destroy chickened
525591057070030848,2014-10-24 10:14:07,destroy chicken
525588538197569536,2014-10-24 10:04:07,destroy chickasaws
525586019186655232,2014-10-24 09:54:06,destroy chickasaw
525583500410642432,2014-10-24 09:44:06,destroy chickadees
525580981361975296,2014-10-24 09:34:05,destroy chickadee
525578461998755840,2014-10-24 09:24:04,destroy chick
525575942736191489,2014-10-24 09:14:04,destroy chichis
525573423247134721,2014-10-24 09:04:03,destroy chichi
525570903607107584,2014-10-24 08:54:02,destroy chiccory
525568384063528960,2014-10-24 08:44:02,destroy chicanos
525565864742223873,2014-10-24 08:34:01,destroy chicano
525563345232211968,2014-10-24 08:24:00,destroy chicaning
525560825944489984,2014-10-24 08:14:00,destroy chicanes
525558306212184064,2014-10-24 08:03:59,destroy chicanery
525555786647617537,2014-10-24 07:53:58,destroy chicaners
525553267255029760,2014-10-24 07:43:57,destroy chicaneries
525550747875033088,2014-10-24 07:33:57,destroy chicaner
525548224015507457,2014-10-24 07:23:55,destroy chicaned
525545700059516929,2014-10-24 07:13:53,destroy chicane
525543180859891712,2014-10-24 07:03:53,destroy chicagoans
525540661685407745,2014-10-24 06:53:52,destroy chicagoan
525538140904521728,2014-10-24 06:43:51,destroy chicago
525535621784551424,2014-10-24 06:33:50,destroy chic
525533102983356417,2014-10-24 06:23:50,destroy chiasms
525530584140226560,2014-10-24 06:13:49,destroy chiasma
525528064764428288,2014-10-24 06:03:49,destroy chias
525525545585758208,2014-10-24 05:53:48,destroy chiaroscuros
525523025996046336,2014-10-24 05:43:47,destroy chiaroscuro
525520507119353856,2014-10-24 05:33:47,destroy chiao
525517987567382528,2014-10-24 05:23:46,destroy chianti
525515468590051328,2014-10-24 05:13:45,destroy chia
525512949574942720,2014-10-24 05:03:45,destroy chi
525510430677299202,2014-10-24 04:53:44,destroy chez
525507911133716480,2014-10-24 04:43:44,destroy cheyennes
525505391577542656,2014-10-24 04:33:43,destroy cheyenne
525502872226906112,2014-10-24 04:23:42,destroy chewy
525500352641392640,2014-10-24 04:13:42,destroy chews
525497833886326784,2014-10-24 04:03:41,destroy chewing
525495315194191872,2014-10-24 03:53:41,destroy chewiest
525492796535635968,2014-10-24 03:43:40,destroy chewier
525490277935751169,2014-10-24 03:33:40,destroy chewers
525487759377846272,2014-10-24 03:23:39,destroy chewer
525485240731836416,2014-10-24 03:13:39,destroy chewed
525482722215886850,2014-10-24 03:03:38,destroy chewable
525480203666358272,2014-10-24 02:53:38,destroy chew
525477685032923136,2014-10-24 02:43:37,destroy chevying
525475166357557248,2014-10-24 02:33:37,destroy chevy
525472647778680832,2014-10-24 02:23:36,destroy chevrons
525470129371754497,2014-10-24 02:13:36,destroy chevron
525467610767712257,2014-10-24 02:03:35,destroy chevrolets
525465092218175488,2014-10-24 01:53:35,destroy chevrolet
525462573706387458,2014-10-24 01:43:34,destroy cheviot
525460054980714496,2014-10-24 01:33:34,destroy chevies
525457536431165440,2014-10-24 01:23:33,destroy chevied
525455017764204544,2014-10-24 01:13:33,destroy chevaux
525452498640076800,2014-10-24 01:03:32,destroy chevaliers
525449979926949888,2014-10-24 00:53:32,destroy chevalier
525447461075451904,2014-10-24 00:43:31,destroy cheval
525444942458793984,2014-10-24 00:33:31,destroy chesty
525442423728930816,2014-10-24 00:23:30,destroy chests
525439905028374528,2014-10-24 00:13:30,destroy chestnuts
525437358620307456,2014-10-24 00:03:23,destroy chestnut
525434837822623744,2014-10-23 23:53:22,destroy chestiest
525432314860691456,2014-10-23 23:43:20,destroy chestier
525429795782688769,2014-10-23 23:33:19,destroy chestfuls
525427276742393857,2014-10-23 23:23:19,destroy chestful
525424757861519360,2014-10-23 23:13:18,destroy chesterfields
525422238703816705,2014-10-23 23:03:18,destroy chesterfield
525419719852302336,2014-10-23 22:53:17,destroy chested
525417200317104128,2014-10-23 22:43:16,destroy chest
525414680836460544,2014-10-23 22:33:16,destroy chessmen
525412159992647681,2014-10-23 22:23:15,destroy chessman
525409640738455555,2014-10-23 22:13:14,destroy chesses
525407121220067329,2014-10-23 22:03:13,destroy chessboards
525404602314031105,2014-10-23 21:53:13,destroy chessboard
525402083416358913,2014-10-23 21:43:12,destroy chess
525399564501942272,2014-10-23 21:33:12,destroy chesapeake
525397045465849859,2014-10-23 21:23:11,destroy chervils
525394525964218369,2014-10-23 21:13:11,destroy chervil
525392006340968450,2014-10-23 21:03:10,destroy cherubs
525389486851887104,2014-10-23 20:53:09,destroy cherubim
525386967601922049,2014-10-23 20:43:08,destroy cherubically
525384447345311747,2014-10-23 20:33:08,destroy cherubical
525381928057577472,2014-10-23 20:23:07,destroy cherubic
525379408551739392,2014-10-23 20:13:06,destroy cherub
525376889607954432,2014-10-23 20:03:06,destroy cherty
525374370496385024,2014-10-23 19:53:05,destroy chertier
525371851288371201,2014-10-23 19:43:04,destroy chert
525369331669282816,2014-10-23 19:33:04,destroy cherrystones
525366812528357376,2014-10-23 19:23:03,destroy cherrystone
525364293567782912,2014-10-23 19:13:03,destroy cherry
525361774582046722,2014-10-23 19:03:02,destroy cherries
525359253587255296,2014-10-23 18:53:01,destroy cheroots
525356734630875137,2014-10-23 18:43:00,destroy cheroot
525354215611568129,2014-10-23 18:33:00,destroy cherokees
525351696516780033,2014-10-23 18:22:59,destroy cherokee
525349177480732672,2014-10-23 18:12:59,destroy cherishing
525346657769373698,2014-10-23 18:02:58,destroy cherishes
525344138741702656,2014-10-23 17:52:57,destroy cherishers
525341620007628802,2014-10-23 17:42:57,destroy cherisher
525339101495853056,2014-10-23 17:32:56,destroy cherished
525336582631747585,2014-10-23 17:22:56,destroy cherish
525334063876669440,2014-10-23 17:12:55,destroy cherenkov
525331544932892672,2014-10-23 17:02:55,destroy cherchez
525329025141858306,2014-10-23 16:52:54,destroy cheques
