id,created_at,text
516808026846547968,2014-09-30 04:33:30,gjetost () http://t.co/QQuxR5jx39
516747323980795905,2014-09-30 00:32:17,asiago () http://t.co/BQnVQVZSCk
516686629017104384,2014-09-29 20:31:06,reggianito () http://t.co/er7rhvkaM6
516565449677348865,2014-09-29 12:29:35,bocconcini () http://t.co/sYbopRZGVa
516504808220397568,2014-09-29 08:28:37,grana padano () http://t.co/18BfKvLXm0
516444085234573312,2014-09-29 04:27:19,esrom () http://t.co/wJ7s7g9Zu0
516322875645521920,2014-09-28 20:25:41,caravane () http://t.co/pUKArKWjqv
516262116559302656,2014-09-28 16:24:14,selva () http://t.co/vWpeNOqAjp
516201383129657344,2014-09-28 12:22:54,maroilles () http://t.co/VzNhevW7DG
516140618641203200,2014-09-28 08:21:27,rabacal () http://t.co/qcvd3eELHg
516079928853270528,2014-09-28 04:20:18,etorki () http://t.co/8vkH8xg8au
515898281621082112,2014-09-27 16:18:29,scamorza () http://t.co/ize9ghwn49
515777084837216256,2014-09-27 08:16:54,milleens () http://t.co/KBLqBvFzd6
515716291810697216,2014-09-27 04:15:20,zanetti parmigiano reggiano () http://t.co/ZtNMRaxeGe
515655725834452992,2014-09-27 00:14:40,neufchatel () http://t.co/QzvohnWE1P
515595078073466880,2014-09-26 20:13:40,dutch mimolette () http://t.co/Akrav2L7nH
515413378810908672,2014-09-26 08:11:40,parmesan () http://t.co/lrD0ZsjXBY
515352741749596160,2014-09-26 04:10:43,brie de melun () http://t.co/dJsjwb8Mkh
515231603044261888,2014-09-25 20:09:21,cream cheese () http://t.co/XH4PKAfjTU
515170973159399424,2014-09-25 16:08:26,ossau-iraty () http://t.co/aUbooDvT3n
515110278397038592,2014-09-25 12:07:15,curd () http://t.co/n5hkgnBObD
515049597337477120,2014-09-25 08:06:07,stilton () http://t.co/ed9uezLzQd
514988926369398785,2014-09-25 04:05:02,cooleney () http://t.co/BNmlAVL25M
514867989481390080,2014-09-24 20:04:29,lancashire () http://t.co/yzoOjm5Xjb
514807223994703872,2014-09-24 16:03:01,balaton () http://t.co/nfh5ujLeUQ
514746468272328704,2014-09-24 12:01:36,leerdammer () http://t.co/NuoIlwB0pF
514625146024259584,2014-09-24 03:59:30,le brin () http://t.co/aOGh4NUwjh
514564519629058048,2014-09-23 23:58:36,autun () http://t.co/epFEFk0Eti
514503817292161025,2014-09-23 19:57:23,bryndza () http://t.co/19zMixaDk4
514443063477809153,2014-09-23 15:55:58,"friesian (east, small, high, common) http://t.co/HO3jEBEEti"
514321907357724672,2014-09-23 07:54:33,"camembert de normandie (french, soft, raw, creamy) http://t.co/axFORSeqpg"
514140191766765569,2014-09-22 19:52:28,"bleu de gex (blue, creamy, mild, local) http://t.co/FrdL25Gekf"
514079435926933504,2014-09-22 15:51:03,"gouda (dutch, yellow, hard, fat) http://t.co/wtxWivAKd0"
514018683488718848,2014-09-22 11:49:38,"dunbarra (soft, pasteurised, white, vegetarian) http://t.co/suw03Swa3B"
513958107001528320,2014-09-22 07:48:56,"acorn (original, fundraising, few, chopped) http://t.co/tYP8fFbB1a"
513897369557925888,2014-09-22 03:47:35,dreux a la feuille () http://t.co/iXtErOe6z2
513836866005516289,2014-09-21 23:47:10,"rubens (few, 26th, hot, big) http://t.co/5WLQEClGNX"
513776083158573057,2014-09-21 19:45:38,"babybel (red, top, natural, original) http://t.co/3ugYrgk0Xo"
513715379315544065,2014-09-21 15:44:25,"pont l'eveque (1)goat, soft, 1)sheep, french) http://t.co/Dd1SctzlO8"
513533417229529088,2014-09-21 03:41:22,"button (smelly, swiss, sore, red) http://t.co/BB5IcCcrqy"
513230541240274944,2014-09-20 07:37:51,"grafton village cheddar (hard, traditional, british, un-pasteurised) http://t.co/dpB0QkWAaj"
513169941457928193,2014-09-20 03:37:02,"sardo (italian, 1)goat, hard, 1)sheep) http://t.co/2rJ4GXE7gL"
513109237153542144,2014-09-19 23:35:49,"sraffordshire organic (whole, special, scheduled, free) http://t.co/h7IANl6oCh"
513048645646548992,2014-09-19 19:35:03,"brin d'amour (soft, french, blue, creamy) http://t.co/TNvMkOa6Gy"
512987890905645056,2014-09-19 15:33:38,"tyning (small, raw, second, high) http://t.co/ZfDIOyiDIl"
512927083501076483,2014-09-19 11:32:01,"mimolette (french, dutch, hard, teflonic) http://t.co/CBFmhUvKO1"
512805759222943745,2014-09-19 03:29:55,"danish fontina (italian, mild, creamy, soft) http://t.co/u4HoU4O7bG"
512624168634810369,2014-09-18 15:28:20,"caboc (scottish, soft, protected, double) http://t.co/s2bGIPc8IZ"
512563386874228737,2014-09-18 11:26:49,"siraz (red, french, spicy, rich) http://t.co/OFcntWIi5p"
512502766099390464,2014-09-18 07:25:55,"fougerus (soft, creamy, white, sweet) http://t.co/3nsrtLbA6c"
512442111271002112,2014-09-18 03:24:54,"asadero (mexican, hispanic, mild, white) http://t.co/4r9BoVwKxc"
512381364994207744,2014-09-17 23:23:31,"pannerone (supple, small, sweet, creamy) http://t.co/CIupP6NZ15"
512320754051198976,2014-09-17 19:22:40,"orla (mild, creamy, hard, excellent) http://t.co/PXCdBCnBpn"
512259968506920960,2014-09-17 15:21:08,"duroblando (mexican, pre-packed, traditional, mild) http://t.co/v4ZjRtbSPe"
512199466237968384,2014-09-17 11:20:43,monterey jack dry () http://t.co/Yg2bXazLEN
512078285535076352,2014-09-17 03:19:11,"timboon brie (soft, pasteurised, modern, french) http://t.co/57u7gplgmA"
511896531494903808,2014-09-16 15:16:58,"cairnsmore (cosy, wooden, simple, royal) http://t.co/vy6bOirjWf"
511836022838009857,2014-09-16 11:16:31,"leicester (red, slow, traditional, local) http://t.co/6NrbuAO6eZ"
511775304767897600,2014-09-16 07:15:15,"anejo enchilado (soft, salty, hot, chopped) http://t.co/qGb09U26Qg"
511714562215665664,2014-09-16 03:13:53,"carre de l'est (french, soft, square, het) http://t.co/NX6enAmZz0"
511653938840354816,2014-09-15 23:12:59,bandal () http://t.co/CHPmjFliqa
511593443185803264,2014-09-15 19:12:36,"frying cheese (olive, hot, large, fried) http://t.co/NsJRSNRch6"
511532723790282752,2014-09-15 15:11:19,"syrian (own, important, few, second) http://t.co/bUdBuxL9pv"
