id,created_at,text
525477284749123585,2014-10-24 02:42:02,"Pecorino di Pian di Vas

- http://t.co/rcShVM7orN"
525462182234824704,2014-10-24 01:42:01,"Pecorino di Osilo

- http://t.co/rcShVM7orN"
525447085261602816,2014-10-24 00:42:02,"Pecorino di montagna

- http://t.co/yox8PtE5ZE"
525431986786414592,2014-10-23 23:42:02,"Pecorino di Moliterno

- http://t.co/yox8PtE5ZE"
525416899698765824,2014-10-23 22:42:05,"Pecorino di Garfagnina

- http://t.co/yox8PtE5ZE"
525401786190811137,2014-10-23 21:42:01,"Pecorino di Filiano

- http://t.co/rcShVM7orN"
525386688001220608,2014-10-23 20:42:02,"Pecorino di Farindola

- http://t.co/yox8PtE5ZE"
525371588297117696,2014-10-23 19:42:02,"Pecorino di Carmasciano

- http://t.co/yox8PtE5ZE"
525356486936256512,2014-10-23 18:42:01,"Pecorino delle balze volterrane

- http://t.co/yox8PtE5ZE"
525341387634393088,2014-10-23 17:42:01,"Pecorino della Versilia

- http://t.co/rcShVM7orN"
525326290212376576,2014-10-23 16:42:02,"Pecorino della Lunigiana

- http://t.co/yox8PtE5ZE"
525311190080049152,2014-10-23 15:42:02,"Pecorino della Garfagnana

- http://t.co/rcShVM7orN"
525296089876795392,2014-10-23 14:42:02,"Pecorino della costa apuana

- http://t.co/rcShVM7orN"
525280989640003585,2014-10-23 13:42:01,"Pecorino del Parco di Migliarino

- http://t.co/rcShVM7orN"
525265889470332929,2014-10-23 12:42:01,"Pecorino del Casentino

- http://t.co/rcShVM7orN"
525250791091601408,2014-10-23 11:42:01,"Pecorino dei Berici

- http://t.co/rcShVM7orN"
525235692536754178,2014-10-23 10:42:02,"Pecorino d'Abruzzo

- http://t.co/rcShVM7orN"
525220594267082752,2014-10-23 09:42:02,"Pecorino brindisino

- http://t.co/rcShVM7orN"
525205494336471040,2014-10-23 08:42:02,"Pecorino bagnolese

- http://t.co/rcShVM7orN"
525190392593928192,2014-10-23 07:42:01,"Pecorino baccellone

- http://t.co/rcShVM7orN"
525175292449402880,2014-10-23 06:42:01,"Pecorino a crosta fiorita

- http://t.co/rcShVM7orN"
525160192426520576,2014-10-23 05:42:01,"Pecorino

- http://t.co/rcShVM7orN"
525145094156865536,2014-10-23 04:42:01,"Pecoricco

- http://t.co/ipCdcUrHpH"
525129996306624513,2014-10-23 03:42:02,"Pecora

- http://t.co/ipCdcUrHpH"
525114895595888640,2014-10-23 02:42:01,"Pastorino

- http://t.co/ipCdcUrHpH"
525099796441227265,2014-10-23 01:42:02,"Pastorella del Cerreto di Sorano

- http://t.co/ipCdcUrHpH"
525084697336893440,2014-10-23 00:42:02,"Pastore

- http://t.co/ipCdcUrHpH"
525069599100792832,2014-10-22 23:42:02,"pasteurized process cheese spread

- http://t.co/ImfspYsojr"
525054498448756738,2014-10-22 22:42:02,"pasteurized process cheese food

- http://t.co/ImfspYsojr"
525039398887256065,2014-10-22 21:42:02,"pasteurized process cheese

- http://t.co/ImfspYsojr"
525024298407190528,2014-10-22 20:42:01,"Pasta filata

- http://t.co/m3HvRIY1B8"
525009200527597568,2014-10-22 19:42:02,"Passendale

- http://t.co/LcPSctDrux"
524994099368062976,2014-10-22 18:42:01,"Paški sir

- http://t.co/wy3payENSe"
524979001240985600,2014-10-22 17:42:02,"Parrano

- http://t.co/WJBjNWDAkZ"
524963901327167488,2014-10-22 16:42:02,"Parmigiano-Reggiano

- http://t.co/MdVpmPwk4C"
524948802159910912,2014-10-22 15:42:02,"Parmesan

- http://t.co/MdVpmPwk4C"
524933701784698880,2014-10-22 14:42:01,"Parenica

- http://t.co/B6xPsakF9e"
524918603800248320,2014-10-22 13:42:02,"Panquehue

- http://t.co/Sx5f8Bp08U"
524903503924183042,2014-10-22 12:42:02,"Pannerone Lodigiano

- http://t.co/ipCdcUrHpH"
524888404584964096,2014-10-22 11:42:02,"Pannarello

- http://t.co/ipCdcUrHpH"
524873303081512960,2014-10-22 10:42:01,"Paneer

- http://t.co/UrHmRUjj3I"
524858204321112064,2014-10-22 09:42:01,"Pancette

- http://t.co/ipCdcUrHpH"
524843104902209536,2014-10-22 08:42:01,"Pampanella

- http://t.co/ipCdcUrHpH"
524828005177098240,2014-10-22 07:42:01,"Pálpusztai

- http://t.co/qdkZXHi6q1"
524812906769022976,2014-10-22 06:42:02,"Pallone di Gravina

- http://t.co/CN4MR01hL5"
524797805374631936,2014-10-22 05:42:01,"Paglietta piemontese

- http://t.co/ipCdcUrHpH"
524782708736524288,2014-10-22 04:42:02,"Paglietta delle Langhe

- http://t.co/ipCdcUrHpH"
524767607195303937,2014-10-22 03:42:01,"Paglietta

- http://t.co/ipCdcUrHpH"
524752507445080064,2014-10-22 02:42:01,"Paglierina di rifreddo

- http://t.co/ipCdcUrHpH"
524737407644479489,2014-10-22 01:42:01,"Paglierina apassitta

- http://t.co/ipCdcUrHpH"
524722307592224768,2014-10-22 00:42:01,"Paglierina

- http://t.co/ipCdcUrHpH"
524707210182418432,2014-10-21 23:42:02,"Paddy Jack Cheese

- http://t.co/XZxzwGzDaV"
524692110348263426,2014-10-21 22:42:02,"Padduni

- http://t.co/ipCdcUrHpH"
524677011906625538,2014-10-21 21:42:02,"Paddraccio

- http://t.co/WgAds3d3UP"
524661912869416960,2014-10-21 20:42:02,"Oxford Blue

- http://t.co/g6RMn58OdS"
524646811705692160,2014-10-21 19:42:02,"Ovčia hrudka

- http://t.co/WTs7tjpkjq"
524631710885896192,2014-10-21 18:42:01,"Otlu

- http://t.co/UEhaKVKf1C"
524616615254441984,2014-10-21 17:42:02,"Oszczypek

- http://t.co/i8xUkqcQaH"
524601514719858689,2014-10-21 16:42:02,"Ostrica di montagna

- http://t.co/ipCdcUrHpH"
524586414122336258,2014-10-21 15:42:02,"Oštiepok

- http://t.co/BQArC6zhDx"
524571314887987200,2014-10-21 14:42:02,"Ossolano d'alpe

- http://t.co/ipCdcUrHpH"
524556214395363328,2014-10-21 13:42:01,"Ossau-Iraty

- http://t.co/dNo7wKMp2T"
524541114485723138,2014-10-21 12:42:01,"Oscypek

- http://t.co/i8xUkqcQaH"
524526016480296960,2014-10-21 11:42:02,"Ortler

- http://t.co/ipCdcUrHpH"
524510916771971072,2014-10-21 10:42:02,"Orrengigo di Pistoia

- http://t.co/ipCdcUrHpH"
524495816652627968,2014-10-21 09:42:02,"Ormea

- http://t.co/ipCdcUrHpH"
524480719167307776,2014-10-21 08:42:02,"Orla Cheese

- http://t.co/XZxzwGzDaV"
524465616011284480,2014-10-21 07:42:01,"Örgü

- http://t.co/e1kaHNUs5a"
524450518186225664,2014-10-21 06:42:02,"Orda

- http://t.co/h42CJkh8VB"
524435416674365441,2014-10-21 05:42:01,"Omichka

- http://t.co/iqUqYeURsk"
524420317578403840,2014-10-21 04:42:01,"Oltermanni

- http://t.co/fQEHtmdXzb"
524405219279376384,2014-10-21 03:42:01,"Olomoucké syrečky

- http://t.co/KhYg3tHTBe"
524390117742362624,2014-10-21 02:42:01,"Olivet cendré

- http://t.co/f8R4Yl5coS"
524375020680667137,2014-10-21 01:42:02,"Obruk

- http://t.co/e1kaHNUs5a"
524359920213192705,2014-10-21 00:42:01,"Obatzda

- http://t.co/ae2aFxw36L"
524344821398257665,2014-10-20 23:42:01,"Oázis

- http://t.co/1Bz6T1oIuG"
524329724974080001,2014-10-20 22:42:02,"Oaxaca cheese

- http://t.co/RnAZ0DXqAu"
524314624787611648,2014-10-20 21:42:02,"Oakwood

- http://t.co/XZxzwGzDaV"
524299523384819712,2014-10-20 20:42:02,"Nøkkelost

- http://t.co/P995ZKz1m8"
524284423504556033,2014-10-20 19:42:01,"Nusnetto bresciano

- http://t.co/ipCdcUrHpH"
524269322940600320,2014-10-20 18:42:01,"Nostrano Valtrompia

- http://t.co/ipCdcUrHpH"
524254224213745664,2014-10-20 17:42:01,"Nostrano Valchiese

- http://t.co/ipCdcUrHpH"
524239126527094784,2014-10-20 16:42:02,"Nostrano semigrasso

- http://t.co/ipCdcUrHpH"
524224026873311233,2014-10-20 15:42:02,"Nostrano prealpino

- http://t.co/ipCdcUrHpH"
524208926238072832,2014-10-20 14:42:02,"Nostrano misto capra

- http://t.co/ipCdcUrHpH"
524193826940809216,2014-10-20 13:42:02,"Nostrano grasso

- http://t.co/ipCdcUrHpH"
524178727177965569,2014-10-20 12:42:01,"Nostrano Fiavé

- http://t.co/ipCdcUrHpH"
524163627339616256,2014-10-20 11:42:01,"Nostrano di malga trentino

- http://t.co/ipCdcUrHpH"
524148528243683328,2014-10-20 10:42:02,"Nostrano di malga

- http://t.co/ipCdcUrHpH"
524133428719927297,2014-10-20 09:42:01,"Nostrano di latteria

- http://t.co/ipCdcUrHpH"
524118328772530177,2014-10-20 08:42:01,"Nostrano di Crodo

- http://t.co/ipCdcUrHpH"
524103229567561728,2014-10-20 07:42:01,"Nostrano di Costalta

- http://t.co/ipCdcUrHpH"
524088134082904064,2014-10-20 06:42:02,"Nostrano della Val di Fassa

- http://t.co/ipCdcUrHpH"
524073029715099648,2014-10-20 05:42:01,"Nostrano del Primiero

- http://t.co/EaN5ZBqCLs"
524057930060931072,2014-10-20 04:42:01,"Nostrano de casèl

- http://t.co/ipCdcUrHpH"
524042831262785536,2014-10-20 03:42:01,"Nostrano d'alpe

- http://t.co/ipCdcUrHpH"
524027731546087425,2014-10-20 02:42:01,"Nostrano

- http://t.co/ipCdcUrHpH"
524012631804243969,2014-10-20 01:42:01,"Nostrale d'alpe

- http://t.co/ipCdcUrHpH"
523997535757561857,2014-10-20 00:42:02,"Norvegia

- http://t.co/HteyZiLBVJ"
523982434254069760,2014-10-19 23:42:02,"Nökkelost

- http://t.co/P995ZKz1m8"
523967335191695360,2014-10-19 22:42:02,"Nocciolino di ceva

- http://t.co/ipCdcUrHpH"
523952235143630848,2014-10-19 21:42:02,"牛乳

- http://t.co/hYfpzaJgPL"
523937137545052160,2014-10-19 20:42:02,"Nis

- http://t.co/ipCdcUrHpH"
523922034581966848,2014-10-19 19:42:01,"Niolo

- http://t.co/U8fEIHSS1r"
523906936945651712,2014-10-19 18:42:02,"Nguri

- http://t.co/hYfpzaJgPL"
523891836130447362,2014-10-19 17:42:01,"నెయ్యి

- http://t.co/FdB7xnhADQ"
523876737914900481,2014-10-19 16:42:02,"നെയ്യ്

- http://t.co/jVU7Qyl5ot"
523861639523610624,2014-10-19 15:42:02,"நெய்

- http://t.co/jVU7Qyl5ot"
523846538728968192,2014-10-19 14:42:02,"Nevegal

- http://t.co/ipCdcUrHpH"
523831438223757312,2014-10-19 13:42:01,"Neufchâtel

- http://t.co/JwHar1s9mb"
523816341342396416,2014-10-19 12:42:02,"Năsal

- http://t.co/Ldpvlpq6Vo"
523801238064726016,2014-10-19 11:42:01,"narskujuusto

- http://t.co/7dFCofvB8k"
523786141728645120,2014-10-19 10:42:02,"Nanoški

- http://t.co/c63dZ5YKD3"
523771042376867840,2014-10-19 09:42:02,"Myzithra

- http://t.co/zRz23fw2cT"
523755942488195074,2014-10-19 08:42:02,"mysuostur

- http://t.co/UfqdXuAjYO"
523740840603045888,2014-10-19 07:42:01,"mysost

- http://t.co/UfqdXuAjYO"
523725749501440001,2014-10-19 06:42:03,"mysingur

- http://t.co/UfqdXuAjYO"
523710642625081344,2014-10-19 05:42:01,"myseost

- http://t.co/UfqdXuAjYO"
523695542145003520,2014-10-19 04:42:01,"Mutschli

- http://t.co/7NwHzNZmKk"
523680443665616896,2014-10-19 03:42:01,"Musulupu

- http://t.co/ipCdcUrHpH"
523665344561291264,2014-10-19 02:42:02,"Murtret

- http://t.co/ipCdcUrHpH"
523650244693598208,2014-10-19 01:42:01,"Murtarat

- http://t.co/ipCdcUrHpH"
523635147589947397,2014-10-19 00:42:02,"Mursin

- http://t.co/ipCdcUrHpH"
523620047969714177,2014-10-18 23:42:02,"mursik

- http://t.co/wxhNS5pqQT"
523604944109060096,2014-10-18 22:42:01,"Murianengo

- http://t.co/ipCdcUrHpH"
523589847416463360,2014-10-18 21:42:02,"Murazzano

- http://t.co/ipCdcUrHpH"
523574747850735616,2014-10-18 20:42:02,"Munster-Géromé

- http://t.co/v5lhgypJNW"
523559648779984896,2014-10-18 19:42:02,"Munster

- http://t.co/v5lhgypJNW"
523544549465919488,2014-10-18 18:42:02,"Muenster

- http://t.co/z2yFP9KcLP"
523529447740162049,2014-10-18 17:42:01,"Mozzarella di bufala campana

- http://t.co/OqYpVKum5P"
523514349202055168,2014-10-18 16:42:01,"Mozzarella

- http://t.co/2eN7eNiyEy"
523499248722001920,2014-10-18 15:42:01,"Mottolino

- http://t.co/ipCdcUrHpH"
523484152515940352,2014-10-18 14:42:02,"Mottolina

- http://t.co/ipCdcUrHpH"
523469050005839873,2014-10-18 13:42:01,"Motta

- http://t.co/ipCdcUrHpH"
523453952797327360,2014-10-18 12:42:02,"Motelì

- http://t.co/ipCdcUrHpH"
523438852141101058,2014-10-18 11:42:02,"Motal

- http://t.co/p94Yi8gieM"
523423751333896192,2014-10-18 10:42:01,"Moskovsky

- http://t.co/iqUqYeURsk"
523408657686331392,2014-10-18 09:42:03,"Mosaru

- http://t.co/2JvyYOkM7Z"
523393555423711232,2014-10-18 08:42:02,"Mortrett

- http://t.co/ipCdcUrHpH"
523378453026840576,2014-10-18 07:42:01,"Mortaràt Ciambella aromatica

- http://t.co/ipCdcUrHpH"
523363353956069379,2014-10-18 06:42:01,"Mortaràt

- http://t.co/ipCdcUrHpH"
523348254486843393,2014-10-18 05:42:01,"Morlacco di Grappa

- http://t.co/rEPhxVGnNW"
523333155835490304,2014-10-18 04:42:02,"Morlacco

- http://t.co/rEPhxVGnNW"
523318055900676096,2014-10-18 03:42:01,"Morlâc

- http://t.co/rEPhxVGnNW"
523302955760377856,2014-10-18 02:42:01,"Morello

- http://t.co/ipCdcUrHpH"
523287859281674240,2014-10-18 01:42:02,"Morbier

- http://t.co/UmZuOtQxua"
523272758071787520,2014-10-18 00:42:02,"Moose cheese

- http://t.co/59XUDC0n6b"
523257660955578368,2014-10-17 23:42:02,"Monterey Jack

- http://t.co/NlhsIQFFDR"
523242560437768192,2014-10-17 22:42:02,"Montegranero

- http://t.co/ipCdcUrHpH"
523227460066766850,2014-10-17 21:42:02,"Montébore

- http://t.co/ipCdcUrHpH"
523212360991784960,2014-10-17 20:42:02,"Monte Veronese latte intero

- http://t.co/SNqc3xva2j"
523197261870690305,2014-10-17 19:42:02,"Monte Veronese d’allevo

- http://t.co/SNqc3xva2j"
523182161902309376,2014-10-17 18:42:02,"Monte Veronese

- http://t.co/SNqc3xva2j"
523167062500196352,2014-10-17 17:42:02,"Montasio

- http://t.co/amS0NVi7ew"
523151962532220928,2014-10-17 16:42:02,"Montanello

- http://t.co/EaN5ZBqCLs"
523136863444295680,2014-10-17 15:42:02,"Montagna

- http://t.co/ipCdcUrHpH"
523121764683874304,2014-10-17 14:42:02,"Montafoner Sauerkäse

- http://t.co/EOJeUkqYuF"
523106664514207744,2014-10-17 13:42:02,"Mont des Cats

- http://t.co/tmfaQuBwIA"
523091564273225728,2014-10-17 12:42:02,"Mont Blanc

- http://t.co/ipCdcUrHpH"
523076462635532289,2014-10-17 11:42:01,"Mondseer

- http://t.co/omUEbu4Rbc"
523061365544464384,2014-10-17 10:42:02,"Moncenisio

- http://t.co/ipCdcUrHpH"
523046263835463680,2014-10-17 09:42:01,"Mollana della Val Borbera

- http://t.co/ipCdcUrHpH"
523031167218380800,2014-10-17 08:42:02,"Molbo

- http://t.co/cNXbWPoYlY"
523016065152860162,2014-10-17 07:42:01,"Mohant

- http://t.co/c63dZ5YKD3"
523000967386509312,2014-10-17 06:42:02,"Moesin di Fregona

- http://t.co/ipCdcUrHpH"
522985867825012737,2014-10-17 05:42:02,"Moale

- http://t.co/iqUqYeURsk"
522970766342500352,2014-10-17 04:42:01,"μυζήθρα

- http://t.co/zRz23fw2cT"
522955669511475200,2014-10-17 03:42:02,"Mizithra

- http://t.co/zRz23fw2cT"
522940569438257152,2014-10-17 02:42:02,"Misto pecora fresco dei Berici

- http://t.co/ipCdcUrHpH"
522925469750939648,2014-10-17 01:42:02,"Misto capra di malga

- http://t.co/ipCdcUrHpH"
522910371334463488,2014-10-17 00:42:02,"Misto capra

- http://t.co/ipCdcUrHpH"
522895272997691392,2014-10-16 23:42:02,"Misto

- http://t.co/ipCdcUrHpH"
522880170227552258,2014-10-16 22:42:01,"Mish

- http://t.co/jA5PFci6L4"
522865071957897216,2014-10-16 21:42:02,"minyak sapi

- http://t.co/jVU7Qyl5ot"
522849973117788161,2014-10-16 20:42:02,"minyak samin

- http://t.co/jVU7Qyl5ot"
522834871438155776,2014-10-16 19:42:01,"Mine-gabhar

- http://t.co/XZxzwGzDaV"
522819772447092736,2014-10-16 18:42:01,"Minas

- http://t.co/oVRsMbLkam"
522804672495509505,2014-10-16 17:42:01,"Mimolette

- http://t.co/dk3eAs7NQB"
522789575765155840,2014-10-16 16:42:02,"Millefoglie all'aceto balsamico

- http://t.co/ipCdcUrHpH"
