id,created_at,text
525451615470632962,2014-10-24 01:00:02,🌒
524364451361730560,2014-10-21 01:00:02,🌓
522914900931133440,2014-10-17 01:00:02,🌔
521827736017321984,2014-10-14 01:00:02,🌕
520378185586733057,2014-10-10 01:00:02,🌖
519291020815527936,2014-10-07 01:00:01,🌗
517856569673801730,2014-10-03 02:00:02,🌘
517494182026305539,2014-10-02 02:00:02,🌑
517131792520720385,2014-10-01 02:00:01,🌑
514595078858211328,2014-09-24 02:00:02,🌒
513507916360339458,2014-09-21 02:00:02,🌓
512058364172316672,2014-09-17 02:00:02,🌔
510971201917706240,2014-09-14 02:00:02,🌕
509521647473147904,2014-09-10 02:00:01,🌖
508434485419864064,2014-09-07 02:00:02,🌗
506984931734474752,2014-09-03 02:00:01,🌘
506622544695160833,2014-09-02 02:00:01,🌑
506260157584515072,2014-09-01 02:00:02,🌑
503361055632809984,2014-08-24 02:00:02,🌒
502273893181059073,2014-08-21 02:00:02,🌓
500824340040929281,2014-08-17 02:00:02,🌔
499737174355357698,2014-08-14 02:00:01,🌕
498287623723446273,2014-08-10 02:00:01,🌖
497200460306989057,2014-08-07 02:00:01,🌗
495750907888300033,2014-08-03 02:00:01,🌘
495388525743722496,2014-08-02 02:00:03,🌑
495026136238157824,2014-08-01 02:00:02,🌑
494663750771687426,2014-07-31 02:00:03,"oops, something went wrong"
492127035091722241,2014-07-24 02:00:03,🌒
491018978148376576,2014-07-21 00:37:01,🌓
489604237119078401,2014-07-17 02:55:21,🌔
488699362889830400,2014-07-14 14:59:42,🌕
