id,created_at,text
525951660938780672,2014-10-25 10:07:02,midge snake
525944111225139200,2014-10-25 09:37:02,duel snake
525936560186097664,2014-10-25 09:07:02,toughener snake
525929010715705344,2014-10-25 08:37:02,seesawed snake
525921459580174336,2014-10-25 08:07:01,siphons snake
525913910738579456,2014-10-25 07:37:01,rangy snake
525898809604587520,2014-10-25 06:37:01,deftness snake
525891260255436800,2014-10-25 06:07:01,soldiery snake
525883711758139393,2014-10-25 05:37:01,lobbyists snake
525876160606269441,2014-10-25 05:07:01,ssssssssssssssssssssssss
525868612977176576,2014-10-25 04:37:02,handwriting snake
525861061572837377,2014-10-25 04:07:01,adverser snake
525853514099335168,2014-10-25 03:37:02,limitation snake
525845961306681345,2014-10-25 03:07:01,tabloid snake
525838412553519104,2014-10-25 02:37:01,nickering snake
525830864333053952,2014-10-25 02:07:02,queenliest snake
525823312711385089,2014-10-25 01:37:01,divisions snake
525815765182988288,2014-10-25 01:07:02,subcompacts snake
525808213363793920,2014-10-25 00:37:01,splint snake
525800664119934976,2014-10-25 00:07:01,sambaed snake
525793116658597889,2014-10-24 23:37:02,potboiler snake
525785563136540672,2014-10-24 23:07:01,inclining snake
525778016522489856,2014-10-24 22:37:02,disputations snake
525770464338386944,2014-10-24 22:07:01,say snake
525762914113044480,2014-10-24 21:37:01,watersheds snake
525755364206473216,2014-10-24 21:07:01,fricasseed snake
525747816862588928,2014-10-24 20:37:02,speleology snake
525740268654723072,2014-10-24 20:07:02,escalations snake
525732717124939777,2014-10-24 19:37:02,disembarked snake
525725167298035712,2014-10-24 19:07:02,apes snake
525717618100297728,2014-10-24 18:37:02,fabricates snake
525710067409362944,2014-10-24 18:07:01,chuckholes snake
525702517691531264,2014-10-24 17:37:01,transcript snake
525694966669279233,2014-10-24 17:07:01,outargued snake
525687416309694464,2014-10-24 16:37:01,substructures snake
525679870047977472,2014-10-24 16:07:02,documentation snake
525672319252172800,2014-10-24 15:37:02,drawls snake
525664770176065537,2014-10-24 15:07:02,backdrops snake
525657218952482816,2014-10-24 14:37:01,ssssssssssssssssssssssssssssss
525649669012328448,2014-10-24 14:07:01,joule snake
525642118409490432,2014-10-24 13:37:01,liken snake
525634569966714881,2014-10-24 13:07:01,proclamation snake
525627019401641984,2014-10-24 12:37:01,glazed snake
525619471269261312,2014-10-24 12:07:02,hellholes snake
525611922256044033,2014-10-24 11:37:02,baguette snake
525604371523194880,2014-10-24 11:07:02,octopuses snake
525596821612412928,2014-10-24 10:37:02,jigging snake
525589270564966400,2014-10-24 10:07:01,ssssssssssssssssssssssssssssss~
525581721828597760,2014-10-24 09:37:01,dittoing snake
525574172836392960,2014-10-24 09:07:02,complaisant snake
525566623273717761,2014-10-24 08:37:02,barnstorms snake
525559071353876480,2014-10-24 08:07:01,gilding snake
525551521237573632,2014-10-24 07:37:01,contesting snake
525543973138735104,2014-10-24 07:07:01,twitchy snake
525536422716243968,2014-10-24 06:37:01,cloy snake
525528872193097729,2014-10-24 06:07:01,skulked snake
525521324954124288,2014-10-24 05:37:02,scavenger snake
525513772187009024,2014-10-24 05:07:01,treasure snake
525506223538720768,2014-10-24 04:37:01,wifely snake
525498676576538624,2014-10-24 04:07:02,doolally snake
525491126883864576,2014-10-24 03:37:02,strikebreakers snake
525483575400222720,2014-10-24 03:07:02,mismanagement snake
525476023547490304,2014-10-24 02:37:01,betaking snake
525468475591245825,2014-10-24 02:07:01,kazoos snake
525460925831446528,2014-10-24 01:37:01,killers snake
525453377812328448,2014-10-24 01:07:02,already snake
525445824441225216,2014-10-24 00:37:01,ssssssssssssssssss
525430727757017089,2014-10-23 23:37:02,perform snake
525423177070288897,2014-10-23 23:07:01,justifiably snake
525415628606537729,2014-10-23 22:37:02,freeloading snake
525400525999988736,2014-10-23 21:37:01,squawking snake
525392976865153024,2014-10-23 21:07:01,miniaturizes snake
525385427952631808,2014-10-23 20:37:01,woodsman snake
525377877081354240,2014-10-23 20:07:01,overcloud snake
525370327153795072,2014-10-23 19:37:01,hoods snake
525362777507254272,2014-10-23 19:07:01,familiarizes snake
525355228510822400,2014-10-23 18:37:01,bribery snake
525347679715729408,2014-10-23 18:07:01,rums snake
525340128274055168,2014-10-23 17:37:01,proximate snake
525332580321996801,2014-10-23 17:07:02,scratchiness snake
525325031891812352,2014-10-23 16:37:02,laminates snake
525317479623847937,2014-10-23 16:07:01,perceptual snake
525309931512414210,2014-10-23 15:37:02,gumbos snake
525302380238479361,2014-10-23 15:07:01,earthquake snake
525294829895712769,2014-10-23 14:37:01,scowls snake
525287279582257153,2014-10-23 14:07:01,twinning snake
525279733786116096,2014-10-23 13:37:02,circumstantially snake
525272180339531777,2014-10-23 13:07:01,cutouts snake
525264633930981376,2014-10-23 12:37:02,dizzy snake
525257082451550208,2014-10-23 12:07:01,seediness snake
525249532775628800,2014-10-23 11:37:01,sssssssssssssssss~
525241981820493824,2014-10-23 11:07:01,showmen snake
525234431750320128,2014-10-23 10:37:01,indicates snake
525226884800737280,2014-10-23 10:07:02,amortizations snake
525219335414226944,2014-10-23 09:37:02,woodcarvings snake
525211784572305408,2014-10-23 09:07:02,tremors snake
525204235450056704,2014-10-23 08:37:02,ascended snake
525196683794477057,2014-10-23 08:07:01,calculative snake
525189132902223872,2014-10-23 07:37:01,footlockers snake
525181584635609088,2014-10-23 07:07:01,cutesiest snake
525174036016693248,2014-10-23 06:37:02,poltergeists snake
525166487536144384,2014-10-23 06:07:02,crosspiece snake
525158934513217536,2014-10-23 05:37:01,mispronounced snake
525151386183667712,2014-10-23 05:07:01,doughtiest snake
525143837145333760,2014-10-23 04:37:02,deceitfulness snake
525136284994789377,2014-10-23 04:07:01,partly snake
525128737885794304,2014-10-23 03:37:02,mackinaw snake
525121188709015552,2014-10-23 03:07:02,absolved snake
525113637464461312,2014-10-23 02:37:01,outlaw snake
525106086014386176,2014-10-23 02:07:01,ssssssss
525098537957486592,2014-10-23 01:37:01,prevarication snake
525090988461936640,2014-10-23 01:07:02,rawest snake
525083438748278784,2014-10-23 00:37:02,diesels snake
525075888199970816,2014-10-23 00:07:01,redheads snake
525068338092064768,2014-10-22 23:37:01,headway snake
525060790576250881,2014-10-22 23:07:02,conglomerated snake
525053240250228736,2014-10-22 22:37:02,sssssssssssssssss~
525045689840320512,2014-10-22 22:07:01,palest snake
525038141363994626,2014-10-22 21:37:02,blindest snake
525030590132019200,2014-10-22 21:07:01,shorts snake
525023038405083136,2014-10-22 20:37:01,ssssss
525015492265009152,2014-10-22 20:07:02,touched snake
525007942987558912,2014-10-22 19:37:02,personalizes snake
525000392762216448,2014-10-22 19:07:02,incarcerates snake
524992841605709824,2014-10-22 18:37:01,ssssssssssssssssssssssssss
524985293301383168,2014-10-22 18:07:02,decelerates snake
524977741553479680,2014-10-22 17:37:01,metabolite snake
524970192880021504,2014-10-22 17:07:02,negligent snake
524962642956677120,2014-10-22 16:37:02,killed snake
524955093779906560,2014-10-22 16:07:02,clientèles snake
524947543403544578,2014-10-22 15:37:02,potholder snake
