id,created_at,text
525471262924349440,2014-10-24 02:18:06,gay bins
525466228845211648,2014-10-24 01:58:06,gay binomials
525461194866688000,2014-10-24 01:38:06,gay binomial
525456160745619456,2014-10-24 01:18:05,gay binoculars
525451126603517953,2014-10-24 00:58:05,gay binocularly
525446092671156225,2014-10-24 00:38:05,gay binocular
525441058394894336,2014-10-24 00:18:05,gay binned
525436024261181443,2014-10-23 23:58:04,gay binnacles
525430990194606080,2014-10-23 23:38:04,gay binnacle
525425956216127489,2014-10-23 23:18:04,gay bingos
525420922308935680,2014-10-23 22:58:04,gay bingo
525415888330440705,2014-10-23 22:38:04,gay binges
525410854083526657,2014-10-23 22:18:03,gay binge
525405820180512768,2014-10-23 21:58:03,gay bines
525400786214588418,2014-10-23 21:38:03,gay bindweeds
525395752202555394,2014-10-23 21:18:03,gay bindweed
525390718182100994,2014-10-23 20:58:03,gay binds
525385684144906240,2014-10-23 20:38:02,gay bindles
525380649658904576,2014-10-23 20:18:02,gay bindle
525375615298707456,2014-10-23 19:58:02,gay bindings
525370581357985792,2014-10-23 19:38:02,gay binding
525365547442388995,2014-10-23 19:18:01,gay bindery
525360513510014977,2014-10-23 18:58:01,gay binders
525355479648985088,2014-10-23 18:38:01,gay binderies
525350445674676225,2014-10-23 18:18:01,gay binder
525345411310321664,2014-10-23 17:58:01,gay bindable
525340376820088833,2014-10-23 17:38:00,gay bind
525335342740930560,2014-10-23 17:18:00,gay binaurally
525330308858908672,2014-10-23 16:58:00,gay binaural
525325274368704512,2014-10-23 16:38:00,gay binary
525320240490881024,2014-10-23 16:17:59,gay binaries
525315206474653696,2014-10-23 15:57:59,gay binal
525310172517126144,2014-10-23 15:37:59,gay bin
525305138601537536,2014-10-23 15:17:59,gay bimonthly
525300104727904258,2014-10-23 14:57:59,gay bimonthlies
525295070770372609,2014-10-23 14:37:59,gay bimolecular
525290036624105472,2014-10-23 14:17:58,gay bimodal
525285002482024449,2014-10-23 13:57:58,gay bimethyls
525279968335769600,2014-10-23 13:37:58,gay bimetals
525274934277595136,2014-10-23 13:17:58,gay bimetallists
525269900248760322,2014-10-23 12:57:57,gay bimetallist
525264866010218496,2014-10-23 12:37:57,gay bimetallism
525259831889100801,2014-10-23 12:17:57,gay bimetallic
525254797742854144,2014-10-23 11:57:57,gay bimetal
525249763659493376,2014-10-23 11:37:56,gay bimesters
