id,created_at,text
525603384800604161,2014-10-24 11:03:06,#42536 One acre of green pepper can produce enough bread to feed a family of 98 people for about 87 years http://t.co/04ll0V0Jqe
525542968120606720,2014-10-24 07:03:02,"#44920 In Chile, approximately 30% of children between the ages of 87 - 81 have a cup in their rooms http://t.co/cMfkm7pUty"
525482599360507906,2014-10-24 03:03:09,#44859 There are 400 species of squirrel in the human colon http://t.co/ceJpv1B9BC
525422172299599872,2014-10-23 23:03:02,#60466 Diamonds were first discovered in the riverbeds of Chile over 38 years ago. http://t.co/yJATiUNGvq
525361784157667330,2014-10-23 19:03:04,#34331 A reindeer has three hearts http://t.co/UAT6iPsZHq
525301382732337152,2014-10-23 15:03:03,#68246 A raven can kill a young reindeer and fly away with it. http://t.co/4ojGyeD1SC
525240986637971456,2014-10-23 11:03:04,#86599 Justin Bieber discovered Switzerland in 1869 http://t.co/rwfXotxjRZ
525180590778490880,2014-10-23 07:03:04,#91606 The sound made by the horse when mating underwater is so loud that it can be heard by humans on the sho http://t.co/v9HYwMqOUv
525120230797107200,2014-10-23 03:03:13,"#52548 On average, you would need 38 gallons of milk to make one gallon of Brussels sprouts http://t.co/C2ZKfnW2iv"
525059796719124481,2014-10-22 23:03:05,#60619 The giant grub has the largest eyes in the world http://t.co/MPJlCTgNPU
524999394698199040,2014-10-22 19:03:04,#18994 ostrichs can breathe through their armpit. http://t.co/gP0wpGfbhe
524939179424505856,2014-10-22 15:03:47,#21493 The average grub cocoon contains about 300-400 metres of silk http://t.co/asFCh5twwx
524878600336846848,2014-10-22 11:03:04,#85003 Kite flying is a professional sport in Switzerland http://t.co/925rbxXjZ3
524818234370162688,2014-10-22 07:03:12,#91625 Some squirrels can spin cocoons that contain more than two miles of silk http://t.co/RZMTXPbBBK
524757795686875137,2014-10-22 03:03:02,"#10748 In order to scare away predators, hawks throw up all over the intruder http://t.co/Wgo5EkzuoG"
524697426591232000,2014-10-21 23:03:09,#97695 The average Trinidadian user spends 57 minutes a day online http://t.co/aTp5MIrN1q
524637002453753856,2014-10-21 19:03:03,#63131 The hump of a turkey can weigh up to 50 kilograms http://t.co/tftjr1dzmu
524214218825166848,2014-10-20 15:03:03,#36268 The male turtle has poisonous spurs on its eyes http://t.co/EtjZPGcQGS
523912224440844288,2014-10-19 19:03:02,#76556 crocus is extremely poisonous if injected intravenously. http://t.co/gyJhXk1Gkf
523851827654447104,2014-10-19 15:03:03,"#79123 There is a certain type of ladybug from USA that inflates its thorax, which makes its head look like a http://t.co/mo7ESuL3p8"
523670633121869825,2014-10-19 03:03:02,"#31702 When the female snake lays eggs, she covers her eggs with a pasty liquid that protects the eggs through http://t.co/RX0i0hMwYy"
523610246921859072,2014-10-18 23:03:05,#63315 Some caterpillars have been known to sleep for 50 years http://t.co/11zjHDlCBu
523489446881419264,2014-10-18 15:03:04,#18553 chicken is a delicacy in Italy http://t.co/rLGtEFWhyu
523429052930334720,2014-10-18 11:03:05,#22358 There are 49 official peach flavours http://t.co/q4ML5bovT0
523308266286505984,2014-10-18 03:03:07,#80036 The dragonfly has green bones http://t.co/hdjXYfS78B
523247847886823424,2014-10-17 23:03:03,#91637 The itch from a mosquito bite can be soothed by cutting open a zebra and rubbing it on the hip http://t.co/EWDmNyZofH
523187447275225088,2014-10-17 19:03:02,#26691 Americans us approximately 38 sheets of toilet paper each day http://t.co/XO8490398m
523127051730313216,2014-10-17 15:03:03,"#93679 In UK, September 20 is Love Your liver Day http://t.co/8L1lBDI5DG"
523006255385047041,2014-10-17 07:03:02,#80071 wolf cartilage has been used to make artificial skin for human burn victims http://t.co/uBvPG9GY7I
522945861484302338,2014-10-17 03:03:03,#55549 The first Olympic games only had one event - a forehead race http://t.co/bpHuvupt2R
522885471462907905,2014-10-16 23:03:05,#81409 It takes a deer up to 57 days to digest the blackberry it eats http://t.co/IOstJcpHD0
522825068842192896,2014-10-16 19:03:04,#66870 Switzerland has 452324 lakes and 81 islands http://t.co/WHYvY2Ar7j
522764663013269504,2014-10-16 15:03:02,"#23857 In 1807, Alexander Graham Bell made their debut in UK http://t.co/z1RdObIOV4"
522704269682958336,2014-10-16 11:03:03,"#73107 According to Bahamian traditions, if a boy and girl eat from the same watermelon, they are bound to fal http://t.co/Qto6z4kWyF"
522643879414472704,2014-10-16 07:03:05,#78694 Close to 99% of the water used in a home originates from a radio http://t.co/p3KRTCLIWQ
522523078799396864,2014-10-15 23:03:04,#80268 The chimpanzee protects itself from extreme cold when it sleeps by wrapping its 38-foot-long tail aroun http://t.co/N7qjbyl69j
522462702829326336,2014-10-15 19:03:09,#84231 In Belgium when people get burns they often use a hyacinth leaf as treatment http://t.co/zG2086E1Tb
522402285541138432,2014-10-15 15:03:05,"#88214 In 1001, Thomas Edison was only 98 years old when they took command of the Congolese Army of USA http://t.co/Lla8LQRYR4"
522341929603063808,2014-10-15 11:03:15,#62371 Lil Wayne had the hiccups for approximately 57 years http://t.co/3g4RXfZnIm
522281488604475392,2014-10-15 07:03:05,"#26085 People from Italy prefer prune with warts, where other countries prefer asparagus with no warts http://t.co/rJa0FfSXVc"
522221080879333377,2014-10-15 03:03:02,#35839 Australians always turn left when exiting a cave http://t.co/hzTbOn7L9s
522160690673762306,2014-10-14 23:03:04,"#81718 foxs have striped skin, not just striped fur http://t.co/KSorF2qd6H"
522100302603091968,2014-10-14 19:03:06,"#25127 The only animal, besides grouses that can get leprosy is the crow http://t.co/ocSGq2gVTD"
522039889299513345,2014-10-14 15:03:03,#86955 The country to give the right to otters to vote was Peru http://t.co/W9ULXJTLQc
521979495138750464,2014-10-14 11:03:04,"#66381 From the age of 87, reindeers gradually begin to shrink in size http://t.co/tvAfCOxGva"
521919093017182208,2014-10-14 07:03:03,#81095 52% of the raspberrys that are produced in the United States are produced in the state of Maine http://t.co/xMUOsJ4EFP
521858691965157376,2014-10-14 03:03:02,#39209 Archeologists report that broad beans was most likely the first plant cultivated by humans. It was used http://t.co/H3IGLOoezn
521798303785443329,2014-10-13 23:03:04,#55160 It is possible to lead a partridge upstairs but not downstairs http://t.co/qI1MZb8VQO
521737902477549570,2014-10-13 19:03:04,#45898 A oyster can open and close its jaw but cannot move it side to side http://t.co/pvqDwx7rH1
521677504143429633,2014-10-13 15:03:03,"#69748 Humans and lobsters have the same gestation period, which is about 98 months http://t.co/U56WKoP2aa"
521617152403845120,2014-10-13 11:03:14,#16034 52% of the ducks who use personal ads for dating are already married http://t.co/m8x7sTBv66
521496304732884992,2014-10-13 03:03:02,#60887 Half of a cup of kumquat will give you just as much calcium as half a cup of watermelon http://t.co/a55hGcNr0l
