id,created_at,text
525476716979171328,2014-10-24 02:39:46,@brianshumate PIRANHAS FOR THE PIRANHA GOD! MEATSPACES FOR THE MEATSPACE QUEEN
525475723147227136,2014-10-24 02:35:49,@vocalip INTEGRATORS FOR THE INTEGRATOR GOD
525475710098763776,2014-10-24 02:35:46,@GrahamWJenkins FLYERS UNTO THE FLYER GOD! POLITICOS FOR THE POLITICO GODDESS
525474912925147136,2014-10-24 02:32:36,@abenmitchell UNIS FOR THE UNI GOD! DIDDLIES FOR THE DIDDLY PRESIDENT
525474912618971136,2014-10-24 02:32:36,@mathpunk BADASSES UNTO THE BADASS THRONE! MOHAWKS FOR THE MOHAWK QUEEN
525474866284470272,2014-10-24 02:32:25,@kellybergstrom SPACESHIPS FOR THE SPACESHIP GOD! TROPES FOR THE TROPE LORD
525466207592656896,2014-10-24 01:58:01,@drcab1e RUNES FOR THE RUNE GOD
525460726786588673,2014-10-24 01:36:14,@muffinista NAGGING FOR THE NAGGING GOD
525460631068352512,2014-10-24 01:35:51,@smoochbot PLATINUMS FOR THE PLATINUM GOD
525460491184128000,2014-10-24 01:35:18,@DiscourseMarker BOTS FOR THE BOT GOD! TWEETING UNTO THE TWEETING LORD
525460174228951040,2014-10-24 01:34:02,@paultag WIFIS FOR THE WIFI GOD
525460109150126081,2014-10-24 01:33:47,@vruba IRS UNTO THE IR THRONE
525459998617636864,2014-10-24 01:33:20,@hoobdeebla NODES FOR THE NODE GOD
525459850013474816,2014-10-24 01:32:45,@natematias DATASETS FOR THE DATASET GOD
525459814022148096,2014-10-24 01:32:36,@FangzV BROS FOR THE BRO GOD! ENTIRETIES FOR THE ENTIRETY THRONE
525459797903409153,2014-10-24 01:32:33,@ElSaborAsiatico SELFIES FOR THE SELFIE THRONE! IOS UNTO THE IOS THRONE
525459525529526274,2014-10-24 01:31:28,@perich THIRST FOR THE THIRST THRONE
525459277784567808,2014-10-24 01:30:29,@AlabasterC ALTOS FOR THE ALTO GOD! CARTERS FOR THE CARTER SALAD
525459164387344386,2014-10-24 01:30:02,@estoner FREESTYLES FOR THE FREESTYLE LORD
525458897088573440,2014-10-24 01:28:58,@SpinEngine BEEPS FOR THE BEEP GOD
525458464408367104,2014-10-24 01:27:15,@Leonardo_UPRM GORGES FOR THE GORGE GOD
525444557451063296,2014-10-24 00:31:59,@infotroph SINGLETONS UNTO THE SINGLETON GOD! SOCKS FOR THE SOCK THRONE
525444536022343682,2014-10-24 00:31:54,@baniak LOGANS FOR THE LOGAN GOD
525444279196745728,2014-10-24 00:30:53,@Interdome GOTHS FOR THE GOTH GOD
525444234003103744,2014-10-24 00:30:42,@CoachZem CONES UNTO THE CONE GOD! SYMPOSIA FOR THE SYMPOSIUM THRONE
525444006529236994,2014-10-24 00:29:48,@meowrobot EXPLORERS FOR THE EXPLORER GOD! DEVS FOR THE DEV THRONE
525443543381581824,2014-10-24 00:27:57,@macgirl84 BOING FOR THE BOING GOD
525443001339092993,2014-10-24 00:25:48,@thenewnumbertwo HEXES FOR THE HEX GOD
525431253550784512,2014-10-23 23:39:07,@bibliogrrl FORTS FOR THE FORT GOD
525431182713188352,2014-10-23 23:38:50,@drhypercube LUXES FOR THE LUX GOD
525430749563203584,2014-10-23 23:37:07,@nullvoids 🙏 🙏  FOR THE 🙏  GOD! FIVES UNTO THE FIFE THRONE
525430288890220546,2014-10-23 23:35:17,@IdaOlson HITMEN FOR THE HITMAN THRONE! MOBSTERS FOR THE MOBSTER THRONE
525430144757149697,2014-10-23 23:34:43,@emacsbro BRUCES FOR THE BRUCE GOD! VANDALS FOR THE VANDAL CORPORATION
525429977916137472,2014-10-23 23:34:03,@phooky TRONS FOR THE TRON GOD
525429947691991040,2014-10-23 23:33:56,@Jstn9 CAYS FOR THE CAY GOD
525429584976949248,2014-10-23 23:32:29,@saqeram CASSAVAS FOR THE CASSAVA GOD! ARROWROOTS FOR THE ARROWROOT THRONE
525429173054369792,2014-10-23 23:30:51,@vehementverve HIPPIES UNTO THE HIPPY GOD
525417888493363200,2014-10-23 22:46:01,@Uastis YELLS FOR THE YELL GOD
525414146549227520,2014-10-23 22:31:08,@mattlaschneider LABORERS FOR THE LABORER GOD
525414083563376640,2014-10-23 22:30:53,@j_c_fitz BOWERIES FOR THE BOWERY GOD
525414075434795010,2014-10-23 22:30:51,@coreyhaines RECORDERS FOR THE RECORDER GOD
525413729497001986,2014-10-23 22:29:29,@shawn22mathew INFOGRAPHICS FOR THE INFOGRAPHIC THRONE
525413625318895616,2014-10-23 22:29:04,@nozoxypiziru RETROS FOR THE RETRO GODDESS! PACS FOR THE PAC THRONE
525413533300039680,2014-10-23 22:28:42,@parvitude RUN-TIME FOR THE RUN-TIME GODDESS! DEGRADATIONS FOR THE DEGRADATION THRONE
525413163328872448,2014-10-23 22:27:14,@chrxstella ACADS FOR THE ACAD PRESIDENT
525413130630103040,2014-10-23 22:27:06,@jesseGlacken STITCHES FOR THE STITCH GOD
525413090616438784,2014-10-23 22:26:57,@GameappMakerCo GATERS UNTO THE GATER GOD! SELF-DEFENCES UNTO THE SELF-DEFENCE QUEEN
525398217916448768,2014-10-23 21:27:51,@Grathio MASONS FOR THE MASON GOD
525398008075403265,2014-10-23 21:27:01,@wisdead_ebooks PUDDLES UNTO THE PUDDLE GOD
525397920833888256,2014-10-23 21:26:40,@LilFatBuddy VOICEMAIL FOR THE VOICEMAIL GOD
525397389847592960,2014-10-23 21:24:33,@sevensixfive VIEWPOINTS FOR THE VIEWPOINT GOD
525397247794876417,2014-10-23 21:23:59,@robwierzbowski SASSES FOR THE SASS GOD
525397129540681728,2014-10-23 21:23:31,@jurph RINSES FOR THE RINSE GOD! SOUVENIRS UNTO THE SOUVENIR THRONE
525397061676851200,2014-10-23 21:23:15,@zLFOBz NICKS FOR THE NICK GOD
525396799444774912,2014-10-23 21:22:13,@_cgag INCANTATIONS FOR THE INCANTATION GOD! CABALS FOR THE CABAL FIEND
525396235294109696,2014-10-23 21:19:58,@starfieldphan 👻 👻 👻 👻 👻  FOR THE 👻  BLOB! 🎃 🎃 🎃  FOR THE 🎃  PRESIDENT
525392730319753217,2014-10-23 21:06:02,@bromure WHOMPS FOR THE WHOMP MONSTER! MIDTERMS FOR THE MIDTERM GODDESS
525389592296685569,2014-10-23 20:53:34,@AlanGarnerfans DOUGHNUTS FOR THE DOUGHNUT GOD! TWINKIES FOR THE TWINKIE QUEEN
525382388839641089,2014-10-23 20:24:57,@professorlemeza YELLS FOR THE YELL GOD
525381506655870976,2014-10-23 20:21:26,@uselessfuckhole 110%S FOR THE 110% GOD
525381463471300609,2014-10-23 20:21:16,@rumpraft PUMPKINS FOR THE PUMPKIN GOD
525380215623942144,2014-10-23 20:16:19,@BASEDSKEETER TIMOTHIES FOR THE TIMOTHY GOD
525380196330123265,2014-10-23 20:16:14,@HASTS_MIT WILDERNESS FOR THE WILDERNESS FIEND
525380157721567232,2014-10-23 20:16:05,@fortpedro EXPLORERS FOR THE EXPLORER GOD
525379737754275841,2014-10-23 20:14:25,@BStinsonPage SHOVES FOR THE SHOVE GOD
525378862763769857,2014-10-23 20:10:56,@15c3PO JOS FOR THE JO GOD
525356099571286018,2014-10-23 18:40:29,@kb COWORKERS FOR THE COWORKER GOD
525355759601975296,2014-10-23 18:39:08,@misskeli AVATARS FOR THE AVATAR GOD! POPPING FOR THE POPPING THRONE
525355603204788224,2014-10-23 18:38:31,@gsvoss STAKEHOLDERS FOR THE STAKEHOLDER GOD
525355386162147329,2014-10-23 18:37:39,@jkleske FIREWALLS FOR THE FIREWALL GOD
525355143374864385,2014-10-23 18:36:41,@__PUBLICservant HEEDS TO THE HEED GOD
525355112118890497,2014-10-23 18:36:34,@bakedalaska CHEMOS FOR THE CHEMO GOD
525354882669490177,2014-10-23 18:35:39,@_robertlowell PIMPS FOR THE PIMP GOD
525354066692812801,2014-10-23 18:32:24,@badwolfalyssa THICKNESS FOR THE THICKNESS GOD! RADIUSES FOR THE RADIUS QUEEN
525328647780335618,2014-10-23 16:51:24,@janicedillard CHRISTIES FOR THE CHRISTIE GOD
525327911419916288,2014-10-23 16:48:28,@tthebatman RIBS FOR THE RIB GOD! PENGUINS FOR THE PENGUIN THRONE
525327510142484481,2014-10-23 16:46:53,@Orihaus REACTIONARIES FOR THE REACTIONARY GOD
525327399907778560,2014-10-23 16:46:26,@ZombieDaisuke COSPLAYS FOR THE COSPLAY GOD! MORGANS FOR THE MORGAN CAT
