id,created_at,text
255890535745744897,2012-10-10 04:40:32,"PLIC, PLIC, PLIC, PLIC, PLIC, PLIC, PLIC"
255558484404346880,2012-10-09 06:41:05,"PLIC, PLIC, PLIC, PLIC, PLIC, PLIC, PLIC"
255216417836761088,2012-10-08 08:01:50,"PLIC. PLIC, PLIC"
254883999481204737,2012-10-07 10:00:55,"PLIC, PLIC"
254546744241700864,2012-10-06 11:40:47,"PLIC. PLIC, PLIC"
254214626747764736,2012-10-05 13:41:04,"PLIC, PLIC"
253872268164341760,2012-10-04 15:00:40,"PLIC, PLIC"
253525311495483392,2012-10-03 16:01:59,"PLIC, PLIC, PLIC, PLIC, PLIC"
253192751116587010,2012-10-02 18:00:30,"PLIC, PLIC, PLIC, PLIC, PLIC, PLIC, PLIC"
252855726089854976,2012-10-01 19:41:17,"PLIC, PLIC, PLIC, PLIC, PLIC"
252513428936204291,2012-09-30 21:01:07,"PLIC, PLIC, PLIC, PLIC, PLIC, PLIC"
252181020093325313,2012-09-29 23:00:15,"PLIC, PLIC, PLIC, PLIC, PLIC, PLIC"
251834059662180352,2012-09-29 00:01:33,"PLIC. PLIC, PLIC"
251501676190638083,2012-09-28 02:00:46,PLIC
251154655034347520,2012-09-27 03:01:50,"PLIC, PLIC, PLIC, PLIC, PLIC, PLIC"
250822119066324992,2012-09-26 05:00:27,"PLIC. PLIC, PLIC"
250475118264987649,2012-09-25 06:01:36,"PLIC. PLIC, PLIC"
250137958223605761,2012-09-24 07:41:51,"PLIC, PLIC, PLIC, PLIC"
249795477976006656,2012-09-23 09:00:57,"PLIC, PLIC, PLIC, PLIC, PLIC"
249458464991088640,2012-09-22 10:41:47,"PLIC, PLIC, PLIC, PLIC, PLIC, PLIC"
249108581306232832,2012-09-21 11:31:28,"PLIC, PLIC, PLIC, PLIC, PLIC, PLIC, PLIC"
248768765163106304,2012-09-20 13:01:10,"PLIC, PLIC, PLIC, PLIC"
248421449776369664,2012-09-19 14:01:03,"PLIC, PLIC, PLIC, PLIC, PLIC"
248081496836038656,2012-09-18 15:30:12,"PLIC, PLIC, PLIC, PLIC, PLIC"
