id,created_at,text
503006977866227712,2014-08-23 02:33:03,The Necrotizing Informations
503005971174531072,2014-08-23 02:29:03,The Majoritarian Humanism
503004969940025345,2014-08-23 02:25:04,Glenn and the Animadverting Verity
503003957816348672,2014-08-23 02:21:03,The Eventuating Occupation
503002951309221888,2014-08-23 02:17:03,Rwanda and the Readers
503001944726577152,2014-08-23 02:13:03,Mutiny Interferer
503000937951027200,2014-08-23 02:09:03,Klingon and the Paralysises
502999931464871936,2014-08-23 02:05:03,The Miscarrying Shipments
502998924907405312,2014-08-23 02:01:03,RKTRKRYSTLZR (Rector Crystalizer)
502997920317059073,2014-08-23 01:57:04,Bestiality Thresholds
502996911670849536,2014-08-23 01:53:03,Timor and the Deflections
502995905075609601,2014-08-23 01:49:03,The Genteel Naturalism
502994898270707713,2014-08-23 01:45:03,Fastness Emerger
502993891750969345,2014-08-23 01:41:03,The Unipolar Convergences
502992886141816833,2014-08-23 01:37:03,Mississippi and the Tonnages
502991879328501760,2014-08-23 01:33:03,The Compromising Darkness
502990874133790720,2014-08-23 01:29:04,The Peart Hunkers
502989865437249536,2014-08-23 01:25:03,The Promoters
502988858674274305,2014-08-23 01:21:03,CRSTYVGTTR (Curiosity Vegetater)
502987852116787201,2014-08-23 01:17:03,Inferno Emerger
502986845496422400,2014-08-23 01:13:03,Boomerang
502985839866290176,2014-08-23 01:09:03,Stamina Effervescer
502984832410873856,2014-08-23 01:05:03,The Depending Tunics
502983825819840512,2014-08-23 01:01:03,The Ontology
502982821082693633,2014-08-23 00:57:04,The Epicure
502981813225402370,2014-08-23 00:53:03,The Linemans
502980806101311488,2014-08-23 00:49:03,Angler Stance
502979799237656576,2014-08-23 00:45:03,Leicestershire and the Residencies
502978792751501312,2014-08-23 00:41:03,Dartmouth and the Fulfilling Dolphin
502977786164674561,2014-08-23 00:37:03,The Vacillating Lockups
502976780299673601,2014-08-23 00:33:03,The Discussable Irradiations
502975772865224704,2014-08-23 00:29:03,Democrat and the Peculiarities
502974766647504896,2014-08-23 00:25:03,The Resiling Parchment
502973759637028864,2014-08-23 00:21:03,The Jaguar
502972753029234688,2014-08-23 00:17:03,The Satire
502971746358534145,2014-08-23 00:13:03,Colophon
502970739863982080,2014-08-23 00:09:03,The Subsiding Learnings
502969736217767937,2014-08-23 00:05:04,The Twister
502968726883299328,2014-08-23 00:01:03,The Emerging Sheepskins
502967723693834240,2014-08-22 23:57:04,The Wetnesses
502966713487347712,2014-08-22 23:53:03,The Cashews
502965706929872896,2014-08-22 23:49:03,The Oscillating Lining
502964700154327041,2014-08-22 23:45:03,Watchword Interferer
502963694280531970,2014-08-22 23:41:03,The Well-kept Plausibilities
502962686959681538,2014-08-22 23:37:03,Affinity Misdemeanor
502961680419008512,2014-08-22 23:33:03,The Stray Vista
502960674684022786,2014-08-22 23:29:04,The Innutritious Tracker
502959669011550208,2014-08-22 23:25:04,The Beautified Swoon
502958660515946497,2014-08-22 23:21:03,The Crystalizing Lockup
502957654122057728,2014-08-22 23:17:03,Eloise and the Nutritions
502956647413587968,2014-08-22 23:13:03,Immensity Verdure
502955641791840256,2014-08-22 23:09:04,Madras and the Intoxications
502954634776834048,2014-08-22 23:05:04,Bureau Nations
502953383112605697,2014-08-22 23:00:05,Countess Inspection
502952361199804416,2014-08-22 22:56:01,The Presiding Jungles
502951354587836416,2014-08-22 22:52:01,Cumberland and the Tubers
502950347996807168,2014-08-22 22:48:02,The Ordinations
502949341217042432,2014-08-22 22:44:01,Detachment Monad
502948334701539328,2014-08-22 22:40:01,Fluctuation
502947328085344256,2014-08-22 22:36:01,Carnivore
502946321716637697,2014-08-22 22:32:02,Inlet Railways
502945314982993921,2014-08-22 22:28:02,The Heraldic Parlour
502944310833057792,2014-08-22 22:24:02,Bilbao and the Abounding Omission
502943305077116928,2014-08-22 22:20:02,Mistletoe
502942295117672449,2014-08-22 22:16:02,Hyacinth Spider
502941289000607746,2014-08-22 22:12:02,The Nepotistic Purification
502940281797230592,2014-08-22 22:08:02,Labyrinth
502939275218800640,2014-08-22 22:04:02,The Coating
502938269286289410,2014-08-22 22:00:02,Air Force and the Sealers
502937262200340480,2014-08-22 21:56:02,Charlene and the Decamping Vivacity
502936255416377344,2014-08-22 21:52:02,The Recognising Oblivion
502935248791822336,2014-08-22 21:48:02,The Residing Graftings
502934243568549888,2014-08-22 21:44:02,The Behemoths
502933236801351680,2014-08-22 21:40:02,The Pertainning Intellects
502932231166656515,2014-08-22 21:36:02,Totter Backpedaller
502931223267016705,2014-08-22 21:32:02,The Faction
502930215706718208,2014-08-22 21:28:02,Anathema
502929210265317377,2014-08-22 21:24:02,The Vegetating Carpetbaggers
502928202688262144,2014-08-22 21:20:02,Deputy
502927198014025728,2014-08-22 21:16:02,Norah and the Umbrages
502926190261596160,2014-08-22 21:12:02,Dickens and the Presiding Navigator
502925182667722757,2014-08-22 21:08:02,The Recognising Visibility
502924176408051714,2014-08-22 21:04:02,The Miscarrying Requiems
502923169565376516,2014-08-22 21:00:02,Goddess and the Ribbings
502922163041480705,2014-08-22 20:56:02,Counterpart Dissipations
502921156291080193,2014-08-22 20:52:02,Snapper Tornado
502920150707081216,2014-08-22 20:48:02,The Envoys
502919143071301635,2014-08-22 20:44:02,The Capitalising Hermitages
502918137096855558,2014-08-22 20:40:02,The Superfluity
502917130019295232,2014-08-22 20:36:02,The Recognising Watchdog
502916124288487425,2014-08-22 20:32:02,The Pertainning Spectacles
502915116807897089,2014-08-22 20:28:02,The Incubator
