id,created_at,text
525478940727472128,2014-10-24 02:48:37,@AhoyCaptainCay i know rite?
525478854115487744,2014-10-24 02:48:16,@AhoyCaptainCay I know right?
525476799312953345,2014-10-24 02:40:06,@PTK473 i know rite?
525475994765774849,2014-10-24 02:36:54,@negatendo i know rite?
525475743585693696,2014-10-24 02:35:54,@RobloxCommander i know rite?
525471749249695746,2014-10-24 02:20:02,@coolbot420 i know rite?
525466736762441729,2014-10-24 02:00:07,@WutDaFact I know right?
525464237242462208,2014-10-24 01:50:11,@RobloxCommander I know right?
525461597066522624,2014-10-24 01:39:42,@PTK473 I know right?
525454397799956481,2014-10-24 01:11:05,@MysteryMan85_R i know rite?
525453714619121664,2014-10-24 01:08:22,@WutDaFact i know rite?
525449820543385601,2014-10-24 00:52:54,@AndresMcAvoy1 I know right?
525448906038329345,2014-10-24 00:49:16,@CoinsForToads I know right?
525448195644874752,2014-10-24 00:46:26,@kidzbopyaoi I know right?
525441598432481281,2014-10-24 00:20:13,@kidzbopyaoi i know rite?
525437667845361665,2014-10-24 00:04:36,@CPVideoMaker i know rite?
525436206545645568,2014-10-23 23:58:48,@RobloxCommander i know rite?
525428973187371009,2014-10-23 23:30:03,@DoUKnowThiss i know rite?
525428046753312768,2014-10-23 23:26:22,@WAY310 i know rite?
525424840896172032,2014-10-23 23:13:38,@Randowmeak12CP I know right?
525422800618921984,2014-10-23 23:05:32,@DoUKnowThiss I know right?
525422124266057728,2014-10-23 23:02:50,@PlusLolrandom I know right?
525421429479997440,2014-10-23 23:00:05,@WutDaFact i know rite?
525420034144092162,2014-10-23 22:54:32,@dj1376_RBX i know rite?
525416494923268097,2014-10-23 22:40:28,@PlusLolrandom i know rite?
525415067526123520,2014-10-23 22:34:48,@RobloxCommander I know right?
525413474613342209,2014-10-23 22:28:28,@MysteryMan85_R i know rite?
525412923423096832,2014-10-23 22:26:17,@MysteryMan85_R I know right?
525404871424741377,2014-10-23 21:54:17,@PTK473 I know right?
525401230831808515,2014-10-23 21:39:49,@RobloxCommander i know rite?
525400555687247872,2014-10-23 21:37:08,@AhoyCaptainCay i know rite?
525394386822397952,2014-10-23 21:12:37,@sugar_rf I know right?
525391224141000706,2014-10-23 21:00:03,@DoUKnowThiss I know right?
525383684980211712,2014-10-23 20:30:06,@WutDaFact i know rite?
525380735591800834,2014-10-23 20:18:23,@YoshiFan13 I know right?
525378533968072704,2014-10-23 20:09:38,@PlusLolrandom i know rite?
525374139327332352,2014-10-23 19:52:10,@czircon i know rite?
525371295673102337,2014-10-23 19:40:52,@PlusLolrandom I know right?
525364817205669889,2014-10-23 19:15:07,@howaboutnoo_ I know right?
525363901945610240,2014-10-23 19:11:29,@InaLindaCp I know right?
525363169867599873,2014-10-23 19:08:35,@Randowmeak12CP i know rite?
525360133334122497,2014-10-23 18:56:31,@thatbitchlando I know right?
525360045069205504,2014-10-23 18:56:10,@thatbitchlando i know rite?
525356097964871681,2014-10-23 18:40:29,@CoinsForToads i know rite?
525350951490977792,2014-10-23 18:20:02,@coolbot420 I know right?
525340973476237313,2014-10-23 17:40:23,@CoinsForToads I know right?
525338379307995136,2014-10-23 17:30:04,@DoUKnowThiss I know right?
525335852265005056,2014-10-23 17:20:02,@coolbot420 i know rite?
525329130141667329,2014-10-23 16:53:19,@EnderBolt i know rite?
525324668513710080,2014-10-23 16:35:35,@muffinista I know right?
525323289455910912,2014-10-23 16:30:06,@WutDaFact i know rite?
525322255518027777,2014-10-23 16:26:00,@YoshiFan13 i know rite?
525317343816466433,2014-10-23 16:06:29,@darby_smurf i know rite?
525314039480451073,2014-10-23 15:53:21,@thatbitchlando i know rite?
525310868842479618,2014-10-23 15:40:45,@mannan4real I know right?
525307337691508737,2014-10-23 15:26:43,@CPVideoMaker I know right?
525295068425363456,2014-10-23 14:37:58,@EnderBolt I know right?
525293079482220545,2014-10-23 14:30:04,@DoUKnowThiss I know right?
