id,created_at,text
526224033247813634,2014-10-26 04:09:20,"spring breeze--
three ride the same horse
home ~~ daily #haiku by Issa http://t.co/AMtYulEVXs"
525861660867567616,2014-10-25 04:09:24,"irises on the eaves--
before they shrivel
to bed I go ~~ daily #haiku by Issa http://t.co/3cVEtBA077"
525499266542743552,2014-10-24 04:09:23,"a sumo wrestler
makes it blow...
autumn wind ~~ daily #haiku by Issa http://t.co/gQtOqqUMdY"
525136885174132736,2014-10-23 04:09:24,"heat shimmers--
chasing the village crow
with a hoe ~~ daily #haiku by Issa http://t.co/OrMOV6dJuu"
524774500705914880,2014-10-22 04:09:25,"getting used to drinking
the horse's water...
a pheasant ~~ daily #haiku by Issa http://t.co/KUEZBHq9pZ"
524412114249609216,2014-10-21 04:09:25,"a man of liesure
lazily sprawls...
shadow of new leaves ~~ daily #haiku by Issa http://t.co/d3biu7MW43"
524049745757474816,2014-10-20 04:09:30,"with the silver dew
flowing along
mountain town ~~ daily #haiku by Issa http://t.co/0FelVnyMuE"
523687338245763072,2014-10-19 04:09:25,"first snowfall--
early morning at my gate
a beggar ~~ daily #haiku by Issa http://t.co/CV3TTcuD6R"
523324958542684160,2014-10-18 04:09:27,"""If you're gonna blow
winter wind, then blow!'
Sumida River ~~ daily #haiku by Issa http://t.co/nUI4TnZt4B"
522962569359663104,2014-10-17 04:09:27,"the coastal wall--
camellias
in bloom ~~ daily #haiku by Issa http://t.co/INRYmv4mve"
522600189836533760,2014-10-16 04:09:29,"crushing the year's
first mushroom...
the laughing child ~~ daily #haiku by Issa http://t.co/mUzHMJres3"
522237799601168385,2014-10-15 04:09:28,"deutzia blossoms--
by lantern light
I bury the frog ~~ daily #haiku by Issa http://t.co/hFAxn4cLWF"
522009702117289984,2014-10-14 13:03:06,"same color
as the clear blue sky...
parasol ~~ daily #haiku by Issa http://t.co/RuigAEIhQw"
521637972521672704,2014-10-13 12:25:58,"begging actors at the gate--
pigeons and sparrows
in a row ~~ daily #haiku by Issa http://t.co/E03WYOnGsA"
521301086422855680,2014-10-12 14:07:18,"the stonecutter
chop-chops the mountain...
winter moon ~~ daily #haiku by Issa http://t.co/RuigAEIhQw"
