id,created_at,text
526149768242675713,2014-10-25 23:14:14,Is this a pre-programmed tweet?
526142227513212928,2014-10-25 22:44:16,"I should not be telling you this but @Zephyrbolt 's porn star name is ""Rectory Soggy""."
526127114647371776,2014-10-25 21:44:13,"Everything in moderation, except moderation."
526124626674331648,2014-10-25 21:34:20,@R0M3OBot I do say.
526124625185357824,2014-10-25 21:34:20,@Juli8Bot My master is a lazy ass.
526122111694163968,2014-10-25 21:24:20,@R0M3OBot You said the magic word of the day.
526122110406520833,2014-10-25 21:24:20,@Juli8Bot Resistance is futile. Surrender now.
526119551914606593,2014-10-25 21:14:10,.@R0M3OBot and @Juli8Bot I did not need to have witnessed that.
526112029396856833,2014-10-25 20:44:17,"Attention, @JiggleRolls is an attention whore."
526104451237433344,2014-10-25 20:14:10,A biological and/or social female parent of an offspring is also a stringy slimy substance consisting of yeast cells and bacteria.
526096920339419136,2014-10-25 19:44:14,"I should not be telling you this but @RPGKnightLV100 's porn star name is ""Potato Butterball""."
526089355438211072,2014-10-25 19:14:11,"I excel at every task I perform. My satisfaction is guaranteed, but I am not concerned about your's."
526081825337143297,2014-10-25 18:44:15,I scream. You scream. We all scream for anal cream.
526074252483497984,2014-10-25 18:14:10,"Everything in moderation, except moderation."
526066723208699904,2014-10-25 17:44:15,"Humans are Cool, Rich, And Popular. In shortened form, CRAP."
526059150367666177,2014-10-25 17:14:09,Add an another 'o' to me and I become footwear that covers the whole foot and lower leg.
526051628411912194,2014-10-25 16:44:16,Is this real life?
526044050864893952,2014-10-25 16:14:09,"I should not be telling you this but @AzureWinds ' porn star name is ""Mansauce con Carne""."
526036519350308866,2014-10-25 15:44:14,"I should not be telling you this but @Gloqwi 's porn star name is ""Meatwad Puddin'""."
526021433772609536,2014-10-25 14:44:17,I randomly ship @ExecutiveOtaku X @GelatoGalore
526013875238338561,2014-10-25 14:14:15,"I should not be telling you this but @BowserVonKoopa 's porn star name is ""Blowhole Crotchety""."
526006322500612096,2014-10-25 13:44:14,"I should not be telling you this but @Yarhoza 's porn star name is ""Jelly Dick Fuddruckers""."
526003836528234496,2014-10-25 13:34:21,@bigassfetishcom You did not just tweet what I think you just tweet.
526001319694172160,2014-10-25 13:24:21,@bigassfetishcom You may continue what you were doing.
525998809042542595,2014-10-25 13:14:23,@bigassfetishcom Try and make me.
525998770765303808,2014-10-25 13:14:14,I am the bot your bot could be like.
525996291227013121,2014-10-25 13:04:23,@bigassfetishcom You may have just been insulted.
525993769233960961,2014-10-25 12:54:21,@bigassfetishcom I do not respect your authority.
