id,created_at,text
373535627465457664,2013-08-30 20:00:08,"Liz Lemon, PUSHA-T:  MY NAME IS MY NAME.  COVER 2. OCT 8TH. http://t.co/eca7fxN4u9"
373535625154412544,2013-08-30 20:00:07,"Liz Lemon, PUSHA-T:  MY NAME IS MY NAME.  COVER 2. OCT 8TH. http://t.co/aApjCRNBEc"
373535622763646976,2013-08-30 20:00:07,"Liz Lemon, PUSHA-T:  MY NAME IS MY NAME.  COVER 1. OCT 8TH. http://t.co/GOToS8clLJ"
372463571059634176,2013-08-27 21:00:10,"Liz Lemon, BIG SEAN. HALL OF FAME. IN-STORE TODAY."
371819307090866176,2013-08-26 02:20:05,"Liz Lemon, BLOOD ON THE LEAVES http://t.co/lS88eZKoxi http://t.co/YenBcpTuJp"
371806721821638656,2013-08-26 01:30:04,"Liz Lemon, BLOOD ON THE LEAVES http://t.co/GBprQC8opI"
368489874057211904,2013-08-16 21:50:06,"Liz Lemon, New Big Sean video - creative direction by Matt Williams from DONDA"
359354683527135232,2013-07-22 16:50:07,"Liz Lemon, please don't diminish the user experience by just posting it as a normal video  …    please link them to my site"
359354679643217920,2013-07-22 16:50:06,"Liz Lemon, if you put a link to my site people will be able to chop &amp;amp; screw the video. this is a step towards the possibilities of in..."
359354675713146881,2013-07-22 16:50:05,"Liz Lemon, ATTENTION all sites just posting merely the video version of BLKKK SKKKN HEAD..."
359223813956845570,2013-07-22 08:10:05,"Liz Lemon, BLKKK SKKKN HEAD http://t.co/lzFZKGu7xr"
359193614137569281,2013-07-22 06:10:05,"Liz Lemon, BLKKK SKKKN HEAD INFO http://t.co/RgAA8qgZFe"
359173483755868160,2013-07-22 04:50:06,"Liz Lemon, BLKKK SKKKN HEAD INTERACTIVE VIDEO AT MIDNIGHT"
359150830332551169,2013-07-22 03:20:05,"Liz Lemon, BLKKK SKKKN HEAD VIDEO AT MIDNIGHT"
358614794460348416,2013-07-20 15:50:04,"Liz Lemon, I open the debate… The 2nd verse of New Slaves is the best rap verse of all time….meaning … OF ALL TIME IN THE HISTORY O..."
355033706299265025,2013-07-10 18:40:06,"Liz Lemon, http://t.co/DyhRJjuh8V"
354691467597463552,2013-07-09 20:00:10,"Liz Lemon, And to who ever leaked the video…     FUK YOU!"
354691463830970368,2013-07-09 20:00:09,"Liz Lemon, Allow me and Nick to give the world what we've been losing sleep over."
354691460160950272,2013-07-09 20:00:08,"Liz Lemon, So any website that may have the unapproved / unfinished ruff. I ask you to please take it down."
