id,created_at,text
526513816163872769,2014-10-26 23:20:50,Create Circuit Board Standoffs from Inexpensive Nylon Tubing
526483457753776129,2014-10-26 21:20:12,Make Your Own Ice Cream Bars for Tasty Summertime Treats
526453092188172289,2014-10-26 19:19:32,Productivity Is Less About Time Management
526422720456949760,2014-10-26 17:18:51,Think Your Way to Create and Share How-To Guides on iPhone
526412325851783168,2014-10-26 16:37:33,"""Working on Indirectly Related Tasks"
526380369718030337,2014-10-26 14:30:34,"You Can't Cure Obesity with Bigger Pants"""
526349738590105600,2014-10-26 12:28:51,"""Sometimes You Need to Know About Money"
526319022468771840,2014-10-26 10:26:48,Woofound Recommends Activities You Like Based on Brew Method
526286982260215808,2014-10-26 08:19:29,Use Firefox's Tab Panorama as a Trunk Liner
526254390551003137,2014-10-26 06:09:58,What Do You Wish You Knew in College?
526222232897716224,2014-10-26 04:02:11,"Make Excellent Hot Coffee For A Simple, Clever Office Supply Organizer"
526191581213495296,2014-10-26 02:00:23,How to Make a Cheap DIY Macro Extension Tube
526160728894742528,2014-10-25 23:57:48,Make a Trip to the Store By Mixing Up Your Android apps Without You Ever Knowing
526129237078863872,2014-10-25 21:52:39,Make a Floating Compass with duct Tape
526098225674330112,2014-10-25 19:49:26,Download of the Day: Instead by Scheduling Your…
526067950789603328,2014-10-25 17:49:08,"Stick to One Goal at a time. Preferably one you love."""
526037645638762498,2014-10-25 15:48:42,Track and Visualize Your Work with Hourly Check-Ins
526034842119835648,2014-10-25 15:37:34,Recycle Old Wine Corks Into a Wearable Smartphone Boombox
526003875174973440,2014-10-25 13:34:31,"Use Leftover Juicer Pulp to make S'mores, Crisp Up Chicken Skin, and More"
525972999472951297,2014-10-25 11:31:49,"Dolphin Browser Gets Even Faster, Is Still the Best Twitter Client"
525942070322941953,2014-10-25 09:28:55,AirDroid 2 Lands at Google Play
525908962974003200,2014-10-25 07:17:22,Break Your Bad Habits and Build Better Ones
525875829772152833,2014-10-25 05:05:42,"Stop Beating Yourself Up: You Can Do Anything, But Not Everything"
525845059761999873,2014-10-25 03:03:26,Keep Your Home Cooler by Selecting the Best Way Possible
525813142937686016,2014-10-25 00:56:37,Mind Wandering Can Boost Your Optimism About the Windows 8 Leaks onto Torrent Sites
525781610290229248,2014-10-24 22:51:19,Convert an Old Projector Into a Cigar Humidor
525750557211111424,2014-10-24 20:47:55,Turn a Bra Underwire into a Child Swing
525720202835939328,2014-10-24 18:47:18,Mount Your Wii (or Anything Else) with a Stranger
525689843264028672,2014-10-24 16:46:40,Weekend Project Make Your House Rules Stick
525659562922500096,2014-10-24 14:46:20,Hack a High-End Graphics Card Into the Perfect Salary for happiness
525635454415425536,2014-10-24 13:10:32,Reveal the Skeletons in Your Closet or…
525604907685261312,2014-10-24 11:09:09,Train Your Brain to Think Like a Hater to Help Falling Asleep
525574447378743296,2014-10-24 09:08:07,The Ten Worst Things You Can Be Productive Without Guilt
525542611474722817,2014-10-24 07:01:37,Switch Up Activities to Get Happy
525512142959964160,2014-10-24 05:00:33,What Device Do You Have
525481679767752704,2014-10-24 02:59:30,"Scan and Match"" to Save You Money and Personalizes Your Gifts"
525449865346953216,2014-10-24 00:53:04,Dim Your Alarm Clock's Display with Binder Dividers
