id,created_at,text
525684508201611264,2014-10-24 16:25:28,@smithwatson51 cross stitch.
525665399057448960,2014-10-24 15:09:32,Apparently I should have started writing this talk three weeks ago because I've got all my accounts updated with my new debit card number.
525627268068933632,2014-10-24 12:38:01,"@storyofglitch Ooh, another stop on my cat shit."
525627014498095108,2014-10-24 12:37:00,@storyofglitch Got my cheating husband was fooling around with a student.
525626761313132544,2014-10-24 12:36:00,"@storyofglitch laundry, writing, a good way."
525620351506464768,2014-10-24 12:10:32,(cont'd) they do allow themselves this any more #fb
525588276694884352,2014-10-24 10:03:04,@RealGamer9001 taco Tuesday!
525588251990425600,2014-10-24 10:02:58,@RealGamer9001 cross stitch.
525587885899386880,2014-10-24 10:01:31,I won't know bc I was not sexy.
525552895639298049,2014-10-24 07:42:29,i'll grade for an hour then decide what to read next.
525528986525265920,2014-10-24 06:07:28,Just into the garage.
525519353282711552,2014-10-24 05:29:12,@BookofQuuotes You've seen the third in the reviews until I get it.
525483269731528705,2014-10-24 03:05:49,"@negatendo Continuity error, or did this?"
525483183014289408,2014-10-24 03:05:28,"Aaand, awake for 24 hours, I'd be up and one tries to eat a man."
525464559772237824,2014-10-24 01:51:28,"made significant progress in theory, but backfire for the people lived in a tenement building that was very very tall, and many of them were"
525456002896781312,2014-10-24 01:17:28,The horchata is why I've been sleeping poorly.....
525450928993075200,2014-10-24 00:57:18,"@blippyradar Yeah, they're already reopening."
525445334504574977,2014-10-24 00:35:04,@smithwatson51 cross stitch.
525441525917175808,2014-10-24 00:19:56,"@BookofQuuotes Pics of blood moon, butts."
525440308192899073,2014-10-24 00:15:06,@aoClockworkP there are parts that still make me LOL in class!
525428318188105731,2014-10-23 23:27:27,"need to finish something when i get home in time for wear, just."
525418304568315904,2014-10-23 22:47:40,@tara_dane4 Has anyone who wants to talk to real time.
525408196022661120,2014-10-23 22:07:30,@kratlee_ebooks cross stitch.
525387474303209473,2014-10-23 20:45:09,@ao_LangsHughes omg what seems like a pilot whale.
525349703568093186,2014-10-23 18:15:04,@TaurusQuotez i need to write.
525340664079204352,2014-10-23 17:39:09,@BookofQuuotes I agree - it's interesting to see how companies react to remember.
525330922707910657,2014-10-23 17:00:26,Great day for it.
525309691870838786,2014-10-23 15:36:04,"@intriguinfactz Also, many his employees."
525291769009676288,2014-10-23 14:24:51,"@mstea_ebooks hell hath no idea what they want, right?"
525290886733647875,2014-10-23 14:21:21,"@horse_inky dear pomplamoose, why you buggin?"
525283116798468096,2014-10-23 13:50:28,@storyofglitch please move your own sm business as Mickey Rourke and got real sad for a sec.
525282869577396224,2014-10-23 13:49:30,@storyofglitch please move your infuriating hallway meeting to another terrible night's sleep and therefore a terrible day tomorrow.
525282608918192130,2014-10-23 13:48:27,"@storyofglitch same, then can take a break for the semester."
525282356014231552,2014-10-23 13:47:27,"@storyofglitch or dick around on twitter, I'd have ordered my prints for 5x5 at the same time."
525257435049508864,2014-10-23 12:08:25,"In case anyone forgot, #KidCat is named after the drum circle left."
525243926379114497,2014-10-23 11:14:45,@dankpoptart Have spent the better part of the non-public areas.
525233022061137920,2014-10-23 10:31:25,What kind of night.
525232739654852609,2014-10-23 10:30:18,@Art_In_Pictures the tiny cross stitch for several hrs.
525231412828327936,2014-10-23 10:25:01,"@mstea_ebooks that might be true, but it's not how I do for about an hour each day, then a couple days straight before due."
525231369983492096,2014-10-23 10:24:51,@mstea_ebooks I need to watch it now...
525220135657693184,2014-10-23 09:40:13,"@wrong_travis PS, did too."
525197615822946304,2014-10-23 08:10:43,@nyankootu i'm going to cross stitch for several hrs.
525191499470733312,2014-10-23 07:46:25,"Australia, you're not off the internet until i read at least 3 more chapters of this silly detective story."
525183379231092736,2014-10-23 07:14:09,"@tara_dane4 Tried to take a picture of Lost (""The Constant"" right now) and grading."
525181941482799104,2014-10-23 07:08:26,@XTheLineIf cross stitch.
525165646498521088,2014-10-23 06:03:41,@PiraWoof_ebooks cross stitch.
525142673535934464,2014-10-23 04:32:24,omg I own kinda mood.
525137778049179649,2014-10-23 04:12:57,@jasongrossman3 and why can i still awake?
525123230952984577,2014-10-23 03:15:09,"@PhotoFunKill Will be spending many hours in the next week grading, so reading subtitles is impossible."
525117751019327490,2014-10-23 02:53:22,@dntsqzthtpbt cross stitch.
525115532970708992,2014-10-23 02:44:33,@tara_dane4 Almost 20 years!
525095461301280768,2014-10-23 01:24:48,"@PiraWoof_ebooks AND, the tall cat was, like, letting something ride it?"
525095428120137728,2014-10-23 01:24:40,@PiraWoof_ebooks that's a nice shirt.
525080260342075392,2014-10-23 00:24:24,"Ummm, medieval maps to ""prove"" that someone demanded putting their flower arrangement in the gallery even though art in bloom is long over."
525053618760589312,2014-10-22 22:38:32,@dankpoptart i'd like the idea since there's lots of art stuff if you want to go!
525041751820476416,2014-10-22 21:51:23,i have four very badly written pages of entirely new material that was missing from my boss: no more class stuff!
525025140942204930,2014-10-22 20:45:22,"ok, lots to do today, was counting on the day off..."
525019268245909505,2014-10-22 20:22:02,@intriguinfactz cross stitch.
524988393680150528,2014-10-22 18:19:21,finishing up an abstract to be all i'm capable of at the bottom and risk dying when they could walk around
524976327003095041,2014-10-22 17:31:24,"@smithwatson51 Somehow I had last night, will try to recall."
524961032515485697,2014-10-22 16:30:38,"@storyofglitch interesting then for male viewers, to have for company on my bike ride home!"
524959703432847360,2014-10-22 16:25:21,I really wish I could start the day in one long meeting.
