id,created_at,text
523456196913946625,2014-10-18 12:50:57,SOON OUR PUBLICATION
517694367889620992,2014-10-02 15:15:30,"Seven women walk in a circle and sweep away each other’s footsteps on a white, sandy floor."
513772115041206273,2014-09-21 19:29:52,A video shows a bowl of fruit decaying at an accelerated pace.
512256026893385728,2014-09-17 15:05:28,A foosball table accommodates 11 players on each side.
512251638095282176,2014-09-17 14:48:02,A Ping-Pong table with a lily pond in the center can be played by two to four players.
512251585595203584,2014-09-17 14:47:49,"A large plasticine ball is rolled through city streets, picking up dust and debris."
512247745282064384,2014-09-17 14:32:34,Watermelons wearing empty cat food cans like hats.
512247378033016832,2014-09-17 14:31:06,A handful of clay is marked with the impressions of a man's fingers.
511235819508883456,2014-09-14 19:31:32,A large-scale video installation records the nocturnal activity in an artist's studio of his cat and an infestation of mice.
511234172296634368,2014-09-14 19:24:59,A man walks around the perimeter of a large square marked off with masking tape.
511227473137500160,2014-09-14 18:58:22,"A young elephant is brought in a gallery, where a professional crew films her performing a series of tricks: play dead, stand still, back up"
511055512390361088,2014-09-14 07:35:03,A Volkswagen Beetle attempts to climb up a hill over and over.
510060446117003264,2014-09-11 13:41:01,Half the air in a given space is comprised of thousands of air-inflated 11-inch ballons filling half of the room’s entire volume.
509601314142437376,2014-09-10 07:16:35,A french horn is filled with guacamole and offered with either blue or plain tortilla chips for dipping.
508870548861239296,2014-09-08 06:52:47,The over-sized shadow of two nails materializes on the ground and the wall.
508589470489128960,2014-09-07 12:15:53,"90,000 persons measure themselves and mark their height on the walls of a white room."
508012397190459392,2014-09-05 22:02:48,A person runs every 30 seconds through a gallery. Each run is followed by an equivalent pause.
507589430329085952,2014-09-04 18:02:05,A cube is made up of stuffed animals assembled with wire and then burnt.
506810045250953217,2014-09-02 14:25:05,A parasol becomes a dog.
506370141152870400,2014-09-01 09:17:04,A perfect replica of a subway seat on top of which a cake floats as though levitating.
506008727716392960,2014-08-31 09:20:56,A thin sheet of glass cuts horizontally through the legs of a wooden chair.
505801921165529088,2014-08-30 19:39:10,A list suggests 101 art ideas you can do yourself.
505781712300019714,2014-08-30 18:18:51,2 zebras are portrayed on a snowy mountaintop.
505695468513685504,2014-08-30 12:36:09,A wall-mounted curtain of lights invades and shapes the environment in which it is placed.
505311342103121920,2014-08-29 11:09:46,Surveillance cameras observe a fox exploring some rooms of The National Gallery.
504951510992957440,2014-08-28 11:19:56,Persons are encouraged to touch one another in the dark.
504914991066386432,2014-08-28 08:54:49,"A person floats mysteriously in mid-air, frozen in time and space as if defying the constraints of physics."
504745952239185921,2014-08-27 21:43:07,A man asked an actor to perform the role of a clown to the point of self-humiliation.
504596913321414656,2014-08-27 11:50:53,A sixteen foot-high bronze statue portrays the soccer player Zinedine Zidane’s head-butting incident against Marco Materazzi.
504357367132467200,2014-08-26 19:59:01,A man covers a canvas using garbage bags.
503560346964361217,2014-08-24 15:11:57,"A man dressing in a long coat and hat, repeatedly kicks a can as he walks down an empty sidewalk in NYC."
503531147138465792,2014-08-24 13:15:55,"A child sitting on a kitchen sink, tries to cut a stream of water with a pair of scissors."
503165007677636608,2014-08-23 13:01:00,"A line of people moves along the seashore of a beach, following the fleeting border, defined by the waves, that parts the sea from the land."
502824373477441536,2014-08-22 14:27:27,"A ceiling fan is installed too close to the corner of the room, that the blades damage the two walls, producing a repetitive sound."
502424879812333568,2014-08-21 12:00:00,A cup is next to a radio playing “Sailing by” four times a day on windowsill with river view.
502405012610613249,2014-08-21 10:41:03,"Two table lamps, the shades of which are grown together like Siam twins, illuminate themselves without managing to produce useful light."
502078685701476354,2014-08-20 13:04:21,A blue chiffon sheet is blown by a fan.
501620964766273536,2014-08-19 06:45:32,An animatronic dancer moves lasciviously in front of a large mirror.
501617657737912321,2014-08-19 06:32:23,A Slovakian formed a queue of 10-20 people outside the Kunstverein in Cologne for half an hour.
501615267844481024,2014-08-19 06:22:54,"A mariachi band plays Joy Division's ""Transmission""."
501325498254106624,2014-08-18 11:11:27,Several Puerto Ricans attempt to sing the national anthem of the United States.
501304452469780480,2014-08-18 09:47:49,A cat litter container is filled with crystals.
501295839776890880,2014-08-18 09:13:36,A man spreads jelly on bread letters.
499896919750377472,2014-08-14 12:34:47,A full-scale bicycle is fashioned from camel bone.
499820477196824576,2014-08-14 07:31:02,Dogs run after Formula One cars.
499817446724091904,2014-08-14 07:19:00,A man spews a stream of water from his mouth.
499465194004041728,2014-08-13 07:59:16,Camel humps are placed on an ironing board.
499456648847851520,2014-08-13 07:25:19,A crumpled pack of cigarettes turns in circles on the floor in an infinite movement.
499145850615234560,2014-08-12 10:50:19,A website continuously arranges a list of all the worlds national capitals according to their current air temperature.
499095878007664640,2014-08-12 07:31:44,An over 80 metres long iron snake winds through the architecture of a pavilion.
498742201065943040,2014-08-11 08:06:21,A three-dimensional reworking of Duchamp’s mustachioed Mona Lisa is made of bronze.
