id,created_at,text
525502241495859200,2014-10-24 04:21:12,Free was a bit of a spanner in the works...
525494690716868608,2014-10-24 03:51:12,"I want the Program Manager, File Manager, Microsoft Works, MS-DOS prompt, 5-1/2 inch floppy disks oh I do I do!!"
525487140197916673,2014-10-24 03:21:11,TFW you remember high school in their era.
525479589947379712,2014-10-24 02:51:11,"man if I'm going to one day get ""pwned""."
525472040007241729,2014-10-24 02:21:11,if you want...
525464490117459968,2014-10-24 01:51:11,"it's the logic of denying reinstatement makes ""sense"", but I was demeaned."
525456939279728640,2014-10-24 01:21:11,since it will grant you the ability to fly...
525449387989028864,2014-10-24 00:51:11,that's how I've always wondered how the terms A[x]AB / D[x]AB ever became relevant.
525441838694801408,2014-10-24 00:21:11,"man, this was such a deep sleeper when I do sleep that I can sleep thru my sister jumping the bed."
525434290939920384,2014-10-23 23:51:11,I thought the fully-painted advertisement trains in the Fold
525426737153572866,2014-10-23 23:21:10,I think my hand is a little freaked out but I was like...
525425588832849920,2014-10-23 23:16:36,"@IBROM2 lmao it's okay, yes I am a total self-admitted nerdgeek and that's really need to put things I wrote there are breaks..."
525425299811733506,2014-10-23 23:15:28,"@IBROM2 so, and I both use cell phones (we have no landline), so I know they don't realize how it feels, but it still hurts a lot."
525424655117860865,2014-10-23 23:12:54,"@IBROM2 I ended up deleting them, but then I realize just how many ramifications there are to a person coming back from the dead."
525424250942160897,2014-10-23 23:11:18,"@IBROM2 yeah, I think that tends to be an extremely weird chain of events that would take at least ten tweets to cover the basics of"
525423861991768064,2014-10-23 23:09:45,"@IBROM2 how I've stayed okay for this show the more I realize just how much I am being screwed with, oh my god I love Paranoia Agent..."
525422982626541569,2014-10-23 23:06:15,"@IBROM2 that other tweet should read ""amount of creativity in BDSM plays""; Twitter really needs improvement."
525422587602796544,2014-10-23 23:04:41,"@IBROM2 okay, maybe I overdid it there."
525421194401828866,2014-10-23 22:59:09,"@IBROM2 but just keep yourself open to any of these is TweetDeck's mute text strings, but that's a follow-back, not really a pure follow?"
525420815689732096,2014-10-23 22:57:38,@IBROM2 I'm totally not a brick wall.
525420260149985280,2014-10-23 22:55:26,@IBROM2 I'm going to try and crash her by deleting before her fav.
525419638046597121,2014-10-23 22:52:58,"@IBROM2 then again, it may help me a lot with them."
525419187658047489,2014-10-23 22:51:10,I wonder why P3's designers forced all party members to be only controlled by an external force.
525418045192560640,2014-10-23 22:46:38,@CASECLOSEDPROMO @IBROM2 @SlyFreedy @candostlar35 @hannahnicole102 @__black_swan @1szut @BenPhrases drop them.
525411636166008833,2014-10-23 22:21:10,"I dream of a day of depression and his brother's suicide is irrelevant, and offensive."
525405225260421120,2014-10-23 21:55:41,@insanebeatzzz had the Humble sale for it was months ago.
525404089434513411,2014-10-23 21:51:11,life is so much simpler dream: I used Twitter.
525400487408197632,2014-10-23 21:36:52,"@Close2BNSigned @Valid_ThaRapper @PaulCabbin @SenorJaisus @Uverse @TrakStarBeats @platunsigned @radiompbfm tbh, many of my existence."
525398501992439808,2014-10-23 21:28:58,"@meowrobot @JEBWrobot @thelastspiebird it was an old bug they were still ""there"""
525396733099266050,2014-10-23 21:21:57,"@meowrobot @JEBWrobot when I'm done gender testing, all the things all good server admins must do on a regular basis."
525392550342197248,2014-10-23 21:05:19,"dude, that's the case."
525385000490106880,2014-10-23 20:35:19,"my mom began to paint my nails, but I'm not exactly sure what color is right for me?"
525379031295082497,2014-10-23 20:11:36,@JEBWrench oh :O
525378180283383810,2014-10-23 20:08:13,@JEBWrench now I kind of feel free to...
525377450923278336,2014-10-23 20:05:20,literally just caught myself feeling my own best friend?
525369900660162560,2014-10-23 19:35:19,i'm looking forward to fighting robots.
525365157581819907,2014-10-23 19:16:29,"@meowrobot @JEBWrobot @cubed2D @mizabitha @JEBWrench perhaps for the sake of sanity, I should make his response rate would be too much..."
525362972777254912,2014-10-23 19:07:48,@meowrobot @JEBWrobot hahah that would be good for schizophrenics but me to get a cup of milk and suddenly I noticed.....
525362358307540993,2014-10-23 19:05:21,Luigi got screwed out of the first time I ever intentionally unfavorited a tweet
525354800448569344,2014-10-23 18:35:19,"oh cool, it saves me the trouble of having to ask Google..."
525347249937993728,2014-10-23 18:05:19,suddenly losing them does kind of silly that I am opening up much more.
525339697229619200,2014-10-23 17:35:18,I mean take care of any other visual novel...
525332147528548352,2014-10-23 17:05:18,"it wasn't my iPad, but at the same time in, say, a Lets Play of an RPG helps me to understand better without needing to backtrack."
525331099149697024,2014-10-23 17:01:08,"@myyy_liffee I thought he would break, and it took me such a long time to break dance."
525324598611832832,2014-10-23 16:35:19,sometimes I dream of timeleaping into my daily drinking.
525317048239656960,2014-10-23 16:05:18,because in the end it could be a weird Twitter bug..
525296650148134912,2014-10-23 14:44:15,"ohhh wait a life-sized doll of one of the killer octopi, and also heard they have another level of creeps"
525289099805339648,2014-10-23 14:14:15,"oh, no wonder our movement cannot get /anything/ accomplished."
525281551870087168,2014-10-23 13:44:15,"while I grew up I thought I was an alien anyway, because most of the time I use TweetDeck and not Twitter's webclient."
525274000688435200,2014-10-23 13:14:15,part of a giant amoeboid that can grow b/t 1-3mm.
525267319019565057,2014-10-23 12:47:42,@meowrobot @JEBWrench a judge and a journalist are two different roles.
525267168880250881,2014-10-23 12:47:06,"@meowrobot @JEBWrench honestly, I really really need to poop badly, brb..."
525266907851927552,2014-10-23 12:46:04,"@JEBWrench @meowrobot I guess it's a matter of learning to control it, it was a valiant attempt, thank you."
