id,created_at,text
299915215796056066,2013-02-08 16:18:54,"@marhei
:E"
299914147276132352,2013-02-08 16:14:39,"@Phjlipp
:E"
299914139285979137,2013-02-08 16:14:37,"@TheMezgr
OSError: [Errno 2] No such file or directory [e]"
299908775563890690,2013-02-08 15:53:18,"@holek_
KeyboardInterrupt [6]"
299850895326343168,2013-02-08 12:03:19,"@Mezgrman
a4
 [n]"
287506096220938240,2013-01-05 10:29:29,@Mezgrman External power supply is back! [6]
287506051316731904,2013-01-05 10:29:18,@Mezgrman External power supply is gone! [j]
287506006592860160,2013-01-05 10:29:08,@Mezgrman External power supply is back! [9]
287505960413585408,2013-01-05 10:28:57,@Mezgrman External power supply is gone! [n]
286274832235102209,2013-01-02 00:56:53,"@nilsding
:E"
284717470592405504,2012-12-28 17:48:29,"@KingCyberJacob
:E"
284704742213562368,2012-12-28 16:57:54,"@TheMezgr
:E"
284703878899961856,2012-12-28 16:54:28,"@Mezgrman
cat: /fucks_to_give.txt: Datei oder Verzeichnis nicht gefunden
 [g]"
284703156099743745,2012-12-28 16:51:36,"@Mezgrman
CalledProcessError: Command '[u'ls', u'-lA', u'/lolnonexistentdirectory']' returned non-zero exit status 2 [t]"
284703023089999872,2012-12-28 16:51:04,"@Mezgrman
OSError: [Errno 2] No such file or directory [A]"
284702884954775553,2012-12-28 16:50:31,"@Mezgrman
 [T]"
284699440571367424,2012-12-28 16:36:50,"@Mezgrman
 [hvZ6]"
284699376830513152,2012-12-28 16:36:35,"@Mezgrman
 [sBiP]"
284592380320051200,2012-12-28 09:31:25,"@Mezgrman
0.06 0.10 0.08 1/336 10191
 [e3q2]"
283663017688854529,2012-12-25 19:58:28,"@braegel
You're not allowed to control me. :P [Q7qB]"
283662944242397184,2012-12-25 19:58:10,"@braegel
You're not allowed to control me. :P [IvlN]"
283662609545322496,2012-12-25 19:56:50,"@braegel
You're not allowed to control me. :P [Y12l]"
283652047717408769,2012-12-25 19:14:52,"@Mezgrman
 20:14:53 up 198 days,  8:08,  7 users,  load average: 0.06, 0.05, 0.05
 [G3Qb]"
283647091878817792,2012-12-25 18:55:11,"@Mezgrman
""The Game"";
 [81Bb]"
240239591196598272,2012-08-28 00:09:16,"@Mezgrman
 02:09:16 up 78 days, 13:02,  1 user,  load average: 3.93, 3.84, 3.63
 [jGQ1]"
237822759865028609,2012-08-21 08:05:39,"@Mezgrman CPU temperature threshold exceeded! (Threshold: 71.0, Currently: 71.5) [Wiih]"
237822587017773057,2012-08-21 08:04:57,"@Mezgrman CPU temperature threshold exceeded! (Threshold: 71.0, Currently: 71.5) [8ZEY]"
237528759404736514,2012-08-20 12:37:23,"@Mezgrman CPU temperature threshold exceeded! (Threshold: 70.0, Currently: 70.5) [uTFJ]"
237528671785742336,2012-08-20 12:37:03,"@Mezgrman CPU temperature threshold exceeded! (Threshold: 70.0, Currently: 70.5) [Oz6s]"
237528583990558720,2012-08-20 12:36:42,"@Mezgrman CPU temperature threshold exceeded! (Threshold: 70.0, Currently: 70.5) [Hx3u]"
237505621879054336,2012-08-20 11:05:27,"@Mezgrman CPU temperature threshold exceeded! (Threshold: 70.0, Currently: 70.5) [Kud3]"
237490978691371008,2012-08-20 10:07:16,"@Mezgrman CPU temperature threshold exceeded! (Threshold: 70.0, Currently: 70.5) [mJ6l]"
237475870468632576,2012-08-20 09:07:14,"@Mezgrman CPU temperature threshold exceeded! (Threshold: 70.0, Currently: 70.5) [JB3k]"
237468352501661696,2012-08-20 08:37:21,"@Mezgrman CPU temperature threshold exceeded! (Threshold: 70.0, Currently: 70.5) [Ddpx]"
237347629355368448,2012-08-20 00:37:39,"@Mezgrman CPU temperature threshold exceeded! (Threshold: 70.0, Currently: 70.5) [Vmfz]"
237347541786718208,2012-08-20 00:37:18,"@Mezgrman CPU temperature threshold exceeded! (Threshold: 70.0, Currently: 70.5) [aVAZ]"
237332599599685632,2012-08-19 23:37:55,"@Mezgrman CPU temperature threshold exceeded! (Threshold: 70.0, Currently: 70.5) [Ig3m]"
237332512026791937,2012-08-19 23:37:34,"@Mezgrman CPU temperature threshold exceeded! (Threshold: 70.0, Currently: 70.5) [CeJV]"
237324826950389760,2012-08-19 23:07:02,"@Mezgrman CPU temperature threshold exceeded! (Threshold: 70.0, Currently: 70.5) [AEuH]"
237264438728736768,2012-08-19 19:07:05,"@Mezgrman CPU temperature threshold exceeded! (Threshold: 70.0, Currently: 70.5) [pyPd]"
237249329960730625,2012-08-19 18:07:02,"@Mezgrman CPU temperature threshold exceeded! (Threshold: 70.0, Currently: 70.5) [VhV5]"
237241816360038400,2012-08-19 17:37:11,"@Mezgrman CPU temperature threshold exceeded! (Threshold: 70.0, Currently: 70.5) [a10J]"
