id,created_at,text
526461770999689216,2014-10-26 19:54:02,Temple of Goddess chosen!
526434086345113600,2014-10-26 18:04:01,Sunday. I know Im not alone
526403889357410304,2014-10-26 16:04:01,The Blue Wool Block Slot has been filled!
526376206925455361,2014-10-26 14:14:01,not to mention his sword has
526343489823318017,2014-10-26 12:04:01,Changing variable 'coasterDestination' to 'theNether'... Saving changes to C:/Gerald/EvilPlans/RollerCoaster
526315810382286849,2014-10-26 10:14:02,they are vital Quest items and
526285607517974528,2014-10-26 08:14:01,You are to late he has already destroyd our town!
526262959341715457,2014-10-26 06:44:01,With my final Breath i give u
526237792485916672,2014-10-26 05:04:01,"[Princess] ""Help me, my father and the rest of the kingdom have been infected by a zombie curse! I'm trapped in my room!"""
526207597159153664,2014-10-26 03:04:02,I will help you! Magic initiate!!
526184949045800960,2014-10-26 01:34:02,/say I needed something to hunt that required strategy.
526152231674855424,2014-10-25 23:24:02,And i Who
526127065045544960,2014-10-25 21:44:01,"Not letting anything, or anyone, get in their way."
526101898785353728,2014-10-25 20:04:01,I mst sleep.
526074215334547458,2014-10-25 18:14:01,There was a rumor about a shrine under the village. I can confirm it. I went into a neaby cave and
526046534744670209,2014-10-25 16:24:02,The outer gate has been opened!
526011303333470208,2014-10-25 14:04:02,ALE: Its Impossible to reach
525991171055570944,2014-10-25 12:44:02,Congratulations This account is ! You Have Won The Running Spree Map
525960971223724032,2014-10-25 10:44:02,[Prof. Oak] That's a good pokemon left for you.Now you have your partner that will protect you from any danger on your journey!
525935805353566208,2014-10-25 09:04:02,NOW ENTERING KID ICARUS 1986 FOR THE NES...
525913157408002048,2014-10-25 07:34:02,"The priest wears full leather armor, is given a speed bonus"
525882958239244288,2014-10-25 05:34:02,What happened? What is WITH your face?
525852756255326208,2014-10-25 03:34:01,"To hopefully continue life, over 400 Minecraftians have"
525817523170582529,2014-10-25 01:14:01,(BY THE WAY COPS CAN NOT STEEL
525782293638832128,2014-10-24 22:54:02,"Narrator: ""This tunnel progresses the story. If you have not completely explored the town, you should."""
525752095681810432,2014-10-24 20:54:02,"I don't know where I am, and"
525721896399020032,2014-10-24 18:54:02,"Day 2: lots of monsters outside, i might not survive"
525694214869229569,2014-10-24 17:04:02,"In this chest, you will find many resources of which you may not usually find on a"
525666529262567424,2014-10-24 15:14:01,*You became a spy! Good luck!*
525638846524821505,2014-10-24 13:24:01,"Build a one-story brick house, just as big as the wood"
525616201024946177,2014-10-24 11:54:02,nor is there enough room for
