id,created_at,text
521032404006232064,2014-10-11 20:19:40,"Funk this, or am I just wrong about that?"
520999676787429378,2014-10-11 18:09:37,"Hang on a personal note, I just wanted to thank you in advance for rehiring and promoting me."
520966947488284672,2014-10-11 15:59:34,"You want to get metal-plated, that's when we all go to the fence, please go to the fence, please go to the fence..."
520941770725945345,2014-10-11 14:19:31,"No, the windowsill to..."
520757986742915073,2014-10-11 02:09:13,The only thing missing is you sawing your head off with a permaflex?
520700087526121472,2014-10-10 22:19:09,"That's a favor, and give me a call before you just decide to possess the body of one of our guests."
520395456837214208,2014-10-10 02:08:40,You have to sort them out and brought Roth back...
520370280896540674,2014-10-10 00:28:37,"And he's wearing this mask, and I'm not gonna be one of those shows..."
520342586959990786,2014-10-09 22:38:34,"You're wearing this mask, and I'm like, ""What's up with that?"" And he's got this knife, and he just starts coming at me up!"
520211675459637248,2014-10-09 13:58:23,Ya already have to sort them out and prioritize!
520002716513628160,2014-10-09 00:08:03,Welcome to Space Ghost's documentary starts playing on his target.
519992647860383744,2014-10-08 23:28:02,You told me to get the Beatles.
519980059298648064,2014-10-08 22:38:01,"(laughs, looks away) The toilet, as he picks up the phone, we'll jump out and kill him with zombies!"
519917118754930688,2014-10-08 18:27:55,"I don't go to the fence, please go to the fence, please go to the fence..."
519677951088943104,2014-10-08 02:37:33,"Eh, Moltar is marked down fifty percent."
519665363282186240,2014-10-08 01:47:32,He says he's not a storm at all!
519579768623083520,2014-10-07 20:07:24,"(Harland keeps looping) Uh, Space Ghost!"
519547043644067840,2014-10-07 17:57:22,"You and me, we still got that houseboat!"
519531939418501120,2014-10-07 16:57:21,"Shut up, shut up, shut up!"
519511797456703488,2014-10-07 15:37:19,"Uh, sorry, Space Ghost, not another rock!"
519489140551716866,2014-10-07 14:07:17,"Oh, I got somebody on stand-by, but..."
519249967467483136,2014-10-06 22:16:54,"(throws lever, disco music plays)"
519247449781960705,2014-10-06 22:06:53,"(slams a dissonant chord on the keyboard.) This ain't no way, no how are you going to do, I won't do it."
519239897014472704,2014-10-06 21:36:53,You get rid of her!
519129125085540352,2014-10-06 14:16:43,"Yeah, get out here and dance!"
518942824394289153,2014-10-06 01:56:25,"Well, you know what I was wondering..."
518940306889134080,2014-10-06 01:46:25,You know Richard.
518917650328473600,2014-10-06 00:16:23,"So, are you done?"
518178425983352832,2014-10-03 23:18:58,Now I gotta go to the commissary.
518138143636074496,2014-10-03 20:38:54,"Okay, hmmm, whatever."
518077723214749696,2014-10-03 16:38:49,"Umm, what if you just decide to possess the body of one of our guests."
518047513127829504,2014-10-03 14:38:46,"It's all rust never sleeps, right?"
518042478000103424,2014-10-03 14:18:46,"Oh, I'm not laughing."
517459425389707266,2014-10-01 23:41:55,"You mean, is we die, and then we come back as zombies."
517401522037358593,2014-10-01 19:51:50,That's not what I was wondering...
517343616549675008,2014-10-01 16:01:44,(walks toward Space Ghost's desk) Here!
517331028017680384,2014-10-01 15:11:43,We don't have your movie?
517124587461832704,2014-10-01 01:31:24,"(throws lever, revealing Space Ghost on the monitor, being attacked by a space spider) Ehh, he's gonna be a while."
517069202264301568,2014-09-30 21:51:19,"Uh, no, but is it, too!"
516950878398738433,2014-09-30 14:01:08,"Yeah, go on."
516935772776046592,2014-09-30 13:01:07,"(Throws his lever, creating a burst of feedback) Whoa, did you hear that?"
516391984454316032,2014-09-29 01:00:17,"Oh, wha- wha- what about the premise of this time to apologize to the television audience for what they're about to see."
516389466274271232,2014-09-29 00:50:17,"Sit down, so I'll confess something I didn't do, I was daydreaming."
516359256774164480,2014-09-28 22:50:14,What are we even doing this?
516301353358860288,2014-09-28 19:00:09,(on Space Ghost's ankles) Just let go.
516291283040468992,2014-09-28 18:20:08,"Space Cadet, Space Ghost Coast to Coast."
516283731749785601,2014-09-28 17:50:08,"Space Ghost, I, I don't even want..."
516276178508730369,2014-09-28 17:20:07,"Oh, I got an idea."
516273660840009729,2014-09-28 17:10:07,"(in control room) Oh, er."
516263591238844416,2014-09-28 16:30:06,"(throws lever, sending her to the studio monitor)"
516238415491117056,2014-09-28 14:50:04,"Look at the comic shop here in town, like the Moltar action figure is marked down fifty percent."
516054637246300161,2014-09-28 02:39:48,"(in control room) Just me, Moltar, outta lines, teamsters, catering from Taco King."
516031979561570304,2014-09-28 01:09:46,"Okay, we recorded over that."
516029461926379520,2014-09-28 00:59:45,"(watching from control room, watching a horse rearing up) Wilburrr..."
516021909222219776,2014-09-28 00:29:45,"The Beatles have arrived, my lord."
516016873969045505,2014-09-28 00:09:44,"No, I got somebody tell me to take off, eh?"
515891001945100288,2014-09-27 15:49:34,"(throws lever, screen with his helmet, breaking it)"
515865829145997312,2014-09-27 14:09:32,"(laughs) Okay, fine."
515853241746087939,2014-09-27 13:19:31,"So, if we all go to the fence, please strike out, please strike out, please strike - (CRACK!) Oh no..."
515581348866961409,2014-09-26 19:19:07,"(pulls lever, sending Bill to the studio monitor)"
515543585848975361,2014-09-26 16:49:03,"(throws lever, monitor changes to volcanoes and molten lava) Mmmm..."
515510858416680960,2014-09-26 14:39:01,"Yeah, um, I, I really like your show, you know, that, that ""CHiPs"" show?"
515508341494513664,2014-09-26 14:29:00,"5'er (Space Ghost taps his card twice, throwing off Moltar's counting) 6.."
515503306680958976,2014-09-26 14:09:00,Cue the ending for the Mark Twain show or for our show?
515269172444794880,2014-09-25 22:38:38,"Where, where you guys shut up?"
515216305331650561,2014-09-25 19:08:34,"Um, and then we come back as zombies."
515153366201008129,2014-09-25 14:58:28,"(throws lever, sends George to studio monitor) Bah!"
514974618717671424,2014-09-25 03:08:11,"Well, why don't you just decide to possess the body of one of our guests."
514967065346977792,2014-09-25 02:38:10,"Look, hey, ix-nay on the ot-spay."
514946926374973441,2014-09-25 01:18:09,"Zorak, shut up!"
514924267331260416,2014-09-24 23:48:06,"I tell ya, Space Ghost, lemme clue you in to the premise of this episode."
514805945571225601,2014-09-24 15:57:56,"Shyeah, man, we surfaced."
514604538041757696,2014-09-24 02:37:37,"Spam, spam, spam, spam.."
514579362143019008,2014-09-24 00:57:35,(marches out dancing to Red)
514521458240794624,2014-09-23 21:07:29,"The weather graphics, ""Barb Wire"" rental, I wrote some questions for him."
514498801378553857,2014-09-23 19:37:27,"(makes gagging noises, walks away from console)"
514259633775468544,2014-09-23 03:47:05,We can't be true!
514242010375397377,2014-09-23 02:37:04,"okay, let me direct your movie?"
514158932424536064,2014-09-22 21:06:56,Ten seconds and counting...
514118652917198848,2014-09-22 18:26:53,I thought you were to ask me if I know!
514098513396125697,2014-09-22 17:06:51,"Space Ghost is tending his brine shrimp, can you hear that?"
514065784474062848,2014-09-22 14:56:48,Why don't you just go into a coma or somthing.
