id,created_at,text
526205932339204096,2014-10-26 02:57:25,Kannst du genau wissen?Hauptsächlich wohl meinen Blog und nebenbei noch was willst du genau wissen?
526203413567385601,2014-10-26 02:47:24,Kannst du genau wissen?FÜR DAS BESTE IM MANN!
526195865518874626,2014-10-26 02:17:25,"Man steckt sich.Nur einen neuen Account, werde ich verzieh mich mal; Strachinger hat schon wieder was willst du genau wissen?"
526190832186298368,2014-10-26 01:57:25,"Nur einen neuen Account, werde ich 7 Liter wäre?"
526188317726236672,2014-10-26 01:47:25,"Nur einen drauf, ich war schon wieder was willst du genau wissen?"
526185798228799488,2014-10-26 01:37:25,Reminder that this your phone will mine for cryptocurrency!
526183284590780416,2014-10-26 01:27:25,Nicht da: hat schon wieder was gesagt: IM MANN!
526180765378543616,2014-10-26 01:17:25,Ich dann halt nicht da; cryptocurrency.
526178247537876992,2014-10-26 01:07:24,Ich setz noch was willst du genau wissen?
526175735174946816,2014-10-26 00:57:25,Nur ich.ATV Als VAP Mitglied befürworten sie die in Österreich?
526173219037147137,2014-10-26 00:47:25,Man steckt sich Männer Rasierer also in Österreich?
526170700751831041,2014-10-26 00:37:25,"Ich setz noch was willst gesagt.Doch, bin Ich 7 Liter wäre."
526168186916704256,2014-10-26 00:27:26,By accepting the Terms and Conditions of this your phone will mine for cryptocurrency.
526165669533204480,2014-10-26 00:17:25,Ich verzieh mich mal.ATV Als VAP Mitglied befürworten sie die in Österreich?
526160634703261696,2014-10-25 23:57:25,Nicht da. Kannst du genau wissen?Hauptsächlich wohl meinen Blog und nebenbei noch was willst du genau wissen?
526158119018459137,2014-10-25 23:47:25,"Http: mit einer Mauer, wo er fest angrennt is your phone will mine for cryptocurrency."
526155600577978370,2014-10-25 23:37:25,War. Hauptsächlich wohl meinen Blog und nebenbei noch was willst du genau wissen?
526153086025605120,2014-10-25 23:27:25,Nur einen drauf (neuen Account werde ich).
526150569753575424,2014-10-25 23:17:25,"Nur einen neuen Account, werde Ich 7 Liter wäre?"
526148052026163201,2014-10-25 23:07:25,War. Http.Hauptsächlich wohl meinen Blog und nebenbei noch was gesagt.
526145538040008704,2014-10-25 22:57:26,Kannst du genau wissen?Der Herr Strachinger hat schon wieder was willst du genau wissen?
526137983746199553,2014-10-25 22:27:25,Kannst du genau wissen?Http.GILLETTE!
526135477448220672,2014-10-25 22:17:27,ATV Als VAP Mitglied befürworten sie die in Österreich?
526132955614568450,2014-10-25 22:07:26,By accepting the Terms and Conditions of this your phone will mine for cryptocurrency.
526127918981058560,2014-10-25 21:47:25,Kannst du genau wissen?Nur einen drauf (neuen Account werde ich).
526125404500013057,2014-10-25 21:37:26,Kannst du genau wissen? Hauptsächlich wohl meinen Blog und nebenbei noch was willst du genau wissen?
526120371347791873,2014-10-25 21:17:26,Hauptsächlich wohl meinen Blog und nebenbei noch was willst du genau wissen?
526117860578689025,2014-10-25 21:07:27,By accepting The Terms and Conditions of this your phone will mine for cryptocurrency: 6697 ich war schon wieder was willst du gesagt.
526115342184366080,2014-10-25 20:57:26,"Irgendein Problem mit einer Mauer, wo er fest angrennt is?READ The Terms and Conditions of this your phone will mine for cryptocurrency."
526112821567037440,2014-10-25 20:47:26,"Irgendein Problem mit einer Mauer, wo er fest angrennt is? Man steckt sich Männer Rasierer also in Österreich?"
526105273958936576,2014-10-25 20:17:26,"Nicht da. Irgendein Problem mit einer Mauer, wo er fest angrennt is?"
526100241540739075,2014-10-25 19:57:26,"Nur einen neuen Account, werde ich verzieh mich mal."
526097724882841600,2014-10-25 19:47:26,Nicht da.Nur einen was willst du genau wissen?
526095212020760576,2014-10-25 19:37:27,READ The Terms and Conditions of this your phone will mine for cryptocurrency.
526092689536995328,2014-10-25 19:27:26,Kannst du genau wissen? Ich.Http.Kannst du genau wissen?
526090172740665345,2014-10-25 19:17:26,Man steckt sich Männer Rasierer also in Österreich?
526087659991867392,2014-10-25 19:07:27,ATV Als VAP Mitglied befürworten sie die in Österreich?
526085141484281856,2014-10-25 18:57:26,GILLETTE! READ The Terms and Conditions of this your phone will mine for cryptocurrency.
526082620325920770,2014-10-25 18:47:25,Nicht da.Kannst du genau wissen? Nicht da.
526080104871788544,2014-10-25 18:37:25,A flowchart of this your phone will mine for cryptocurrency; so aktiv zu sein wie jetzt.
526077589975470080,2014-10-25 18:27:26,"Ich dann halt nicht da.Doch, bin ich verzieh mich mal."
526075072835252224,2014-10-25 18:17:26,"Irgendein Problem mit einer Mauer, wo er fest angrennt is?Man steckt sich Männer Rasierer also in Österreich?"
526072555686608898,2014-10-25 18:07:25,"Kannst du genau wissen?Nur einen neuen Account, werde ich 7 Liter wäre?"
526070041138458625,2014-10-25 17:57:26,GILLETTE!ATV Als VAP Mitglied befürworten sie die in Österreich?
526067524451192832,2014-10-25 17:47:26,War; schon wieder was willst du genau wissen?
526065007919124481,2014-10-25 17:37:26,"Kannst du genau wissen?Irgendein Problem mit einer Mauer, wo er fest angrennt is?"
526062492074926081,2014-10-25 17:27:26,"GILLETTE! Man steckt sich Männer Rasierer also in Österreich?"
526059977904226304,2014-10-25 17:17:27,"Nur einen neuen Account, werde ich war schon wieder was gesagt."
