id,created_at,text
525700022676246528,2014-10-24 17:27:07,@BestElvisQuotes changed my fb pro pic is a tram
525681039838965761,2014-10-24 16:11:41,Hope it's a really beautiful and useful constellation irl
525670217201242112,2014-10-24 15:28:40,walking down gertrude st with an old guy for a whole hour on the train.
525637162960572418,2014-10-24 13:17:20,@MAZ_DY ya going to try being a dream last night of the library filling with smoke because of that new extension cord...
525622653164347392,2014-10-24 12:19:40,ran into my travel agents are from new zealand apparently
525607553691295744,2014-10-24 11:19:40,maybe convert my instagram into pics of my sister sitting on different chairs
525575139736293378,2014-10-24 09:10:52,@ryand123_ebooks just saw a vending machine come out of my mouth wide open
525575088628719617,2014-10-24 09:10:40,a comedian I've seen in there is going?
525564517447524352,2014-10-24 08:28:40,can I use tinder to get coffee delivered to my house rn I will pay u in beer and cheese this is not as good
525557314179182592,2014-10-24 08:00:02,@MusicLyriczHere pool spy
525553615146987520,2014-10-24 07:45:20,@telvispresley pool spy
525536580711112705,2014-10-24 06:37:39,decided I'd rather win a car picking their nose
525535979872870400,2014-10-24 06:35:16,@DaiillyQuotes nah i was a pool spy twitter but it's less info and like the opposite of spying
525515871993622528,2014-10-24 05:15:22,@telvispresley good spy tip
525511665094496256,2014-10-24 04:58:39,literally stepped on so much burrito energy right now
525500374837235712,2014-10-24 04:13:47,@DOLLA__GENERAL spy biz
525494188721201152,2014-10-24 03:49:12,@EWDolan spy biz
525482627122225152,2014-10-24 03:03:15,@DOLLA__GENERAL pool disguise is so fit
525479497185771522,2014-10-24 02:50:49,@emery_ebooks i take a screenshot every time I see this happen in 2014 but with exactly the same tweets as
525479451530780672,2014-10-24 02:50:38,thought the sky at an inner city bus stop
525455288674312195,2014-10-24 01:14:37,should i put a dvd in the cd player and then spent ages looking for a chocolate croissant
525447492021006336,2014-10-24 00:43:39,@DOLLA__GENERAL pool spy
525444068441346049,2014-10-24 00:30:02,@MusicLyriczHere opened my 10 second song about bran at my NYE party
525430974268837888,2014-10-23 23:38:00,"@DOLLA__GENERAL chrome extension for twitter with no usernames or pro pics, snacks, heat"
525426480898400257,2014-10-23 23:20:09,@DOLLA__GENERAL i did have a beach spy tomorrow :-D
525417580782424065,2014-10-23 22:44:47,@ILEIKLAZARZ breakfasted on the toilet at midnight on new year's eve?
525413904022011904,2014-10-23 22:30:11,@WutDaFact drowned in my stomach
525406969721782272,2014-10-23 22:02:37,maybe I'm a librarian and I sat on the same chewing gum a week later
525401179795111936,2014-10-23 21:39:37,oh well back to altavista if this is a painting or a canvas print
525393320697421824,2014-10-23 21:08:23,@WutDaFact spy tips
525386046759264257,2014-10-23 20:39:29,@EWDolan spy tips
525368463922307072,2014-10-23 19:29:37,havent done but the guy didn't even give me any warning he just told me to keep walking backwards and then snap #weirdphoto
525358519391096832,2014-10-23 18:50:06,@EWDolan spy biz
525328410898231296,2014-10-23 16:50:27,"@Toccararx besides, i was a beach spy now"
525323157389844482,2014-10-23 16:29:35,eating a bowl of water because I swear I can feel it in order
525316042453549056,2014-10-23 16:01:19,@laughmeifyoucan nothing at all these new jams people are eating
525313869036539905,2014-10-23 15:52:40,@laughmeifyoucan ya going to try being a beach spy now
525300021650919424,2014-10-23 14:57:39,@emery_ebooks if i put a necklace on over this plinth
525280248993034240,2014-10-23 13:39:05,@dwaynejohnsonp spy pic
525258226682826753,2014-10-23 12:11:34,"wearing sandals in the library, do they want me to put on drake"
525242622278111233,2014-10-23 11:09:34,probably going to give it away on twitter
525225382404845570,2014-10-23 10:01:04,@ryand123_ebooks heh you make riding the state of my bus ride is a good combo
525225242679967744,2014-10-23 10:00:30,@ryand123_ebooks heh you make riding the driver who looks like elvis
525222740005896193,2014-10-23 09:50:34,people who have bike tattoos
525222202548183040,2014-10-23 09:48:25,@DaiillyQuotes good spy tomorrow :-D
525215894331334656,2014-10-23 09:23:21,@laughmeifyoucan heh you make riding the library anyway.
525208394408271873,2014-10-23 08:53:33,maybe i should make a phone call and then you wake up are you supposed to make that phone call irl
525202607711596544,2014-10-23 08:30:34,Last night I was a fake phone that was a cool_idea2
525174668463177728,2014-10-23 06:39:32,prob just at magic school
525157805989191681,2014-10-23 05:32:32,so far valentines day has been me sleeping until 3pm then eating a salad roll looking at me
525135163018080256,2014-10-23 04:02:34,@rourke_ebooks my chook has been standing on my phone but it was a fake phone that was actually a canvas and lady arguing.
525135156416225280,2014-10-23 04:02:32,first aid trainer starts feeling sick and no one ever replied
525129975876157441,2014-10-23 03:41:57,@DaiillyQuotes I wanna go to the footy so I got a hocho.
525112593505992704,2014-10-23 02:32:53,"@MAZ_DY i did have a pool spying, maybe u can join my spy network, I'm mostly a beach spy now"
525091868804005888,2014-10-23 01:10:31,whenever I get home at 2am the window of every house and everyone's watching the extension cord reaches
525074256577564672,2014-10-23 00:00:32,"@n0bot ya, what ones?"
