id,created_at,text
525469481959952384,2014-10-24 02:11:01,///^[\{.}/]^\\\
525454380741705728,2014-10-24 01:11:01,[(o=/!|\^/|!\=o)]
525439283885506560,2014-10-24 00:11:02,.[o*-{&lt;&gt;}-*o].
525424183548051456,2014-10-23 23:11:01,(/[*v*]\)
525409084531826688,2014-10-23 22:11:02,*\\={.}=//*
525393983619747841,2014-10-23 21:11:01,=!^*!['^']!*^!=
525378884691591168,2014-10-23 20:11:01,{/((v\/v))\}
525363783100030977,2014-10-23 19:11:01,=\(*:[\()/]:*)/=
525348684075397121,2014-10-23 18:11:01,oo(![o:o]!)oo
525333586921414657,2014-10-23 17:11:02,\.^/^[!!]^\^./
525318487389241346,2014-10-23 16:11:02,([.{&lt;&lt;{}&gt;&gt;}.])
525303388138135553,2014-10-23 15:11:02,-&lt;=(=^^=)=&gt;-
525288287850999808,2014-10-23 14:11:01,'/*\o:o/*\'
525273188687953921,2014-10-23 13:11:01,'/v\v{}v/v\'
525258086962176000,2014-10-23 12:11:01,\.{|[(/[]\)]|}./
525242990080839680,2014-10-23 11:11:02,!(|{^{}^}|)!
525227890754220032,2014-10-23 10:11:02,(&lt;([])&gt;)
525212788529303553,2014-10-23 09:11:01,[{^[''|-|'']^}]
525197692033835009,2014-10-23 08:11:02,='&lt;:v[(^)]v:&gt;'=
525182588663922688,2014-10-23 07:11:01,*=&lt;{/==\}&gt;=*
525167490973069312,2014-10-23 06:11:01,!{-oo-}!
525152394171412480,2014-10-23 05:11:02,/[\[[*\!!/*]]/]\
525137291208323072,2014-10-23 04:11:01,o^(&lt;(o*o)&gt;)^o
525122191692951552,2014-10-23 03:11:01,'==((\/))=='
525107091577790464,2014-10-23 02:11:01,|o:*|v|-|v|*:o|
525091995317186560,2014-10-23 01:11:02,[!&lt;-/&lt;*&gt;\-&gt;!]
525076895986376704,2014-10-23 00:11:02,!(:&lt;&gt;:)!
525061793551753216,2014-10-22 23:11:01,|&lt;:-[|]-:&gt;|
525046697249243137,2014-10-22 22:11:02,{o{{v--v}}o}
525031594697162752,2014-10-22 21:11:01,&lt;|&lt;..&gt;|&gt;
525016495777382400,2014-10-22 20:11:01,-{*/=!=\*}-
525001397147037696,2014-10-22 19:11:01,**|!o!|**
524986299049328640,2014-10-22 18:11:02,/o('.:&lt;&lt;&gt;&gt;:.')o\
524971199668183040,2014-10-22 17:11:02,|\'^/{=!=}\^'/|
524956100417044480,2014-10-22 16:11:02,\*''!=[-]=!''*/
524941001321111552,2014-10-22 15:11:02,[^/{{|!\/!|}}\^]
524925899268161536,2014-10-22 14:11:01,!\\==//!
524910801921245184,2014-10-22 13:11:02,/\.v\|!.!|/v./\
524895699578925056,2014-10-22 12:11:01,o([{-*(v|v)*-}])o
524880602961817600,2014-10-22 11:11:02,v{^*()*^}v
524865502628569088,2014-10-22 10:11:02,-\!!!!/-
524850400370114560,2014-10-22 09:11:01,.//&lt;*v{\*/}v*&gt;\\.
524835302775717888,2014-10-22 08:11:01,(^o([::])o^)
524820203709140993,2014-10-22 07:11:01,{(/::\)}
524805103870812160,2014-10-22 06:11:01,&lt;[*{&lt;|{|}|&gt;}*]&gt;
524790003315245056,2014-10-22 05:11:01,o=-.[*::*].-=o
524774905834127360,2014-10-22 04:11:02,\=&lt;:'[{/\}]':&gt;=/
524759805257580545,2014-10-22 03:11:01,/-{//{{''}}\\}-\
524744707206049793,2014-10-22 02:11:02,(v:{((\|/))}:v)
524729605899714560,2014-10-22 01:11:01,{|\:!&lt;&gt;!:/|}
524714506484977664,2014-10-22 00:11:01,(o\.:o!=!o:./o)
524699406940258304,2014-10-21 23:11:01,&lt;(.o*\&lt;^&gt;/*o.)&gt;
524684305940111360,2014-10-21 22:11:01,!:'&lt;oo&gt;':!
524669208039542784,2014-10-21 21:11:01,[o\&lt;||&gt;/o]
524654107026808833,2014-10-21 20:11:01,\(|-&lt;v-v=v-v&gt;-|)/
524639009809899522,2014-10-21 19:11:01,[(-&lt;&gt;-)]
524623908386144257,2014-10-21 18:11:01,[{&lt;||&gt;}]
524608811458650112,2014-10-21 17:11:02,&lt;oo=&lt;:/=\:&gt;=oo&gt;
524593710563352576,2014-10-21 16:11:01,:(\[!]/):
524578611966509056,2014-10-21 15:11:01,-.=|/&lt;||&gt;\|=.-
524563513742987264,2014-10-21 14:11:02,&lt;(=&lt;/-\/\/-\&gt;=)&gt;
524548413787230208,2014-10-21 13:11:02,*\{&lt;()&gt;}/*
524533310455033856,2014-10-21 12:11:01,/{*[]*}\
524518214819385344,2014-10-21 11:11:02,//':.{v}.:'\\
524503114985263104,2014-10-21 10:11:02,-{[v'v]}-
524488014836531200,2014-10-21 09:11:01,*/&lt;(')&gt;\*
524472916336181248,2014-10-21 08:11:02,'**[-|-]**'
524457813897388032,2014-10-21 07:11:01,[=/.={**}=.\=]
524442714348466176,2014-10-21 06:11:01,(=[()]=)
524427616137543681,2014-10-21 05:11:01,((|&lt;-o{o}o-&gt;|))
524412517591056384,2014-10-21 04:11:01,&lt;&lt;=/[^]\=&gt;&gt;
524397416809005057,2014-10-21 03:11:01,^===-!-===^
524382319571120128,2014-10-21 02:11:02,^'\*:o[!^!]o:*/'^
524367219263021056,2014-10-21 01:11:02,!:[\/oo\/]:!
524352118434856960,2014-10-21 00:11:01,|:''/'!^!'\'':|
524337018571350016,2014-10-20 23:11:01,&lt;(!.(o).!)&gt;
524321917868978176,2014-10-20 22:11:01,*:\'!(=^=)!'/:*
524306821528293376,2014-10-20 21:11:02,{'(/vv\)'}
524291721174081536,2014-10-20 20:11:01,/[*vv*]\
524276623072591872,2014-10-20 19:11:02,:\:'o&lt;..&gt;o':/:
524261521355194368,2014-10-20 18:11:01,/{\--[&lt;&gt;]--/}\
524246423228129280,2014-10-20 17:11:01,:&lt;o\(*&lt;&gt;*)/o&gt;:
524231322999721984,2014-10-20 16:11:01,\(-=^:^=-)/
524216221697601536,2014-10-20 15:11:01,^!:|={/:\}=|:!^
524201123956412416,2014-10-20 14:11:01,\=v&lt;\!!/&gt;v=/
524186026118754305,2014-10-20 13:11:02,/.{({^})}.\
524170923294097408,2014-10-20 12:11:01,/:'{}':\
524155825087332352,2014-10-20 11:11:01,*[&lt;![=]!&gt;]*
524140726960259073,2014-10-20 10:11:02,![:&lt;*()*&gt;:]!
524125627851759616,2014-10-20 09:11:02,.\^.:/.:.\:.^/.
524110527824691203,2014-10-20 08:11:01,({-()-})
524095425956290560,2014-10-20 07:11:01,/\'&lt;/:*o*:\&gt;'/\
524080328445796352,2014-10-20 06:11:01,&lt;v(/o^^o\)v&gt;
524065229609926657,2014-10-20 05:11:02,/\[(!\\://!)]/\
524050130027442176,2014-10-20 04:11:02,/!/.'[!]'.\!\
524035028385542144,2014-10-20 03:11:01,'.\*|=:\/:=|*/.'
524019928018718720,2014-10-20 02:11:01,/.(&lt;-!{!!}!-&gt;).\
524004831506468864,2014-10-20 01:11:02,/v((\^^/))v\
523989732288901120,2014-10-20 00:11:02,[&lt;.|{=-{^}-=}|.&gt;]
523974631167107072,2014-10-19 23:11:01,[*\(^'v'v'^)/*]
523959533023297536,2014-10-19 22:11:02,/|=&lt;/{o*o}\&gt;=|\
523944431112970241,2014-10-19 21:11:01,[.{[-[()]-]}.]
523929331471765504,2014-10-19 20:11:01,v**[|]**v
523914231981551617,2014-10-19 19:11:01,*{((=))}*
523899132013203456,2014-10-19 18:11:01,:.^-'-^.:
523884033517043712,2014-10-19 17:11:01,/|!*!*!|\
523868933116682241,2014-10-19 16:11:01,/'[&lt;&lt;()&gt;&gt;]'\
523853837464260610,2014-10-19 15:11:02,\:^(:)^:/
523838737101627392,2014-10-19 14:11:02,&lt;/'**'\&gt;
523823635384258560,2014-10-19 13:11:01,!*&lt;\|/&gt;*!
523808538129620992,2014-10-19 12:11:02,/o&lt;-[.]-&gt;o\
523793435959246848,2014-10-19 11:11:01,'!!/\!!'
523778339962900481,2014-10-19 10:11:02,{{!^'^!}}
523763238274871296,2014-10-19 09:11:01,\/['']\/
523748140605001728,2014-10-19 08:11:02,^.''&lt;&lt;-oo-&gt;&gt;''.^
523733040418533376,2014-10-19 07:11:01,'[.[(v)].]'
523717939242221568,2014-10-19 06:11:01,=-(//[{}]\\)-=
523702839546486784,2014-10-19 05:11:01,\&lt;\|v\^|^|^/v|/&gt;/
523687742207975424,2014-10-19 04:11:02,/(!-/:*:\-!)\
523672643174936577,2014-10-19 03:11:02,&lt;'vv{^&lt;=&gt;^}vv'&gt;
523657542317379584,2014-10-19 02:11:01,&lt;{[(/{*^*}\)]}&gt;
523642441950593024,2014-10-19 01:11:01,!\*^o^*/!
523627342066106368,2014-10-19 00:11:01,{=v[/&lt;(&lt;&gt;)&gt;\]v=}
