id,created_at,text
526222224319991808,2014-10-26 04:02:09,That was delicious! I'll be back tomorrow!
526215143118495747,2014-10-26 03:34:01,Give me the pizza!
526199645467197442,2014-10-26 02:32:26,No! I don't want that!
526177055847616512,2014-10-26 01:02:40,Give me the pepper!
526169432402313216,2014-10-26 00:32:23,Give me the french fries!
526161830398267392,2014-10-26 00:02:10,Give me the hamburger!
526146823488929793,2014-10-25 23:02:32,"No, I don't want that!"
526139171841142784,2014-10-25 22:32:08,Give me the chicken!
526131645603008512,2014-10-25 22:02:14,Give me the jam!
526124242996195328,2014-10-25 21:32:49,Give me the bread!
526116537808080897,2014-10-25 21:02:12,No. I don't want that.
526109031551606784,2014-10-25 20:32:22,Give me the hotdog!
526094060335816704,2014-10-25 19:32:53,That was awful! I'm never coming here again.
526071165920350208,2014-10-25 18:01:54,Give me the salt!
526056040169627648,2014-10-25 17:01:48,"Y'know, that wasn't too bad."
526048577630384128,2014-10-25 16:32:09,I'm very hungry!
526040938179592195,2014-10-25 16:01:47,Give me the fish!
526033563330695168,2014-10-25 15:32:29,Give me the rice!
526026028628463617,2014-10-25 15:02:32,Give me the chicken!
526018419892559873,2014-10-25 14:32:18,Give me the sandwich!
525905191845888000,2014-10-25 07:02:23,No! I don't want that!
525897628635381760,2014-10-25 06:32:20,"No, I don't want that."
525882601400057856,2014-10-25 05:32:37,That was terrible! I'm never coming back here.
525867413993054208,2014-10-25 04:32:16,That was delicious! I'll be back tomorrow!
525859838656380928,2014-10-25 04:02:10,Give me the cheese!
525852406525870080,2014-10-25 03:32:38,Give me the salt!
525845093802971137,2014-10-25 03:03:34,Give me the hotdog!
525829631228653572,2014-10-25 02:02:08,Give me the pizza!
525822166650982400,2014-10-25 01:32:28,Give me the water!
525799479631290368,2014-10-25 00:02:19,Give me the juice!
525784523481427968,2014-10-24 23:02:53,Give me the soda!
525769331087405057,2014-10-24 22:02:31,That was awful! I'm never coming here again.
525761790349549569,2014-10-24 21:32:33,Give me the french fries!
525754074608586752,2014-10-24 21:01:54,Give me the noodles!
525746606948098048,2014-10-24 20:32:13,I'm very hungry!
525731571341344769,2014-10-24 19:32:28,"No, I don't want that."
525723852530122752,2014-10-24 19:01:48,No. I don't want that.
525716434672828416,2014-10-24 18:32:20,Give me the pepper!
525708767455748097,2014-10-24 18:01:52,Give me the jam!
525701354342211584,2014-10-24 17:32:24,That was terrible! I'm never coming back here.
525686195829755904,2014-10-24 16:32:10,No! I don't want that!
525678552461500417,2014-10-24 16:01:48,Give me the chicken!
525671179420323840,2014-10-24 15:32:30,That was delicious! I'll be back tomorrow!
525656078965432320,2014-10-24 14:32:30,No! I don't want that.
525648533412532224,2014-10-24 14:02:31,Give me the fish!
525641017463037953,2014-10-24 13:32:39,No. I don't want that!
525633448635944960,2014-10-24 13:02:34,Give me the soda!
525610821385084928,2014-10-24 11:32:39,Give me the hotdog!
525603258430001152,2014-10-24 11:02:36,Give me the butter!
525565435022831616,2014-10-24 08:32:18,Give me the bread!
525557846834806785,2014-10-24 08:02:09,Give me the rice!
525550409071341568,2014-10-24 07:32:36,Give me the pepper!
525542793632960512,2014-10-24 07:02:20,Give me the juice!
525535243080433665,2014-10-24 06:32:20,Give me the eggs!
525527735624421377,2014-10-24 06:02:30,That was terrible! I'm never coming back here.
525520196669169664,2014-10-24 05:32:33,Give me the pizza!
525512584175157248,2014-10-24 05:02:18,I'm very hungry!
525505027855495168,2014-10-24 04:32:16,Give me the soda!
525497433908711425,2014-10-24 04:02:06,"No, I don't want that!"
525482860048703488,2014-10-24 03:04:11,No. I don't want that.
525474880825737216,2014-10-24 02:32:29,No! I don't want that!
525467253102219264,2014-10-24 02:02:10,Give me the hamburger!
525459788260311041,2014-10-24 01:32:30,Give me the salt!
525444802331303937,2014-10-24 00:32:57,Give me the noodles!
525437120153128961,2014-10-24 00:02:26,Give me the butter!
525429746185023488,2014-10-23 23:33:08,Give me the bread!
525422171133181952,2014-10-23 23:03:02,Give me the hotdog!
525414509989859328,2014-10-23 22:32:35,Give me the pepper!
525406979611963392,2014-10-23 22:02:40,No. I don't want that!
525399549805088769,2014-10-23 21:33:08,Give me the french fries!
525391815332343809,2014-10-23 21:02:24,Give me the water!
525384394459332608,2014-10-23 20:32:55,Give me the jam!
