id,created_at,text
525477755589103616,2014-10-24 02:43:54,pumpkin spice precursor
525468700216815616,2014-10-24 02:07:55,pumpkin spice spore
525126483895791616,2014-10-23 03:28:04,pumpkin spice information
525113471986192384,2014-10-23 02:36:22,pumpkin spice clothes
525105919839858688,2014-10-23 02:06:21,pumpkin spice piracy
524852310577405952,2014-10-22 09:18:36,pumpkin spice tautology
524844759731302400,2014-10-22 08:48:36,pumpkin spice vibrator
524837202832814080,2014-10-22 08:18:34,pumpkin spice sweeper
524829649382027264,2014-10-22 07:48:33,pumpkin spice cynicism
524822075597266944,2014-10-22 07:18:28,pumpkin spice dropper
524814524126203905,2014-10-22 06:48:27,pumpkin spice capsicum
524806968657969153,2014-10-22 06:18:26,pumpkin spice significance
524799416666845184,2014-10-22 05:48:25,pumpkin spice arena
524791612983873536,2014-10-22 05:17:25,pumpkin spice choker
524784058044133378,2014-10-22 04:47:24,pumpkin spice outpouring
524776506182995969,2014-10-22 04:17:23,pumpkin spice fruition
524768952543498240,2014-10-22 03:47:22,pumpkin spice sanctity
524761398333538304,2014-10-22 03:17:21,pumpkin spice indictment
524753850754801664,2014-10-22 02:47:22,pumpkin spice utopia
524746042344865792,2014-10-22 02:16:20,pumpkin spice bouquet
524738491024805892,2014-10-22 01:46:20,pumpkin spice brogue
524730935518826497,2014-10-22 01:16:18,pumpkin spice mouthpiece
524723382688829441,2014-10-22 00:46:17,pumpkin spice undertaking
524715578246701057,2014-10-22 00:15:17,pumpkin spice entity
524708023604756480,2014-10-21 23:45:16,pumpkin spice leadership
524700471848493057,2014-10-21 23:15:15,pumpkin spice breather
524692916921315328,2014-10-21 22:45:14,pumpkin spice repertory
524685113104158720,2014-10-21 22:14:13,pumpkin spice separation
524677559913443328,2014-10-21 21:44:12,pumpkin spice informant
524670007595122688,2014-10-21 21:14:12,pumpkin spice generalship
524662453360013313,2014-10-21 20:44:11,pumpkin spice dissipation
524654649555427328,2014-10-21 20:13:10,pumpkin spice sandalwood
524647095643303939,2014-10-21 19:43:09,pumpkin spice requirement
524639542309957633,2014-10-21 19:13:08,pumpkin spice dealer
524631989035356160,2014-10-21 18:43:08,pumpkin spice registrar
524624436486356992,2014-10-21 18:13:07,pumpkin spice iconography
524616633210253313,2014-10-21 17:42:06,pumpkin spice cropper
