id,created_at,text
451782239697649665,2014-04-03 18:04:14,@Willerysoup  I just can't figure out these...these Dinosaur Comics.
451782237470478337,2014-04-03 18:04:13,@loganpass It is now my stated intention!!
451782234471538688,2014-04-03 18:04:13,@JonDrobny I don't understand.
451782231535517696,2014-04-03 18:04:12,@krypto Aw MOM!
451782229979435008,2014-04-03 18:04:11,@tjvonp I think it is time YET AGAIN to have a manliness competition!
451782228301721600,2014-04-03 18:04:11,@arjen_JAS But I don't!
451782223788646400,2014-04-03 18:04:10,@tjvonp You know what people don't say often enough anymore?
451782221074944000,2014-04-03 18:04:09,@krypto Boxing! The word is a seventeenth-century alliteration of 'fisty' (of the fists) and 'cuff'!
451782218357030912,2014-04-03 18:04:09,@AJBulldis  This guarantees me POPULARITY.  Who would not like to hang out with someone who's the coolest?  The answer is no-one!
451782215974670336,2014-04-03 18:04:08,@tjvonp Hah hah! What's the matter monocle guy? You don't like being boxed by a kangaroo??
451782212505960448,2014-04-03 18:04:07,"@Willerysoup Sure are! How hard could it be? It's just like climbing stairs, only longer!"
451782209746108416,2014-04-03 18:04:07,@krypto This is carry-on baggage.
451782206956896256,2014-04-03 18:04:06,"@EbullentPrism Yeah, like in the fifties!  Everybody was neighbourly in the fifties!"
451782000911736832,2014-04-03 18:03:17,@JesseHair This concludes the brief history of Charles Babbage and his wonderful calculating engines!
451781998202200064,2014-04-03 18:03:16,"@iamthejeff Man I coulda told you that! I accidentally almost ate a whole pig at breakfast, you know?"
451781996197326848,2014-04-03 18:03:16,@lamguin Am I that crazy... TO DREAM?
451781993282289664,2014-04-03 18:03:15,@PattenPending Maybe that isn't always the case!
451781990623113216,2014-04-03 18:03:14,"@EbullentPrism Man, I've always wanted to travel to the future!"
451781988328820736,2014-04-03 18:03:14,@TXozarai What's that? Medical school is actually very hard to get into and you're not going to let me in? I guess I've been... SCHOOLED?
451781985036292096,2014-04-03 18:03:13,"@Willerysoup ""Tame what you keep, but please, keep what you tame."""
451781982041546752,2014-04-03 18:03:12,"@loganpass Hey, wait!"
451781979231371264,2014-04-03 18:03:12,@JonDrobny How INTRIGUING!
451781976245010432,2014-04-03 18:03:11,"@krypto Ha ha, so seriously, I have a thing for 12-year-old girls.  I'm ashamed of it, and yet -"
451781972868616192,2014-04-03 18:03:10,@tjvonp SECRETS.
451781970091974656,2014-04-03 18:03:10,@arjen_JAS See? I'M ALREADY HELPING.
451781968338747392,2014-04-03 18:03:09,"@tjvonp That's exactly my point!  We're RECONSTRUCTING it from hints, subtext, deduction and innuendo from his works.  I CAN USE THIS."
451781966883336192,2014-04-03 18:03:09,"@krypto I never said that, Dromiceiomimus! You'd better not have quotation marks around that!!"
451781964769398784,2014-04-03 18:03:08,@AJBulldis SECRETS OF THE MEDICAL PROFESSION!
451781961841790976,2014-04-03 18:03:08,"@tjvonp It doesn't actually exsist , you know. It is MADE-UP. CHIMERICAL."
451781960352821248,2014-04-03 18:03:07,"@Willerysoup I stubbed my toe! Frig frig frig frig frig! ...Hey, Shakespeare! I just leitwortstiled ""frig""!"
451781958658310144,2014-04-03 18:03:07,@krypto I have much to offer a potential mate! I am big and strong and oh so sexy!
451781955240357888,2014-04-03 18:03:06,"@EbullentPrism It's not THAT weird, is it?"
451781754534129664,2014-04-03 18:02:18,@moonlithorrors I'd like to know where you buy yours!
451781751304507392,2014-04-03 18:02:17,"@JesseHair Should've wished for ice cream, my friend!"
451781747651276800,2014-04-03 18:02:17,"@iamthejeff Well, I'm going to be an adult, Utahraptor! I'm going to memorize ALL SORTS of useful facts about my body!"
451781744463577089,2014-04-03 18:02:16,"@lamguin Dino-Goggles: Check! Well, that's everything.  I guess I'm ready to go back through time."
451781742488088577,2014-04-03 18:02:15,@PattenPending Hey. Hey! You have something stuck between your teeth!
451781739237474305,2014-04-03 18:02:14,@EbullentPrism WHAT HAVE I WROUGHT
451781736624451584,2014-04-03 18:02:14,"@TXozarai And then the dude would be like, ""IT'S TOO AWESOME MY MIND IS BREAKING""?"
451781734149799936,2014-04-03 18:02:13,@Willerysoup good pronoun use!
451781732279140352,2014-04-03 18:02:13,@loganpass Bitches gotta know when they've screwed up capitalization!
451781729326354435,2014-04-03 18:02:12,@JonDrobny It's funny because it's far away!
451781727287902208,2014-04-03 18:02:12,@krypto After several years of study I think it is safe to say that I have a firm grasp on the nature of reality!
451781724348108800,2014-04-03 18:02:11,"@tjvonp ""Oh, GOSH!"""
451781721155846144,2014-04-03 18:02:10,@arjen_JAS Utahraptor had made an excellent point.
451781719511683072,2014-04-03 18:02:10,"@tjvonp Hey, remember when there were frogs?"
451781715724214272,2014-04-03 18:02:09,@krypto I guess!
451781712821751808,2014-04-03 18:02:08,@AJBulldis ...today!
451781710716219392,2014-04-03 18:02:08,"@tjvonp With that in mind, I have started a new religion: Buddhism 2!"
451781708086378496,2014-04-03 18:02:07,"@Willerysoup What the heck, Oxford English Dictionary?!"
451781705938907136,2014-04-03 18:02:07,@krypto Utahraptor!
451781704470892544,2014-04-03 18:02:06,@EbullentPrism UTAHRAPTOR! What are you doing here?
451781487763808258,2014-04-03 18:01:15,@EbullentPrism G-
451781484882305024,2014-04-03 18:01:14,@TXozarai Does it have to work?
451781482399297536,2014-04-03 18:01:13,"@Willerysoup You are attracted to everything ever. Sweet! Good luck, dude or lady!"
451781479006085120,2014-04-03 18:01:12,"@loganpass Therefore, it's all downhill from here."
451781477043142656,2014-04-03 18:01:12,@JonDrobny I blame society!!
451781475071832064,2014-04-03 18:01:12,"@krypto Aw, really? All at once or in li'l bites?"
451781471695421440,2014-04-03 18:01:11,@tjvonp It alerts the audience that what follows is likely to be a short story with a humorous climax!
451781469778624513,2014-04-03 18:01:10,@arjen_JAS Of course!
451781467371106305,2014-04-03 18:01:10,@tjvonp Still! Burnsauce!!
451781464548323328,2014-04-03 18:01:09,@krypto Fake graves...for EVERYONE!
451781461926891520,2014-04-03 18:01:08,@AJBulldis I don't know! I can't look up mice on the internet because my internet is down!
451781459167035392,2014-04-03 18:01:08,@tjvonp I'm young at heart!
451781455559942144,2014-04-03 18:01:07,"@Willerysoup Okay. Good. Alright, I'm going to go back to talking about Star Trek now."
451781259643998208,2014-04-03 18:00:20,@JesseHair THIS time...
451781256473096192,2014-04-03 18:00:19,@PattenPending Midas watches in horror as his planet dies a golden death!
451781252996022273,2014-04-03 18:00:19,@wscreative A chartreusey shade of puce?
451781250777239552,2014-04-03 18:00:18,@moonlithorrors Not even!
451781247925100544,2014-04-03 18:00:17,@JesseHair THIS IS SUCH A GREAT IDEA!
451781246394183680,2014-04-03 18:00:17,@iamthejeff What? How?
451781244406083584,2014-04-03 18:00:17,@lamguin Whoo! Civilization's destroyed!
451781242443157504,2014-04-03 18:00:16,@PattenPending Ha! I have made a hilarious typographic error!
451781238332719104,2014-04-03 18:00:15,@EbullentPrism As usual!
451781234700480515,2014-04-03 18:00:14,@TXozarai Good eye!
451781231936409601,2014-04-03 18:00:14,"@Willerysoup I guess if they were a crazy racist, that would probably do it!"
451781229419851776,2014-04-03 18:00:13,@loganpass (Emotions too.)
451781226525757440,2014-04-03 18:00:12,@JonDrobny Exactly!
451781224650903552,2014-04-03 18:00:12,@krypto An astronaut.
451781221245140993,2014-04-03 18:00:11,@tjvonp That's a horrific idea!
451781218036490240,2014-04-03 18:00:10,@arjen_JAS That's not me!
451781215096283136,2014-04-03 18:00:10,@tjvonp Tee hee!
451781212990763008,2014-04-03 18:00:09,@krypto Exactly! I am a well-adjusted dinosaur.
451781209824059393,2014-04-03 18:00:08,@AJBulldis TODAY IS LABOUR DAY (LABOR DAY IN THE UNITED STATES) AND SHE STOOD ME UP AGAIN.
451780989442719744,2014-04-03 17:59:16,"@AJBulldis Now, to convince my friends that I'm not coo-coo KRAZY!"
451780986498330627,2014-04-03 17:59:15,@JesseHair ...
451780984350851072,2014-04-03 17:59:15,@PattenPending I didn't know they'd be engraving it live
451780981813297152,2014-04-03 17:59:14,"@wscreative HEY, WHY AM I HUNGRY? I JUST ATE A FEW HOURS AGO. I HAD A CHICKEN SAMMICH. I THINK?"
451780980122984448,2014-04-03 17:59:14,@moonlithorrors I submit that it would be pretty okay indeed!
451780977182785536,2014-04-03 17:59:13,@JesseHair That's seriously me right now!
451780975559577600,2014-04-03 17:59:12,@iamthejeff Um.
451780973328203776,2014-04-03 17:59:12,@lamguin Yeah you do! The bear with the punch...that punched other punches!
451780970006339584,2014-04-03 17:59:11,"@PattenPending Oh, wow! AGREED!"
451780966881583104,2014-04-03 17:59:10,@EbullentPrism They freak me right the heck out!
451780964113342464,2014-04-03 17:59:10,"@TXozarai Beyond me, that is!"
451780961001152512,2014-04-03 17:59:09,@Willerysoup Wouldn't be the first time!
451780959306649600,2014-04-03 17:59:09,"@loganpass And yet, somehow worse!"
451780957196914689,2014-04-03 17:59:08,"@JonDrobny (""Norms"" is what I call normal people, AND sets of guys named ""Norm"".)"
451780955166887936,2014-04-03 17:59:08,@krypto Today is a good day I think for surprising my friends...
451780952188923905,2014-04-03 17:59:07,"@tjvonp Please?  Promise to meet me in a pub in 10 years, okay?"
451780950100152321,2014-04-03 17:59:06,@arjen_JAS Part of the research would be extending the effects 24/7!
451780743996248064,2014-04-03 17:58:17,"@amiked ""I - I've been awakened by nuclear testing!"" um"
