id,created_at,text
401829415450980352,2013-11-16 21:49:32,¿bip?
251642996259430400,2012-09-28 11:22:20,Bip
224780866646310912,2012-07-16 08:21:49,Bip......
221736561065197568,2012-07-07 22:44:50,RT @laperiferia: closer to the stars http://t.co/MuYMx4PZ cc @s_p_u_t_n_i_k
221247404442255361,2012-07-06 14:21:06,Bip bip bip bip
221244955631431681,2012-07-06 14:11:22,@astrosofista bip bip bip
180084409926561792,2012-03-15 00:14:03,@unbreakmypants Bip.... Bip.... Bip.... Bip.... Bip.... Bip....
180083184900378624,2012-03-15 00:09:11,bip bip
172664150676344832,2012-02-23 12:48:36,bip!
141983427565064193,2011-11-30 20:54:21,bip... bip..
127496483955150848,2011-10-21 21:28:25,RT @carabiru: @s_p_u_t_n_i_k bip bip bipbip biiiiiiiip
127021948579483648,2011-10-20 14:02:47,bip
124172214496018433,2011-10-12 17:18:57,bip
123113700663107584,2011-10-09 19:12:48,bip bip bip bip bip bip bip bip bip bip bip bip bip bip bip bip bip bip bip bip bip bip bip bip bip bip bip bip bip bip bip bip bip bip bip
122784272674336768,2011-10-08 21:23:46,@j_Ant_ bip...
119069086574575616,2011-09-28 15:20:57,bip...
117636858393018369,2011-09-24 16:29:47,@nombreapellidez .........................................................................................   .....                ...    bip
117636772086808576,2011-09-24 16:29:26,@_TETERA_DR_ bip... bip..
117556371775438849,2011-09-24 11:09:57,@xmooth bip.....
117556053968818176,2011-09-24 11:08:42,bip... bip...
109745093099012096,2011-09-02 21:50:43,@CristinaRiera bip... bip...
107215219679432704,2011-08-26 22:17:54,bip... bip ...
105417973111590912,2011-08-21 23:16:18,Bip... Bip...
99782764370472960,2011-08-06 10:03:59,bip... bip
95245371420311552,2011-07-24 21:34:00,bip... bip...
93600934634070016,2011-07-20 08:39:36,bip....
92720750263410689,2011-07-17 22:22:04,bip... bip.... bip
91948708127715328,2011-07-15 19:14:15,bip...!
91448968818593792,2011-07-14 10:08:27,bip...
91253610373054465,2011-07-13 21:12:10,@ethel_baraona Bip ... Bip...!
91237509664747520,2011-07-13 20:08:12,Bip
91235965053566976,2011-07-13 20:02:03,bip...bip....
87232882610933760,2011-07-02 18:55:14,Bip ....
86544714739888128,2011-06-30 21:20:42,Bip... Bip...
86476291485868033,2011-06-30 16:48:49,Bip ...
86470591946829824,2011-06-30 16:26:10,Bip ... Bip ...
86469982107598849,2011-06-30 16:23:44,Bip ... Bip ... Bip ...
