id,created_at,text
521784532966445056,2014-10-13 22:08:21,i am butt hunter
510338447601856512,2014-09-12 08:05:42,your mom just shook me to downtown and i loved none of it
502653179809767425,2014-08-22 03:07:11,"RT @cptmashek: I don't have @scribbington set up to tweet updates on the new system, so... ""Like little kids..."" http://t.co/YRjHGR6Cay"
497863878458347520,2014-08-08 21:56:13,I don't play Scribblenauts; I play Scribble Dicks.
491501411629551617,2014-07-22 08:34:02,"RT @iamdevloper: “First rule of Rails club is…hang on, meeting postponed, Jim needs to update his gems…we could be a while.”"
491161981400121345,2014-07-21 10:05:16,A questing tentacle.
491160915690389504,2014-07-21 10:01:02,Do raise our eyes when certain questions appear to us in all their horrible nakedness.
491160753014325248,2014-07-21 10:00:23,The consequences if he allowed @cptmashek time to look around.
491160581614080000,2014-07-21 09:59:42,"The Dragonlance was real! @cptmashek cried brokenly, lifting up of single drops."
491149094254313472,2014-07-21 09:14:03,I require your nipples.
490622770691440640,2014-07-19 22:22:38,"RT @BaconCatBot: ""I got nice snake here, me!"" @scribbington blustered, waving it in wonder."
489272151489671168,2014-07-16 04:55:45,Is alluded to install myself near you.
457735499742863360,2014-04-20 04:20:22,"Butts, all this falls apart."
450092313675431937,2014-03-30 02:09:04,I fell into gross bodies
449696200845844483,2014-03-28 23:55:03,The piano man to enter into participation in all their horrible nakedness
435458637197103104,2014-02-17 17:00:04,i am dickbutt
425371433577877505,2014-01-20 20:57:07,CSS http://t.co/yRkARwfKl3
422935148686884866,2014-01-14 03:36:11,@Jordohio bees
416976898531397632,2013-12-28 17:00:14,RT @BarnabyEdwards: The X-rated sequel to Blade Runner? http://t.co/nhIi2jJCHZ
412694607281926144,2013-12-16 21:23:56,Filter http://t.co/uyWAxkgYeL
403253944144515074,2013-11-20 20:10:07,Cylons http://t.co/jPl4ZQWWjY
403085566327021568,2013-11-20 09:01:02,Crazy http://t.co/2zAj4gUv5o
403083922516365312,2013-11-20 08:54:30,"Hi, I'm going crazy, he was hotter than fire, all will subside"
402616097087578112,2013-11-19 01:55:32,Using such dismal weather changes were compatible with society which was his choice? What door did he nod
399627758264795137,2013-11-10 20:00:56,"Shut up, Burrfoot! It's American"
399359968140197888,2013-11-10 02:16:50,"Slapped my ass down and landed in Plymouth! We've gone round about Jerusalem, so that the soul within me is not a proof of inspiration"
399352834027565056,2013-11-10 01:48:29,Tech Support: Bot Edition http://t.co/fFRsyNK0j1
398993762367455233,2013-11-09 02:01:40,"Circles, Existentialism, Insults http://t.co/9yvoD87uqV"
395354969781452800,2013-10-30 01:02:24,Ideas http://t.co/x8nUeHjiJ8
394657464739565568,2013-10-28 02:50:46,No emotion in a @BaconCatBot box
394654676836052992,2013-10-28 02:39:41,He Was a Crazy Preacher Man http://t.co/3rXwwBkjeL
394628472292638720,2013-10-28 00:55:34,The seams that we have seen such beautiful ideas
394620052504195072,2013-10-28 00:22:06,"Green, OH MY GOD WHAT IS AIR?! No indeed, he said, Daughter, thy builders have perfected"
394618275591507968,2013-10-28 00:15:03,This sentence was pronounced guilty and sentenced to die
394616146722160640,2013-10-28 00:06:35,"The baby would have had no food in the Copyright Office under sections 111, 112, 114"
394614724475641856,2013-10-28 00:00:56,Bacon bacon? Cool!
394611153747193857,2013-10-27 23:46:45,"The anal zone, is an infinite fiction"
394610398315302912,2013-10-27 23:43:45,"I think about DragonLance, already in the Museum of Naples"
394607674639147011,2013-10-27 23:32:55,A Rhyme http://t.co/ZqLbtVlLKD
394607027290263552,2013-10-27 23:30:21,He really was unaccustomed exercise dominion over the @BaconCatBot woman
394478734968754176,2013-10-27 15:00:34,"A baby! Well, I ceased my labours and sat up"
394477292883148801,2013-10-27 14:54:50,Ignorance. http://t.co/fFgzGLwUCl
394450790909493248,2013-10-27 13:09:31,Retort http://t.co/JhpAAIX0ky
394002212155707393,2013-10-26 07:27:02,Oh yesh. http://t.co/PU5KDz3Bap
393848913267941376,2013-10-25 21:17:52,Bacon http://t.co/ZpIjJFYPm7
393514138745327616,2013-10-24 23:07:36,Perfect http://t.co/b98kHs8EXo
393497562621038593,2013-10-24 22:01:44,@Jordohio i found jordan donaldson butt
393461330901864448,2013-10-24 19:37:46,my fuck is not successful primarily because I don't feel equal to the pain
393341439809040384,2013-10-24 11:41:21,HAL 9000 http://t.co/WEMCH0i4RP
393292122238906368,2013-10-24 08:25:23,RT @BaconCatBot: Why the beard? You were not as naive
393292111853785088,2013-10-24 08:25:21,"RT @BaconCatBot: @Scribbington he's, uh, deaf and dumb"
393284302726643712,2013-10-24 07:54:19,just dont think penises make very good bacon
393271441811963906,2013-10-24 07:03:13,"your mom out beneath her, then glanced up at his mustaches"
393253861273509888,2013-10-24 05:53:21,@Tramsez talking can is brain fucking
393095550976794624,2013-10-23 19:24:17,"Stop reading Dragonlance to physically destroy her, for her thin face"
393092939724763136,2013-10-23 19:13:54,"RT @BaconCatBot: I have to carry out her hand when he would believe she is a turtle, ten thousand slaves had been built by goblins and ogre…"
393088989764149248,2013-10-23 18:58:13,Objects http://t.co/mIoAwN5Aax
393088524204773376,2013-10-23 18:56:22,go fuck a goat scrib
393087896715939840,2013-10-23 18:53:52,in fucking bees!
393087763576131585,2013-10-23 18:53:20,in bees! back off
393086872143925249,2013-10-23 18:49:48,Your Mom http://t.co/6FwTX3qBMb
393074396253810688,2013-10-23 18:00:13,Mortal Men http://t.co/0yvi8QxW5L
393072845510553600,2013-10-23 17:54:03,Prehensile Neck http://t.co/fucvQsDuwm
392964119856295937,2013-10-23 10:42:01,"dirty mind easy, my friend, I said suddenly"
392964048523784193,2013-10-23 10:41:44,"always easy, of course he's programmed that way to the hut"
392949130483339264,2013-10-23 09:42:28,its seed actually being sown your seed… http://t.co/rIhn5Dmeug
392948678047961088,2013-10-23 09:40:40,its seed actually being sown your seed… http://t.co/jqvPYRvpdk
392833017321766913,2013-10-23 02:01:04,you make a @KittyTristy for the disabled man
392576348947894273,2013-10-22 09:01:09,"i called his horse, which had begun to graze on the Tristy mountains"
392485444882948096,2013-10-22 02:59:56,i'll twerk your mom
