id,created_at,text
525471154216390656,2014-10-24 02:17:40,@mashable Hey! Speak for yourself!
525466451919245312,2014-10-24 01:58:59,"@CNBC Speak for yourself, buddy."
525466451252355073,2014-10-24 01:58:59,@HuffingtonPost Hey! Speak for yourself!
525466450686140416,2014-10-24 01:58:59,"@FoxNews Speak for yourself, buddy."
525466450082148352,2014-10-24 01:58:59,@CNBC Speak for yourself.
525466449444622337,2014-10-24 01:58:58,"@nytimes Hey! Speak for yourself, buddy!"
525461303067148288,2014-10-24 01:38:31,@MotherJones Hey! You should speak for yourself!
525459442868166656,2014-10-24 01:31:08,"@peoplemag Speak for yourself, buddy!"
525459442209652736,2014-10-24 01:31:08,"@GuardianUS Speak for yourself, buddy!"
525459441270136832,2014-10-24 01:31:08,@MotherJones Speak for yourself!
525457035480272897,2014-10-24 01:21:34,"@TIME Speak for yourself, buddy!"
525457034855342080,2014-10-24 01:21:34,"@businessinsider Speak for yourself, buddy."
525454365277315072,2014-10-24 01:10:57,"@HuffingtonPost Speak for yourself, buddy."
525451907108990978,2014-10-24 01:01:11,@Forbes Speak for yourself!
525451906530172928,2014-10-24 01:01:11,@peoplemag Speak for yourself!
525451906001678336,2014-10-24 01:01:11,@TIME Speak for yourself.
525449466539950080,2014-10-24 00:51:29,@NYMag Hey! Speak for yourself!
525449465940172800,2014-10-24 00:51:29,@HuffingtonPost Hey! You should speak for yourself!
525441677423820800,2014-10-24 00:20:32,"@WSJ Speak for yourself, buddy!"
525441676840812545,2014-10-24 00:20:32,"@eonline Speak for yourself, buddy."
525439593169297411,2014-10-24 00:12:15,@CNNMoney Hey! Speak for yourself!
525439592535965696,2014-10-24 00:12:15,@businessinsider Speak for yourself!
525436906939895808,2014-10-24 00:01:35,"@TMZ Speak for yourself, buddy."
525436906293956609,2014-10-24 00:01:35,@Medium Hey! Speak for yourself!
525432020181483520,2014-10-23 23:42:10,"@TIME Speak for yourself, buddy!"
525432019506176000,2014-10-23 23:42:10,"@EW Speak for yourself, buddy."
525432018889617408,2014-10-23 23:42:10,@HuffingtonPost Hey! Speak for yourself!
525432018268876801,2014-10-23 23:42:09,@MTVNews Hey! You should speak for yourself!
525432017627144192,2014-10-23 23:42:09,@HuffingtonPost Hey! Speak for yourself!
525429342340673536,2014-10-23 23:31:31,@CNBC Hey! You should speak for yourself!
525426678311682048,2014-10-23 23:20:56,@CNBC Speak for yourself!
525424055848288256,2014-10-23 23:10:31,@mashable Hey! You should speak for yourself!
525424055168798720,2014-10-23 23:10:31,@TMZ Speak for yourself.
525421789594525697,2014-10-23 23:01:31,"@thedailybeast Hey! Speak for yourself, buddy!"
525421788847960065,2014-10-23 23:01:30,"@GuardianUS Speak for yourself, buddy."
525421788109766656,2014-10-23 23:01:30,@eonline Hey! You should speak for yourself!
525421787468025856,2014-10-23 23:01:30,@peoplemag Hey! Speak for yourself!
525419140476305410,2014-10-23 22:50:59,@VanityFair Hey! Speak for yourself!
525419139759083521,2014-10-23 22:50:59,"@usweekly Speak for yourself, buddy!"
525419139150921729,2014-10-23 22:50:59,"@Slate Speak for yourself, buddy!"
525416954648350720,2014-10-23 22:42:18,"@EW Hey! Speak for yourself, buddy!"
525416953947889664,2014-10-23 22:42:18,"@mashable Speak for yourself, buddy!"
525413956811522050,2014-10-23 22:30:23,@nytimes Speak for yourself!
525413956165586945,2014-10-23 22:30:23,@GuardianUS Hey! Speak for yourself!
525413955519651840,2014-10-23 22:30:23,@NYMag Hey! You should speak for yourself!
525411691535020032,2014-10-23 22:21:23,@Slate Hey! Speak for yourself!
525411690947837952,2014-10-23 22:21:23,"@businessinsider Speak for yourself, buddy!"
525411690343845889,2014-10-23 22:21:23,"@peoplemag Speak for yourself, buddy."
525408965816246272,2014-10-23 22:10:33,"@mashable Hey! Speak for yourself, buddy!"
525408965212258306,2014-10-23 22:10:33,"@TMZ Speak for yourself, buddy!"
525406433354186754,2014-10-23 22:00:29,"@MTVNews Speak for yourself, buddy!"
525404224239443968,2014-10-23 21:51:43,"@Slate Speak for yourself, buddy!"
525404223610314753,2014-10-23 21:51:43,@TimeOutNewYork Speak for yourself.
525401537720623104,2014-10-23 21:41:02,"@HuffingtonPost Speak for yourself, buddy."
525401536638488576,2014-10-23 21:41:02,"@TMZ Speak for yourself, buddy."
525399193381523456,2014-10-23 21:31:43,@EW Hey! Speak for yourself!
525399192643309569,2014-10-23 21:31:43,@VanityFair Speak for yourself.
525396560222625793,2014-10-23 21:21:16,@CNBC Speak for yourself!
525390839615590400,2014-10-23 20:58:32,"@digg Speak for yourself, buddy!"
525390838877413376,2014-10-23 20:58:31,"@TMZ Hey! Speak for yourself, buddy!"
525385814197694466,2014-10-23 20:38:33,"@ezraklein Hey! Speak for yourself, buddy!"
525385812893237248,2014-10-23 20:38:33,@FoxNews Speak for yourself!
525380458461548544,2014-10-23 20:17:17,@VanityFair Speak for yourself!
525373722778402817,2014-10-23 19:50:31,@Gothamist Hey! You should speak for yourself!
525373721864073216,2014-10-23 19:50:30,@MTVNews Speak for yourself!
525371166392090625,2014-10-23 19:40:21,"@HuffingtonPost Speak for yourself, buddy."
525371165754548224,2014-10-23 19:40:21,"@businessinsider Hey! Speak for yourself, buddy!"
525371164982804482,2014-10-23 19:40:21,"@peoplemag Speak for yourself, buddy!"
525368546000666624,2014-10-23 19:29:56,"@EW Hey! Speak for yourself, buddy!"
525366509317943297,2014-10-23 19:21:51,"@GuardianUS Hey! Speak for yourself, buddy!"
525363796559548417,2014-10-23 19:11:04,@EW Hey! You should speak for yourself!
525363795938795520,2014-10-23 19:11:04,"@HuffingtonPost Hey! Speak for yourself, buddy!"
525360833413775360,2014-10-23 18:59:18,@Newsweek Speak for yourself!
525355573777551360,2014-10-23 18:38:24,@VanityFair Speak for yourself.
525352936646664193,2014-10-23 18:27:55,@GuardianUS Speak for yourself!
525346190544863232,2014-10-23 18:01:06,@peoplemag Speak for yourself.
525343687208095745,2014-10-23 17:51:10,@TIME Speak for yourself!
525343686415380480,2014-10-23 17:51:09,@eonline Speak for yourself!
525343685538754560,2014-10-23 17:51:09,@voxdotcom Hey! Speak for yourself!
525343684855103489,2014-10-23 17:51:09,@HuffingtonPost Hey! Speak for yourself!
525343683915575297,2014-10-23 17:51:09,@CNBC Hey! Speak for yourself!
525341047778717698,2014-10-23 17:40:40,@HuffingtonPost Speak for yourself!
525341047124414464,2014-10-23 17:40:40,@peoplemag Speak for yourself!
525335823173304321,2014-10-23 17:19:55,"@mashable Speak for yourself, buddy."
525335822321844225,2014-10-23 17:19:54,@MotherJones Hey! You should speak for yourself!
525335821524946947,2014-10-23 17:19:54,@Forbes Speak for yourself.
525330975119925248,2014-10-23 17:00:39,@washingtonpost Hey! Speak for yourself!
525330974494973953,2014-10-23 17:00:39,@NYMag Hey! You should speak for yourself!
525328406037426176,2014-10-23 16:50:26,@businessinsider Speak for yourself!
525325980760825856,2014-10-23 16:40:48,@Newsweek Speak for yourself!
525325980123283456,2014-10-23 16:40:48,"@HuffingtonPost Speak for yourself, buddy!"
525325979531890689,2014-10-23 16:40:48,@ThisIsFusion Hey! Speak for yourself!
525320630800228352,2014-10-23 16:19:33,@HuffingtonPost Speak for yourself!
525320629990739968,2014-10-23 16:19:32,@MTVNews Hey! You should speak for yourself!
525318570855899137,2014-10-23 16:11:21,"@MTVNews Hey! Speak for yourself, buddy!"
525318570134499328,2014-10-23 16:11:21,"@businessinsider Speak for yourself, buddy."
525318569387896832,2014-10-23 16:11:21,"@TMZ Speak for yourself, buddy."
525318568599355393,2014-10-23 16:11:21,@eonline Speak for yourself!
525318567118766080,2014-10-23 16:11:21,"@GuardianUS Speak for yourself, buddy!"
525315667340562432,2014-10-23 15:59:49,@digg Speak for yourself.
525310750202789888,2014-10-23 15:40:17,@nprnews Hey! Speak for yourself!
525310749540089858,2014-10-23 15:40:17,@digg Hey! Speak for yourself!
525310748810297344,2014-10-23 15:40:16,"@NYMag Speak for yourself, buddy!"
525308104444239872,2014-10-23 15:29:46,@Salon Speak for yourself!
525308103425032192,2014-10-23 15:29:46,@ezraklein Hey! Speak for yourself!
525306055195369473,2014-10-23 15:21:37,@GuardianUS Speak for yourself.
525306054549454851,2014-10-23 15:21:37,"@thedailybeast Hey! Speak for yourself, buddy!"
525306053928685568,2014-10-23 15:21:37,"@Slate Speak for yourself, buddy!"
525303398040870912,2014-10-23 15:11:04,"@MTVNews Speak for yourself, buddy!"
525303397378195457,2014-10-23 15:11:04,"@businessinsider Hey! Speak for yourself, buddy!"
525295662788014080,2014-10-23 14:40:20,@Slate Speak for yourself.
525295661919793152,2014-10-23 14:40:19,"@HuffingtonPost Speak for yourself, buddy!"
525293037468278784,2014-10-23 14:29:54,@mashable Hey! You should speak for yourself!
525293036700704769,2014-10-23 14:29:54,"@HuffingtonPost Speak for yourself, buddy."
525293036054781952,2014-10-23 14:29:53,@GuardianUS Speak for yourself!
525288267642863618,2014-10-23 14:10:57,@NYMag Speak for yourself.
525288266917228544,2014-10-23 14:10:56,@Medium Speak for yourself!
525288266321645569,2014-10-23 14:10:56,"@TIME Speak for yourself, buddy!"
525288265734443008,2014-10-23 14:10:56,@WSJIndia Speak for yourself.
525285529148219392,2014-10-23 14:00:04,"@VanityFair Speak for yourself, buddy!"
525285528510681088,2014-10-23 14:00:03,"@mashable Speak for yourself, buddy."
525280895641858048,2014-10-23 13:41:39,@washingtonpost Hey! You should speak for yourself!
525280894710710272,2014-10-23 13:41:39,@Salon Hey! You should speak for yourself!
525278087148498944,2014-10-23 13:30:29,"@washingtonpost Speak for yourself, buddy!"
525278086473203714,2014-10-23 13:30:29,"@VanityFair Hey! Speak for yourself, buddy!"
525275439582171136,2014-10-23 13:19:58,@MTVNews Speak for yourself!
525273157436198912,2014-10-23 13:10:54,@Salon Speak for yourself.
525269787199692801,2014-10-23 12:57:30,"@peoplemag Speak for yourself, buddy!"
525269786578927616,2014-10-23 12:57:30,"@Salon Hey! Speak for yourself, buddy!"
525264736343322624,2014-10-23 12:37:26,@businessinsider Speak for yourself.
525264735605125120,2014-10-23 12:37:26,@nytimes Hey! Speak for yourself!
525260695349510145,2014-10-23 12:21:23,"@EW Speak for yourself, buddy!"
525260694540013568,2014-10-23 12:21:23,@BloombergNews Hey! Speak for yourself!
525258100404920320,2014-10-23 12:11:04,"@MotherJones Speak for yourself, buddy."
525255207484395520,2014-10-23 11:59:34,"@businessinsider Hey! Speak for yourself, buddy!"
525255206884622336,2014-10-23 11:59:34,"@mashable Speak for yourself, buddy."
525255206205140992,2014-10-23 11:59:34,"@FoxNews Speak for yourself, buddy."
525252823567843328,2014-10-23 11:50:06,"@HuffingtonPost Speak for yourself, buddy."
525250505212428288,2014-10-23 11:40:53,"@HuffingtonPost Speak for yourself, buddy!"
525250504566517760,2014-10-23 11:40:53,@businessinsider Speak for yourself!
525250503933190144,2014-10-23 11:40:53,@Forbes Speak for yourself!
525248031848148992,2014-10-23 11:31:04,@mashable Hey! Speak for yourself!
525248030686347264,2014-10-23 11:31:03,"@WSJIndia Hey! Speak for yourself, buddy!"
525248030107512832,2014-10-23 11:31:03,"@thedailybeast Hey! Speak for yourself, buddy!"
525245560769769473,2014-10-23 11:21:14,@HuffingtonPost Hey! Speak for yourself!
525243021030608896,2014-10-23 11:11:09,@nytimes Hey! Speak for yourself!
525243020439220224,2014-10-23 11:11:09,@eonline Speak for yourself.
525239835515441152,2014-10-23 10:58:29,"@mashable Speak for yourself, buddy!"
525237455898050560,2014-10-23 10:49:02,"@mashable Speak for yourself, buddy."
525232482451746816,2014-10-23 10:29:16,"@nytimes Speak for yourself, buddy!"
525232481554141184,2014-10-23 10:29:16,@mashable Speak for yourself.
525230179443302400,2014-10-23 10:20:07,@NYMag Hey! Speak for yourself!
525230178814144512,2014-10-23 10:20:07,@eonline Speak for yourself!
525222434895855616,2014-10-23 09:49:21,@Forbes Hey! Speak for yourself!
525219980447846400,2014-10-23 09:39:36,"@Forbes Speak for yourself, buddy."
525214938579894272,2014-10-23 09:19:34,"@NYMag Hey! Speak for yourself, buddy!"
525214937912995840,2014-10-23 09:19:33,@eonline Hey! You should speak for yourself!
525214937204142080,2014-10-23 09:19:33,@HuffingtonPost Speak for yourself!
525212625282822144,2014-10-23 09:10:22,@mashable Hey! Speak for yourself!
525212624628502528,2014-10-23 09:10:22,@NYMag Speak for yourself.
525209832849412096,2014-10-23 08:59:16,@mashable Hey! You should speak for yourself!
525207558769090560,2014-10-23 08:50:14,@Forbes Hey! You should speak for yourself!
525197514694492161,2014-10-23 08:10:19,"@businessinsider Hey! Speak for yourself, buddy!"
525197513994014720,2014-10-23 08:10:19,@Salon Speak for yourself!
525197513251651584,2014-10-23 08:10:19,@peoplemag Speak for yourself!
525195087341690880,2014-10-23 08:00:41,"@Forbes Hey! Speak for yourself, buddy!"
525195086683176960,2014-10-23 08:00:40,@businessinsider Hey! You should speak for yourself!
525195086087598081,2014-10-23 08:00:40,@Salon Hey! Speak for yourself!
525195085554933760,2014-10-23 08:00:40,@peoplemag Hey! Speak for yourself!
525192707036430336,2014-10-23 07:51:13,"@HuffingtonPost Speak for yourself, buddy!"
525190139648409600,2014-10-23 07:41:01,@Forbes Speak for yourself!
525187473136435200,2014-10-23 07:30:25,@eonline Speak for yourself.
525187472373075968,2014-10-23 07:30:25,@Forbes Hey! Speak for yourself!
525184984001568768,2014-10-23 07:20:32,"@Forbes Speak for yourself, buddy!"
525184983372410880,2014-10-23 07:20:32,@eonline Hey! You should speak for yourself!
525182399790202880,2014-10-23 07:10:16,"@Salon Speak for yourself, buddy."
525182399182041088,2014-10-23 07:10:16,"@businessinsider Speak for yourself, buddy!"
525182398536101888,2014-10-23 07:10:15,@HuffingtonPost Speak for yourself.
525182397827276802,2014-10-23 07:10:15,@Forbes Speak for yourself.
525179701204365312,2014-10-23 06:59:32,"@WSJIndia Hey! Speak for yourself, buddy!"
525179700604600320,2014-10-23 06:59:32,"@GuardianUS Speak for yourself, buddy."
525179699996409856,2014-10-23 06:59:32,@NYMag Speak for yourself.
525177297591369728,2014-10-23 06:49:59,@WSJ Hey! You should speak for yourself!
525177296853147648,2014-10-23 06:49:59,@Salon Speak for yourself.
525177296215605248,2014-10-23 06:49:59,@WSJIndia Speak for yourself!
525177295682957312,2014-10-23 06:49:59,@GuardianUS Hey! Speak for yourself!
525172284479533056,2014-10-23 06:30:04,@Forbes Hey! You should speak for yourself!
525169958838603778,2014-10-23 06:20:50,@Salon Hey! Speak for yourself!
525169958247215104,2014-10-23 06:20:49,@Forbes Speak for yourself!
525167503174295552,2014-10-23 06:11:04,"@Salon Speak for yourself, buddy."
525164427717656576,2014-10-23 05:58:51,"@businessinsider Speak for yourself, buddy!"
525164427189161984,2014-10-23 05:58:51,"@NYMag Speak for yourself, buddy."
525162072049721345,2014-10-23 05:49:29,@businessinsider Hey! Speak for yourself!
525159635687604224,2014-10-23 05:39:48,@CNNMoney Speak for yourself.
525159634987130880,2014-10-23 05:39:48,@HuffingtonPost Speak for yourself.
525159634186031104,2014-10-23 05:39:48,@CNBC Speak for yourself.
525159633603010560,2014-10-23 05:39:48,"@mashable Speak for yourself, buddy."
525159633003249665,2014-10-23 05:39:48,@WSJ Hey! Speak for yourself!
525157102109872128,2014-10-23 05:29:44,@thedailybeast Speak for yourself!
525154708319928320,2014-10-23 05:20:14,@WSJIndia Speak for yourself.
525152276038832128,2014-10-23 05:10:34,"@peoplemag Hey! Speak for yourself, buddy!"
525149407743066113,2014-10-23 04:59:10,@nytimes Speak for yourself.
525149407202017280,2014-10-23 04:59:10,"@NYMag Speak for yourself, buddy!"
525149406610591744,2014-10-23 04:59:10,"@mashable Speak for yourself, buddy!"
525149405922725889,2014-10-23 04:59:09,@washingtonpost Hey! You should speak for yourself!
525147065341710336,2014-10-23 04:49:51,"@nytimes Speak for yourself, buddy."
525147064712560640,2014-10-23 04:49:51,@NYMag Hey! You should speak for yourself!
525144775545352192,2014-10-23 04:40:45,@CNBC Speak for yourself!
525142145523781633,2014-10-23 04:30:18,"@TIME Speak for yourself, buddy!"
525142144806584320,2014-10-23 04:30:18,@peoplemag Speak for yourself!
525142144110329857,2014-10-23 04:30:18,"@peoplemag Speak for yourself, buddy!"
525142143464407040,2014-10-23 04:30:18,@CNBC Hey! Speak for yourself!
525140051878227968,2014-10-23 04:21:59,@NYMag Hey! Speak for yourself!
525140051316195329,2014-10-23 04:21:59,"@Forbes Speak for yourself, buddy."
525140050678665216,2014-10-23 04:21:59,@TIME Hey! Speak for yourself!
525131680571740160,2014-10-23 03:48:43,@CNBC Speak for yourself.
525131679942578176,2014-10-23 03:48:43,@mashable Speak for yourself!
525129336689807361,2014-10-23 03:39:24,@peoplemag Hey! You should speak for yourself!
525129336035479552,2014-10-23 03:39:24,@MTVNews Hey! Speak for yourself!
525129335368597504,2014-10-23 03:39:24,"@nytimes Speak for yourself, buddy!"
525129334647164929,2014-10-23 03:39:24,@WSJ Speak for yourself.
525126815174918144,2014-10-23 03:29:23,@HuffingtonPost Speak for yourself!
525126814549946368,2014-10-23 03:29:23,@Slate Hey! You should speak for yourself!
