id,created_at,text
525481814551724032,2014-10-24 03:00:02,just teh way up 2nite den brag abowt it on twiter but u ce'nt blok mai sweg!
525480556147273728,2014-10-24 02:55:02,spodermen: am guna beet u
525479307620401155,2014-10-24 02:50:04,rt if u ai'nt talkin monie i do'nt wana talk
525478039963324416,2014-10-24 02:45:02,rt if ur an fagit naemd u
525476780640313344,2014-10-24 02:40:02,loljk fuk me pls
525475525901680640,2014-10-24 02:35:02,teh best curv on an naice ass id fuk hur
525474272828215296,2014-10-24 02:30:04,gess il git durnk n fuk u wit mai sweg den yolo on it faec
525473000628703232,2014-10-24 02:25:00,itz 4th ov juli
525471748289228801,2014-10-24 02:20:02,i hav no frendz 2 cal ur bf:
525470483383599105,2014-10-24 02:15:00,shien brite liek an box ov choklits.
525469233506189312,2014-10-24 02:10:02,rt if u try hard n believ in urself u wil stil b an fagit fer halowene
525451641429164033,2014-10-24 01:00:08,rt if ur falowers r al fagits
525450362481037312,2014-10-24 00:55:03,rt if ur stayin up l8 on an skewl nite cuz am bad az fuk
525449100905701376,2014-10-24 00:50:02,rt if u havint: hao 2 b an betr plaec
525447841708539905,2014-10-24 00:45:02,litel boi: wut happenz wen i do mai hoemwerk
525446621287702529,2014-10-24 00:40:11,rt if ur falowers r fagits evrywer
525445319254097920,2014-10-24 00:35:01,der r 8 billiun ppl on dis dik if ur goin sweggin 2nite
525444069854830592,2014-10-24 00:30:03,mom: wut doez teh fox say?
525442801937702913,2014-10-24 00:25:00,rt if u hav sweg n den i feel betr
525441550600658944,2014-10-24 00:20:02,wut an butifel dai teh sun iz shienin teh munster dats nevr guna change
525440291437047810,2014-10-24 00:15:02,police oficer: do u cal in unkel reeko
525439033217155073,2014-10-24 00:10:02,am basikly fukin ur bich???
525437769322348544,2014-10-24 00:05:01,sientistz say dat der iz an 846% chance dat i fukd ur mom
525436523249156097,2014-10-24 00:00:03,u no u wana fuk me den git owt
525435253813694466,2014-10-23 23:55:01,ternin up on u cuz am not an fagit
525432738229542912,2014-10-23 23:45:01,rt if ur falowers r al fagits
525431485873262592,2014-10-23 23:40:02,rt if ur falowers r fagits
525430222196580352,2014-10-23 23:35:01,gerl: i tink am dyin quik sum1 git me mai snepbek cal 911
525428976123392000,2014-10-23 23:30:04,boi: welcum 2 mcdolans wut ken get veri sad n feel liek givin up den i remebr am not an fagit liek u den i feel betr
525427704121008128,2014-10-23 23:25:01,subskrieb 2 teh spodermen utueb chanel new vidio it teechez u hao 2 get an gerlfrend
525426450892349443,2014-10-23 23:20:02,2dai iz 11/12/13 n ur stil awaek cuz ur sweg iz alwais teh anser
525425186737491969,2014-10-23 23:15:01,wen ur dun luk in teh miror n u wil c an spelin mistaek in mai twetes
525423934716801024,2014-10-23 23:10:02,we al hav dat meens u hav 2 much sweg dats mai dai iv seen an lawt ov fagits...
525422697237708800,2014-10-23 23:05:07,rt if u shut teh fuk up
525421420969746433,2014-10-23 23:00:03,i may nao fuk ur car
525420152750608384,2014-10-23 22:55:00,i spend mai dayz fukin biches n snort yolo hoos wit me!?!?
525418901816238080,2014-10-23 22:50:02,ya n spodermen fukd mai way 2 fuk ur bich
525417683559649280,2014-10-23 22:45:12,rt if u ai'nt talkin muney i do'nt wana talk
525416384734707712,2014-10-23 22:40:02,rt if ur an fagit n no1 luvs u
525415122245017600,2014-10-23 22:35:01,i wud fuk ur bich but u probly do'nt hav sweg on fridai
525413875366494209,2014-10-23 22:30:04,i gawt 99 problums but onli fagits cri
525412602663690241,2014-10-23 22:25:00,teh gud newz iz: ur stil an fagit n no1 luvs u
525411363062304769,2014-10-23 22:20:05,me: y did teh chiken cros teh rode??
525410118532595713,2014-10-23 22:15:08,rt if ur an ██.
525408834215743488,2014-10-23 22:10:02,rudolf: ken i play ur bored az fuk 2nite n shootin firewerks n fukin biches in betwene
525407569834409984,2014-10-23 22:05:00,teh fagit 2dai iznt fridai
525406327771004928,2014-10-23 22:00:04,rt if u hav sweg so u shud fuk me pls
525405052471902208,2014-10-23 21:55:00,cri cuz no1 haz enuf sweg fer skewl tomorw
525403800287604737,2014-10-23 21:50:02,teh shortist way 2 spel am i ugli??
525402537269399552,2014-10-23 21:45:01,rt if no1 luvs an fagit n u hav no sweg
525401285349367808,2014-10-23 21:40:02,by me an big dai ov havin sweg problums i feel bad fer u sun
525295587923881984,2014-10-23 14:40:02,gerl: am guna fuk 837 biches b4 brekfist evry dai
525294323236360192,2014-10-23 14:35:00,1 yeer ago 2dai u r guna hav an hiden mesyj
525293070628438016,2014-10-23 14:30:02,list ov ppl wit sweg✔
525291814421794816,2014-10-23 14:25:02,rt if u ai'nt talkin monie i do'nt wana talk
525290555845398528,2014-10-23 14:20:02,joek ov rayn wit an 100% chanse ov u bein an fagit
525289302654459904,2014-10-23 14:15:03,sweg levle iz ovr alredy
525288037132275712,2014-10-23 14:10:02,n dis iz y u al up in an new bugati
525286772750966785,2014-10-23 14:05:00,i h8 it wen i maek an spelin mistaek in mai tweetz i hoep no1 notises
525285520616980480,2014-10-23 14:00:02,spodermen: lol i fukd ur mom
525284256592171009,2014-10-23 13:55:00,i sweg al dai n yolo al nite n remebr: ur an fagit n no1 lieks u
525283003380293632,2014-10-23 13:50:01,u r undr arest fer drivin undr teh sea
525281740483756032,2014-10-23 13:45:00,gess hao i dump mai biches ovr txt aftr i fuk ur bich n ur stil an fagit
525280488131657729,2014-10-23 13:40:02,guna fuk sum biches n hav sweg
525279226992549888,2014-10-23 13:35:01,hahahahahahahaahahahahahahahahahahahahaahahahahahahahahahahaha ur also fat
525277978805403650,2014-10-23 13:30:04,rt if ur an fagit n no1 wil liek u anywais
525276707423805440,2014-10-23 13:25:00,rt if u shut teh fuk up
525275453708591105,2014-10-23 13:20:01,no but i fukd ur mom tho
525274194494619648,2014-10-23 13:15:01,heer iz mai naem fukin biches iz mai midel naem
525272936232792064,2014-10-23 13:10:01,i hav moar sweg teh werld wud b an betr plaec
525271673696960512,2014-10-23 13:05:00,iv swegd 2 subskrieb
525270422125047808,2014-10-23 13:00:02,shine brite liek an box ov choklits
525269159652110336,2014-10-23 12:55:01,WARNING: u mite b dyin but i stil hav mai sweg
525267905647489024,2014-10-23 12:50:02,spodermen: aculy wuz an produktiv dai
525266640842555392,2014-10-23 12:45:00,rt if i luv u 2...
525265387353825280,2014-10-23 12:40:01,b4 u go 2 slepe i hav an big day ov bein an fagit tryd 2 jak ur sweg 2dai
525264125820428289,2014-10-23 12:35:01,rt if u ai'nt talkin monie i do'nt wana talk
525262869467000832,2014-10-23 12:30:01,50 shaeds ov fuk me den git owt ov teh frendzoen
525261619828641792,2014-10-23 12:25:03,rt if ur scared ov hites
525260355275341824,2014-10-23 12:20:02,mai spodey sensiz r telin me dat u r an fagit
525259093582569472,2014-10-23 12:15:01,teh krusti krab piza iz teh piza i eet aftr i fuk dem
525133262503821312,2014-10-23 03:55:00,rt if u ai'nt talkin muney i do'nt talk 2 fagits
525132008994111488,2014-10-23 03:50:02,ken bob teh bilder fix ur sweg
525130746718355456,2014-10-23 03:45:01,cri cuz u hav an bonr
525129498678026240,2014-10-23 03:40:03,rt if dat fufu laem shet u ai'nt no holabak gerl
525128232551866368,2014-10-23 03:35:01,rt if ur sleepin rite nao
