id,created_at,text
526222761706799104,2014-10-26 04:04:17,"／＼
　　　　／　　＼ ))
　　　／　　　／
　　／　10t ／
　／　　　／
／　　　／＼ ∧_∧
＼　　／　　∩･∩･)
((＼／　　　＼＼⊂)
　　　　　　　) ) )
　　　　　　 (＿)_)　　☎ #telephone"
526221817711558656,2014-10-26 04:00:32,☏☏☏☏☏  　　☏　　　　　☏ 　☏　　   ☏　　   ☏ ☏　　　　☏ ☏        ☏ ☏　　　　☏☏　   　☏ ☏　　　　☎   　　　☏ ☏　　　　　　　　　☏ ☏　　　　　　　　　☏ 　☏　　　　　　　☏ 　　☏   　　   　☏ 　　　☏☏☏☏☏
526215504256450562,2014-10-26 03:35:27,"☎⊂ヽ(　^ω^)つ^ω^)つ☎
　 　＼ 　　／　　／
　　　( ＿_フ( ＿_フ
　　　(／　　(／
　　　 #telephone"
526207774191919105,2014-10-26 03:04:44,"☎ ＿＿  ☎
　 ヽ|･∀･|ノ
　　 |＿＿|
　　 く　ヽ┣""┣""┣""

☎　|￣￣￣￣￣|　☎
＼　| ●ヽー/ ●|　／
　＼|　　∨　　|／ #telephone"
526207010203660288,2014-10-26 03:01:42,☏☏☏ー！
526200103237726208,2014-10-26 02:34:15,"∧_∧　　∧_∧
　(*へεへ)φ(へωへ*)
┏〓∪〓━〓━〓━∪┓
∥　　 　　  　　　  ∥
┃　  　  　☎　　　 ┃
∥　　　　　　　  　∥
┗〓━〓━〓━〓━〓┛ #telephone"
526192504740118528,2014-10-26 02:04:03,"もしもし！
　　　＿＿＿＿
　　／ヽ:::::/　＼
　／ （◎::::◎）＼
（_ 　　(_人_)　　_）
　/　　　l;;l　　｜l!
(＿つ☎　　　　　ヽi
　　　　  （l､Ｅ ﾉ&amp;lt;
　　　　　ﾚY^Ｖ^ヽｌ #telephone"
526184996172611584,2014-10-26 01:34:13,"ｼﾞﾘﾘﾘﾘﾘﾝ!!

　 　　＼　　　／
　　＿　　　　　＿
　 　　　   ☎
　 　 ／  　　　＼
  　　　＿＿＿_
　　／ ⌒　　⌒＼
　／（ ●）  （●）
／::::⌒（__人__）⌒
|　　　　|r┬-|　　　|
＼ 　　 　 `ー'´　 #telephone"
526177409091903488,2014-10-26 01:04:04,"ﾋﾟｨｰｯ!!＞凸☎☎☎☎☎☎Ξ

　　∧_∧ ﾊﾟｼｬ  ∧_∧
　 (　　 )】  【(　　 ) ﾊﾟｼｬ
　/　 /┘　  　└＼ ＼
ノ￣ゝ　 　  　　ノ￣ゝ #telephone"
526169882451144704,2014-10-26 00:34:10,"ε(  ε^o^)э☏ もしもし！
ε(  ε^o^)э☎ もしもし！ #telephone"
526162286159740928,2014-10-26 00:03:59,ヽ｀ヽ｀、、ヽ｀ヽ｀、ヽ｀｀、ヽ｀、ヽ｀ヽ｀、、ヽ｀ヽ｀、ヽ｀、 ☏♪L( ＾ω＾ )┘☏L( ＾ω＾ )┘｀、ヽ｀｀、ヽ｀、ヽ｀ヽ｀、、ヽ｀ヽ｀、ヽ｀｀('ω' )☏☏☏、☏☏☏☏☏☏☏☏☏☏☏☏☏☏☏☏、 ☏☏☏☏☏☏☏☏、ヽ｀、ヽ｀ヽ｀、、ヽ｀ヽ｀、 #telephone
526154839131033601,2014-10-25 23:34:23,"☎　　☏
　　 fﾆヽ  fﾆ\
　　 |_||　|_ ||
　　 |= |　|= |
　　 |_ |　|_  |
　　/⌒|~ |⌒i-、 
　 /|　|　|　| ｜ 
　｜(　(　(　(　｜
　｜　　　　　 ｜
　 ＼　　　　　/
　　 ＼　　　 #telephone"
526147239496777729,2014-10-25 23:04:11,"☎ ｼﾞﾘﾘﾘﾘﾝ!!
　 _n
　( ｜　 ハ_ハ
　 ＼＼ ( ‘-^　)
　　 ＼￣￣　 )
　　　 ７　　/

＿人人人人＿
＞ もしもし ＜
￣Y^Y^Y^Y^
　ハ_ハ
（　^-’ )　☎
￣　　 ＼　( E)
７　　/＼ヽ/ / #telephone"
526139617351704576,2014-10-25 22:33:54,([[[[[)&lt;☎　　        モシモシ！   ([[[[[)&lt;☎                      ([[[[[)&lt;☎　　　　　　　　  ([[[[[)&lt;☎         ([[[[[)&lt;☎ #telephone
526134067121504256,2014-10-25 22:11:51,@hatten_ba もしもしルーレット！☆☜☎三☎三☞☆☎三 ☎☞☆☎次のもしもしは・・・☆☜☎三☎三 ☞☆☎三☎☞☆☞@hatten_ba ☜こいつﾀﾞ ｱｱｱｱｱｱｱｱｱｱｱｱｱｱｗｗｗｗｗｗｗｗｗ
526131992186724352,2014-10-25 22:03:36,"o　○。♪　o
　　　　　　○ o。♪o
♪　　o　　　o　o　○
　○o　 　　　o○。
／／　((☎）　　￣
|ヽーーヽ⊃---o--／|
|　|￣￣￣￣○￣|　.
ヽ.|＿＿o＿＿_o|／
＜＜＜＜＜　＜　＜　　　もしもし.....　 #telephone"
526129030060199937,2014-10-25 21:51:50,@hatten_ba ┌(┌^☎^)┐ｼﾞﾘｨ....     [@hatten_ba]
526126516548018176,2014-10-25 21:41:51,@hatten_ba ( )☎┓「もㄘもㄘ！！突然です が！！！！！@hatten_ba は本日のｴｸｽﾄﾘｰﾑﾓｼﾓｼﾀﾞｧｰ ｵｼﾞﾘﾘﾘﾘﾝ!!に選ばれました！！！！！！！！ｗ ｗｗｗｗｗｗｗｗ＜☏＞∠(╮╯╭)／＼☏／ｼﾞﾘﾘﾘﾘﾝ!!
526124598316642304,2014-10-25 21:34:13,"／ノ　ヽ＼
　 ／  (●)　(●) ＼
　｜　   (_人_)　  ｜
　 ＼　  `⌒′　／
　 ／　　　　　＼
　/   /　　　　 ｜｜
_｜   L []o＿＿＿/_/＿
　＼_ 三)
　　　|
　　　|＿
　　　　 ＼
   　☎☎☎┘ #telephone"
526116933540667392,2014-10-25 21:03:46,"☏☏☏☏☏☏☏☏☏☏☏☏☏☏ ☏☏☏☏☏☏☏☏☏☏☏☏☏☏ ☏☏☏☏☏☏☏☏☏☏☏☏☏☏ ☏☏☏☏☏☏☏☏☏☏☏☏☏☏ ☏☏☏☏☏☏☏☏☏☏☏☏☏☏ ☏☏☏☏☏☏☏☏☏☏☏☏☏☏ ☏☏☏☏☏☏☏☏☏☏☏☏☏☏

＿人人人人人＿ 
＞ ☏☏☏☏! ＜ 
￣Y #telephone"
526109483127156736,2014-10-25 20:34:10,"ﾎﾟﾃｨﾄｳ！！
　(╮╯╭)/ 
  &lt;ﾉ　ﾉ 
  /　＞
 
ﾎﾟﾃｨﾄｳ！　ﾄﾒｨﾄｩー！
ヽ(╮╯╭)ノ　ヽ●ノ 
　　/　　 　/ 
　ノ)　 　ノ) 
 
もㄘもㄘ！
　
☎☎☎☎☎
☎(╮╯╭)☎  ＜ｼﾞﾘﾘﾘﾘﾝ!!
☎☎☎☎☎ #telephone"
526101819294892032,2014-10-25 20:03:42,"┌─────────┐
│　  ☎☎☎☎☎  　  │
└─────────┘
　　 　ヽ(＾ω＾)ﾉ
　　 　 　(　 へ )
　　　　　く
 #telephone"
526101133001912320,2014-10-25 20:00:59,☎☎☎☎☎ ☎ ☎ ☎☎☎ ☎☎       ☎              ☎ ☎         ☎   ☎☎☎☎
526086714188505088,2014-10-25 19:03:41,( ^o^)☎ﾄｩﾙﾙﾙﾙﾙ.... ( ^o^)☎『ｿﾚｿﾚｿﾚｿﾚｰ┌( ┌┤◠‿◠ )┘┌( ┌┤◠‿◠ )┘┌( ┌┤◠‿◠ )┘┌( ┌┤◠‿◠ )┘┌( ┌┤◠‿◠ )┘┌( ┌┤◠‿◠ )┘┌( ┌┤◠‿◠ )┘┌( ┌┤◠‿◠ )┘』 (  #telephone
526085853588631552,2014-10-25 19:00:16,☎ 　　 ☎      ☎    ☎   ☎  ☎　  ☎ ☎☎☎☎☎          ☎          ☎
526079228878405632,2014-10-25 18:33:56,"∧_∧
　（ ´・ω・)　＜もしもし
　//＼￣￣☎＼
／/ ※＼＿＿＿＼
＼＼ 　※ 　※ ※ ヽ＜ｼﾞｬｶﾞｼﾞｬｶﾞ…
　 ＼ヽ-＿_＿--＿__ヽ #telephone"
526078305296871424,2014-10-25 18:30:16,☏☏☏☏☏!
526071811939643395,2014-10-25 18:04:28,「お前のなんだろほしいのはこれ？」性のいじめ楽しみ体育会・雄達の秘密の。 #ある日覗きがばれてしまった http://t.co/cBBKYNIAdi
526071594116845568,2014-10-25 18:03:36,☎⋯⊶≕≍≖≎≢≣≋∺∻⋰⋰☎⋯⊶≕≍≖≎≢≣≋∺∻⋰⋰☎⋯⊶≕≍≖≎≢≣≋∺∻⋰⋰もしもし☎⋯⊶≕≍≖≎≢≣≋∺∻⋰⋰☎⋯⊶≕≍≖≎≢≣≋∺∻⋰ #telephone
526070748465467392,2014-10-25 18:00:15,☏☏☏☏☏  　　☏　　　　　☏ 　☏　　   ☏　　   ☏ ☏　　　　☏     　    ☏ ☏　　　　☏      　　☏ ☏　　　　☎☏☏　　☏ ☏　　　　　　　　　☏ ☏　　　　　　　　　☏ 　☏　　　　　　　☏ 　　☏   　　   　☏ 　　　☏☏☏☏☏
526064177190682625,2014-10-25 17:34:08,ｼﾞﾘﾘﾘﾘﾝ！☎☜(^o^三 ^o^)三 ☞☎(^o^ 三 ^o^)☞☎(^o^) もしもーし・・・☎☜(^o^三 ^o^)三 ☞☎(^o^ 三^o^)☞☎(^o^) ☜ｗｗｗｗｗｗｗｗｗ #telephone
526056484283486208,2014-10-25 17:03:34,(｡╹ω╹｡)☞☏☜(｡╹ω╹｡)(｡╹ω╹｡)☞☏☜(｡╹ω╹｡) (｡╹ω╹｡)☞☏☜(｡╹ω╹｡)(｡╹ω╹｡)☞☏☜(｡╹ω╹｡) (｡╹ω╹｡)☞☏☜(｡╹ω╹｡)(｡╹ω╹｡)☞☏☜(｡╹ω╹｡) (｡╹ω╹｡)☞☏☜(｡╹ω╹｡)　(`o´) #telephone
526055689072828416,2014-10-25 17:00:24,☏☏☏☏☏  　　☏　　　　　☏ 　☏　　   ☏　　   ☏ ☏　　　　☏    ☏     ☏ ☏　　　　☏ ☏     　☏ ☏　　　　☎   　　　☏ ☏　　　　　　　　　☏ ☏　　　　　　　　　☏ 　☏　　　　　　　☏ 　　☏   　　   　☏ 　　　☏☏☏☏☏
526049014878195712,2014-10-25 16:33:53,"！？
　　r-―v―､―､
　／　r-|・|・ﾄ
`/　／三`ー●-三ヽ 
｜ /　／￣￣~￣ヽ|
｜｜ /　　　　　jＬ
にハ｜(⌒v⌒)　┗☎┓Ξ
ヽ　＼_＿＿＿／/ 
　＼　`＝＝６＝γ
　 ｜ ／＿＿＿ ＼|
　 ｜｜ヽ＿＿ﾉ  ﾉ| #telephone"
526045985315622913,2014-10-25 16:21:51,@PryptoFan ( ◜◡＾)っ✂☎ (☎☎☎)←Prypto Fan
526045580779200514,2014-10-25 16:20:14,電話をL( ◠‿◠ )┘三└( ◠‿◠ )」　☎　L( ◠‿◠ )┘三└( ◠‿◠ )」あがめよ  ｼﾞﾘﾘﾘﾘﾘﾘﾘL( ☎ )┘三└( ☎ )」　☎　L( ☎ )┘三└( ☎ )」ｼﾞﾘﾘﾘﾘﾘﾘﾘﾘﾘﾘﾘﾘ
526043466241810432,2014-10-25 16:11:50,@PryptoFan もしもしルーレット！☆☜☎三☎三☞☆☎三 ☎☞☆☎次のもしもしは・・・☆☜☎三☎三 ☞☆☎三☎☞☆☞@PryptoFan ☜こいつﾀﾞ ｱｱｱｱｱｱｱｱｱｱｱｱｱｱｗｗｗｗｗｗｗｗｗ
526041398991003648,2014-10-25 16:03:37,"＼人人人人人／
　三　　　　　三
　三　   ☎  　 三
　／人人人人人＼

`/＼　　 /＼
/　 ＼＿/　 ＼
　　　　　　  ＼
　○　　　○   ｜
　　　＿_　　  ｜
　　 ｜ ｜　　 ｜
　　 /　　Ξ┏☎┛
　　 ￣￣    ／   #telephone"
526040608180150273,2014-10-25 16:00:29,☏☏☏☏☏  　　☏　　　　　☏ 　☏　　   ☏　　   ☏ ☏　　　　☏ ☏        ☏ ☏　　　　☏☏　   　☏ ☏　　　　☎   　　　☏ ☏　　　　　　　　　☏ ☏　　　　　　　　　☏ 　☏　　　　　　　☏ 　　☏   　　   　☏ 　　　☏☏☏☏☏
526035923293581312,2014-10-25 15:41:52,@011O1010  (´＾ω＾`)☎┓もしもし
526035921557139456,2014-10-25 15:41:51,@hatten_ba ┌(┌^☎^)┐ｼﾞﾘｨ....     [@hatten_ba]
526035919854243842,2014-10-25 15:41:51,@EF510_503 ┌(┌^☎^)┐ｼﾞﾘｨ....     [@hatten_ba]
526035918465949698,2014-10-25 15:41:50,@GUMI_Glasses ┌(┌^☎^)┐ｼﾞﾘｨ....     [@hatten_ba]
526033960254468096,2014-10-25 15:34:04,"██████████████████
██████████████████
██████████☎███████
██████████████████
██████████████████

＿人人人人人＿
＞ 松崎しげる ＜
￣Y^Y^Y^Y^Y￣ #telephone"
526026297252651008,2014-10-25 15:03:37,"/ヽ　/ヽ
　　':'　ﾞ''""　 `':,
　 ﾐ　　 ･ω･　;,
　:; . っ　　　 　,つ☎
　 `:;　 　 　　,;'　ｼﾞﾘｯ
　　 `( /'""`∪ #telephone"
526025455975931904,2014-10-25 15:00:16,☏☏☏☏☏  　　☏☏　　　　　☏☏ 　☏　　　　☏　　　　☏ ☏　　　　　☏　　　　　☏ ☏　　　　　☏　　　　　☏ ☏　　　　　☎　　　　　☏ ☏　　　　　　　　　　　☏ ☏　　　　　　　　　　　☏ 　☏　　　　　　　　　☏ 　　☏☏　　　　　☏☏ 　　　　☏☏☏☏☏
