id,created_at,text
524425755527479296,2014-10-21 05:03:38,"London.  Jinny kisses Louis"".'"
524425680839528448,2014-10-21 05:03:20,"quivering leaves in the dark garden and think ""They dance in"
524425593761562624,2014-10-21 05:02:59,I hear traffic roaring in the evening wind.  I look at the
524425537369174017,2014-10-21 05:02:46,the rattle of wheels on the pavement as the farm horses plod home;
524425460776964097,2014-10-21 05:02:27,with my sewing by the table.  I think of Jinny; of Rhoda; and hear
523309023979139072,2014-10-18 03:06:08,and the lamps are lit they make a yellow fire in the ivy.  I sit
523308977162297344,2014-10-18 03:05:57,'But evening comes and the lamps are lit.  And when evening comes
523308872329859072,2014-10-18 03:05:32,boil for my father among the just reddened roses on the tea-table.
523308608571068416,2014-10-18 03:04:29,"mushroom with the earth at its root, and so home to make the kettle"
522945732353863681,2014-10-17 03:02:33,purple orchid that grows beside it and lay the orchid by the
522945348374118400,2014-10-17 03:01:01,for the white-domed mushroom; and break its stalk and pick the
522945310595637248,2014-10-17 03:00:52,cows munch their way across the field.  I feel through the grass
522945244883472384,2014-10-17 03:00:36,"on the necks of the swans.  Pushing one foot before the other, the"
522945177233547264,2014-10-17 03:00:20,"spotted, sweep over the hills, leaving gold in the water, and gold"
522945128332136448,2014-10-17 03:00:09,"The swans ride the stream in order.  The clouds, warm now, sun-"
522945070962446337,2014-10-17 02:59:55,are going from grass to grass.  The flowers are thick with pollen.
522945023520686080,2014-10-17 02:59:44,afternoon down to the river.  All the world is breeding.  The flies
522944968604672000,2014-10-17 02:59:31,rises in a soft dome under the clean towel.  I walk in the
522944908663857152,2014-10-17 02:59:16,again in the cupboard.  The meat is stood in the oven; the bread
520415948855980032,2014-10-10 03:30:05,"currants and rices, the silver bags and the blue bags, are locked"
520415777300557824,2014-10-10 03:29:24,my fingers.  The fire roars; the flies buzz in a circle.  All my
520415748548612097,2014-10-10 03:29:17,inwards of the dough.  I let the cold water stream fanwise through
520415697269055488,2014-10-10 03:29:05,"table.  I knead; I stretch; I pull, plunging my hands in the warm"
520415673168588800,2014-10-10 03:29:00,sultanas; I lift the heavy flour on to the clean scrubbed kitchen
520415619766710272,2014-10-10 03:28:47,"'I go then to the cupboard, and take the damp bags of rich"
519345999865593856,2014-10-07 04:38:30,silent.
519345971088478208,2014-10-07 04:38:23,"table among the pots of jam, the loaves and the butter.  We are"
519345934530924544,2014-10-07 04:38:14,after cup while the unopened flowers hold themselves erect on the
519345875789676544,2014-10-07 04:38:00,passage pinching some herb between his fingers.  I pour out cup
517146733068177409,2014-10-01 02:59:23,sit waiting for my father's footsteps as he shuffles down the
517146457011654657,2014-10-01 02:58:18,"the cabbages, making their leaves squeak and their drops spill.  I"
517146008107909120,2014-10-01 02:56:31,"rime, whose pads are hardened by the coarse earth.  I push through"
517145503004635136,2014-10-01 02:54:30,"'I return, like a cat or fox returning, whose fur is grey with"
517145374159818752,2014-10-01 02:53:59,road.
516399908719304704,2014-09-29 01:31:47,"with grey, green and umber.  The birds no longer settle on the high"
516399682159771648,2014-09-29 01:30:53,supple and dark.  The stiffness has gone from the day; it is shaded
516399496410841088,2014-09-29 01:30:08,to a clump.  Beads of wet form on my rough skirt; my shoes become
516399369151467520,2014-09-29 01:29:38,"even strides, now swerving to avoid the puddle, now leaping lightly"
516399169645187072,2014-09-29 01:28:50,"across the fields.  I will walk along this grass path with strong,"
514268522432581633,2014-09-23 04:22:25,bread and butter and white plates in a sunny room.  I will go back
514267977802194944,2014-09-23 04:20:15,'Now I am hungry.  I will call my setter.  I think of crusts and
514267686461665281,2014-09-23 04:19:05,silent in a blue apron locking up the cupboards.
514267469129584641,2014-09-23 04:18:13,"the hams hang and the onions glisten.  I shall be like my mother,"
513842492488552448,2014-09-22 00:09:31,"kitchen where they bring the ailing lambs to warm in baskets, where"
513842450818146304,2014-09-22 00:09:21,children; I shall have maids in aprons; men with pitchforks; a
513842372355301377,2014-09-22 00:09:02,word.  What has formed in me I shall give him.  I shall have
513842246182240257,2014-09-22 00:08:32,stand under the cedar tree.  To his one word I shall answer my one
513842056536809472,2014-09-22 00:07:47,when the bees hum round the hollyhocks my lover will come.  He will
513121277264281600,2014-09-20 00:23:40,children as I shall suckle my children.  For soon in the hot midday
513121173925027840,2014-09-20 00:23:15,stare of gipsy women beside a cart in a ditch suckling their
513121090294808576,2014-09-20 00:22:55,people.  I like best the stare of shepherds met in the road; the
513121016089161728,2014-09-20 00:22:38,"What I give is fell.  I cannot float gently, mixing with other"
512786831675383809,2014-09-19 02:14:42,"shoulders; nor Jinny's pirouetting, all of a piece, limbs and body."
512786761777291265,2014-09-19 02:14:25,"Rhoda's strange communications when she looks past us, over our"
512786711827337216,2014-09-19 02:14:13,"Not sighs and laughter, not circling and ingenious phrases; not"
512786564921827329,2014-09-19 02:13:38,"Something has formed, at school, in Switzerland, some hard thing."
512408216601243649,2014-09-18 01:10:13,"arm, I feel the weight that has formed itself in my side."
512408181364891648,2014-09-18 01:10:05,"with other people.  Yet now, leaning here till the gate prints my"
512408159797772288,2014-09-18 01:10:00,"mist, the dawn.  I cannot be tossed about, or float gently, or mix"
512408103703162880,2014-09-18 01:09:46,"seasons, I think sometimes, January, May, November; the mud, the"
496868771974217728,2014-08-06 04:02:01,earth hangs heavy beneath me.
496868521633005569,2014-08-06 04:01:01,Colour returns.  The day waves yellow with all its crops.  The
496868269916045313,2014-08-06 04:00:01,starkness of the dawn is going out of it.  Now the day stirs.
494332310695579650,2014-07-30 04:03:01,grows gradually larger as it comes along the road.  The sheep
494332055296020481,2014-07-30 04:02:00,ground under a pale sky where the clouds pace slowly.  The cart
494331805625901056,2014-07-30 04:01:01,hate fir trees and mountains.  Let me now fling myself on this flat
494331554747801601,2014-07-30 04:00:01,sent to Switzerland to finish my education.  I hate linoleum; I
494271909559676928,2014-07-30 00:03:01,"'I cannot be divided, or kept apart.  I was sent to school; I was"
494271407623114752,2014-07-30 00:01:01,horses from the fields--all are mine.
494271155520278529,2014-07-30 00:00:01,fades; the silence and the bell; the call of the man fetching cart-
493969921760821249,2014-07-29 04:03:01,"swallow; and the faint red in the sky, and the green when the red"
493969666440957954,2014-07-29 04:02:00,"pushes one foot before another munching; and the wild, swooping"
493969416728875008,2014-07-29 04:01:01,that stretches its vast wings lazily; and the cow that creaks as it
493969165636870145,2014-07-29 04:00:01,at the last moment when I step almost on him.  Mine is the heron
493909504820776960,2014-07-29 00:02:57,"trees; mine are the flocks of birds, and this young hare who leaps,"
493909249568026624,2014-07-29 00:01:56,"still early hour, I think I am the field, I am the barn, I am the"
493908999386198016,2014-07-29 00:00:56,"shroud.  But it will soften; it will warm.  At this hour, this"
493908747878928386,2014-07-28 23:59:56,The mist is on the marshes.  The day is stark and stiff as a linen
493607534511800321,2014-07-28 04:03:01,past the greenhouse into the field.  It is still early morning.
493607284476760064,2014-07-28 04:02:02,"bedroom doors, and down through the kitchen, out through the garden"
493607031673487361,2014-07-28 04:01:01,window.  I will pull on my stockings and go quietly past the
493606780866691072,2014-07-28 04:00:01,"bird chorus is over, only one bird now sings close to the bedroom"
493547133899767808,2014-07-28 00:03:01,distinct.  The usual faded ribbons sprinkle the wallpaper.  The
493546882602258432,2014-07-28 00:02:01,and the shabby arm-chair with the hole in it are now become
