id,created_at,text
525417271024709632,2014-10-23 22:43:33,1950
525340868468027392,2014-10-23 17:39:58,large midget
522541405563285504,2014-10-16 00:15:54,candy pussy
512427394289127424,2014-09-18 02:26:25,big boy big billz
511866730222985216,2014-09-16 13:18:33,her pussy is novice af
510142688705146880,2014-09-11 19:07:49,eat dat ass (hibachi)
509504772131782656,2014-09-10 00:52:58,my pussy itches
509338576497442816,2014-09-09 13:52:34,"LIFE SUX, I KNO"
509134316753149952,2014-09-09 00:20:55,why don't they deliver liquor? ughh
508767252343439360,2014-09-08 00:02:20,get out me mums cunt
508756715698139136,2014-09-07 23:20:27,harold and kumar go 2 white castle is gay
508731238996537344,2014-09-07 21:39:13,i don't smoke weed. jk i do
508448296462204928,2014-09-07 02:54:55,rainy gays
508419883798110210,2014-09-07 01:02:00,all i did today was smoke weed and im totally alrite with that
508357818559504384,2014-09-06 20:55:23,im constipated off this molly
508081335999938561,2014-09-06 02:36:44,what's a based god?
508028005785292801,2014-09-05 23:04:49,tesundere
506660131145543680,2014-09-02 04:29:23,dinner : spaghetti 2 forgetti my regretti
505177052866420736,2014-08-29 02:16:09,hay gay
500840286558633984,2014-08-17 03:03:24,be a nun n u get none
500502079547645952,2014-08-16 04:39:29,faggonborn
500501705432498176,2014-08-16 04:38:00,2017
499044146842447872,2014-08-12 04:06:11,habbo hotel
496858904496971777,2014-08-06 03:22:48,GMC - GET ME C A S H
496858277914087424,2014-08-06 03:20:19,a thot 4 ur thoughts
496857930873204736,2014-08-06 03:18:56,NO NEW FUCK UPS
496857790389166080,2014-08-06 03:18:23,bullshit
494340135522029568,2014-07-30 04:34:07,erens a titan now
494339998083072000,2014-07-30 04:33:34,what is c u m
493622562845233156,2014-07-28 05:02:44,titty
491370043263811584,2014-07-21 23:52:02,wtf
491068313871843328,2014-07-21 03:53:04,butthurt
490666820735496192,2014-07-20 01:17:40,dont cum on me
490664605987794944,2014-07-20 01:08:52,fuck everything
488468218407710720,2014-07-13 23:41:13,butt stuff
487723002969063424,2014-07-11 22:20:00,goth thot
486319302983692289,2014-07-08 01:22:11,'vitamins'
486144500272619520,2014-07-07 13:47:35,street rules bitch i dont give a fuck
485908918636257281,2014-07-06 22:11:28,based
485425529474920451,2014-07-05 14:10:39,fucking shoobies
484913168729116673,2014-07-04 04:14:43,rt if d e a d
484846332629090304,2014-07-03 23:49:08,if i could suck my own dick life would be better
484573070259015680,2014-07-03 05:43:17,i &lt;3 dr phil
484572430522802176,2014-07-03 05:40:45,fum
484572011331457024,2014-07-03 05:39:05,lol jk
484571785065533440,2014-07-03 05:38:11,fuck u
484501393743835136,2014-07-03 00:58:28,WHAT DAT MOUF DO
