id,created_at,text
526005771817844736,2014-10-25 13:42:03,wearable slipcover
525998223127638016,2014-10-25 13:12:03,wearable stashed
525990671190990849,2014-10-25 12:42:03,wearable lassos
525983119665397760,2014-10-25 12:12:02,wearable feeler
525975572195729409,2014-10-25 11:42:03,wearable tramp
525968019772542976,2014-10-25 11:12:02,wearable phenomenon
525960472466452480,2014-10-25 10:42:03,wearable deceit
525952920731136000,2014-10-25 10:12:02,wearable chicanery
525945371088805889,2014-10-25 09:42:02,wearable tamper
525937820003627008,2014-10-25 09:12:02,wearable fatten
525930272731054080,2014-10-25 08:42:02,wearable deck
525922722321166338,2014-10-25 08:12:02,wearable ascertain
525915175740641280,2014-10-25 07:42:03,wearable arouses
525907622864490496,2014-10-25 07:12:02,wearable sieges
525900074811809792,2014-10-25 06:42:03,wearable dimes
525892525857337344,2014-10-25 06:12:03,wearable genuineness
525884973287346179,2014-10-25 05:42:02,wearable erected
525877423137492993,2014-10-25 05:12:02,wearable wrongfulness
525869874858323970,2014-10-25 04:42:03,wearable abruptest
525862326491041792,2014-10-25 04:12:03,wearable liveliness
525854777557528576,2014-10-25 03:42:03,wearable septuagenarian
525847225465729024,2014-10-25 03:12:02,wearable bacchanalian
525839677341712384,2014-10-25 02:42:03,wearable timbres
525832127690985473,2014-10-25 02:12:03,wearable curvaceous
525824576039571456,2014-10-25 01:42:02,wearable tonsorial
525817026112004097,2014-10-25 01:12:02,wearable brayed
525809477526634496,2014-10-25 00:42:03,wearable intersecting
525801928362442752,2014-10-25 00:12:03,wearable transfix
525794377348567040,2014-10-24 23:42:03,wearable effusiveness
525786826192084992,2014-10-24 23:12:02,wearable reenacting
525779277661229056,2014-10-24 22:42:02,wearable mayhem
525771730019573760,2014-10-24 22:12:03,wearable homebody
525764178317828096,2014-10-24 21:42:02,wearable surefire
525756626595090432,2014-10-24 21:12:02,wearable fuselage
525749076919209985,2014-10-24 20:42:02,wearable smit
525741529491447808,2014-10-24 20:12:03,wearable moonscape
525733977429000192,2014-10-24 19:42:02,wearable etching
525726430806540289,2014-10-24 19:12:03,wearable visceral
525718878446297088,2014-10-24 18:42:02,wearable consciously
525711331614134272,2014-10-24 18:12:03,wearable amputate
525703782294757376,2014-10-24 17:42:03,wearable grizzliest
525696228705587200,2014-10-24 17:12:02,wearable revolver
525688679172292608,2014-10-24 16:42:02,wearable mimes
525681131014725632,2014-10-24 16:12:02,wearable sequoia
525673579048738816,2014-10-24 15:42:02,wearable obsolescence
525666032627642369,2014-10-24 15:12:03,wearable dewdrop
525658482221936640,2014-10-24 14:42:03,wearable teens
525650930872500228,2014-10-24 14:12:02,wearable rags
525643383868358658,2014-10-24 13:42:03,wearable tousling
525635830170132480,2014-10-24 13:12:02,wearable oranges
525628282612371457,2014-10-24 12:42:02,wearable math
525620734635163648,2014-10-24 12:12:03,wearable epithets
525613184770514945,2014-10-24 11:42:03,wearable sprinkles
525605632880046080,2014-10-24 11:12:02,wearable coroners
525598085053837312,2014-10-24 10:42:03,wearable me
525590533335285762,2014-10-24 10:12:02,wearable there
525582984007516160,2014-10-24 09:42:02,wearable mordant
525575433362743298,2014-10-24 09:12:02,wearable interrogatories
525567886224416769,2014-10-24 08:42:03,wearable curios
525560333742522368,2014-10-24 08:12:02,wearable rationalist
525552784892887043,2014-10-24 07:42:02,wearable pat
525545233845452800,2014-10-24 07:12:02,wearable liveable
525537684467376128,2014-10-24 06:42:02,wearable orthopaedists
525530137127702532,2014-10-24 06:12:03,wearable wakened
525522583714660352,2014-10-24 05:42:02,wearable responding
525515036895100928,2014-10-24 05:12:03,wearable inferring
525507486887866368,2014-10-24 04:42:02,wearable cueing
525499934309482496,2014-10-24 04:12:02,wearable assist
525492387884199936,2014-10-24 03:42:03,wearable clandestinely
525484838891970560,2014-10-24 03:12:03,wearable worry
525477289232834560,2014-10-24 02:42:03,wearable interleaved
525469735547187200,2014-10-24 02:12:02,wearable categorization
525462188941524993,2014-10-24 01:42:03,wearable ebullient
525454640171593729,2014-10-24 01:12:03,wearable flan
525447086817705984,2014-10-24 00:42:02,wearable factor
525439539553513472,2014-10-24 00:12:03,wearable jabs
525431990326419456,2014-10-23 23:42:03,wearable fallaciously
525424439677419520,2014-10-23 23:12:02,wearable diced
525416886969061377,2014-10-23 22:42:02,wearable zeds
525409339809746944,2014-10-23 22:12:02,wearable couplets
525401792218013696,2014-10-23 21:42:03,wearable flattens
525394242034999296,2014-10-23 21:12:03,wearable initialize
525386690081611776,2014-10-23 20:42:02,wearable cusses
525379144050565120,2014-10-23 20:12:03,wearable schist
525371591329603584,2014-10-23 19:42:02,wearable colloquy
525364042458992642,2014-10-23 19:12:03,wearable vintners
525356493118644224,2014-10-23 18:42:03,wearable drapes
525348942704570368,2014-10-23 18:12:03,wearable pottered
525341394961850368,2014-10-23 17:42:03,wearable converses
