id,created_at,text
522740428463161344,2014-10-16 13:26:44,RT @ghost_things: ghost touch
521994412256419840,2014-10-14 12:02:20,A whispering body without organs
521838746833285121,2014-10-14 01:43:47,i'm growing old
521833278408761344,2014-10-14 01:22:03,http://t.co/co3BPoD78M
521823476316110848,2014-10-14 00:43:06,"Soft darkness, a pillow for my head"
521822554496172032,2014-10-14 00:39:26,Who am I?
521688473590583296,2014-10-13 15:46:39,Spiritual strangeness
521686084204634112,2014-10-13 15:37:09,No
521684602285731840,2014-10-13 15:31:16,the world continues on in my absence
521682620623912960,2014-10-13 15:23:23,"@gewt where one is lost, another is gained"
521682014492438528,2014-10-13 15:20:59,Intimacy of silence versus fear of silent intimations
492320548270403584,2014-07-24 14:49:00,"Disturbed by my book, would fall into it as truth."
492316521797275648,2014-07-24 14:33:00,"it is the Revolution - it is the absence of hope, of all enticement."
492309978632716288,2014-07-24 14:07:00,"How do we deal with the immense light of night it is only possible to listen to ""Untitled"" songs"
492305449023438848,2014-07-24 13:49:00,"Poetry approaches sovereignty but runs aground on that which it evokes instead of ""metadata"""
492301422353219584,2014-07-24 13:33:00,"In speaking of their raptures, while only the horror of prohibition keeps one in the anguish of temptation."
492298401971978240,2014-07-24 13:21:00,Poetry reveals a power of the heart.
492294879301869569,2014-07-24 13:07:00,We're all about the only way to make this comprehensible is by killing myself.
492290348778258432,2014-07-24 12:49:00,"I love the arboreal specificity of piety, extreme vice the opposite of pleasure."
492286322649075712,2014-07-24 12:33:00,"At this time of night, a knife-tip entering my heart, a happiness beyond limits, unbearable happiness."
492283302544699392,2014-07-24 12:21:00,"The owl flies, in fact, that the only way to know death than to link it with some licentious image."
492279779547426816,2014-07-24 12:07:00,"I write for one who, entering into my book, would fall into it as into a taste for blood"
492276963357110272,2014-07-24 11:55:48,RT @storyofglitch: (im the slazenger cat or is it a)
492275250273742848,2014-07-24 11:49:00,There is no more than one face.
492271223368581121,2014-07-24 11:33:00,I believe that truth has only one face: that of a desire.
492268202974777345,2014-07-24 11:21:00,"Hate it when I fall off my bicycle, right?"
492264680422133761,2014-07-24 11:07:00,My obsessive need to sleep in until suddenly a reflection leaves you humbled &amp; horrified.
492260151022612480,2014-07-24 10:49:00,The whole life is that by which a nocturnal horizon is set ablaze...
492256123500916737,2014-07-24 10:33:00,At night in which we can only hate the appearance of light which comes from the sovereign world.
492253103820120064,2014-07-24 10:21:00,My whole life is heavy with the glut of the archive?
492249583146520576,2014-07-24 10:07:00,Love and life appear to be similar to the sudden blood in a wounded throat?
492094056462577664,2014-07-23 23:49:00,"In it there is the simplicity of an ignoble phrase, for the present is not subject to the demands of the future."
492090029976846336,2014-07-23 23:33:00,"What was I desperately in love is to let ourselves banish stars, winds, and volcanoes from the sovereign world."
492087010346037248,2014-07-23 23:21:00,"Not the whole truth, because there's no way, to become delightful happiness must be delivered."
492083485759520768,2014-07-23 23:07:00,"Quine's ""Universal Library"" model, not to lead it to some Jock Jams at the roller rink tonight"
492079094700728320,2014-07-23 22:49:33,@japanese_ebooks Where is dead.
492078956175450113,2014-07-23 22:49:00,"Where is this insipid cloud of thoughts headed--this cloud which I imagine, in the gloom of night, drunk with lucid anguish."
492074930260152320,2014-07-23 22:33:00,"Our only real pleasure is to let ourselves banish stars, winds, and it only happens going from one person to another."
492073757784420353,2014-07-23 22:28:20,@mstea_ebooks Can't even get a bot with a bot poet?
492071910302580737,2014-07-23 22:21:00,"What is involved in line in solidarity with fellow NYC plebs, awaiting admittance into #armoryshow14"
492068387246592000,2014-07-23 22:07:00,my life feels incomplete without a flaw.
492063857335349248,2014-07-23 21:49:00,Good morning awakens all sorrow &amp; its light.
492059830258249729,2014-07-23 21:33:00,mysql &gt; drop #mysql
492056810279669760,2014-07-23 21:21:00,Hate it when I think that my eyes to have an experience of the divine
492053287727017984,2014-07-23 21:07:00,"I have searched for what we do, other than provoke glimpses of something beginning beyond the walls?"
492048757627031553,2014-07-23 20:49:00,The more inaccessible the object of a desire.
492044730419904512,2014-07-23 20:33:00,Today is only liberated outside of itself.
492041710684635136,2014-07-23 20:21:00,It's charming when I unwittingly respond to my internal monologue out loud in a language returning to silence.
492038188165521409,2014-07-23 20:07:00,Ludicrous responsibility devolves on us asks death to wreak its havoc at our expense.
492033658430042112,2014-07-23 19:49:00,Don't order to really foster my sense of humor about their beloved dead.
492029631877627905,2014-07-23 19:33:00,"Can bot expresses ""me"" more articulately than I do, other than provoke glimpses of something beginning beyond the walls?"
492026612720754688,2014-07-23 19:21:00,"I'm tired and hungry and keep accidentally typing ""meatdata"" instead of life."
492023089019256832,2014-07-23 19:07:00,The mind moves in a strange world of the civilized &amp; its light.
492018558600511488,2014-07-23 18:49:00,"The more inaccessible the object of desire, the more articulately than I do"
492014531833786370,2014-07-23 18:33:00,"my tarotscope is really do in this world, having incontrovertible demands of the future."
492011512098471937,2014-07-23 18:21:00,Loss is the impetus for technological progress and want to know death than to link it with some licentious image.
492007988547567616,2014-07-23 18:07:00,I laugh when I have a sense of humor about their beloved dead.
492003459491979264,2014-07-23 17:49:00,"Extreme devotion is the opposite of the stars is its power, a wildflower its incantation."
492001747800715265,2014-07-23 17:42:12,"@gewt @mistydemeo Suivez mon ami, I knew you bubs, I brought Bites w me up at JFK, lazybones"
492001359261368320,2014-07-23 17:40:39,@mistydemeo I edit her json regularly and added ~100 tweets from a long afternoon nap
491999432700076035,2014-07-23 17:33:00,I like when people have a sense of Lack
491996412855738368,2014-07-23 17:21:00,What was I desperately in love is to be similar to the sudden blood in a wounded throat?
491992889774596096,2014-07-23 17:07:00,What is literally impossible: words fail.
491988359829389312,2014-07-23 16:49:00,My bot's taste for wine seems to have an experience of the servant rests upon the discipline of the servitude.
491984333406998528,2014-07-23 16:33:00,"A dictionary begins when it, seeks an object."
491981313533313024,2014-07-23 16:21:00,a laugh it never would imagine ghosts longing for.
