id,created_at,text
525466533766524928,2014-10-24 01:59:19,"Don't be fooled, #GamerGate is about heroes and tribes, loyalty and devotion; it’s our commitment and our passion"
525446479050473472,2014-10-24 00:39:37,#GamerGate is about that life and nothing else!
525439348607811585,2014-10-24 00:11:17,"Do you think #GamerGate is about asserting yourself, confidence and ambition what do you think happens when men lose this energy??"
525428135433482242,2014-10-23 23:26:44,"Oh, maybe #GamerGate is about me, even if I don't know the person"
525418059402842112,2014-10-23 22:46:41,Maybe #GamerGate is about I want u with me &amp; dont go
525411180362227713,2014-10-23 22:19:21,Today someone told me #GamerGate is about getting back at me
525401881699684352,2014-10-23 21:42:24,I think #GamerGate is about leaks? this is terrifying
525393217240719361,2014-10-23 21:07:58,"Oh, maybe #GamerGate is about cloning cro-magnon &amp; neanderthal"
525387321106243585,2014-10-23 20:44:33,"I'm not sure, but maybe #GamerGate is about 2 go down"
525383358663389186,2014-10-23 20:28:48,Who said #GamerGate is about ebola in chicago im never leaving my room ever bye-gem x?
525377355800666112,2014-10-23 20:04:57,If you think #GamerGate is about thine fingertips?: cdd -- you might be right
525366752063262720,2014-10-23 19:22:49,"Hmmm, maybe #Gamergate is about girls in white converse but I absolutely love it"
525362146763603968,2014-10-23 19:04:31,I thought about it and #GamerGate is about you seriously !
525351931070648320,2014-10-23 18:23:55,I think #GamerGate is about a children's choir and every woman in the room cryingi'm hopeless!
525347601676115968,2014-10-23 18:06:43,Perhaps #GamerGate is about 100 pages will take a month to understand how to make it work demo mode sounds ok
525343532698324992,2014-10-23 17:50:33,"Today someone told me #GamerGate is about every pitbull song but holy shit, fireball is the worst song i've ever heard"
525338190857895936,2014-10-23 17:29:19,"Oh, maybe #GamerGate is about you that I can't forget"
525334128951304192,2014-10-23 17:13:11,"Oh, maybe #GamerGate is about 7, aren't we all basic?"
525324622750044160,2014-10-23 16:35:24,Do you think #GamerGate is about you dude?
525319426497728513,2014-10-23 16:14:45,"I think #GamerGate is about taking responsibility, not making excuses - mitt romney"
525312734678642688,2014-10-23 15:48:10,#GamerGate is about ant hills and nothing else!
525301369972862977,2014-10-23 15:03:00,"Wait, #GamerGate is about how people make choices, sociology is about how they don´t have any choice to make bertrand russell?"
525295435091415042,2014-10-23 14:39:25,"I thought about it and #GamerGate is about you, in fact nothing I do is about you goodbye"
525286976027516930,2014-10-23 14:05:49,"I bet #GamerGate is about the journey, not the destination enjoy the trip!"
525280787596185600,2014-10-23 13:41:13,"To me, #GamerGate is about giving attention to your ideas"
525276491399983104,2014-10-23 13:24:09,"Oh, maybe #GamerGate is about because i've missed so much school 😭🔫"
525270051696291841,2014-10-23 12:58:34,Who said #GamerGate is about music and atmosphere?
525259688141537281,2014-10-23 12:17:23,"Why do people think #GamerGate is about them, well no it's fucking not get a reality check?"
525254510310998020,2014-10-23 11:56:48,"I bet #GamerGate is about laughing &amp; living, in good &amp; bad times getting through whatever comes our way &amp; looking back &amp; smiling!"
525246930343849984,2014-10-23 11:26:41,"I think #GamerGate is about me, too"
525237205552214016,2014-10-23 10:48:02,"To me, #GamerGate is about as depressing as my bank account my card got declined today"
525223692972748800,2014-10-23 09:54:21,"To me, #GamerGate is about the small things ♡"
525219526510538752,2014-10-23 09:37:47,Maybe #GamerGate is about what I think it is im gonna cry ive seen so many swift secrets wanting taylor to write a song like that
525212326236934144,2014-10-23 09:09:11,"Oh, maybe #GamerGate is about forgiveness and second, third and sometimes even fourth chances imagine if god never forgave us?"
525204856403791872,2014-10-23 08:39:30,"I think #GamerGate is about the journey, not the destination"
525196515623460864,2014-10-23 08:06:21,If you think #GamerGate is about as hardcore as going to the mall -- you might be right
525187426851897344,2014-10-23 07:30:14,I bet #GamerGate is about the cloud!
525179724004212737,2014-10-23 06:59:38,Perhaps #GamerGate is about a girl who lives in the jungle and no one likes her 😂😂😂
525171013168816128,2014-10-23 06:25:01,"Why do people think #GamerGate is about and need to stop fucking around expecting shit for free, your parents clearly never said no!?"
525162049140047873,2014-10-23 05:49:24,#GamerGate is about an inch long and nothing else!
525157756899053569,2014-10-23 05:32:20,I thought about it and #GamerGate is about cigarettes that song just hits home in so many ways
525151065243516929,2014-10-23 05:05:45,Who said #GamerGate is about me u guys can say my name?
525143488346591233,2014-10-23 04:35:38,Perhaps #GamerGate is about 90 degrees fahrenheit
525139698625179648,2014-10-23 04:20:35,@4xisblack Interesting
525139445465366529,2014-10-23 04:19:35,@mcclure111 IDK
525136540163252226,2014-10-23 04:08:02,Perhaps #GamerGate is about organic substances I am made of organic substances I am organic chemistry - me to myself rn
525131364228558850,2014-10-23 03:47:28,Who said #GamerGate is about over anyway!?
525124293961596928,2014-10-23 03:19:22,@thricedotted IDK
525122904493543424,2014-10-23 03:13:51,"Hang on, obviously #GamerGate is about me being sick of assholes who think that it's fine to breech my spiritual rights because i'm a woman"
525118359067582464,2014-10-23 02:55:47,I bet #GamerGate is about weed and sex? 👀!
525113686071861248,2014-10-23 02:37:13,"Oh, maybe #GamerGate is about you and you don't even have a life so stfu and stay in your own lane"
525106613670010880,2014-10-23 02:09:07,"I'm not sure, but maybe #GamerGate is about the social and economic organization of the world?"
525096764898963456,2014-10-23 01:29:59,"If you think #GamerGate is about cold weather, but I just hate it -- you might be right"
525086790084874240,2014-10-23 00:50:21,I thought about it and #GamerGate is about taking they birth control pills
525076689043214336,2014-10-23 00:10:12,I bet #GamerGate is about love - mother teresa!
525071890797187073,2014-10-22 23:51:08,I think #GamerGate is about two people with multiple personalities and the woman has one thats rough named marge I literally gasped
525063303412715522,2014-10-22 23:17:01,Today someone told me #GamerGate is about becky
525058630375063552,2014-10-22 22:58:27,@eubank_josh Oh?
525057870744649729,2014-10-22 22:55:26,@eubank_josh Interesting
525057617404497921,2014-10-22 22:54:25,@eubank_josh What?
525057364731260928,2014-10-22 22:53:25,Perhaps #GamerGate is about teamwork not competition
525056099448156160,2014-10-22 22:48:23,@eubank_josh Who knows
525055846103785472,2014-10-22 22:47:23,@eubank_josh You think?
525053824587681792,2014-10-22 22:39:21,@BooDooPerson IDK
525053318259687425,2014-10-22 22:37:20,@BooDooPerson Maybe
525053063430549504,2014-10-22 22:36:19,@MikeASchneider What?
525051042052861952,2014-10-22 22:28:18,@KillerSexBee Oh?
525050788968529921,2014-10-22 22:27:17,Today someone told me #GamerGate is about as fun as stepping on plugs for infinity
525050788037414913,2014-10-22 22:27:17,@KillerSexBee Hmm
525050369718501376,2014-10-22 22:25:37,"Hang on, obviously #GamerGate is about as transparent as the obama administration"
525050200839053313,2014-10-22 22:24:57,If you think #GamerGate is about them -- you might be right
525050116508364800,2014-10-22 22:24:37,Perhaps #GamerGate is about on the walking dead 🌚
525050031963779072,2014-10-22 22:24:17,"Oh, maybe #GamerGate is about them 💁"
525049947473735680,2014-10-22 22:23:57,Perhaps #GamerGate is about 18th to 19 centry or so fears and myths have a basis for factshistory has been known to be wrong or imbelished
525049862828482560,2014-10-22 22:23:36,Perhaps #GamerGate is about the media and all that trash magazines
525049643772571648,2014-10-22 22:22:44,#GamerGate is about a type of ant and nothing else!
525049559324446720,2014-10-22 22:22:24,I think #GamerGate is about pizza
525048500526936064,2014-10-22 22:18:12,"Oh, maybe #GamerGate is about wet pussy"
525048416225591297,2014-10-22 22:17:52,I thought about it and #GamerGate is about as low as you can go
525048331873951744,2014-10-22 22:17:31,"Hmmm, maybe #Gamergate is about sex, except sex sex is about power - frank underwood"
525048247488753664,2014-10-22 22:17:11,"I'm not sure, but maybe #GamerGate is about race but not whites"
525048029770833920,2014-10-22 22:16:19,Today someone told me #GamerGate is about you have no idea
525048020262326272,2014-10-22 22:16:17,"Oh, maybe #GamerGate is about causing havoc in his big blue box"
525048009613000704,2014-10-22 22:16:15,"Don't be fooled, #GamerGate is about ebola"
525047621706989568,2014-10-22 22:14:42,"To me, #GamerGate is about how fast can I google shit :c"
525047555587981312,2014-10-22 22:14:26,"Hang on, obviously #GamerGate is about as bleak as your past was bright"
525047504320987136,2014-10-22 22:14:14,I bet #GamerGate is about a type of ant!
525047458846347264,2014-10-22 22:14:03,"Hmmm, maybe #Gamergate is about pizza"
