id,created_at,text
503518295996506112,2014-08-24 12:24:51,escuses http://t.co/R2594H2S9K
503512238368776192,2014-08-24 12:00:47,%D5%AE%D5%A1%D5%B2%D5%AF%D5%AB%D6%81 http://t.co/UdzYf19wou
503500015147700224,2014-08-24 11:12:12,humectae http://t.co/UFb8MfKoOL
503465408834580480,2014-08-24 08:54:42,jodies http://t.co/is4AAAeIDX
503455233570512896,2014-08-24 08:14:16,forkomentotaj http://t.co/H4z2ZLpjEL
503439350315876352,2014-08-24 07:11:09,posthouses http://t.co/gnEerWdQtJ
503424297982259201,2014-08-24 06:11:20,najbrihtnej%C5%A1i http://t.co/pJhM5MSJiJ
503410627596288001,2014-08-24 05:17:01,pseudo- http://t.co/9NvBxczPSF
503394012834050049,2014-08-24 04:10:59,compenetrabili http://t.co/YAafY4hNw6
503378683361787904,2014-08-24 03:10:05,chaotick http://t.co/GO3LFxqVWS
503363903557226496,2014-08-24 02:11:21,costumes http://t.co/afr2ia35gA
503348446599069696,2014-08-24 01:09:56,korol http://t.co/X1HAi51k0M
503333462871642113,2014-08-24 00:10:23,andbahtida http://t.co/ipI4mgQDc8
503318320524054528,2014-08-23 23:10:13,spiritibus http://t.co/E7YTNBXrCt
503304042597322752,2014-08-23 22:13:29,graviditetene http://t.co/GVGi7FtI2E
503288521348902912,2014-08-23 21:11:48,exhalations http://t.co/13VyvAZfv8
503273386332913665,2014-08-23 20:11:40,sottacciamo http://t.co/wTpwxfhY5q
503257937482358784,2014-08-23 19:10:17,imunizaremos http://t.co/OHUKLawqFe
503244608848277506,2014-08-23 18:17:19,tyryrykane http://t.co/qIH4FEDXmt
503228109655916544,2014-08-23 17:11:45,dirigiremos http://t.co/NHl7caPpYU
503212577946894336,2014-08-23 16:10:02,Itaipu_Dam http://t.co/UJDqoSxHm4
503197476640534528,2014-08-23 15:10:02,utain%C4%81kaj%C4%81m http://t.co/gcF8Cfiqbu
503182400365805569,2014-08-23 14:10:07,term%C3%A9szetf%C3%B6ldrajz http://t.co/PYWBDSa8HF
503169292767350784,2014-08-23 13:18:02,exsorbebimini http://t.co/MfLT9ghjkM
503152177637257216,2014-08-23 12:10:01,EMA http://t.co/DAVCslXUNw
503137198083170304,2014-08-23 11:10:30,bl%C3%A4ckfiskens http://t.co/RYQ5y2w97z
503121972440862720,2014-08-23 10:10:00,reinvitabo http://t.co/htkaFUpUJP
503106789672775682,2014-08-23 09:09:40,decomporranno http://t.co/CRgmPuRpEV
503094508511563776,2014-08-23 08:20:52,desperabar http://t.co/HIG6vd3UxP
503077557475217409,2014-08-23 07:13:31,%D1%82%D0%B5%D0%BD%D0%B8%D1%81%D0%B0%D1%87 http://t.co/D0MmQrbBn9
503064323640791040,2014-08-23 06:20:55,verloofden http://t.co/VMILyXdC40
503046479926542336,2014-08-23 05:10:01,rag%C3%BAs_%C3%B3il http://t.co/TdBZ0y2WIn
503031533784272896,2014-08-23 04:10:38,sovramodulerei http://t.co/2aYx6UoLB7
503016303515688962,2014-08-23 03:10:07,comperendinatote http://t.co/3jHObpFWkg
503001127915642882,2014-08-23 02:09:48,aseistautuminen http://t.co/b8dtPqf7oa
502985885248671745,2014-08-23 01:09:14,abgeben http://t.co/oEWm7BjETP
502970822257311744,2014-08-23 00:09:23,refinedness http://t.co/ccxCFo1d8w
502955692219981825,2014-08-22 23:09:16,%E7%A5%82 http://t.co/8k6NL4Co0R
502940722082115584,2014-08-22 22:09:46,kyyhkynen http://t.co/juf6yOsAj9
502925497312243713,2014-08-22 21:09:17,micrographique http://t.co/SsIzSoc8P1
502910499168997378,2014-08-22 20:09:41,protektontajn http://t.co/HGm7eiISkE
502895526388699136,2014-08-22 19:10:11,mu%C3%A9stranos http://t.co/KgB3UUQWmw
502880338897813504,2014-08-22 18:09:50,gahabandans http://t.co/BoSiAA4bnQ
