id,created_at,text
514505497148289024,2014-09-23 20:04:04,"Private Joker is silly and he's ignorant, but he's got guts, and guts is enough. Now, you ladies carry on."
514143107089047552,2014-09-22 20:04:03,You little scumbag! I've got your name! I've got your ass! You will not laugh! You will not     cry!
513780719349280769,2014-09-21 20:04:03,Bullshit! I'll bet you could suck a golf ball through a garden hose!
513418327738163202,2014-09-20 20:04:02,I will P.T. you all until you fucking die. I'll P.T. you until your assholes are sucking buttermilk!
513055943672606720,2014-09-19 20:04:03,"Quickly! Get your fat ass over there, Private Pyle!"
512693555278516225,2014-09-18 20:04:03,Looks to me like the best part of you ran down the crack of your mama's ass and ended up as a brown stain on the mattress
512331164565004288,2014-09-17 20:04:02,"Was it you, you scroungy little fuck, huh?"
511968778347749376,2014-09-16 20:04:03,"Nobody, huh? The fairy fucking godmother said it! Out-fucking-standing."
511606390926753792,2014-09-15 20:04:03,"Were you born a fat slimy scumbag, you piece of shit, Private Pyle? Or did you have to work on it?"
511244001417383936,2014-09-14 20:04:03,"Five foot nine? I didn't know they stacked shit that high. You trying to squeeze an inch in on me somewhere, huh?"
510881617628246016,2014-09-13 20:04:04,I'll bet you if there was some pussy up there on top of that obstacle you could get up there couldn't you?
510519226571173888,2014-09-12 20:04:03,Did your parents have any children that lived?
510156837652426752,2014-09-11 20:04:03,Get the fuck off my obstacle! Get the fuck down off of my obstacle! Now! Move it!
510058364181569538,2014-09-11 13:32:45,Did your parents have any children that lived?
504358633816064000,2014-08-26 20:04:03,They don't serve fried chicken and watermelon on a daily basis in my mess hall.
503996242179792896,2014-08-25 20:04:02,the kind of guy that would fuck a person in the ass and not even have the goddam common courtesy to give him a reach-around
503633872954089472,2014-08-24 20:04:07,Bullshit! I can't hear you. Sound off like you got a pair.
501297997334847488,2014-08-18 09:22:10,Tonight ... you pukes will sleep with your rifles! You will give your rifle a girl's name.
498198046535340032,2014-08-09 20:04:05,"Private Joker is silly and he's ignorant, but he's got guts, and guts is enough. Now, you ladies carry on."
496386099657207808,2014-08-04 20:04:03,If your killer instincts are not clean and strong you will hesitate at the moment of truth.
496023712152686593,2014-08-03 20:04:03,Drop your cocks and grab your socks! Today is Sunday! Divine worship at zero-eight-hundred!
495661330360070144,2014-08-02 20:04:04,They don't serve fried chicken and watermelon on a daily basis in my mess hall.
495298940040802305,2014-08-01 20:04:04,"Do you feel dizzy? Do you feel faint? Jesus H. Christ, I think you've got a hard-on!"
494936552779153408,2014-07-31 20:04:04,"And the way I see it, ladies, you owe me for one jelly doughnut! Now, get on your faces!"
494574160438239232,2014-07-30 20:04:03,"You slimy scumbag, get on your face and give me twenty-five!"
494211767677906944,2014-07-29 20:04:02,"You're so ugly you could be a modern art masterpiece! What's your name, fatbody?"
493849382060453888,2014-07-28 20:04:02,"If you ladies leave my island, if you survive recruit training, you will be a weapon..."
493486999374811137,2014-07-27 20:04:03,Here you are all equally worthless!
493124611165282304,2014-07-26 20:04:03,"Jesus H. Christ! Private Pyle, why is your footlocker unlocked?"
492762219063439360,2014-07-25 20:04:02,"Who's the slimy little communist shit twinkle-toed cocksucker down here, who just signed his own death warrant?"
492399828345712641,2014-07-24 20:04:02,"Who's the slimy little communist shit twinkle-toed cocksucker down here, who just signed his own death warrant?"
492037442715668481,2014-07-23 20:04:02,"God was here before the Marine Corps! So you can give your heart to Jesus, but your ass belongs to the Corps!"
491675060206178305,2014-07-22 20:04:03,Are you a peter-puffer?
491312674496454656,2014-07-21 20:04:04,I have failed because you have not helped me! You people have not given Private Pyle the proper motivation!
490950280100343809,2014-07-20 20:04:02,"You slimy scumbag, get on your face and give me twenty-five!"
490587895762137088,2014-07-19 20:04:03,"You climb obstacles like old people fuck. Do you know that, Private Pyle?"
490225503349919744,2014-07-18 20:04:02,"Jesus H. Christ! Private Pyle, why is your footlocker unlocked?"
489863115123605504,2014-07-17 20:04:02,Bullshit! From now on you're Private Snowball. Do you like that name?
489500733583421440,2014-07-16 20:04:04,"...or I'm gonna stomp your guts out! Now you do love the Virgin Mary, don't you?"
