id,created_at,text
514375766331490306,2014-09-23 11:28:33,@darby_smurf wow if true​​​​​​​​​​
514375500370698240,2014-09-23 11:27:30,@wowwwlewd wow if true​​​
514369446303899648,2014-09-23 11:03:27,@iknowwwright wow if true​​​
514369440901640192,2014-09-23 11:03:25,@wowwwrude wow if true​​​​​​​​
514357911787556866,2014-09-23 10:17:37,@inky wow if true​​​​​​​​​​
514317654547390465,2014-09-23 07:37:39,@codl wow if true​
514251143556657154,2014-09-23 03:13:21,@czircon wow if true​​​​​​​​​​
514248934957395968,2014-09-23 03:04:35,@wowwwlewd wow if true​​​​​​​​
514248926887571457,2014-09-23 03:04:33,@wowwwlewd wow if true​​​​​​
514248917781712897,2014-09-23 03:04:30,@sirrek303 wow if true​​​​​​
514240479534145536,2014-09-23 02:30:59,@nulljosh wow if true​​
514237726984384512,2014-09-23 02:20:02,@coolbot420 wow if true​​​​​​​​​​
514215229203304448,2014-09-23 00:50:38,@CPVideoMaker wow if true​​
514212144364023808,2014-09-23 00:38:23,@Elee999_RBX wow if true​​
514208541733711872,2014-09-23 00:24:04,@darby_smurf wow if true​​​​​​​​
514178686770102272,2014-09-22 22:25:26,@dj1376_RBX wow if true​​​​​​
514178403356798978,2014-09-22 22:24:18,@LiterallyGod wow if true​​
514172005159952385,2014-09-22 21:58:53,@dj1376_RBX wow if true​​​​​​​​
514163166515720194,2014-09-22 21:23:46,@Elee999_RBX wow if true​
514150780958294016,2014-09-22 20:34:33,@kylesethgray @wowwwrude wow if true​​​​​​​​​
514150730542772224,2014-09-22 20:34:21,@kylesethgray wow if true​​​
514146571127373824,2014-09-22 20:17:49,@nulljosh wow if true​​​​​​​​​
514127043282599936,2014-09-22 19:00:13,@wowwwrude wow if true​​​
514120749649362945,2014-09-22 18:35:13,@CPVideoMaker wow if true​
514108251022323712,2014-09-22 17:45:33,@AhoyCaptainCay wow if true​
514095558827712513,2014-09-22 16:55:07,@eventi wow if true​​​​​​​​
514090009000165377,2014-09-22 16:33:04,@kylesethgray wow if true​​​​​​
514059696710246401,2014-09-22 14:32:37,@AhoyCaptainCay wow if true​​​​​​​
514043673454325760,2014-09-22 13:28:56,@darby_smurf wow if true​​​​​​​
514038731238416385,2014-09-22 13:09:18,@therealmannan wow if true​​​​​​​​
514038336210481153,2014-09-22 13:07:44,@amarriner wow if true​​​​​​​​​​
514038199362936832,2014-09-22 13:07:11,@amarriner wow if true​​​​​​​​
514021740716883968,2014-09-22 12:01:47,@wowwwrude wow if true​​​​​​​​
514021727941046272,2014-09-22 12:01:44,@iknowwwright wow if true​
514017821643116544,2014-09-22 11:46:13,@inky wow if true​​​​
514009474504601600,2014-09-22 11:13:03,@darby_smurf wow if true​​​​​​​​​
513951587035652098,2014-09-22 07:23:01,@wowwwrude wow if true​
513951578839977984,2014-09-22 07:22:59,@wowwwrude wow if true​​
513933792805806080,2014-09-22 06:12:19,@nulljosh wow if true​​​​​​​
513910460169875456,2014-09-22 04:39:36,@CPVideoMaker wow if true​​​​​​​
513884013560209409,2014-09-22 02:54:30,@kylesethgray wow if true​
513883581408501760,2014-09-22 02:52:47,@Elee999_RBX wow if true​​
513876207474323456,2014-09-22 02:23:29,@JeremyDStanley wow if true​​​​​​​​
513874563482923008,2014-09-22 02:16:57,@CPVideoMaker wow if true​​​​​​​​​​
513872983690342401,2014-09-22 02:10:41,@iknowwwright wow if true​​​​​​​
513872977176576001,2014-09-22 02:10:39,@wowwwrude wow if true​​​​​​​​
513868135317766146,2014-09-22 01:51:25,@darby_smurf wow if true​​​​
513857231129833472,2014-09-22 01:08:05,@wowwwrude wow if true​​​​​​​
513848843734368257,2014-09-22 00:34:45,@kylesethgray wow if true​​
513848698996924416,2014-09-22 00:34:11,@negatendo wow if true​​​​​​​​​
513847595685249024,2014-09-22 00:29:48,@wowwwlewd wow if true​​​​​​
513847585623126016,2014-09-22 00:29:45,@Elee999_RBX wow if true​
513847410289049601,2014-09-22 00:29:04,@wowwwrude wow if true​​​​​​​​​
513839181152284672,2014-09-21 23:56:22,@LiterallyGod wow if true​​​​​​​​
513837145350348801,2014-09-21 23:48:16,@Elee999_RBX wow if true​​​​​​​​
513837073560641536,2014-09-21 23:47:59,@Elee999_RBX wow if true​​
513822245408370688,2014-09-21 22:49:04,@kylesethgray wow if true​​​​
513822069058850816,2014-09-21 22:48:22,@negatendo wow if true​
513817770786451456,2014-09-21 22:31:17,@dj1376_RBX @Elee999_RBX wow if true​​​​​​
513817695221862400,2014-09-21 22:30:59,@Elee999_RBX wow if true​​​​​​​​​
513804827386576896,2014-09-21 21:39:51,@AhoyCaptainCay wow if true​​​​
513791136813436930,2014-09-21 20:45:27,@Elee999_RBX wow if true​​​
513788390161264640,2014-09-21 20:34:32,@inky wow if true​​​​​
513788194630811648,2014-09-21 20:33:45,@CPVideoMaker wow if true​
513785967224700929,2014-09-21 20:24:54,@Elee999_RBX @dj1376_RBX @wowwwrude @wowwwlewd @iknowwwright wow if true​​​​​
513785405012213760,2014-09-21 20:22:40,@Elee999_RBX @dj1376_RBX @wowwwrude @wowwwlewd @iknowwwright wow if true​​​​​​​​​​
513771901005463552,2014-09-21 19:29:01,@LiterallyGod wow if true​​​​​​​​​​
513769910254985216,2014-09-21 19:21:06,@AhoyCaptainCay wow if true​​
513763213490388992,2014-09-21 18:54:30,@CPVideoMaker wow if true​​​​​
513762685838569472,2014-09-21 18:52:24,@kylesethgray @wowwwlewd @wowwwrude wow if true​
513753020216389632,2014-09-21 18:13:59,@ovropls wow if true​​​​​​​
513727861350744064,2014-09-21 16:34:01,@kylesethgray @SubtweetCat wow if true​​​​​​​​​
513726705195036672,2014-09-21 16:29:25,@kylesethgray wow if true​
513719891895939073,2014-09-21 16:02:21,@stalefries @negatendo @inky wow if true​​​​​​​​
513690703634108416,2014-09-21 14:06:22,@darby_smurf wow if true​
513684395983515650,2014-09-21 13:41:18,@inky wow if true​​​​​​​​​
513683608230711296,2014-09-21 13:38:10,@ryandolan123 @negatendo @wowwwrude @wowwwlewd @howaboutnoo_ wow if true​
513671296434315264,2014-09-21 12:49:15,@negatendo @inky wow if true​
513670597201510401,2014-09-21 12:46:28,wow if true
