id,created_at,text
519334523692408832,2014-10-07 03:52:53,I have a personal friend who is trying to mutate into a frog. ☯92JUN
519332300388302848,2014-10-07 03:44:03,"Hello, I'm a lamer. ☯94JUN"
515991026331574272,2014-09-27 22:27:01,I am sick of seeing the server 127․0․0․1 listed all over the Internet. There is nothing of interest on it to most people whatsoever. ☯94OCT
515933157242470400,2014-09-27 18:37:04,It remains my opinion that pretending to be an asshole on the net and actually being one are not as far apart as some people think. ☯94JUL
515896678935982081,2014-09-27 16:12:07,My sister is a “squid” (an e-mail freak)—she checks it every ten minutes. ☯94APR
515896028030304256,2014-09-27 16:09:32,I am 14 years old and I like modems very very very very much. ☯92JAN
515855158316916736,2014-09-27 13:27:08,Do you talk to the computer as if it could hear you? Does it ever talk back? ☯92JAN
510867288929865729,2014-09-13 19:07:07,The bet is on if we bomb Iraq again. We'll let the net decide who wins. ☯92JUL
510469024405532672,2014-09-12 16:44:34,Fridays are both :) and :( for me. I get to go out and stay up all night but I also won't be able to communicate online for two days. ☯94MAY
507065885090398208,2014-09-03 07:21:42,"Here's to the annihilation of car crashes, beer-bottle-smashing yahoos, and all other causes of glass on the roads. ☯91NOV"
507064865287315456,2014-09-03 07:17:39,Something really weird happened at 12:11 AM. My bike blew a tire while parked in my room. It scared the living ^&amp;$% out of me. ☯91NOV
505387473615462400,2014-08-29 16:12:18,"I've never cared much for graphic equalizers, but some people can't live without them. ☯90SEP"
505386765587599360,2014-08-29 16:09:29,CDs are taking over and it seems like a marketing scam to make all of us replace our entire LP music collection. ☯91JUN
501723008307056640,2014-08-19 13:31:01,Will it take unvarnished genocide within our own borders before some of us are willing to admit that we live in a police state? ☯90JAN
500847016394887171,2014-08-17 03:30:08,I'm hardly a newbie. I've been on the net for 11 years. ☯94JUN
500808996207734784,2014-08-17 00:59:03,"I'm having a nightmare in which the ultimately stupid post has been written, and it signals the coming of the apocalypse. ☯94JUN"
500786597831655424,2014-08-16 23:30:03,"Give cops the responsibility of enforcing laws that they really don't respect, and guess what happens? ☯93DEC"
500770859720916992,2014-08-16 22:27:31,What are you doing wasting time posting on the net when people are dying from careless gun handling? ☯94JUN
497268407117807616,2014-08-07 06:30:01,The last one off the net is a COMPUNERD!!! ☯85APR
497052495798349824,2014-08-06 16:12:04,I would be a glad human if I never saw another mountain generated with binary subdivision. ☯89NOV
497051889905979392,2014-08-06 16:09:40,In a few days all of us computers are going to get real pissed at you humans and launch World War III in your faces. ☯87SEP
497010619229667328,2014-08-06 13:25:40,"Please, think before you post next time. ☯88SEP"
496364203381628928,2014-08-04 18:37:02,How much of the net's capacity is being wasted by messages about New Coke right now? ☯85JUL
496327738220085248,2014-08-04 16:12:08,Note: I have not and never plan to be a yuppie so say whatever you want to about them. ☯85OCT
496326959233007616,2014-08-04 16:09:03,I bet there's nobody on the net who dresses as well as the people on Miami Vice. ☯85APR
496274372882345984,2014-08-04 12:40:05,Oooo boy do I hate those silly-kidstuff “handles” that some folks use. ☯89NOV
495978731941670912,2014-08-03 17:05:19,i aM not a dweeb. ☯87AUG
495841662904840193,2014-08-03 08:00:39,"I live alone, I never have guests, and I don't have palm trees growing out of the carpets. ☯93NOV"
493790324318539776,2014-07-28 16:09:22,Why doesn't it require spirit to project your avatar into the net? ☯94JUN
493468713015058433,2014-07-27 18:51:24,Is the net conscious yet? ☯94MAY
493215670260473856,2014-07-27 02:05:53,"In the hotel, your teeth chatter from the sound of humming VCRs. The only reason many people come to the Con is to dub anime tapes. ☯91MAY"
493066270406103040,2014-07-26 16:12:14,I just discovered Pogs! They're basically cardboard bottle-tops that are a mania in Hawaii and a potential craze for the mainland. ☯93AUG
492706395901669377,2014-07-25 16:22:13,"If you outlaw bots, only the outlaws will have bots. ☯93MAR"
492705587298181120,2014-07-25 16:19:00,"Who are you to stifle somebody's creativity, should they desire to express it in the form of a bot? ☯93MAR"
492612823378567168,2014-07-25 10:10:24,"Where is your smiley? Did you forget it, or are you in favor of genocide? ☯84OCT"
490565993593569283,2014-07-19 18:37:01,I sit here looking at this iridescent marble I have here on this fake wood desk trying so damn desperately to tell you all who I am. ☯94JAN
490528741752602624,2014-07-19 16:09:00,"I think the future of personal communications holds great things in store for us, but privacy won't be one those things. ☯94AUG"
490458542839975936,2014-07-19 11:30:03,I can't imagine having to drive through Texas because of all the people I would have to set on fire. ☯94JAN
489230442030465024,2014-07-16 02:10:01,"We're a home for those interested in lethal and non-lethal weaponry, mind control, dolphin research, the pyramids, and psychoactives. ☯94JUL"
489229692571246592,2014-07-16 02:07:02,"The information revolution is now. More and more our liberty will depend on the acquisition, dissemination, and control of knowledge. ☯94JUL"
489174338672029696,2014-07-15 22:27:05,YOUR PC HAS JUST BEEN STONED. LEGALIZE MARIJUANA! ☯90NOV
489145659115995136,2014-07-15 20:33:07,My system locked up and a tiny little smiley-face appeared on the screen. ☯92MAR
489144991902863362,2014-07-15 20:30:28,I just learned that I have a virus lurking on my word processing disk. ☯91JUL
489116446115770368,2014-07-15 18:37:02,"Yesterday, my dock flipped over, the screen melted, and my windows vanished. ☯93OCT"
489080081944690689,2014-07-15 16:12:32,Windows is beeping like crazy—do I have a virus or is it just lame programming? ☯93FEB
489079250419728384,2014-07-15 16:09:14,Watch your computer real close now and expect another virus to come through the net. It's a trendy thing these days. ☯88NOV
