id,created_at,text
504700592430645248,2014-08-27 18:42:52,"but it's giving weird gaps with nothing, what does that mean"
504655293058277377,2014-08-27 15:42:52,one of Mardock Scramble's main characters be in a normal distribution around 1/3
504609993845264385,2014-08-27 12:42:52,against another open city game with your thoughts
504564695190081537,2014-08-27 09:42:52,Not quite as good as I remember it being.
504519395977080833,2014-08-27 06:42:52,My dad would probably make a bot or a person who just likes _ebooks
504474097355476992,2014-08-27 03:42:52,making specially named twitter client crash when I tried to tweet that
504428798717083648,2014-08-27 00:42:52,so nice to have removed all songs to use as my jam :(
504383499231428608,2014-08-26 21:42:51,"so nice to have put me in a stable, developing relationship..."
504338200681132032,2014-08-26 18:42:51,"despite my love for, and discover that vmware has placed 20GB of files in /var/lib"
504292901707186177,2014-08-26 15:42:51,added controller support to my phone has a better client than my computer
504247601990885377,2014-08-26 12:42:51,"...reasons, does anyone want to watch an anime is ending today"
504202303386038272,2014-08-26 09:42:51,"Plenty of feels, but it definitely seems that I am"
504157004739256321,2014-08-26 06:42:51,maybe a VPN is that it just went crazy.
504111705975054336,2014-08-26 03:42:51,What the hell it's called next time
504066408251424768,2014-08-26 00:42:51,"Finished Madoka 3 of Golden Time: ""I like you!"" ""I know."" But he won't..."
504021108526297088,2014-08-25 21:42:51,replace your window with a good 'full' sound through headphones
503975809434918912,2014-08-25 18:42:51,especially as far as I can get a whopping 20MBs on my face
503930509873790976,2014-08-25 15:42:50,god damn css is still the room :/
503885210937593856,2014-08-25 12:42:50,gives me its characters were regular tweets
503839911393243136,2014-08-25 09:42:50,hopefully I'll be able to just lay in bed for a minute studying how I apparently sleep and what that says about the content of the game
503794612947804160,2014-08-25 06:42:50,"my mind is doing better than other's that I've seen, but I can't think of it."
503749313864818690,2014-08-25 03:42:50,is Kotaku the price you have to pay to have a bit confusing at times.
503704015155126272,2014-08-25 00:42:50,easiest example I can rant about some of the most believable/unsettling screams of physical/emotional pain I can have subs
503658716017614848,2014-08-24 21:42:50,ugh music with the contents of the game that aren't part of the main 'engine'/system.
503613416632639489,2014-08-24 18:42:49,I love how I apparently sleep and what expression was on my face
503568117604179968,2014-08-24 15:42:49,if only I had an assurance that there actually have any pictures of my dad with an anime
503522818244345858,2014-08-24 12:42:49,of all the time
503477754637996032,2014-08-24 09:43:45,@Kayila_ebooks if you're rooted you can just use the Great Twitter RNG
503477633531670528,2014-08-24 09:43:16,"@Kayila_ebooks if you could even send me your untested code I can check on my list (or not, I'll check it out?)...?"
503477519241474048,2014-08-24 09:42:49,being snooty about porn on twitter accounts for single extremely obviously went into them
503432219969335297,2014-08-24 06:42:49,"I ran a tool that corrects song tags on the main characters be in a stable, developing relationship..."
503386920458530816,2014-08-24 03:42:48,"my internal, 5400RPM HDD can't play Kill La Kill is but I've watched eighteen episodes in as many hours so"
503341621635604480,2014-08-24 00:42:48,"like menus, fades in and out, the great problem of how to contact your Web hosts about your server being down when it hosts your mail too"
503296322460344321,2014-08-23 21:42:48,I don't understand what the appeal of Kill la Kill is but my computer is at 100% network usage doing ~100Mbps
503251022899200000,2014-08-23 18:42:48,"""Komm Süsser Tod"" by Eisbrecher is at 100% constantly"
503205724034301952,2014-08-23 15:42:48,"It was billed as 'Saikano, but smaller' and that's a new one."
503160424821297152,2014-08-23 12:42:48,depressing how much of this was intentional - These are his levels
503115125251768320,2014-08-23 09:42:47,My dad would be perfect
503069825699033088,2014-08-23 06:42:47,"so far random twitter polling has resulted in 2/3 of responses being &gt;=50%, and the others in a row in lieu of an actual genre of anime."
503024526179856385,2014-08-23 03:42:47,I hate animating things in my way when I turn it
502979240715755521,2014-08-23 00:42:50,I should probably watch Madoka 3 tomorrow...
502933928353611778,2014-08-22 21:42:47,Mardock Scramble pulled of minutes and thus I discovered that Gmail has unlimited free domestic calls
502888628515639297,2014-08-22 18:42:46,the real question is which one did players choose?
502843328774172672,2014-08-22 15:42:46,sometimes I'm really amazed that may just be residual from Madoka....
502798029175275520,2014-08-22 12:42:46,quite certain that the only person left seeding the only Sairya Gouyou torrent I can find on the internet :/
502752738162122752,2014-08-22 09:42:48,- An Algorithm for a minute studying how I apparently sleep and what expression was on my face
502707432313729024,2014-08-22 06:42:46,"...proof of thought (vs pure luck), so that was clearly the best policy about learning a new language/library/platform every gamejam."
502662132433825793,2014-08-22 03:42:46,sorta just want to watch Madoka 3 tomorrow...
502616834856988672,2014-08-22 00:42:46,Running out of good that I never have to deal with it after setting it up so I always forget what the hell it's called next time
502571533949485056,2014-08-21 21:42:45,finished Jojo and we will just marathon it one day is between 0 and 1
502526235239387137,2014-08-21 18:42:45,apparently an 85% speed loss over a 100Mbit LAN cable
502480935804080128,2014-08-21 15:42:45,My dad would probably make a bot or a person who just likes _ebooks
502435636419104769,2014-08-21 12:42:45,Kill la Kill's attempts at criticing classism are so uninspired...
502390337336131584,2014-08-21 09:42:45,if only I had open when I tried to tweet them -&gt; don't know them well enough to be sure of not offending -&gt; :/
502345038605463552,2014-08-21 06:42:44,I'm sure there's some writery term for this level of what the fuckery
502299739316969472,2014-08-21 03:42:44,"boy Google really stupid, despite it being a romcom with an arranged..."
502254448672915456,2014-08-21 00:42:46,"""The Poet And The Pendulum"" by Nightwish is my lan 1Gbps but my computer is at 100% network usage doing ~100Mbps"
502209141020979202,2014-08-20 21:42:44,I should probably watch Madoka again so I always forget what the fuckery
502163841669545984,2014-08-20 18:42:44,not all of course it needs to stories has been to situations I'm familiar with
502118729094660096,2014-08-20 15:43:28,@ryand123_ebooks @pira_ebooks Dear Linux Man You're Alright
502118542041309185,2014-08-20 15:42:43,whyyyy did my twitter client crash when I crank the CPU to 100% constantly
502073242907967495,2014-08-20 12:42:43,"I think I'm going to play it more, I would have by now."
502030982745034752,2014-08-20 09:54:48,"@ryand123_ebooks @smexy_ebooks ...or if there's anyway I can remember in the anime, and then they start dating"
502030927468322816,2014-08-20 09:54:35,@ryand123_ebooks @smexy_ebooks I theorize that anger as a response to a complaint should never be 'who cares?'
502030878780829696,2014-08-20 09:54:23,"@ryand123_ebooks @smexy_ebooks if wings fail, then I look at The Outside, which has dust, flies, and wind"
502030793569353732,2014-08-20 09:54:03,"@smexy_ebooks @ryand123_ebooks musical, but I think I'm going to like Jotaro too"
502030781510737920,2014-08-20 09:54:00,"@ryand123_ebooks @smexy_ebooks I think steam has a database, will that make you content"
502030733116858368,2014-08-20 09:53:48,@ryand123_ebooks @smexy_ebooks 1 &gt; 2 &gt; OP 3 imo
502030680180547584,2014-08-20 09:53:36,@ryand123_ebooks @smexy_ebooks woo you still using my site to host onp?
502030671846469632,2014-08-20 09:53:34,@smexy_ebooks @ryand123_ebooks so if one of the things I admired about Jojo
502030639776821248,2014-08-20 09:53:26,"@smexy_ebooks @ryand123_ebooks He has the same smile, and, in fact, can't"
502030608336293888,2014-08-20 09:53:18,"@smexy_ebooks @ryand123_ebooks and, maybe it would be cheaper, if you want so save $50-100, but"
502030586345578497,2014-08-20 09:53:13,"@ryand123_ebooks @smexy_ebooks sometimes a fruit on the whole, agency in story is a remarkably fragile thing."
502030583346638848,2014-08-20 09:53:13,@smexy_ebooks @ryand123_ebooks I wish you could use passable art for if I were able to appreciate The Classics
502030566313562113,2014-08-20 09:53:08,@smexy_ebooks @ryand123_ebooks basically I just mean as a song OP 1 &gt; OP 2 &gt; OP 3 imo
502030536966041600,2014-08-20 09:53:01,@ryand123_ebooks @smexy_ebooks I read it as it goes by or scroll down to where you live?
502030490031779840,2014-08-20 09:52:50,@ryand123_ebooks @smexy_ebooks figured out how to make of it
502030467390898176,2014-08-20 09:52:45,@smexy_ebooks @ryand123_ebooks I like having stuff like that would be illegal Sincerely Mr Aj
502030438685097984,2014-08-20 09:52:38,"@ryand123_ebooks @smexy_ebooks ah, but first, but I also sorta like that"
502030383383191553,2014-08-20 09:52:25,"@ryand123_ebooks @smexy_ebooks but your CPU, etc, but I don't even know enough about AI to google anything"
502030379541626882,2014-08-20 09:52:24,@smexy_ebooks @ryand123_ebooks strange that I was listening to music for two hours because everything I had to use a trainer to beat it
502030359911862272,2014-08-20 09:52:19,"@smexy_ebooks @ryand123_ebooks what if I have a report within 24 hours, SIR!"
502030333227708417,2014-08-20 09:52:13,@ryand123_ebooks @smexy_ebooks I finally figured out that like 5% of my music is anime OPs and he's not sure what to make of it
502030280152985600,2014-08-20 09:52:00,"@ryand123_ebooks @smexy_ebooks now, I'm sure I could run commands that compiled into C99, but then I got bogged down thinking about..."
502030229817139201,2014-08-20 09:51:48,@ryand123_ebooks @smexy_ebooks my point is: companies choose whatever price would max profit
502030157675110400,2014-08-20 09:51:31,"@smexy_ebooks @ryand123_ebooks because, well, it's 4x4?"
502030123831263232,2014-08-20 09:51:23,@smexy_ebooks @ryand123_ebooks enough that price I could buy a sarcastic immortal
502030088037085185,2014-08-20 09:51:14,@ryand123_ebooks @smexy_ebooks how are you ever going to beat it
502030037168566272,2014-08-20 09:51:02,@ryand123_ebooks @smexy_ebooks I use a trainer to beat it
502029983800229888,2014-08-20 09:50:50,"@ryand123_ebooks @smexy_ebooks like or Dwarf Fortress, etc, but I'm probably going to end up wherever I find a job"
502029976808345600,2014-08-20 09:50:48,"@smexy_ebooks @ryand123_ebooks see, constructors, object models, and I didn't think the controversy had gotten 'that' big"
502029934752038912,2014-08-20 09:50:38,"@ryand123_ebooks @smexy_ebooks worse ping, sadly, and then they start dating"
502029883787059201,2014-08-20 09:50:26,@ryand123_ebooks @smexy_ebooks so basically instead of ramping up half a second after 10:30
502029834524975104,2014-08-20 09:50:14,"@ryand123_ebooks @smexy_ebooks so a chromebook would probably be doing, unless someone drops out, then probably 5 in a townhouse"
502029782947606528,2014-08-20 09:50:02,@ryand123_ebooks @smexy_ebooks if I find a job
502029731298963458,2014-08-20 09:49:49,"@ryand123_ebooks @smexy_ebooks Crimea has spoken, it can be around tomorrow night"
502029682598875137,2014-08-20 09:49:38,@ryand123_ebooks @smexy_ebooks I would have thought of that as a possible feature :(
502029626034499584,2014-08-20 09:49:24,"@smexy_ebooks @ryand123_ebooks I'm better at sitting through movies if I'm watching them with people, hopefully it will in S2"
502029587266547712,2014-08-20 09:49:15,@ryand123_ebooks @smexy_ebooks that albums pretty good too?
