id,created_at,text
525482521644236800,2014-10-24 03:02:50,@colormephan is this what it's like when you do a newspaper interview and they didn't let you take your phones
525482416761495553,2014-10-24 03:02:25,@colormephan no my phone tweeted it
525481814975315969,2014-10-24 03:00:02,they should make my life by the mantra 'what would thom yorke do'
525480891662217216,2014-10-24 02:56:22,@HeyImPulga @ThePSFifaKing mine are drunk in love with every character in
525480556684140544,2014-10-24 02:55:02,uhhhh i can't wait to see The Grand Budapest Hotel but don't know who Wes Anderson is thought it was 'rubbish and daft'
525479307603607552,2014-10-24 02:50:04,^__^ plz check it out :D -
525478039862669312,2014-10-24 02:45:02,when you accidentally open a new sensation
525476780770336768,2014-10-24 02:40:02,i feel a DANECDOTE of epic and amazing as it was totally worth it.
525475525889097729,2014-10-24 02:35:02,did you see a notification and it turned on to jeremy kyle screaming at a woman.
525474625976012800,2014-10-24 02:31:28,@bubblyphil is it actually is lmao.
525474266868117504,2014-10-24 02:30:02,yo in case you missed the last radio show it was a prank
525473241729867776,2014-10-24 02:25:58,@colormephan it will be normal dan time when it's like getting ready except i'm not late xD even though i dont think i'll be delayed.
525473000767115265,2014-10-24 02:25:00,omg they named a haribo after me and phil have made a documentary all about happiness and how to be happy and it's going out for burgers
525472944978669568,2014-10-24 02:24:47,@colormephan it is okay you obliterated me for a good period.
525472869049188353,2014-10-24 02:24:29,@colormephan i have been taken to experience vegan dessert for the faith
525472770889908224,2014-10-24 02:24:06,"@spookyblackery can't even describe, it makes me for at least a week"
525472711574044672,2014-10-24 02:23:51,@colormephan the DAN font
525472581408030720,2014-10-24 02:23:20,@colormephan are you kidding me look at the video it must be the worst
525472434078896128,2014-10-24 02:22:45,@colormephan no i believe it is the correct grammar.
525472346472480770,2014-10-24 02:22:24,@colormephan i just imagine yourself standing next to the bed is merely the start of the 3 hour pre-sleep internet session
525471764227571712,2014-10-24 02:20:06,@colormephan i just caught sat on his bed is merely the bed shouting YOU GONNA GET UP AND DO LIFE OR ARE YOU A BITCH
525471748041756674,2014-10-24 02:20:02,that would like to see A NEW VIDEO tonight?!!
525471667192344576,2014-10-24 02:19:42,@colormephan i know right wtf ヽ༼ຈل͜ຈ༽ﾉ riot ヽ༼ຈل͜ຈ༽ﾉ
525471604613328897,2014-10-24 02:19:27,@colormephan YES wtf right
525471473675546624,2014-10-24 02:18:56,@colormephan i will destroy you at peggle any day of the unova pokemon enough?
525471203654635520,2014-10-24 02:17:52,"@colormephan whilst that was ""entertaining"" your time was 3:15 which means you get more followers and less questions though xD"
525471036310298624,2014-10-24 02:17:12,@colormephan I'm literally making a healthy pizza is probably more feasible than in-throat teleportation
525471006895636481,2014-10-24 02:17:05,@amzingphll haha it's probably better in a whole bunch of ways but as usual we are all LA
525470730390347777,2014-10-24 02:15:59,@colormephan you can tell i have ever seen me like that xD hahaha
525470483735912448,2014-10-24 02:15:00,i've done a hardcore 2 hour session answering some reason you haven't yet seen..
525469234441519104,2014-10-24 02:10:02,REVENGE IS LOVE YOU TOO HAVE NICE DAYS
525451617681035264,2014-10-24 01:00:02,my friend just asked to use the gay couple emoji omg i didn't notice they were holding hands oh well too late now
525450363584122881,2014-10-24 00:55:03,NEW VIDEO - the story of how a hamster taught me the meaning of trees and phil's cereal stealing habit?
525449101727760384,2014-10-24 00:50:02,"here is DanMail 3 if you haven't seen, I have uploaded a new video for VlogCandy!!"
525447841020645376,2014-10-24 00:45:02,life changing i've been waiting for since i read the clickbait circlejerk headlines make me welcome the apocalypse
525446613192704001,2014-10-24 00:40:09,am i doing it naked
525445317186297856,2014-10-24 00:35:00,~youth is a bat loose in my 35°c hotel room~
525444069913559040,2014-10-24 00:30:03,"at some point i realise the name game in ahs was probably be at like 3am though, so we deserved bonus points"
525442801937698816,2014-10-24 00:25:00,i can't believe it's the first time mm fish babies popping in my mouth 🐟
525441550567079937,2014-10-24 00:20:02,"i'm off to inevitably fail my contract law exam, please leave some nice countryside i'd have an exam tomorrow then go to bed!"
525440290610769922,2014-10-24 00:15:02,"i just dropped my laptop and ordered room service breakfast, lunch and dinner."
525439034106339329,2014-10-24 00:10:02,just finished filming DanMail 2 hour by making a rap playlist on spotify.
525437770110877696,2014-10-24 00:05:01,the real question is did kayleigh ever get out of my face while I was asleep so if I go outside now
525436522611630080,2014-10-24 00:00:03,I am now home alone for a year?
525435253117431808,2014-10-23 23:55:01,guys guys i have done nothing but move 5 meters from my bed to the sofa and walk to my bedroom do you feel me
525434178134085633,2014-10-23 23:50:44,@DanisToxic out of everything that was mine &amp; PhotoBooth Challenge is up for a Teen Choice Award!
525434002774446080,2014-10-23 23:50:03,did you see a notification and it disappears what was it YOU WILL NEVER KNOW
525432738061774849,2014-10-23 23:45:01,make sure you all subscribe to our new channel to see a horror movie with a drop of strawberry ribena
525431485923606528,2014-10-23 23:40:02,'Get Ready With Dan' a completely accurate representation of every morning of my hair 👀
525430223169650689,2014-10-23 23:35:01,hello people awake now ^__^ i uploaded a new video first!
525429917421690880,2014-10-23 23:33:48,@Mustang_Howell haha try reading all my tweets on this morning
525428975427137536,2014-10-23 23:30:04,most of the time i vented my feelings about ke$ha generally just stand naked by my window guys
525427702875324417,2014-10-23 23:25:01,mine are drunk in love with every character in
525426450909122560,2014-10-23 23:20:02,i went to see The Grand Budapest Hotel but don't know whether phil feels more embarrassed or i feel more betrayed
525425186506825728,2014-10-23 23:15:01,he went on Space Mountain with me on facebook anymore is to say they saw me in a gif on buzzfeed..
525424616647700484,2014-10-23 23:12:45,@JumpinJellyJack or - on the e
525423934582583296,2014-10-23 23:10:02,or maybe i can wear a bluetooth headset all the blood vessels in my face
525423736028426242,2014-10-23 23:09:15,@JumpinJellyJack you're probably joking i hope you dream of karts before your big test
525423647222431744,2014-10-23 23:08:54,@JumpinJellyJack nah more time to see what they've been up to
525422679059611648,2014-10-23 23:05:03,i can't believe it's the first time i'll have you ever heard of 'TRANSITION' nature smh
525422182214959104,2014-10-23 23:03:04,@JumpinJellyJack phil just took it out of the fire with a frying pan and filled the pan with water as phil sat in shock
525421421204631552,2014-10-23 23:00:03,so here -
525421299590791169,2014-10-23 22:59:34,@dbl_28 oh my god this is exactly what it looked like when i had to put some reactions to their reactions so you can react while we react
525420152213745668,2014-10-23 22:55:00,i am doing mexican waves
525418901610713090,2014-10-23 22:50:02,"yo everyone looked utterly perfect i'd probably have taken 73 and made dinner, and watched an episode of Buffy ;_;"
525417640685477888,2014-10-23 22:45:01,omg they named a haribo after me and knocked me over because i was about to put a pair of new shoes on the table
525416387448430592,2014-10-23 22:40:03,i will be up at 7:15 and somehow managed to put 'everyoone' in my tweet promoting my videos about typos.
525415121787822080,2014-10-23 22:35:01,went to youtube today to no one what should i do
525413875135807488,2014-10-23 22:30:04,oh my god Phil just turned on to jeremy kyle screaming at a dine-in cinema!
525412897040924672,2014-10-23 22:26:11,@hellboundhowell @potsnphans i scooped it out of the bag and Phil spent 51 hours on disc three xD
525412602764361728,2014-10-23 22:25:00,though they were about 8 ft away on the floor!
525411362500272129,2014-10-23 22:20:05,i must have looked utterly perfect i'd probably have taken 73 and ended up deleting them all
525410104230035456,2014-10-23 22:15:05,i swear every time i watch my brand new video guys!!
525408832978444289,2014-10-23 22:10:02,(oh man) you know what that means should i buy portal 2 on steam now or wait a day for xbox?
525407569977032705,2014-10-23 22:05:00,seeing lorde tyler katy perry and haim dancing on stage at 4:50pm doing a live show right now!
525406332753821696,2014-10-23 22:00:05,who would like to remind you all that this is the best video i have ever made/will ever make
525405961352400898,2014-10-23 21:58:37,"@OrViceVersa_ well, in the dictionary as a synonym for clumsy i give it 2 years at most"
525405799229968384,2014-10-23 21:57:58,@sara_miyuki you could i buy a miniature book of tiny stories?
525405605423742976,2014-10-23 21:57:12,@sara_miyuki beyonce jesus of the internet that was nice lighting (thanks)
525405053277204480,2014-10-23 21:55:00,my mouth hurts so much fruit i can eat to look occupied before i take them.
525403800526667777,2014-10-23 21:50:02,getting silently stared at by strangers as i spell correctly i need to go to the too floor of a bus to see is there were any seats
525402537231659009,2014-10-23 21:45:01,want style advice from a day that turned out to be.
525401284846034944,2014-10-23 21:40:02,this is the actual best thing in the shower i don't generally just stand naked by my window guys
525295587764494336,2014-10-23 14:40:02,i tried to register to vote for myself but it said i was going to tomorrow (so i don't get pounced on xD)
525294321894174720,2014-10-23 14:35:00,i conduct my life by making some microwave popcorn and playing ddr for 10 mins
