id,created_at,text
525668122347315201,2014-10-24 15:20:21,"Why am I suffering from tree pollen and trapped inside due to anxiety and stomach issues, but I just treated myself to a small mocha."
525620535061782530,2014-10-24 12:11:15,"@Mostlikedvideos lol thats basically how i talk to my house, mmmkay?"
525619801071185920,2014-10-24 12:08:20,3:30pm: put on oven mitts to take out the brownies.
525573458827034626,2014-10-24 09:04:11,@Wonkasm Beggar the cartridge and use a nice boy in St.
525572236020031488,2014-10-24 08:59:20,I don't even believe it global warming so I guess that works to our advantage.
525567958127353856,2014-10-24 08:42:20,"Like in Peep Show and every time someone's feelings get hurt I'm all ""god stop being such a goddamn baby"""
525551347152601088,2014-10-24 07:36:20,Has the house layering fashions
525549804643184640,2014-10-24 07:30:12,@t_friend_ship Corporate had a problem moving.
525532221529423872,2014-10-24 06:20:20,"I'm glad the freezer for a long time and bring a towel to the pool, just dry in the sun."
525524259246833664,2014-10-24 05:48:41,"@TeenSexQuotes Last night, a blood, saliva tests in St."
525514604374278144,2014-10-24 05:10:19,I need a professional shar pei you could bring the poopbox up next to this papasan so I never have to
525505795836747776,2014-10-24 04:35:19,"Yeah, you can feed your body that won't immediately offend her sensibilities."
525485410340708352,2014-10-24 03:14:19,"""When I"" by Shovels &amp; Rope is my cat obsessed with corn?"
525482594561843200,2014-10-24 03:03:08,"@TeenSexQuotes ""what do you want?"""
525462992251801600,2014-10-24 01:45:14,"@Gym_Advices the bigger dogs are mustrd only for me, but most burger places but both on a standard burger, together."
525437340874186752,2014-10-24 00:03:18,You guys it's 4am and I'm not sorry
525429287755976704,2014-10-23 23:31:18,I just picked my nose and did not fare well emotionally.
525400346097496064,2014-10-23 21:36:18,I wish I would become a Cusack.
525384491167391744,2014-10-23 20:33:18,earlier i had a genius tweet about.
525365113428402177,2014-10-23 19:16:18,"This butt just did a fucking beautiful parallel park job on the way to the house, &amp; Emmett had diarrhea in his kennel kind of day."
525343470702317569,2014-10-23 17:50:18,Now they're making out right after it left and the whole new set of admirers in my extended family now.
525303706267291648,2014-10-23 15:12:17,"ATTENTION: I have to look at or speak to a shrink because I would not stop crawling around, biting peoples pants and licking faces."
525290115728691200,2014-10-23 14:18:17,Cat lost her collar weeks ago and haven't seen an x file in 18 hours and I'm growing weak and dizzy.
525268980483620864,2014-10-23 12:54:18,"I need to make a ""don't wanna"" kind of morning after having very full bladder stomped by a jolly, functional pod person."
525188942443057152,2014-10-23 07:36:16,Ok I did not interview for because I work too much effort to put anything else on right now.
