id,created_at,text
503511105810219008,2014-08-24 11:56:17,Read about today: http://t.co/v2xaczYpMY
503083077527425024,2014-08-23 07:35:27,Read about today: http://t.co/HYmCDQvFF9
502353484491259904,2014-08-21 07:16:18,Read about today: http://t.co/99lDECpi5J
501990637332606976,2014-08-20 07:14:29,Read about today: http://t.co/2kM0fB5JmU
501626230706565120,2014-08-19 07:06:27,Read about today: http://t.co/gwN0NKezUX
500963118076678144,2014-08-17 11:11:29,Read about today: http://t.co/rywv5u39MH
500526770442211328,2014-08-16 06:17:36,Read about today: http://t.co/jT4OhbEzEy
500178431330770944,2014-08-15 07:13:25,Read about today: http://t.co/alfDOXLPeb
499815584843198466,2014-08-14 07:11:36,Read about today: http://t.co/NNIOMj7gtY
499461171326754816,2014-08-13 07:43:17,Read about today: http://t.co/MaSDlfWs6M
499092791012896768,2014-08-12 07:19:28,Read about today: http://t.co/CCcLnnIdPt
498728612246609920,2014-08-11 07:12:21,Read about today: http://t.co/WcMNMbHlgH
498414109420187648,2014-08-10 10:22:38,Read about today: http://t.co/9UjK1U2CPf
498009946924265473,2014-08-09 07:36:38,Read about today: http://t.co/pgADbFthiA
497692533804531712,2014-08-08 10:35:21,Read about today: http://t.co/Gfb9WLEwdD
497287257716699136,2014-08-07 07:44:56,Read about today: http://t.co/ZQnVm9ptTI
496919576664633344,2014-08-06 07:23:54,Read about today: http://t.co/rdj04adMvd
496553154004402176,2014-08-05 07:07:52,Read about today: http://t.co/iB1ldEY13A
496206407063326720,2014-08-04 08:10:01,Read about today: http://t.co/GEW7QpcQ5B
495838818571149312,2014-08-03 07:49:21,Read about today: http://t.co/vmwk0WaSJ6
495453257696038912,2014-08-02 06:17:16,Read about today: http://t.co/zkSTlXq1dZ
495090682072403968,2014-08-01 06:16:31,Read about today: http://t.co/WvLbOsUOtq
494763743566655488,2014-07-31 08:37:23,Read about today: http://t.co/xtrX2D4VaZ
494430247178473473,2014-07-30 10:32:11,Read about today: http://t.co/Xc9QCaPl3C
494069855902244865,2014-07-29 10:40:07,Read about today: http://t.co/tWuB0RpohY
493702791576449024,2014-07-28 10:21:32,Read about today: http://t.co/suwfctwnH2
492967619809775616,2014-07-26 09:40:14,Read about today: http://t.co/tStqzorIf1
492599739880603648,2014-07-25 09:18:24,Read about today: http://t.co/lhdkiS0A7N
492296003643772928,2014-07-24 13:11:28,Read about today: http://t.co/2nfmW2BNXD
491879336094752769,2014-07-23 09:35:47,Read about today: http://t.co/FhY538Qd3J
491497786274492416,2014-07-22 08:19:38,Read about today: http://t.co/mWDMEOWrri
491135238131941376,2014-07-21 08:19:00,Read about today: http://t.co/2nFb38ztlf
490802804941139968,2014-07-20 10:18:02,Read about today: http://t.co/7eZH0uIRBB
490408615589969920,2014-07-19 08:11:39,Read about today: http://t.co/QD120mddJy
490024989228531712,2014-07-18 06:47:16,Read about today: http://t.co/HF1p6vWYEJ
489662556664250368,2014-07-17 06:47:05,Read about today: http://t.co/nM67AwFoSg
489301628747784192,2014-07-16 06:52:53,Read about today: http://t.co/HWetcf89aL
488944747529392128,2014-07-15 07:14:46,Read about today: http://t.co/T98EGxbH0j
488575769661440000,2014-07-14 06:48:35,Read about today: http://t.co/htX0qzxwp6
488260338719404033,2014-07-13 09:55:10,Read about today: http://t.co/5g1WeqBvAO
487850358866444288,2014-07-12 06:46:04,Read about today: http://t.co/LNEBAMuwh9
487489227664674817,2014-07-11 06:51:03,Read about today: http://t.co/M4pXiySvj2
487128304479387648,2014-07-10 06:56:52,Read about today: http://t.co/pHr78Y9Ilw
486766270613061632,2014-07-09 06:58:17,Read about today: http://t.co/X9M0TBbF7B
486404279188848640,2014-07-08 06:59:51,Read about today: http://t.co/195DhXw08z
485720814076321793,2014-07-06 09:44:00,Read about today: http://t.co/6glytW9UJ9
485322537698861056,2014-07-05 07:21:24,Read about today: http://t.co/V8xeu02SWN
484959725155799040,2014-07-04 07:19:43,Read about today: http://t.co/vAA4LVs3qu
484618587030958080,2014-07-03 08:44:09,Read about today: http://t.co/Zcjsn1tNXH
484230282888097792,2014-07-02 07:01:10,Read about today: http://t.co/kpauDDfD5K
483867701526675456,2014-07-01 07:00:24,Read about today: http://t.co/vDN49whjrQ
483504883476471808,2014-06-30 06:58:41,Read about today: http://t.co/Sav1ppmUD8
483178041334824960,2014-06-29 09:19:56,Read about today: http://t.co/Uhjmm5tmC7
482780893292290048,2014-06-28 07:01:49,Read about today: http://t.co/bhEWMLF6pB
482421484007464960,2014-06-27 07:13:39,Read about today: http://t.co/ez0DOkZNML
