id,created_at,text
525931231087566849,2014-10-25 08:45:51,"Today is Pungenday,the 6th day of The Aftermath in the YOLD 3180"
525896362747908096,2014-10-25 06:27:18,"Today is Boomtime,the 5th day of The Aftermath in the YOLD 3180 Celebrate Maladay"
524515216084574208,2014-10-21 10:59:07,"Today is Prickle-Prickle,the 2nd day of The Aftermath in the YOLD 3180"
524437508415688707,2014-10-21 05:50:20,"Today is Pungenday,the 1st day of The Aftermath in the YOLD 3180"
523766083430281216,2014-10-19 09:22:20,"Today is Boomtime, the 73rd day of Bureaucracy in the YOLD 3180"
523056017882374144,2014-10-17 10:20:47,"Today is Setting Orange,the 71st day of Bureaucracy in the YOLD 3180"
522651338295885824,2014-10-16 07:32:44,"Today is Prickle-Prickle,the 70th day of Bureaucracy in the YOLD 3180"
522361928115449856,2014-10-15 12:22:43,"Today is Pungenday,the 69th day of Bureaucracy in the YOLD 3180"
521542871879393280,2014-10-13 06:08:05,"Today is Setting Orange,the 66th day of Bureaucracy in the YOLD 3180"
521502136501547009,2014-10-13 03:26:13,RT @gryph_ebooks: Discordian philosophy is a redundant title.
519584288971296768,2014-10-07 20:25:22,"Today is Setting Orange,the 61st day of Bureaucracy in the YOLD 3180"
517959493687062528,2014-10-03 08:49:01,"Today is Sweetmorn,the 57th day of Bureaucracy in the YOLD 3180"
516890398489206784,2014-09-30 10:00:49,"Today is Pungenday,the 54th day of Bureaucracy in the YOLD 3180"
515803099009527808,2014-09-27 10:00:16,"Today is Setting Orange,the 51st day of Bureaucracy in the YOLD 3180"
515399706881445888,2014-09-26 07:17:20,"Today is Prickle-Prickle,the 50th day of Bureaucracy in the YOLD 3180 Celebrate Bureflux"
515079201104220161,2014-09-25 10:03:45,"Today is Pungenday,the 49th day of Bureaucracy in the YOLD 3180"
514950861437411328,2014-09-25 01:33:47,"Today is Boomtime,the 48th day of Bureaucracy in the YOLD 3180"
514353219992969217,2014-09-23 09:58:58,"Today is Sweetmorn,the 47th day of Bureaucracy in the YOLD 3180"
513639995844734977,2014-09-21 10:44:52,"Today is Prickle-Prickle,the 45th day of Bureaucracy in the YOLD 3180"
512171877452636161,2014-09-17 09:31:05,"Today is Setting Orange,the 41st day of Bureaucracy in the YOLD 3180"
511804137986461696,2014-09-16 09:09:50,"Today is Prickle-Prickle,the 40th day of Bureaucracy in the YOLD 3180"
510687537463967744,2014-09-13 07:12:51,"Today is Sweetmorn,the 37th day of Bureaucracy in the YOLD 3180"
510323467531481088,2014-09-12 07:06:10,"Today is Setting Orange,the 36th day of Bureaucracy in the YOLD 3180"
509969004715208704,2014-09-11 07:37:40,"Today is Prickle-Prickle,the 35th day of Bureaucracy in the YOLD 3180"
509953713587228672,2014-09-11 06:36:54,"Today is Pungenday,the 34th day of Bureaucracy in the YOLD 3180"
509235292457291776,2014-09-09 07:02:09,"Today is Boomtime,the 33rd day of Bureaucracy in the YOLD 3180"
508545652796583936,2014-09-07 09:21:46,"Today is Setting Orange,the 31st day of Bureaucracy in the YOLD 3180"
508189261862932480,2014-09-06 09:45:36,"Today is Prickle-Prickle,the 30th day of Bureaucracy in the YOLD 3180"
507806285757034496,2014-09-05 08:23:47,"Today is Pungenday,the 29th day of Bureaucracy in the YOLD 3180"
507441151201132544,2014-09-04 08:12:52,"Today is Boomtime,the 28th day of Bureaucracy in the YOLD 3180"
507072139824877568,2014-09-03 07:46:33,"Today is Sweetmorn,the 27th day of Bureaucracy in the YOLD 3180"
507013103578382336,2014-09-03 03:51:58,"Today is Setting Orange,the 26th day of Bureaucracy in the YOLD 3180"
506684636227833857,2014-09-02 06:06:45,"Today is Prickle-Prickle,the 25th day of Bureaucracy in the YOLD 3180"
505611123446386689,2014-08-30 07:01:00,"Today is Boomtime,the 23rd day of Bureaucracy in the YOLD 3180"
505248994067742720,2014-08-29 07:02:01,"Today is Sweetmorn,the 22nd day of Bureaucracy in the YOLD 3180"
505216137844764672,2014-08-29 04:51:28,"Today is Setting Orange,the 21st day of Bureaucracy in the YOLD 3180"
504543649221197824,2014-08-27 08:19:14,"Today is Prickle-Prickle,the 20th day of Bureaucracy in the YOLD 3180"
504172934609399808,2014-08-26 07:46:09,"Today is Pungenday,the 19th day of Bureaucracy in the YOLD 3180"
503799701397721089,2014-08-25 07:03:03,"Today is Boomtime,the 18th day of Bureaucracy in the YOLD 3180"
503438510464839680,2014-08-24 07:07:48,"Today is Sweetmorn,the 17th day of Bureaucracy in the YOLD 3180"
502718202955046912,2014-08-22 07:25:34,"Today is Prickle-Prickle,the 15th day of Bureaucracy in the YOLD 3180"
502214434249383936,2014-08-20 22:03:46,"Today is Boomtime,the 13rd day of Bureaucracy in the YOLD 3180"
501970275139743745,2014-08-20 05:53:34,"Today is Sweetmorn,the 12nd day of Bureaucracy in the YOLD 3180"
500843008388890625,2014-08-17 03:14:13,"Today is Pungenday,the 9th day of Bureaucracy in the YOLD 3180"
500459832298569728,2014-08-16 01:51:36,"Today is Boomtime,the 8th day of Bureaucracy in the YOLD 3180"
500130815456460800,2014-08-15 04:04:13,"Today is Sweetmorn,the 7th day of Bureaucracy in the YOLD 3180"
499765393523630080,2014-08-14 03:52:09,"Today is Setting Orange,the 6th day of Bureaucracy in the YOLD 3180"
499402268290985985,2014-08-13 03:49:13,"Today is Prickle-Prickle,the 5th day of Bureaucracy in the YOLD 3180 Celebrate Zaraday"
498746027273252866,2014-08-11 08:21:33,"Today is Pungenday,the 4th day of Bureaucracy in the YOLD 3180"
498365574653546497,2014-08-10 07:09:46,"Today is Boomtime,the 3rd day of Bureaucracy in the YOLD 3180"
498033861482127362,2014-08-09 09:11:40,"Today is Sweetmorn,the 2nd day of Bureaucracy in the YOLD 3180"
497639408992919552,2014-08-08 07:04:15,"Today is Setting Orange,the 1st day of Bureaucracy in the YOLD 3180"
497313346496909312,2014-08-07 09:28:36,"Today is Prickle-Prickle,the 73rd day of Confusion in the YOLD 3180"
497312233459027968,2014-08-07 09:24:10,YyyyyyyyyyyyyyyyyyyyyyyyybyyyyyyyyyyyyyyyhyyyyyyyyyyyyyyyYyyyyyyyyyyyhyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
496585430448754688,2014-08-05 09:16:07,"Today is Boomtime,the 71st day of Confusion in the YOLD 3180"
495826597581447168,2014-08-03 07:00:47,"Today is Setting Orange,the 69th day of Confusion in the YOLD 3180"
495119498572079104,2014-08-01 08:11:01,"Today is Pungenday,the 67th day of Confusion in the YOLD 3180"
494745586282020864,2014-07-31 07:25:14,"Today is Boomtime,the 66th day of Confusion in the YOLD 3180"
494210524088139776,2014-07-29 19:59:05,"Today is Setting Orange,the 64th day of Confusion in the YOLD 3180"
493666913206013953,2014-07-28 07:58:58,"Today is Prickle-Prickle,the 63rd day of Confusion in the YOLD 3180"
493645867283664896,2014-07-28 06:35:20,"Today is Pungenday,the 62nd day of Confusion in the YOLD 3180"
492604649552113665,2014-07-25 09:37:55,"Today is Sweetmorn,the 60th day of Confusion in the YOLD 3180"
492229476672352257,2014-07-24 08:47:07,"Today is Setting Orange,the 59th day of Confusion in the YOLD 3180"
492067719517589505,2014-07-23 22:04:21,"Today is Prickle-Prickle,the 58th day of Confusion in the YOLD 3180"
491723684457885697,2014-07-22 23:17:16,"Today is Pungenday,the 57th day of Confusion in the YOLD 3180"
491500377070526465,2014-07-22 08:29:56,"Today is Pungenday,the 57th day of Confusion in the YOLD 3180"
491471778125193216,2014-07-22 06:36:17,"Today is Boomtime,the 56th day of Confusion in the YOLD 3180"
490698498237800448,2014-07-20 03:23:33,"Today is Setting Orange,the 54th day of Confusion in the YOLD 3180"
490221335600058368,2014-07-18 19:47:28,"Today is Prickle-Prickle, the 53rd day of Confusion in the YOLD 3180"
489575408770117632,2014-07-17 01:00:47,"Today is Boomtime, the 51st day of Confusion in the YOLD 3180"
488946464140185600,2014-07-15 07:21:35,"Today is Sweetmorn,the 50th day of Confusion in the YOLD 3180 Celebrate Confuflux"
488615491377061888,2014-07-14 09:26:25,"Today is Setting Orange,the 49th day of Confusion in the YOLD 3180"
488256396983431168,2014-07-13 09:39:31,"Today is Prickle-Prickle,the 48th day of Confusion in the YOLD 3180"
487861055755137024,2014-07-12 07:28:34,"Today is Pungenday,the 47th day of Confusion in the YOLD 3180"
487849421481459712,2014-07-12 06:42:20,"Today is Boomtime,the 46th day of Confusion in the YOLD 3180"
487499410234822659,2014-07-11 07:31:31,"Today is Boomtime,the 46th day of Confusion in the YOLD 3180"
487017388294938624,2014-07-09 23:36:08,"Today is Setting Orange,the 44th day of Confusion in the YOLD 3180"
486420694058561536,2014-07-08 08:05:05,"Today is Prickle-Prickle,the 43rd day of Confusion in the YOLD 3180"
486398291823714304,2014-07-08 06:36:04,"Today is Pungenday,the 42nd day of Confusion in the YOLD 3180"
484480565844774912,2014-07-02 23:35:42,"Today is Pungenday,the 37th day of Confusion in the YOLD 3180"
483890431516631040,2014-07-01 08:30:43,"Today is Boomtime,the 36th day of Confusion in the YOLD 3180"
483507145695318017,2014-06-30 07:07:41,"Today is Sweetmorn,the 35th day of Confusion in the YOLD 3180"
483170638551867393,2014-06-29 08:50:31,"Today is Setting Orange,the 34th day of Confusion in the YOLD 3180"
482251027551227907,2014-06-26 19:56:19,"Today is Boomtime,the 31st day of Confusion in the YOLD 3180"
481713138656894976,2014-06-25 08:18:56,"Today is Sweetmorn,the 30th day of Confusion in the YOLD 3180"
481532065163522048,2014-06-24 20:19:25,"Today is Setting Orange,the 29th day of Confusion in the YOLD 3180"
481019183698702336,2014-06-23 10:21:24,"Today is Prickle-Prickle,the 28th day of Confusion in the YOLD 3180"
479535862859198464,2014-06-19 08:07:13,"Today is Setting Orange,the 24th day of Confusion in the YOLD 3180"
479167979549392897,2014-06-18 07:45:23,"Today is Prickle-Prickle,the 23rd day of Confusion in the YOLD 3180"
478843011095228416,2014-06-17 10:14:04,"Today is Pungenday,the 22nd day of Confusion in the YOLD 3180"
478432982630273024,2014-06-16 07:04:46,"Today is Boomtime,the 21st day of Confusion in the YOLD 3180"
478071191799095296,2014-06-15 07:07:08,"Today is Sweetmorn,the 20th day of Confusion in the YOLD 3180"
477725949362847744,2014-06-14 08:15:16,"Today is Setting Orange,the 19th day of Confusion in the YOLD 3180"
477698677742776320,2014-06-14 06:26:54,"Today is Prickle-Prickle,the 18th day of Confusion in the YOLD 3180"
477006613749170176,2014-06-12 08:36:53,"Today is Pungenday,the 17th day of Confusion in the YOLD 3180"
476864296941391872,2014-06-11 23:11:22,"Today is Boomtime,the 16th day of Confusion in the YOLD 3180"
476309449322545153,2014-06-10 10:26:36,"Today is Sweetmorn,the 15th day of Confusion in the YOLD 3180"
475926033380941824,2014-06-09 09:03:03,"Today is Setting Orange,the 14th day of Confusion in the YOLD 3180"
