id,created_at,text
525464125544341504,2014-10-24 01:49:44,RT @deray: STL Co PD has LOCKED the doors. Locked. Protestors trying to file a complaint. #Ferguson http://t.co/dld6Z5etp9
525413126691631105,2014-10-23 22:27:05,"Gotta hand it to this dog I'm petsitting for, takin his first dump on the lawn of a baptist church"
525371942048907266,2014-10-23 19:43:26,"RT @ShaunKing: Forever, white racists who've killed and maimed African Americans have had to creatively dehumanize them to justify their in…"
525371901947154432,2014-10-23 19:43:17,"RT @ShaunKing: Yet, the man who KILLS Trayvon Martin and has been cited for SIX incidents of violence, isn't called a thug AND Trayvon is? …"
525371655913496576,2014-10-23 19:42:18,"RT @ShaunKing: Before he murdered Trayvon Zimmerman was cited for THREE violent incidents. Since he killed Trayvon, THREE more. http://t.co…"
525368009721131008,2014-10-23 19:27:49,RT @ShaunKing: Tim Allen served YEARS in prison for selling cocaine. He's not a thug. He's Tim the Toolman Taylor &amp; Buzz Lightyear. http://…
525367971972395008,2014-10-23 19:27:40,"RT @ShaunKing: I love this man as an actor, but to America and the world, he's NEVER a thug. Just Iron Man. Gets ENDLESS grace. http://t.co…"
525366956023906304,2014-10-23 19:23:37,"RT @ShaunKing: Jared Loughner had a history of drug use, killed 6 people, injured 13, including a congresswoman. Never called a THUG http:/…"
525366928702181378,2014-10-23 19:23:31,RT @ShaunKing: McVeigh &amp; Nichols killed 168 people. Injured 700. They were NEVER called THUG and RARELY called terrorists. http://t.co/uyY2…
525366924008763392,2014-10-23 19:23:30,"RT @ShaunKing: Arrested OVER &amp; OVER again, Jeffrey Dahmer, killed, raped, &amp; ate 17 men. NEVER was he called a thug. http://t.co/mQSnO4IWr9"
525366923954241538,2014-10-23 19:23:30,"RT @ShaunKing: Yet not only are African-American perpetrators of violence labeled as thugs, but so are victims. It's an exclusive phenomeno…"
525366855566106628,2014-10-23 19:23:13,"RT @ShaunKing: Can you name one white person, criminal or otherwise, that you’ve heard regularly called a ""thug"" in the past, let’s say, 10…"
525366772653125633,2014-10-23 19:22:54,RT @ShaunKing: Name 1 young white victim of violence who's been publicly degraded by 1000s of black folk online or by key black journalists…
525114598731829251,2014-10-23 02:40:51,"RT @ShaunKing: In their full statement the @TheJusticeDept says these aren't ""leaks"" but deliberate attempts to smear Mike Brown. http://t.…"
525114366338027520,2014-10-23 02:39:55,"@peapodpeapod RT: 95% of the time when Im smiling at my phone it's bc of something I said, not something someone sent me. Im hilarious"
