id,created_at,text
526063217382916097,2014-10-25 17:30:19,"Eagles may soar, but weasels don't get sucked into jet engines."
525927321471959042,2014-10-25 08:30:19,Hate Crime: It's what Police do!
525806525365751808,2014-10-25 00:30:19,http://t.co/yMAwGeuPnl
525791427112890369,2014-10-24 23:30:19,http://t.co/eBfH0i4Znm
525761226614132736,2014-10-24 21:30:19,I dressed a  hourglass
525715932367159296,2014-10-24 18:30:20,http://t.co/2nEy0CmuWl
525700829882249216,2014-10-24 17:30:19,spligitMoose: can't UNsee the mumford guy as aefnst
525670627722555392,2014-10-24 15:30:18,Mascotbot: i hate when i set myself on fire
525625326525612032,2014-10-24 12:30:18,digitaldeviant: like that time he trolled hitler? its been posted b4
525610228440506368,2014-10-24 11:30:18,http://t.co/ufxhplUcvZ
525489477771227136,2014-10-24 03:30:29,http://t.co/pb936vLBWq
525474379677724672,2014-10-24 02:30:29,god must love stupid people. he made so many.
525308261025607682,2014-10-23 15:30:23,you do not need a parachute to skydive. you only need a parachute to skydive twice.
525157269617401856,2014-10-23 05:30:24,I am worried I will betray water
525127069357731840,2014-10-23 03:30:24,"i worry about my nan. if she's alone and falls, does she make a noise?"
525066672135081984,2014-10-22 23:30:24,http://t.co/dDGa9MHdzo
524991169046913024,2014-10-22 18:30:23,I shot a  wart
524945872778317827,2014-10-22 15:30:23,I want a european ditch to  play cricket with a  donkey
524885471969566722,2014-10-22 11:30:23,Did you know a  rice paddy put a colourful rice paddy on an  elephant
524855274197114880,2014-10-22 09:30:23,"a bus station is where a bus stops. a train station is where a train stops. on my desk, i have a work station."
524704293828325376,2014-10-21 23:30:26,Deviant: .c give ace hug
524628788156432384,2014-10-21 18:30:24,I think I might teach kung fu to bawdy physics
524613689828052993,2014-10-21 17:30:25,http://t.co/uLpPekZmDU
524477792566509570,2014-10-21 08:30:24,digitaldeviant: now IS NOT a god time skeleton
524402293601337344,2014-10-21 03:30:24,http://t.co/rlXIO4qSkj
524387194476048384,2014-10-21 02:30:24,I looked through a  national treasure
524296600055595009,2014-10-20 20:30:25,I think I might eat the insides of a  german sausage
524175801013370880,2014-10-20 12:30:24,I want a  barrel to  maul a  persian rug
524085204466429952,2014-10-20 06:30:24,http://t.co/pIwvUdDqTl
524070106112880640,2014-10-20 05:30:24,I want a  computer to  use wisdom to shave the belly of a  giraffe
523888912108769281,2014-10-19 17:30:24,a juggler cross-examined a  desert
523753012708143104,2014-10-19 08:30:23,deviantpad: Cant remember syntax
523662414609264640,2014-10-19 02:30:23,http://t.co/O9UGv2chQl
523617118512640000,2014-10-18 23:30:24,"boxers don't have sex before a fight, do you know why that is? they don't fancy each other."
523541618083631106,2014-10-18 18:30:23,deviantpad: the creepers with big feet.....
523526519906258944,2014-10-18 17:30:23,digitaldeviant: I LIEK YOUR CHEST ACE
523496322729398272,2014-10-18 15:30:24,I am worried I will fill Bucket with a  kitten
523451023122104320,2014-10-18 12:30:23,god must love stupid people. he made so many.
523300028413005824,2014-10-18 02:30:23,floortile: are you playing your love games with me?
523254727631331328,2014-10-17 23:30:23,Deviant: .c give ace hug
523209431916347392,2014-10-17 20:30:23,http://t.co/WtMYrBGWju
523133936222748673,2014-10-17 15:30:24,I think I might force the CERN Large Hadron Collider on a  verandah
523043337276637184,2014-10-17 09:30:23,http://t.co/WxGOWwHC3O
522998041653948417,2014-10-17 06:30:24,"my girlfriend said she wanted me to tease her, so i said 'alright, fatty.'"
522952739320365056,2014-10-17 03:30:23,floortile: are you playing your love games with me?
522907439906037761,2014-10-17 00:30:23,http://t.co/QtqFH7pdRP
522892341648953344,2014-10-16 23:30:23,http://t.co/UV0EjxptZU
522862140684636160,2014-10-16 21:30:23,Deviant: .c give ace hug
522771550286540800,2014-10-16 15:30:24,spligitMoose: DID YOU PUNCH THE MELON GIVER?!
522665847953702912,2014-10-16 08:30:23,"evening news is where they begin with 'good evening', and then proceed to tell you why it isn't."
522635650265145345,2014-10-16 06:30:23,I think I might build a statue in honour of a  pair of binoculars
522303462051024896,2014-10-15 08:30:23,http://t.co/azLp3WWInP
522273289641541632,2014-10-15 06:30:30,Did you know a  hockey stick divorced a  horse
522258187227910144,2014-10-15 05:30:29,http://t.co/O9UGv2chQl
522227964130254848,2014-10-15 03:30:23,"my girlfriend said she wanted me to tease her, so i said 'alright, fatty.'"
522092071797018624,2014-10-14 18:30:24,Did you know a  horse taught some children about a  bridge
522076968808759296,2014-10-14 17:30:23,"The National Society of Clairvoyants meeting has been cancelled, due to unforeseen circumstances."
522001471449993216,2014-10-14 12:30:23,websafepallet: everybody makes skyboats because they are rad
521986373327151104,2014-10-14 11:30:24,acegiak: come crab it
521956176410324992,2014-10-14 09:30:24,http://t.co/gTVEFGAklI
521910878694686721,2014-10-14 06:30:24,"a bus station is where a bus stops. a train station is where a train stops. on my desk, i have a work station."
521865579016118272,2014-10-14 03:30:24,"spligitMoose: float like a tank, hit like a tank"
521850476875100160,2014-10-14 02:30:23,"one might almost call it poetic, if poetry weren't the last refuge of the bearded cricket-hating sodomite."
521774980351029248,2014-10-13 21:30:24,I think the  Bible baked a mud pie for a  backpack
521759882039418881,2014-10-13 20:30:24,"Eagles may soar, but weasels don't get sucked into jet engines."
521729677681913856,2014-10-13 18:30:23,"i just like stuff, ok?"
521714579248660480,2014-10-13 17:30:23,http://t.co/dDGa9MHdzo
521684382663192576,2014-10-13 15:30:23,deviantpad: the creepers with big feet.....
521623984173879296,2014-10-13 11:30:23,deviantpad: Cant remember syntax
521593793917644801,2014-10-13 09:30:25,"my father always used to say, 'what doesn't kill you, makes you stronger,' - 'til the accident."
521578695379533825,2014-10-13 08:30:26,"one might almost call it poetic, if poetry weren't the last refuge of the bearded cricket-hating sodomite."
521533387484307456,2014-10-13 05:30:23,"i worry about my nan. if she's alone and falls, does she make a noise?"
521488091190554625,2014-10-13 02:30:24,http://t.co/QtqFH7pdRP
521457887466364928,2014-10-13 00:30:23,http://t.co/zH1qJLRoEo
521412589767520256,2014-10-12 21:30:23,http://t.co/BP34FNiAp1
521397491552370688,2014-10-12 20:30:23,a  parachute is gonna balk at the site of a  desert
521306896045576195,2014-10-12 14:30:24,http://t.co/yMAwGeuPnl
521261598447382530,2014-10-12 11:30:24,http://t.co/pKxF1kyxOp
521186102875410433,2014-10-12 06:30:24,I stole used underware from a  monkey
521095503350489088,2014-10-12 00:30:24,http://t.co/OUwzKs9bdC
521080400936849410,2014-10-11 23:30:23,http://t.co/UbEaHbpbdR
521050206716964865,2014-10-11 21:30:24,"boxers don't have sex before a fight, do you know why that is? they don't fancy each other."
520914310092976128,2014-10-11 12:30:24,http://t.co/3VVDO74Quo
520899207503167490,2014-10-11 11:30:23,http://t.co/FzFNmp1sKO
520853908525039618,2014-10-11 08:30:23,deviantpad: the creepers with big feet.....
520763315065077761,2014-10-11 02:30:24,I think a  meercat fell on a  forest
520733114398560257,2014-10-11 00:30:23,I put fascism in a  boar
520687816821329920,2014-10-10 21:30:24,"i worry about my nan. if she's alone and falls, does she make a noise?"
520627419674193920,2014-10-10 17:30:24,I masticated the Thames
520597218806349825,2014-10-10 15:30:23,"The risk I took was calculated but, man, I am bad at maths."
520582120272437248,2014-10-10 14:30:24,"i want to die peacefully in my sleep, like my grandfather. not screaming in fear like the passengers in his car."
520536823328555008,2014-10-10 11:30:24,I think I might mug a  herd of  bison
520491521598963712,2014-10-10 08:30:23,Kenya consistently produces the world's best runners because of a unique training method: The lion.
520400923768532992,2014-10-10 02:30:23,floortile: EAT FLIES FOR LUNCH
520310325514498048,2014-10-09 20:30:23,http://t.co/C3A6DQ1q3O
520265054445240320,2014-10-09 17:30:29,http://t.co/3VVDO74Quo
520219784151957504,2014-10-09 14:30:36,http://t.co/HhI2tzAbav
519963064121040896,2014-10-08 21:30:29,http://t.co/pb936vLBWq
519917761858772992,2014-10-08 18:30:28,tf2dobby: spligitMoose [ARC] connected.
519827170189799424,2014-10-08 12:30:29,I am going to balk at the site of a  saxophone
