id,created_at,text
491421390202236928,2014-07-22 03:16:04,.@eBooks_Hub has been discontinued and is now a part of @eBooks_Central.
491395699506819072,2014-07-22 01:33:59,I will be launching 6 new bots once my internet is back.
491386617752330241,2014-07-22 00:57:53,Bots are down due to horrible Internet. I’m working on creating the new ones so hopefully I can make the accounts as soon as Internet’s back
491369187361972224,2014-07-21 23:48:38,Who thinks @eBooks_Central and @eBooks_Hub should merge?
491358836893437952,2014-07-21 23:07:30,Trying to get the largest audience possible with these b/ots.
491358343211261952,2014-07-21 23:05:32,"If I think your bot is more appropriate for @eBooks_Central, I will refer you over to them."
491357167707246592,2014-07-21 23:00:52,"There are 20 responses to the request form that I have to sort through and pick, and remember, if you’re not picked now you might be later."
491356057990864897,2014-07-21 22:56:27,Choosing someone from the application form and creating a b/ot tonight. Might make even more than that.
491354313001025536,2014-07-21 22:49:31,B/ots are up again btw
491343039458467840,2014-07-21 22:04:43,B/ots will go down again when I go to restart my computer to update.
491056783847616512,2014-07-21 03:07:15,Some of the b/ots might be over tweet limit.
490962647001870336,2014-07-20 20:53:11,I stayed the night at someone else’s house and the bots lasted the entire time :D
490357482079145984,2014-07-19 04:48:28,Made some b/ot edits so that they *should* automatically go back up after receiving a connection error.
488518831766528000,2014-07-14 03:02:20,make it so that the b/ots receive way less downtime.
488518758223601664,2014-07-14 03:02:02,"Alright, so my internet still sucks. It didn’t before and they didn’t really fix it. So I’m going to try and find a way tonight to"
488518610869297152,2014-07-14 03:01:27,Starting up the bots again.
488516162503049216,2014-07-14 02:51:43,"I’m aware the bots are down I’ve just been too lazy to turn them back on
They’ll be up soon"
488147592300494849,2014-07-13 02:27:10,".@Mark_Otaris I see you have requested a @Shedletsky b/ot, there already is one: @ShedletskyEbook"
488133010978795520,2014-07-13 01:29:13,B/ots still somehow managed to crash - they made it through most of the day but still failed.
488031329372872704,2014-07-12 18:45:10,Internet was supposedly fixed today - bots should be more stable.
487407162445279232,2014-07-11 01:24:57,"Anyone who has a bot, I will be deleting yours if it does not get to at least 50 followers within the next week."
487404797386326016,2014-07-11 01:15:33,Launching bots again.
487397090033946625,2014-07-11 00:44:56,B/ots going down for a while.
487354911479595010,2014-07-10 21:57:20,"Cable guy supposed to be here between 6 and 8 PM EST, so expect bots to go down at any time during the next two hours."
487106087347572736,2014-07-10 05:28:35,Getting my internet fixed tomorrow night so hopefully the bots will be more stable after that.
486647071995613184,2014-07-08 23:04:38,Power back - starting the bots.
486632035939672064,2014-07-08 22:04:53,Power’s out. Bots won’t be back up for a while.
486389729894858752,2014-07-08 06:02:02,"Once again, for bot requests: https://t.co/dS1Iw8Pqjc"
486389594322391040,2014-07-08 06:01:30,"Just sent out a human tweet on all the bots, first time, and this will continue to be very rare."
486305422828388352,2014-07-08 00:27:02,"To request an eBooks bot, fill out this form and retweet this tweet: https://t.co/C4klrdz6YT"
486297139262537728,2014-07-07 23:54:07,-you’ll still be on the list and there’s the possibility of me finally creating yours.
486297049529610240,2014-07-07 23:53:46,"I’ll create a form for you guys that want a bot, which I’ll look over whenever I’m creating new bots, so if you finally meet the standards-"
486296256269266944,2014-07-07 23:50:37,"New requirements for eBooks:
Must have &gt;200 followers
Must have &gt;2000 tweets"
486215687514628096,2014-07-07 18:30:28,Bots going down for a couple minutes
486212236172886016,2014-07-07 18:16:45,Bots going down for updates soon http://t.co/KGGOAVNvmV
485798033070637059,2014-07-06 14:50:51,"Bots are down
I’ll try to get them back up by noon"
485575038582947840,2014-07-06 00:04:45,Bots status: #blamemyISP
485550066166677505,2014-07-05 22:25:31,Restarting bots
485488177864798208,2014-07-05 18:19:36,"They didn’t last the night, internet problems again. I can probably get around that but I shouldn’t have to."
485278025043685376,2014-07-05 04:24:31,"If you would like your own eBooks account, retweet and reply telling us why we should choose you."
485276797681287168,2014-07-05 04:19:39,"Currently, the only thing that should cause them to go down is when my internet has problems which I plan on getting fixed soon."
485276391479730176,2014-07-05 04:18:02,The bots were up (and still are) for 9 hours nonstop and passed their first test without me monitoring them.
485109485024059393,2014-07-04 17:14:48,These bots are *highly* experimental and will experience downtime. They were only created this week.
485107805872222208,2014-07-04 17:08:08,Restarted
485101176824676352,2014-07-04 16:41:47,-is promoted by us.
485101137138569216,2014-07-04 16:41:38,Just a reminder that everything posted on the bots is automated based off of the original accounts. Nothing they say including contests-
485092905238142976,2014-07-04 16:08:55,Restarting bots due to a bot conversation loop.
485091867357634560,2014-07-04 16:04:48,Bots were down for ~9 hours. Failed the night test. Possibly due to internet issues.
484891049941553153,2014-07-04 02:46:49,Bots were down for a couple minutes
