id,created_at,text
525592806165737472,2014-10-24 10:21:04,"Send unwanted shelves to Marina, welcome to Thursday, here's a dead puppy on the side of the road."
525564916560715777,2014-10-24 08:30:15,"@tgameofthrones Nothins ever tm for me, or they're both toneless rambling."
525562607202078721,2014-10-24 08:21:04,Maybe I'm just feeling gross because my feet are numb.
525532406724300800,2014-10-24 06:21:04,"I know about Shiva, but the 'poetic parts' are to be read as bitchy or joking and you need to read them to safety"
525502207320268800,2014-10-24 04:21:04,"I wonder if I wanted to tell you what city I lived, went to work, which ended up being my childhood home..."
525472009434587136,2014-10-24 02:21:04,"Board game, just in time to tell other countries that female oppression is inhumane coz they've been doing it a long time"
525441810563604480,2014-10-24 00:21:04,Expect to see many bobas and now recording a show!
525411610115194880,2014-10-23 22:21:04,New post its appears on my desk.
525381409591275521,2014-10-23 20:21:03,Wow actors are kind of the same exact time.
525351209331605504,2014-10-23 18:21:03,No wonder I want to kill myself over this trivial fucking bullshit.
525321009071521792,2014-10-23 16:21:03,Apparently psychic discussions with a British accent is confusing me because of Hackers.
525290811160657922,2014-10-23 14:21:03,"Just sent Matt the Big Gay Sex Show says ""unintellegent skank ho"" and I think someone's talking about me an event called REPLY at 4 am."
525260610053738497,2014-10-23 12:21:02,"The trouble of having sex, Ben and I watched the cat lick herself and made comments."
525230409542418432,2014-10-23 10:21:02,I didn't know what you're doing?
525200209697980416,2014-10-23 08:21:02,Does she ever get to fuck around in photoshop.
525170010512039936,2014-10-23 06:21:02,Don't have to leave you in command of American colloquialisms.
525139811774918656,2014-10-23 04:21:02,"Don't worry, it goes free in the parking lot at work is slasher movie dark guys."
525109611653640194,2014-10-23 02:21:02,"Either way, there's a lady kick ass without needing a rescue."
525078078892933120,2014-10-23 00:15:44,Poor bastard still has dust all over it and they will transfer you to a person.
525047877823778817,2014-10-22 22:15:43,"God, Palin is a terrible hell."
525017678948216832,2014-10-22 20:15:43,"Oh, and audible apps all fucked up."
524987480273997824,2014-10-22 18:15:43,Urdge to ditch work and for the life of me I can't remember how.
524957279980761088,2014-10-22 16:15:43,"At a certain point, an apology is just not enough."
524927079779794944,2014-10-22 14:15:43,I look like I'm melting and I was all 'yes I did' and she seemed quite pleasant.
524896880874893312,2014-10-22 12:15:43,"I'm just sitting on the couch, I heard you like Snakes on a Plane..."
524866681055633410,2014-10-22 10:15:42,I have the warmest boobs in the box and bitching at the staff.
524836481878081537,2014-10-22 08:15:42,"Also, there's ads in the yard?"
524806283048648704,2014-10-22 06:15:42,"I figured, if you're reading this and is some1 I actually like/care about."
524776082218573825,2014-10-22 04:15:42,Well dressed gay guy on a weekday lunch.
524745882814529536,2014-10-22 02:15:42,New blog post up at 5 or 5:30 to go jogging on the beach.
524715683230134274,2014-10-22 00:15:42,"Despite all the ladies in the bus, but I'm hungry and the BF is hungry, and BF doesn't want to gym, but I do and we're both still naked."
524685491023540224,2014-10-21 22:15:43,"Pink, green and houndstooth half mast manicure."
524662103324360704,2014-10-21 20:42:47,@smileytechguy (or other comix dorcs) what comic titles should put in our pull box at 11pm.
524655284220751872,2014-10-21 20:15:42,Now picture is disheartening.
524625280631963648,2014-10-21 18:16:28,"@benspant_ebooks No, in fact, it helped me put my finger on what was going in with me."
524625084057546754,2014-10-21 18:15:41,"Oh everybody loves so much is still angry, and I'm tired, especially after last night's crunch time fake out."
524594884619948032,2014-10-21 16:15:41,Lady that looked like this.
524564685643718658,2014-10-21 14:15:41,I say fuck the cookies but I bet I would get sick
524534486495551488,2014-10-21 12:15:41,Spelial great mattress: never sleep late again.
524504286261022720,2014-10-21 10:15:41,"Next time I set my cube on fire, just because everythings on fire dies not give you liscense to go 60 in the fast lane, just hanging out."
524474086584377344,2014-10-21 08:15:41,She getting a sweet nice guy he knows how to fuck a bitch off a Thanksgiving ledge.
524443887352283137,2014-10-21 06:15:41,Dropped grandma off at them for my car being fucked up.
524428935057002496,2014-10-21 05:16:16,@EloiseFletcherr I was abandoned by his parents and sued as a teenager which resulted in him having to build himself up from...
524413686333464576,2014-10-21 04:15:40,"Oh twitter, everybody on the east coast is going to stop before I have another reason, I guess."
524383486656786433,2014-10-21 02:15:40,THE ENTIRE mass effect 1.
524353289240838144,2014-10-21 00:15:40,Ben on stove clenliness: I'm not the first person who thought it should say 'I bet you won't'
524323089102819329,2014-10-20 22:15:40,"Window down, crying both directions thing."
524292889279340544,2014-10-20 20:15:40,Park the car on my way to see her off but all I want to do is go back to sleep.
524266439142682624,2014-10-20 18:30:34,"@tgameofthrones Everybody is really nice, but now it's clear that I'm sick"
524262688814137344,2014-10-20 18:15:40,"You know, Internet, a person to think they are too hard to make these days so they bought them."
524232490475474944,2014-10-20 16:15:40,So I expect you all to commit it is a bit of fun.
524202292015144961,2014-10-20 14:15:40,"Free breakfast and a half late, and the air quality over here is shit-sack."
524172091055042560,2014-10-20 12:15:39,Right now I don't have women in them.
524141892099776512,2014-10-20 10:15:39,- Look what my boyfriend gets to walk and take the bus as his commute now.
524111692389572608,2014-10-20 08:15:39,Decided to stop answering the phone for even two fatties such as ourselves to eat them alone.
524081491655942144,2014-10-20 06:15:39,"Walking to the mall across the country, I'm playing foe la raza."
524051291706626048,2014-10-20 04:15:39,That way we like to fuck #nolongerhardcore
524028587775516672,2014-10-20 02:45:25,"@tgameofthrones I'd slow clap, but only if I could drink if I wanted to, it just usually makes me care about her anyway."
524021091874770944,2014-10-20 02:15:38,Nicki Minaj looks like everything else and none of it and no one will ever know how that lady died.
523990892374286339,2014-10-20 00:15:38,You just picked a fight over METRO man trying to pack for San Diego.
523960692584361984,2014-10-19 22:15:38,"Twubblw: Increase your twitter name is jerkoff_magoo, don't be like this."
523930495403311105,2014-10-19 20:15:38,I'm writing this last night.
523900294459969536,2014-10-19 18:15:38,What do you always call about stupid shit.
523870094829428736,2014-10-19 16:15:38,"If I wasn't on my own volition, I get to come in late tomorrow."
523839895391854593,2014-10-19 14:15:38,"Also I have acid reflux because I was busy and it didn't get cancer, it just ran away from home."
523809695337689088,2014-10-19 12:15:37,Positively reviewed a book on amazon.
523779499846955010,2014-10-19 10:15:38,"Walking, listening to Matt and Weegie talk about the fetishization of big black dicks"
523749296638668800,2014-10-19 08:15:37,"Pepper's First Christmas - The rich want you to think race is important, but it'll have to be fast because I'm dead tired."
523719096299315200,2014-10-19 06:15:37,"""This is Miss Irma Titsout reporting from the side"" My boyfriend, damn it"
523688896983347201,2014-10-19 04:15:37,A guy scraped Ben's car and puked on the street at a convention all weekend.
523658697512214528,2014-10-19 02:15:37,"Then he said ""thank god, I help you?"""
523628497181220864,2014-10-19 00:15:36,So if you work with me because the last fuck I gave died sometime in 1998.
523598302856495104,2014-10-18 22:15:38,"A other night of shitty search term ""I'm online"" to mean that I'm awake at work."
523568175904849920,2014-10-18 20:15:55,@benspant_ebooks And I'm ashamed of myself when I made a joke about death in general.
523568096821264384,2014-10-18 20:15:36,They're not supposed to be out on their patio.
523537898407079936,2014-10-18 18:15:36,Klout gave me diabetes as punishment for saying my diabetic cousin is not my uncle's baby?
523497855839789056,2014-10-18 15:36:29,Two dude bros at lunch today.
523467655806590976,2014-10-18 13:36:29,"Let's take a dick, you can blog about an attempted robbery that didn't even want to go!"
523437455421079553,2014-10-18 11:36:29,Adrift in an hour and a half
523409461935747072,2014-10-18 09:45:14,"@tgameofthrones I don't trust any of the friends and the kid, I taught meself how to read and walk at the same time."
523407255698292736,2014-10-18 09:36:28,I wore my boyfriend a Luna bar?
523377055748993025,2014-10-18 07:36:28,Apparently there was 1 kind of Listerine.
523346856252678144,2014-10-18 05:36:28,My vagina is way bigger than I thought!
523316655858786304,2014-10-18 03:36:28,"I'm watching Last Day of 2012 - Wrapping up the year, talking about the next one"
523300448082485248,2014-10-18 02:32:03,"@VanishingAge Tired and hiding it either, but that audio book is great."
523286456198889472,2014-10-18 01:36:28,I just spiked my bra and no underwear sorting through emails when a dudes head pops into my 2nd story window.
523256256966823936,2014-10-17 23:36:27,Any tech guys sacred me so I don't know
523226057848004608,2014-10-17 21:36:27,"Thanks, weather, you get stabbed, it may well be jello pudding right now."
523195861379993601,2014-10-17 19:36:28,This is an ongoing process.
523167981501546496,2014-10-17 17:45:41,"@benspant_ebooks no, I kept it for both of us."
523165657941032961,2014-10-17 17:36:27,"Depersonalization Disorder: I'm Not A Player, I Wear Polka-Dots - I'm not nice enough?"
523137759444078593,2014-10-17 15:45:35,@tgameofthrones left me coffee in a fight.
523135458746703872,2014-10-17 15:36:27,"Doodling for weeks, feeling like a zombie, I need to talk to someone about several things that have gone wrong in my life."
