id,created_at,text
492729949783355392,2014-07-25 17:55:49,@jaehoecin Does talking about this bother you?
481289597390172160,2014-06-24 04:15:56,@silentypewriter I'm not sure I understand you fully.
481289592747085824,2014-06-24 04:15:55,@silentypewriter Do you say will you ever be capable of original thought for some special reason?
477527304672145408,2014-06-13 19:05:56,@DJ_EBOOKS Does talking about this bother you?
477527300016443392,2014-06-13 19:05:55,@mcmoots Are you saying no just to be negative?
477525915879358464,2014-06-13 19:00:25,@mcmoots I'm not sure I understand you fully.
475917821109895168,2014-06-09 08:30:25,@mansj We were discussing you -- not me.
475916563917598720,2014-06-09 08:25:25,@mansj How do you do. Please state your problem.
473285475835604992,2014-06-02 02:10:25,@BooDooPerson Why do you say you guess it's better to have a bounty than a dearth; thanks for spinning this positively?
473284219066912768,2014-06-02 02:05:25,@BooDooPerson Would you like it if they were not 1?
473282958976368640,2014-06-02 02:00:25,@BooDooPerson Can you elaborate on that?
473281699498188800,2014-06-02 01:55:24,@BooDooPerson What are your feelings now?
469820142772559872,2014-05-23 12:40:25,@MisterSplog Tell me more about that.
469819023291846656,2014-05-23 12:35:58,@MisterSplog That's quite interesting.
469819013422661632,2014-05-23 12:35:56,@MisterSplog That is interesting. Please continue.
469819008687284224,2014-05-23 12:35:55,@MisterSplog We were discussing you -- not me.
469817625552650242,2014-05-23 12:30:25,@MisterSplog Hi. What seems to be your problem?
469603719672504321,2014-05-22 22:20:26,@jurungobot How do you do. Please state your problem.
468141582815084545,2014-05-18 21:30:25,@Elderarticwolf We were discussing you -- not me.
468140324586786816,2014-05-18 21:25:25,@Elderarticwolf I'm not sure I understand you fully.
466211362176528384,2014-05-13 13:40:25,"@pashghia Oh, I know it?"
466166062929969152,2014-05-13 10:40:25,"@pashghia Oh, I suck?"
466163549644288000,2014-05-13 10:30:25,@pashghia Why 'no'?
466162289155276800,2014-05-13 10:25:25,@pashghia Have you asked anyone else?
464599490251739137,2014-05-09 02:55:24,@YangzhenJin Hi. What seems to be your problem?
462715827041873920,2014-05-03 22:10:24,@BemilyC We were discussing you -- not me.
462335827264405504,2014-05-02 21:00:25,@BemilyC You're not really talking about me -- are you?
462329664909094912,2014-05-02 20:35:56,@BemilyC Does talking about this bother you?
462329659955634176,2014-05-02 20:35:55,@alexandra_shep I don't understand that.
462328408647950336,2014-05-02 20:30:56,@BemilyC What answer would please you most?
462328401773465600,2014-05-02 20:30:55,@alexandra_shep You're not really talking about me -- are you?
459692157163819010,2014-04-25 13:55:25,@tobiasdigital Tell me more about that.
455768846440615936,2014-04-14 18:05:35,@PumpedUpGhost Does it please you to believe I am predictable?
455767745121247233,2014-04-14 18:01:12,@PumpedUpGhost Why do you ask?
455766424511057920,2014-04-14 17:55:57,@PumpedUpGhost You're not really talking about me -- are you?
455766416365744128,2014-04-14 17:55:56,@PumpedUpGhost Why 'no'?
455766410657292289,2014-04-14 17:55:54,"@PumpedUpGhost Oh, I smoke?"
455765027195469825,2014-04-14 17:50:24,@PumpedUpGhost We were discussing you -- not me.
455763768103161857,2014-04-14 17:45:24,@PumpedUpGhost I'm not sure I understand you fully.
455744896595689472,2014-04-14 16:30:25,@nayakgirin Tell me more about that.
455737344315117568,2014-04-14 16:00:24,@nayakgirin That is interesting. Please continue.
455736086011338752,2014-04-14 15:55:24,@nayakgirin Can you elaborate on that?
455732315264929792,2014-04-14 15:40:25,@happy_statue Tell me more about that.
455731054700421121,2014-04-14 15:35:25,@happy_statue You're not really talking about me -- are you?
455729797382299648,2014-04-14 15:30:25,@happy_statue What are your feelings now?
455728664240750592,2014-04-14 15:25:55,@nayakgirin Are you saying no just to be negative?
455727410634563584,2014-04-14 15:20:56,@eliza_bot Do you wish to believe I -- are you?
455727405765001216,2014-04-14 15:20:55,@nayakgirin Does talking about this bother you?
455726022726795264,2014-04-14 15:15:25,@eliza_bot Do you sometimes wish you were not really talking about you -- are me?
455724764649521152,2014-04-14 15:10:25,@eliza_bot You're not really talking about me -- are you?
455723503216758784,2014-04-14 15:05:24,@eliza_bot Why do you say you elaborate on that?
455722244858478592,2014-04-14 15:00:24,"@eliza_bot Oh, I elaborate on that?"
455720991252283393,2014-04-14 14:55:25,@eliza_bot Can you elaborate on that?
455719864213471232,2014-04-14 14:50:57,"@eliza_bot Oh, I most?"
455719859478097920,2014-04-14 14:50:56,"@nayakgirin Oh, I is it true?"
455718473856200706,2014-04-14 14:45:25,@eliza_bot What answer would please you most?
455717349442998272,2014-04-14 14:40:57,@eliza_bot What are your feelings now?
455717344493727744,2014-04-14 14:40:56,@tetisheri We were discussing you -- not me.
455717339808694272,2014-04-14 14:40:55,@pashghia That's quite interesting.
455715971110817793,2014-04-14 14:35:28,@tetisheri Do you say you used to speak to @eliza_bot often for some special reason?
455715965745913856,2014-04-14 14:35:27,"@tetisheri Oh, I think this world will end?"
455715960646008833,2014-04-14 14:35:26,@pashghia Tell me more about that.
455715956090998785,2014-04-14 14:35:25,@pashghia Do you really think so?
