id,created_at,text
525680487537602560,2014-10-24 16:09:29,RT @everyword: dazed
525680486459670528,2014-10-24 16:09:29,RT @everyword: ballsy
525680485822103552,2014-10-24 16:09:29,"I think BALLSY is more brilliant than DAZED. Ready, set, go!"
525680483985014784,2014-10-24 16:09:28,"I can't believe it, but it's a tie. SUFFOCATES and RENOVATE retire! More!"
525318112238108672,2014-10-23 16:09:32,RT @everyword: renovate
525318111613165568,2014-10-23 16:09:32,RT @everyword: suffocates
525318110979837952,2014-10-23 16:09:32,"Prediction: SUFFOCATES is more harmful than RENOVATE. Ready, set, go!"
525318108782018560,2014-10-23 16:09:31,Weird! We couldn't come to a conclusion on MIGHTIER and BOTCHERS. If only we could do this again!
524955720262103040,2014-10-22 16:09:31,RT @everyword: botchers
524955719771389952,2014-10-22 16:09:31,RT @everyword: mightier
524955718773116930,2014-10-22 16:09:31,"Do you think MIGHTIER is more old-fashioned than BOTCHERS? Ready, set, go!"
524955716659191808,2014-10-22 16:09:30,"Wow, SYMMETRICAL is definitely more formal than HAPHAZARDLY. Excellent."
524593340898344960,2014-10-21 16:09:33,RT @everyword: symmetrical
524593340294393856,2014-10-21 16:09:33,RT @everyword: haphazardly
524593339673632768,2014-10-21 16:09:33,Do you think HAPHAZARDLY is more formal than SYMMETRICAL? Let's go!
524593336842465280,2014-10-21 16:09:32,Better luck next time KITSCH; CONTRAVENING is shadier. Wild!
524230948792320000,2014-10-20 16:09:32,RT @everyword: kitsch
524230948087664641,2014-10-20 16:09:32,RT @everyword: contravening
524230947412389889,2014-10-20 16:09:32,"CONTRAVENING is shadier than KITSCH, right? Let the voting begin!"
524230945243942912,2014-10-20 16:09:31,Well done SEMILIQUIDS: you're more suitable than ALODIUM! Excellent.
523868556422041602,2014-10-19 16:09:31,RT @everyword: semiliquids
523868555646099456,2014-10-19 16:09:31,RT @everyword: alodium
523868555067260929,2014-10-19 16:09:31,I think ALODIUM is more suitable than SEMILIQUIDS. Place your votes!
523868552831713280,2014-10-19 16:09:30,The votes are in! CREATURE is more realistic than INEXPERTS. Time for bed!
523506164156596226,2014-10-18 16:09:30,RT @everyword: inexperts
523506163602964480,2014-10-18 16:09:30,RT @everyword: creature
523506163120627712,2014-10-18 16:09:30,Prediction: CREATURE is more realistic than INEXPERTS. Place your votes!
523506160784404480,2014-10-18 16:09:29,It's decided: YELLING is more appreciable than BULLA. Fine.
523303802947260416,2014-10-18 02:45:23,RT @everyword: bulla
523303802305536000,2014-10-18 02:45:23,RT @everyword: yelling
523303801756078080,2014-10-18 02:45:23,I think YELLING is more appreciable than BULLA. Let's go!
523303799977693184,2014-10-18 02:45:23,"Um, it's a tie. SIZING? CUVETTE? Exactly the same. Time for bed!"
523143780657291264,2014-10-17 16:09:31,RT @everyword: cuvette
523143780065882112,2014-10-17 16:09:31,RT @everyword: sizing
523143779508027392,2014-10-17 16:09:31,"What's more incredible: SIZING or CUVETTE? Ready, set, go!"
523143777519927297,2014-10-17 16:09:30,JOGGLING is way more extraordinary than JORUM. Time for another round!
522781388475752448,2014-10-16 16:09:30,RT @everyword: joggling
522781387800473600,2014-10-16 16:09:30,RT @everyword: jorum
522781387251007490,2014-10-16 16:09:30,"Is JORUM more extraordinary than JOGGLING? Ready, set, go!"
522781385107734530,2014-10-16 16:09:29,"Sorry ENUNCIATION, éMIGRéS is more aggressive than you. Time for another round!"
522419004661829632,2014-10-15 16:09:31,RT @everyword: enunciation
522419003998756864,2014-10-15 16:09:31,RT @everyword: émigrés
522419002921193472,2014-10-15 16:09:31,"éMIGRéS is more aggressive than ENUNCIATION, right? Ready, set, go!"
522419001138610176,2014-10-15 16:09:30,"SUMAC!?!? Sorry, AMPHOTERIC, you're not more delightful. Once more!"
522056620692750336,2014-10-14 16:09:32,RT @everyword: sumac
522056619837104129,2014-10-14 16:09:32,RT @everyword: amphoteric
522056619258306561,2014-10-14 16:09:32,"Between AMPHOTERIC and SUMAC, AMPHOTERIC is more delightful, right? Let the voting begin!"
522056617425403906,2014-10-14 16:09:31,"Wow, COLLECTIBLES is definitely more enjoyable than VIGOROUS. Preposterous."
521694237692547072,2014-10-13 16:09:33,RT @everyword: vigorous
521694237063401472,2014-10-13 16:09:33,RT @everyword: collectibles
521694236526542848,2014-10-13 16:09:33,"COLLECTIBLES is more enjoyable than VIGOROUS, right? Vote now!"
521694234303541248,2014-10-13 16:09:32,"Wow, MISSHAPEN is definitely more selective than REMISSIBILITIES. Time for bed!"
521331844852490241,2014-10-12 16:09:32,RT @everyword: misshapen
521331844349194242,2014-10-12 16:09:32,RT @everyword: remissibilities
521331843812319232,2014-10-12 16:09:32,Which is more selective: REMISSIBILITIES or MISSHAPEN? Let's go!
521331841937453056,2014-10-12 16:09:31,"Huh, it was a tie. We'll never know about CHORIC and ENSAMPLE. ~ one more time ~"
520969466939990017,2014-10-11 16:09:34,RT @everyword: ensample
520969466424094721,2014-10-11 16:09:34,RT @everyword: choric
520969465929158657,2014-10-11 16:09:34,I feel like CHORIC is more bureaucratic than ENSAMPLE. Let's do this!
520969463840374785,2014-10-11 16:09:34,It's decided: APSIDES is more semantic than EVENTING. Let's do it again!
520607060711710720,2014-10-10 16:09:30,RT @everyword: apsides
520607060204220417,2014-10-10 16:09:30,RT @everyword: eventing
520607059730255872,2014-10-10 16:09:30,Do you think EVENTING is more semantic than APSIDES? You know what to do!
520607057691803649,2014-10-10 16:09:29,"Wow, NONAPPEARANCES is definitely more casual than INAUGURATES. Fine."
520259880083800064,2014-10-09 17:09:56,RT @everyword: nonappearances
520259879601442816,2014-10-09 17:09:55,RT @everyword: inaugurates
520259878955528192,2014-10-09 17:09:55,"Of INAUGURATES and NONAPPEARANCES, which is more casual? Time to vote!"
520259876992606208,2014-10-09 17:09:55,"I can't believe it, but it's a tie. UNDERLINED and CHALLENGERS retire! Time for bed!"
520244846846836738,2014-10-09 16:10:11,RT @everyword: challengers
520244846293168128,2014-10-09 16:10:11,RT @everyword: underlined
