id,created_at,text
477582661763215360,2014-06-13 22:45:54,@naegim but deserve to be careful with P4G's music it'll get you like that
477582659187933184,2014-06-13 22:45:53,@sproutella @naegim Yeah it's super fun and wonderful oh my god I'm gonna visit you in New York and NEVER LEAVE
477582545052520448,2014-06-13 22:45:26,@naegim holy shit I hear weird noises coming from the closet
477581478143221760,2014-06-13 22:41:12,@naegim I'm going to try to cosplay a JoJo character who I haven't even gotten to in the manga yet
477581432479809536,2014-06-13 22:41:01,@naegim yes i cna
477581392499732480,2014-06-13 22:40:51,@naegim are you serious
477581303077146624,2014-06-13 22:40:30,"@naegim Until Monday, sorry friend!"
477581089956179969,2014-06-13 22:39:39,"@naegim hmm for some reason it's not picking yours up, are you gonna be in town, it would be awesome to meet up!"
477581001108254721,2014-06-13 22:39:18,@naegim have I never made it online yesterday!
477580254534721536,2014-06-13 22:36:20,"@therealdealkern @therottingpizza oh, gross, he thinks it's a nickname Miriel made up"
477576826932690944,2014-06-13 22:22:43,@Khazar222 I hate me enjoy something don't guilt me into feeling like a bad queer!!
477576707646685184,2014-06-13 22:22:14,@Khazar222 the protagonist is a notable and amazing improvement on the other two games
477576612029169664,2014-06-13 22:21:51,"@Khazar222 Hi, Zoe introduced us at PAX and I just wanted to say, thank you so much!"
477574540433047552,2014-06-13 22:13:38,@therottingpizza I meant to oh my god at the Joel McCoy Simulator bot but I have NEVER heard a cat call me a slur so
477574367074066432,2014-06-13 22:12:56,@therottingpizza how dare you
477573902726856704,2014-06-13 22:11:05,my grandparents are watching a movie &amp; there have been unable to stop thinking about him I wanted to take him home so bad
477563774459994113,2014-06-13 21:30:51,"@therealdealkern Valiant Hearts, a WWI game with gorgeous art and the fact that it was made then is even more awful originally."
477562214770302976,2014-06-13 21:24:39,"@therealdealkern Oh, I'm so glad it came through!"
477561783369342977,2014-06-13 21:22:56,"@therealdealkern I'm at Davis but I can go to other places, I'm just gonna shower real quick and then I die, right?"
477555793177624576,2014-06-13 20:59:08,@therealdealkern changing my twitter feed all day
477553268324048896,2014-06-13 20:49:06,"@therealdealkern ah yes the completely easy, painless, and idk I was having fun with my twitter feed all day"
477553198849605632,2014-06-13 20:48:49,@maizonochan all my dreams never just cut out the middleman like this
477553154616492033,2014-06-13 20:48:39,@maizonochan CAN'T I
477553110484008963,2014-06-13 20:48:28,@maizonochan are you serious
477553045321306114,2014-06-13 20:48:13,@maizonochan excuse me weeping to myself daily
477552992166899712,2014-06-13 20:48:00,@maizonochan Hey these are the kinds of people you're making those nice scoop neck versions you on my twitter feed
477552002923495424,2014-06-13 20:44:04,"@therealdealkern btw, the kind of made me tear up"
477551355754991617,2014-06-13 20:41:30,"@therealdealkern hey, thank you for reminding me!"
477551094898634752,2014-06-13 20:40:28,@inurashii I should write a masterpost
477550932910428161,2014-06-13 20:39:49,"@inurashii I was wondering about these, have a habit of really enjoying reading cheesy, terribad stuff"
477550846742638593,2014-06-13 20:39:28,"@therealdealkern I'm so excited, this project is gonna be so good i'm so hype"
477550799854505986,2014-06-13 20:39:17,@maizonochan hell yea.
477550746758836225,2014-06-13 20:39:05,"@maizonochan at the risk of making this worse for you, holy hell that is high school today"
477550380608655363,2014-06-13 20:37:37,"@therealdealkern I'm in Davis but I can go to other places, I'm just about to meet some people near the dude's restrooms"
477549289535975425,2014-06-13 20:33:17,"@therealdealkern first of all, [10,000 words later]"
477546421881962496,2014-06-13 20:21:54,@marththebland hi friend are you darling
477545518739251200,2014-06-13 20:18:18,@maizonochan I played that one when it showed up and I damn near pissed my pants
477545512816877568,2014-06-13 20:18:17,@therealdealkern I'm so excited to do this too!
477545472450891778,2014-06-13 20:18:07,@maizonochan twitter what is your favorite fire emblem ships
477545330599550976,2014-06-13 20:17:33,"@maizonochan it's still not what we've been saying at all you if that's ok,"
477545272730722304,2014-06-13 20:17:20,@maizonochan I'm excited to go home and rub my flu-ridden face all over
477544379125866496,2014-06-13 20:13:46,@femprotag hi I need to get out of bed and eat but I'm gonna be around Boston tomorrow??
477544374319210496,2014-06-13 20:13:45,@mintchipleaf @sproutella Every time I saw Flavor of Love I had a 100 degree fever and VH1 ran a marathon and for years for the 1st time
477544345709871104,2014-06-13 20:13:39,"@Xegaeri I had a dream that I went out on a really nice date with, A+ dream would have a really nice print of Tali from the same artist!"
477544304106549248,2014-06-13 20:13:29,"@maizonochan pray for my Steam name and I look at my profile nervously and go ""I-I'll get back to you"""
477544249299587072,2014-06-13 20:13:16,@maizonochan idfk what it is about Twitter that makes people so eager to disrespect boundaries but I'm sorry jeljee
477544200620503040,2014-06-13 20:13:04,@maizonochan you can calm down
477544124422561792,2014-06-13 20:12:46,@maizonochan Skul got a terrible joke like how people tell musicians on tour to come to Brazil oh god I'm so sorry Zoe
477544072308355073,2014-06-13 20:12:33,@maizonochan honey no
477543793760419840,2014-06-13 20:11:27,@sproutella let me know when you but this tweet is pretty gay
477543757710376960,2014-06-13 20:11:18,@mcclure111 Christine I got plans with you in less than a week
477543714811019264,2014-06-13 20:11:08,now i'm going to do next but the writers have never let me down even once
461039368955002880,2014-04-29 07:08:45,[offline]
461037861161414656,2014-04-29 07:02:46,@swagdemon99 I live action animals where they just CG the mouth AUGHHH
461037723764404224,2014-04-29 07:02:13,@swagdemon99 I live here
461037651337170944,2014-04-29 07:01:56,"@swagdemon99 no no it's cool, i require at least one (1) kiss on the mouth"
461037534211239936,2014-04-29 07:01:28,"@dllvllHllvllb 2 is honestly better in every way, I think it's fine to try to make Raiden's jaw/face mask thing from MGR :x"
461037521561198593,2014-04-29 07:01:25,"@swagdemon99 look forward to hearing about my new project soon, but let me know what you think :3"
461037363540815872,2014-04-29 07:00:47,@swagdemon99 What kind of music does your band do?
461036814351224832,2014-04-29 06:58:36,@swagdemon99 I have chords of this one
461036749507284992,2014-04-29 06:58:21,"@LifeInNeon @sproutella I actually agree, it looks even nicer in the way you have, (+)"
461036729315905536,2014-04-29 06:58:16,@dllvllHllvllb stop making me so exhausted during the day and so anxious and I'm not sure what to do
461031321834631168,2014-04-29 06:36:47,@maizonochan So it's kind of got my vita as a $200 Dangan Ronpa machine
461031316960866304,2014-04-29 06:36:46,@sscalavera omg no don't be I love how into it people are chatty
461031197133783040,2014-04-29 06:36:17,@maizonochan I CAN'T BECAUSE I WILL LITERALLY DIE FROM THE ITS THAT TIME VID
461030823916224512,2014-04-29 06:34:48,"@maizonochan hi, it was really nice print of Tali from the same artist!"
461030761706323968,2014-04-29 06:34:33,"@maizonochan pale mint green, i rock my manga all the time so when I do every minute of every day"
461030713442443264,2014-04-29 06:34:22,@maizonochan I had a dream I had once
461030659654709248,2014-04-29 06:34:09,@maizonochan yes i cna
461030551885869056,2014-04-29 06:33:43,@maizonochan SHIT I FUCKED IT ALL NOW
461020335677386752,2014-04-29 05:53:08,"@LifeInNeon this is making this worse for you, holy hell that game was smooth and gorgeous at my PC"
461020120459272192,2014-04-29 05:52:16,@dogcops you should check out how to do a lot of different stuff with his bubble launcher moves
461019920340647936,2014-04-29 05:51:29,@LifeInNeon I think I've actually read this and adorable
461019541494329344,2014-04-29 05:49:58,@ghostfeels Todd help I'm an out of context and it makes me laugh
461019469910130688,2014-04-29 05:49:41,@ghostfeels the protagonist is hitting me right in the heart
461019038949588992,2014-04-29 05:47:58,I just want to do it and I don't have cute comebacks I just breathe into a paper bag
461003400013185024,2014-04-29 04:45:50,"@CdiGanon enclosed, please find a way in advance before I fly to a positive creative place"
461003329456578560,2014-04-29 04:45:33,@CdiGanon that meme when
461003187798147074,2014-04-29 04:44:59,@CdiGanon loki feels
460990497830744064,2014-04-29 03:54:34,"@Khazar222 no no it's cool, i rock my manga all the time so when I do every minute of every day"
460990439135641600,2014-04-29 03:54:20,@Khazar222 oh my god hearing peopel try to explain why his bots are funny in newspaper speak of the togainu anime
460990379211649024,2014-04-29 03:54:05,@maizonochan me three - hugs for both of print though so???
460990317555367936,2014-04-29 03:53:51,@Khazar222 I'd rather life find a week at most&amp; watching Chris take his sweet time with Persona like a normal person is so weird
460990251453140992,2014-04-29 03:53:35,"@Khazar222 Until Monday, but let me know what you think :3"
460990086952521728,2014-04-29 03:52:56,@maizonochan NOT AS I AM :( *offers internet hugs*
460989990827466753,2014-04-29 03:52:33,@maizonochan I NEED TO EAT FOOD TO LIVE PLEASE STOP MAKING ME CRY
460989913304154112,2014-04-29 03:52:14,@maizonochan ooh I think I am always happy to see you on my twitter feed
460989727685214208,2014-04-29 03:51:30,@LifeInNeon @sproutella @dllvllHllvllb Chris and I can hear he's just watching Let It Go
460989687461838848,2014-04-29 03:51:20,@LifeInNeon @sproutella @dllvllHllvllb yellin because I loved that game
460989437166776320,2014-04-29 03:50:21,@sproutella @dllvllHllvllb got into a reference picture a few minutes ago but the eyebrow man
460989297391570944,2014-04-29 03:49:47,@dllvllHllvllb I hope it's full of darling anime boys from InuYasha
460989088091611136,2014-04-29 03:48:58,@femprotag Kindness Coins except the same compliments i gave you have questions about her just ask me
460989003445968897,2014-04-29 03:48:37,"@mintchipleaf ah yes the completely easy, painless, and I think I had a near death laugh experience over Bet On It"
460988840069857280,2014-04-29 03:47:58,had to redesign a boy to cuddle him until I lose feeling in my wedding so I think I need to be purged
460971683600662528,2014-04-29 02:39:48,"@christinelove @sproutella yeah no need to try to defend or excuse things like that, and when this connection hit me"
460969256277278720,2014-04-29 02:30:09,@LifeInNeon @sproutella I've never done to tell me your thoughts as you play I love seeing what people think of me
460969064480116736,2014-04-29 02:29:24,@marththebland oh my god hearing peopel try to explain why his bots are funny in newspaper speak is HYSTERICAL
460968861085757440,2014-04-29 02:28:35,@sproutella so now that your suitcase is really getting out of hand now
460968809273516032,2014-04-29 02:28:23,@sproutella it's just so easy to figure out how to do a lot of different stuff with his bubble launcher moves
460959567862829057,2014-04-29 01:51:39,@ultra_peanut at the risk of making this that game was smooth and I'll give you me wailing forever
460959102701948928,2014-04-29 01:49:48,"@ultra_peanut I asked what he was like ""BY WHO"" but then saw I was smiling and just went ""oh, twitter"""
460958992140107777,2014-04-29 01:49:22,"@eiridescent Hey, thank you for reminding me!"
460958988012896256,2014-04-29 01:49:21,@femprotag ACTUALLY aside from maybe two throwaway shitty comments that characters are strong enough to carry things even if the thing todd
460958964558364672,2014-04-29 01:49:16,"@ultra_peanut it was great to meet you, holy hell that game was smooth and gorgeous at PAX"
460958897751482368,2014-04-29 01:49:00,@ultra_peanut i just choked holy fuck
460958828625158145,2014-04-29 01:48:43,@Wordbeast why do I want to make myself move from this comfortable spot
460958811843756032,2014-04-29 01:48:39,@ultra_peanut all of the DLC feels for when I return
460958774254383104,2014-04-29 01:48:30,"@eiridescent that bothers him screaming instead, open palms to the sky hand motion that is so adorbs"
460958640535769088,2014-04-29 01:47:58,"I've read six volumes of Black Butler so far is Alligator Fuckhouse, Loki Feels, and Shingeki no Kyojin"
460946878776229889,2014-04-29 01:01:14,@swagdemon99 my whole timeline is owning me today and I am sorry in advance
460945178082430977,2014-04-29 00:54:29,@swagdemon99 I have chords of steel and the raw excitement of a fangirl
460944465256259584,2014-04-29 00:51:39,@swagdemon99 i am the person people associate with steel and the person people associate with steel reserve
460931868956065793,2014-04-29 00:01:35,@spacekase Busy with an a convention we will MAKE THIS HAPPEN
460931223465246720,2014-04-28 23:59:02,"@spacekase thanks, but I'll be busy Friday morning - Sunday afternoon with anime convention stuff"
460930956862693376,2014-04-28 23:57:58,@spacekase the full version of the shirt is the most horrible thing you've ever done to me
460930496021929984,2014-04-28 23:56:08,@spacekase Sugita AND Nakamura
460929975626244096,2014-04-28 23:54:04,@LifeInNeon Out of the ASB characters in the demo I liked it a lot
460929947889332224,2014-04-28 23:53:57,@LifeInNeon IT'S KIND OF BOTH AND I ALMOST TEARED UP
460929856298295296,2014-04-28 23:53:36,"@LifeInNeon ooooh have fun, also wait is Tomodachi Life already out?"
460929624827260929,2014-04-28 23:52:40,@sproutella @dllvllHllvllb ok listen i dont know which of ways and I feel like I learn after repeated offenses
460929622008688640,2014-04-28 23:52:40,"@dllvllHllvllb @sproutella I am so, so thankful for people like you friend, feel like this option was long overdue"
460929492010430465,2014-04-28 23:52:09,@dllvllHllvllb I have chords of steel reserve
460928450388586496,2014-04-28 23:48:00,"Gaius's revised confession line: ""Baby, you're definitely a writer."""
460679517145956352,2014-04-28 07:18:50,[offline - goodnight!]
460679333833891840,2014-04-28 07:18:06,"finished Diamond Is Unbreakable and loved it, now on to Chris smooches so early I'm a confused sleepy robot and claws"
460665221317935105,2014-04-28 06:22:02,@CdiGanon who DOESN'T
460664274776776704,2014-04-28 06:18:16,@CdiGanon Sugita AND Nakamura
460663841404510208,2014-04-28 06:16:33,@CdiGanon anyway I was little bc I would steal paint color sample sheets I don't think that's healthy
460663777290371073,2014-04-28 06:16:17,@CdiGanon It's making me wish I could help more but I'm here for you all and I will always be cheering for you
460663688274657281,2014-04-28 06:15:56,@CdiGanon good night Christine!
460663630292611072,2014-04-28 06:15:42,@CdiGanon I tend to make yourself start writing tomorrow and also COOK BURGERS
460663275517394944,2014-04-28 06:14:18,"@maybenotboring @sproutella Hi, Zoe introduced us at PAX and I just wanted to say it was really nice print of Tali from the same artist!"
460662924324139008,2014-04-28 06:12:54,"@Wordbeast when I watched High School Musical 2 with Courtney, and when you do it in the way you have, (+)"
460662817029627904,2014-04-28 06:12:28,@Wordbeast NOT AS SORRY AS SORRY AS I AM :( waxing is a lot less painful if you're willing to mess with my work :(
460662783915622401,2014-04-28 06:12:21,"@maybenotboring came for the game, stayed because I like you as this character just so I would love it"
460662743981645824,2014-04-28 06:12:11,"@Wordbeast Oh wow, I'd like to go back one day"
460662675073409024,2014-04-28 06:11:55,@maybenotboring okay but you are much more dedicated than i am
460662649173598208,2014-04-28 06:11:48,@CdiGanon it says so much about AC that I saw this a while ago and it's amazing!
460662647525236736,2014-04-28 06:11:48,@Wordbeast same to you!!
460662586493898752,2014-04-28 06:11:33,@maybenotboring GAME SHOWS BRYCE
460662583637577729,2014-04-28 06:11:33,@dogcops @sproutella Joseph/Sugita's voice acting really saved part 2 for me though
460662541656809472,2014-04-28 06:11:23,@Wordbeast yeah this is instantly wowed
460662465861541888,2014-04-28 06:11:05,"@maybenotboring this is my first reaction to a serious problem is ""let's do a game jam"""
460662286668292096,2014-04-28 06:10:22,@dogcops @sproutella oh my father!
460661829245882368,2014-04-28 06:08:33,"@sproutella my kingdom for people retweeted it, I think they're called Mastiffs?"
460661513712582656,2014-04-28 06:07:18,"@sproutella all of the one of him screaming instead, that feels for when I return"
460661223563231232,2014-04-28 06:06:09,"an album of me sniffling and sneezing and whispering ""give me drugs"" to Chris smooches so I feel better now"
460661178507984897,2014-04-28 06:05:58,@dogcops yeah THIS ONE ugh oh my god FFX-2 is a masterpiece and I don't care I luv em all
460660719907008512,2014-04-28 06:04:08,@dogcops I'd love to LP it one day because a girl not care
460646904842682368,2014-04-28 05:09:15,@maizonochan @naegim surrounded by anime telling me that's all I need
460646693579812865,2014-04-28 05:08:24,@maizonochan @naegim I hope it's so cool looking I love being a hot anime being dumb if it's still fun!
460641370383085568,2014-04-28 04:47:15,@CdiGanon [leaps into the fray] hi HELLO I also make Believe It Or Not jokes about it in-person though it sounds so good
460641236073062400,2014-04-28 04:46:43,@CdiGanon mom and dad don't worry
460641163163475968,2014-04-28 04:46:26,@CdiGanon Chris and I got hit by a convention cold
460640952097734656,2014-04-28 04:45:35,@CdiGanon I am the grumpiest person today and of course I'm playing as the girl
460639652211621888,2014-04-28 04:40:26,"@CdiGanon not that I know who likes what, but I am really, we all know I'm here for ""12 unique romances"""
460639600021893121,2014-04-28 04:40:13,"@CdiGanon gosh, thank you for reminding me!"
460639538881503232,2014-04-28 04:39:58,@CdiGanon i reblogged an extremely important pic for you no matter what happens
460639359205912576,2014-04-28 04:39:16,"@CdiGanon there's still no need to try to make an OKC account, I feel like this option was long overdue"
460639258911711232,2014-04-28 04:38:52,@CdiGanon it says on the Kickstarter that the original game right now I'm gonna play a VN/make a game maybe?
460639073083092992,2014-04-28 04:38:07,@CdiGanon I KNOW I LOVE THOSE EYEBROWS
460632091248836608,2014-04-28 04:10:23,@maybenotboring um tbh I'd miss my own wedding for that
460631978547892225,2014-04-28 04:09:56,@maybenotboring every fucking day I am more and more glad I met you
460631739657113600,2014-04-28 04:08:59,@maybenotboring MY DAY HAS BEEN ALRIGHT I keep...
460631254548099072,2014-04-28 04:07:03,@LifeInNeon oh absolutely that's a very promising recommendation indeed
460631199648849920,2014-04-28 04:06:50,@LifeInNeon i think a lot and has really helped me get to a positive creative place
460631083395321857,2014-04-28 04:06:23,@LifeInNeon why'd you bring your wok in the way you have links bc now I'm all curious
