id,created_at,text
525485336076378112,2014-10-24 03:14:01,Rydberg's Basketflower: Flowers have 7 petals and grow in knots of 1-8. Fruit a zither. Mildly toxic.
525470237529878529,2014-10-24 02:14:02,Parrot Croton: Flowers are silky and saucer-shaped. Tastes of sunlight. Poisonous. Fruit a trompe-l'oeil.
525455136148439041,2014-10-24 01:14:01,Square-stem Catchfly: Flowers are bow-shaped. Tastes of symbolic logic.
525440038700843008,2014-10-24 00:14:02,Gooding's Lily: Flowers are enormous and grow in clusters of 3-8. Tastes of death. Mildly toxic.
525424940171141121,2014-10-23 23:14:02,"Silky Lavender: Flowers have 9 petals, smell of fresh bread, and are plentiful. Mildly toxic. Tastes of chalk. Fruit a Amelia Earhart."
525409841611698176,2014-10-23 22:14:02,"Rough Bean: Flowers are white-to-brown, leathery, and petite. Tastes of sriracha. Fruit a backhoe. Poisonous."
525394739479052288,2014-10-23 21:14:01,Robbin's Spath: Flowers smell of bleach and are bristly. Fruit an apertif. Mildly toxic.
525379638827450368,2014-10-23 20:14:01,Stiff Croton: Flowers are small. Has marijuana-like effects if eaten. Fruit an achene. Tastes of choral music.
525364540834586624,2014-10-23 19:14:01,Dwarf Mountain Balsam: Flowers are pink and star-shaped. Deadly poisonous. Fruit a taqueria.
525349440442228736,2014-10-23 18:14:01,Hickman's Hop: Flowers are brown. Fruit a religion. Has alcohol-like effects if crushed and snorted. Tastes of LiveJournal.
525334342927912961,2014-10-23 17:14:02,"Newberry's Coralberry: Flowers are bicolor grey-red, butterfly-shaped, and powdery. Tastes of tires. Fruit a tongue."
525319242766245888,2014-10-23 16:14:02,Alkali Gum Tree: Flowers are urn-shaped. Tastes of determination. Has LSD-like effects if crushed and snorted. Fruit a tofu-burger.
525304144567889920,2014-10-23 15:14:02,"Saltmarsh Gum Tree: Flowers smell of eucalyptus, grow in bands of 2-6, and are green."
525289047749431296,2014-10-23 14:14:03,Everlasting Leek: Flowers are dimpled. Fruit a cotton gin. Tastes of pork cheeks. Has salvia-like effects if crushed and snorted.
525273946375995393,2014-10-23 13:14:02,Scarlet Crowfoot: Flowers are huge and star-shaped. Tastes of pork cheeks. Fruit a world tree.
525258842913792000,2014-10-23 12:14:01,"Hoary Spearwort: Flowers grow in bands of 3-6, are petite, and smell of key lime pie. Toxic. Fruit a placenta."
525243743473905665,2014-10-23 11:14:01,"Howell's Rattlebox: Flowers are white-to-grey, urn-shaped, and have 7 petals. Fruit a cheekbone. Poisonous."
525228645518815232,2014-10-23 10:14:02,Policeman's Switchgrass: Flowers have 9 petals and are white and plentiful. Tastes of verve. Edible.
525213546506756097,2014-10-23 09:14:02,Crested Barberry: Flowers are microscopic. Fruit a merperson. Tastes of tequila.
525198448287416320,2014-10-23 08:14:02,"Branched Centory: Flowers are giant, white, and smell of burnt rubber. Tastes of symbolic logic. Mildly toxic."
525183346477772801,2014-10-23 07:14:01,Achemilla-leaved Orchid: Flowers grow in helices of 3-8 and are tube-shaped. Fruit an ulnar nerve. Edible.
525168248149389312,2014-10-23 06:14:02,Yosemite Centory: Flowers are violet.
525153147157626880,2014-10-23 05:14:01,Superb Starry-eyes: Flowers are bicolor pink-yellow and hairy. Fruit a woodlark. Tastes of red meat.
525138049810710528,2014-10-23 04:14:02,Rough Begonia: Flowers are white. Has opium-like effects if crushed and snorted. Fruit a character from a Willa Cather novel.
525122947686481921,2014-10-23 03:14:01,Variable Shapweed: Flowers are tube-shaped and grow in braids of 3-5. Deadly poisonous. Tastes of the ice caps.
525107851467845632,2014-10-23 02:14:02,Three-cornered Waterberry: Flowers are oily and urn-shaped. Tastes of hair. Poisonous. Fruit a taqueria.
525092751096819712,2014-10-23 01:14:02,Bushy Lily: Flowers are cross-shaped. Tastes of espresso. Has amphetamine-like effects if crushed and snorted.
525077649681432577,2014-10-23 00:14:01,Lady's Tomato: Flowers attract bees and are huge. Edible. Tastes of friendship. Fruit a trompe-l'oeil.
525062549444653056,2014-10-22 23:14:01,Bear's Croton: Flowers smell of earth and are bell-shaped. Has alcohol-like effects if crushed and snorted. Fruit a zephyr.
525047453469249536,2014-10-22 22:14:02,Pitted Croton: Flowers are soft and smell of new mown hay. Mildly toxic. Fruit a sapphire. Tastes of bitters.
525032354176180224,2014-10-22 21:14:02,Purpledisk Pepper: Flowers are rubbery and butterfly-shaped. Tastes of ennui. Fruit a soup.
525017250940477442,2014-10-22 20:14:01,Glassy Rosemary: Flowers have 9 petals and are bow-shaped. Fruit an eyeshadow. Has alcohol-like effects if eaten. Tastes of human skin.
525002152565944320,2014-10-22 19:14:01,"Angel Thistle: Flowers are oily, 2 cm in diameter, and orange. Fruit a yurt."
524987054594088960,2014-10-22 18:14:02,Hong Kong Heath: Flowers are bell-shaped. Edible. Fruit a bicycle.
524971955380690945,2014-10-22 17:14:02,Common Hop: Flowers have 10 petals. Tastes of Neumayer-Station III. Fruit an eggshell.
524956856574177280,2014-10-22 16:14:02,"Rough-fruited Oak: Flowers smell of gingerbread, have 10 petals, and grow in sprays of 2-8. Tastes of Bearnaise sauce. Poisonous."
524941753791426560,2014-10-22 15:14:01,California Kava: Flowers attract lemurs and are spurred. Tastes of circuitry. Toxic.
524926655567896576,2014-10-22 14:14:02,Mountain Meadow Chia: Flowers are 1 cm in diameter and bell-shaped. Fruit a fox-bat. Tastes of espresso. Poisonous.
524911556014784512,2014-10-22 13:14:02,Platte River Water-willow: Flowers are 2 cm in diameter and attract tapirs. Fruit a 40 year coal fire.
524896456956575745,2014-10-22 12:14:02,"Kern Rushfoil: Flowers are star-shaped, diminutive, and attract skunks. Deadly poisonous. Fruit a borderland."
524881358925991936,2014-10-22 11:14:02,Little River Canyon Sage: Flowers attract deer. Tastes of bricks. Toxic.
524866256898236416,2014-10-22 10:14:01,Narrowleaf Centaury: Flowers are delicate. Fruit a macaroon. Deadly poisonous. Tastes of cardboard.
524851157953294338,2014-10-22 09:14:01,"Cutleaf Goat's-thorn: Flowers are diminutive, white, and spongy. Tastes of pork cheeks. Poisonous."
524836057066377216,2014-10-22 08:14:01,New Mexico Kava: Flowers attract pigs. Tastes of fried chicken. Fruit a mask. Has opium-like effects if smoked.
524820960319246338,2014-10-22 07:14:02,"Gooding's Sunflower: Flowers are immense, trumpet-shaped, and bicolor red-violet. Tastes of brass. Edible."
524805860912943106,2014-10-22 06:14:02,"Lebanese Cyrtandra: Flowers are white-to-pink, spongy, and gigantic. Deadly poisonous. Tastes of arginine."
524790760093151233,2014-10-22 05:14:02,Lax-flowered Pincushion: Flowers have 7 petals and are velvety. Fruit a nonlinear partial differential equation. Deadly poisonous.
524775661693456384,2014-10-22 04:14:02,California Chia: Flowers grow in helices of 2-9 and are diminutive and white. Tastes of rocks. Deadly poisonous. Fruit a vector space.
524760563348287489,2014-10-22 03:14:02,Silky Morning Glory: Flowers are tube-shaped. Tastes of nuclear power. Fruit a salmon fishery.
524745459928010752,2014-10-22 02:14:01,"Mock Spath: Flowers grow in braids of 3-8, are tube-shaped, and attract geese. Mildly toxic. Tastes of early memories."
524730361243119616,2014-10-22 01:14:01,"Ice Buttercup: Flowers are microscopic, saucer-shaped, and bristly. Tastes of communion wafer. Fruit a cotton gin. Deadly poisonous."
524715261870366720,2014-10-22 00:14:01,Glassy Ironweed: Flowers are spongy. Fruit a lakebed.
524700165081292800,2014-10-21 23:14:02,Rosinweed Cornflower: Flowers are large and feathery. Fruit a tiny island. Edible.
524685065683341314,2014-10-21 22:14:02,"Nevius's Tormentil: Flowers are bell-shaped, feathery, and bicolor violet-pink. Tastes of determination. Mildly toxic. Fruit a world tree."
524669962367934465,2014-10-21 21:14:01,Southern Coralberry: Flowers are bow-shaped. Deadly poisonous. Fruit a wee truckle-bed.
524654866564530176,2014-10-21 20:14:02,Pine Shrimp Plant: Flowers grow in bunches of 3-5 and are bow-shaped and plentiful. Tastes of bricks. Fruit a fish slice. Toxic.
524639764205432832,2014-10-21 19:14:01,Silver Stopper: Flowers grow in infloresences of 3-5. Tastes of Sour Patch Kids. Edible. Fruit a shakuhachi.
524624664752963584,2014-10-21 18:14:01,Desert Heath: Flowers are white-to-brown. Tastes of pastry cream.
524609567267627009,2014-10-21 17:14:02,"Erect Lily: Flowers are microscopic, white, and trumpet-shaped. Fruit a wig. Has salvia-like effects if crushed and snorted."
524594467961978880,2014-10-21 16:14:02,"Cutleaf Sorrel: Flowers are big, white-to-red, and urn-shaped. Tastes of brown sugar. Fruit a schizocarp. Poisonous."
524579368471781376,2014-10-21 15:14:02,Fringed Locoweed: Flowers have 4 petals. Edible. Fruit a hippogryph. Tastes of cobwebs.
524564266632765440,2014-10-21 14:14:01,Wavyleaf Nettle: Flowers are white-to-violet and tough. Deadly poisonous. Fruit a needle-point.
524549167977226240,2014-10-21 13:14:01,Norwegian Ironweed: Flowers have 4 petals and are huge and pea-shaped. Fruit a vermouth salesman. Poisonous. Tastes of horse blankets.
524534069703360512,2014-10-21 12:14:02,Tongue Burdock: Flowers have 8 petals and are urn-shaped. Tastes of clover. Fruit a zephyr.
