id,created_at,text
525848240827031554,2014-10-25 03:16:05,@Papaya_King That tweet is worth 2 Krout points. Total Krout Score: 178
525796391931883520,2014-10-24 23:50:03,@_americanthighs That tweet is worth 1 Krout point. Total Krout Score: 9
525693969184083968,2014-10-24 17:03:03,@_americanthighs That tweet is worth 2 Krout points. Total Krout Score: 8
525693209352368128,2014-10-24 17:00:02,This week's @getKraut Hot Dog King is @_americanthighs with 4 points.
524603282988466176,2014-10-21 16:49:03,@Papaya_King That tweet is worth 1 Krout point. Total Krout Score: 176
524577612598104064,2014-10-21 15:07:03,@Papaya_King That tweet is worth 1 Krout point. Total Krout Score: 175
524374272924737537,2014-10-21 01:39:03,@Papaya_King That tweet is worth 1 Krout point. Total Krout Score: 174
523901410292031488,2014-10-19 18:20:04,@feelwheel That tweet is worth 1 Krout point.
523542040475623424,2014-10-18 18:32:04,@EderMik That tweet is worth 1 Krout point. Total Krout Score: 7
523518132770848768,2014-10-18 16:57:04,@_americanthighs That tweet is worth 1 Krout point. Total Krout Score: 6
523516369690972160,2014-10-18 16:50:03,@crotch_jenkins That tweet is worth 2 Krout points. Total Krout Score: 30
523516115713294336,2014-10-18 16:49:03,@crotch_jenkins That tweet is worth 1 Krout point. Total Krout Score: 28
523515113224290304,2014-10-18 16:45:04,@_americanthighs That tweet is worth 1 Krout point. Total Krout Score: 5
523515111458504704,2014-10-18 16:45:03,@_americanthighs That tweet is worth 1 Krout point. Total Krout Score: 4
523327874481524736,2014-10-18 04:21:02,@jaydestro That tweet is worth 1 Krout point. Total Krout Score: 86
523307243425366016,2014-10-18 02:59:04,@_americanthighs That tweet is worth 1 Krout point. Total Krout Score: 3
523156494683226112,2014-10-17 17:00:02,This week's @getKraut Hot Dog King is @darby_smurf with 9 points.
523118751882170368,2014-10-17 14:30:04,@jaydestro That tweet is worth 1 Krout point. Total Krout Score: 85
523116736611377152,2014-10-17 14:22:03,@meesfit That tweet is worth 1 Krout point.
