id,created_at,text
525946884423053313,2014-10-25 09:48:03,gritty reboot of Joe Maddon
525939336085123072,2014-10-25 09:18:03,gritty reboot of Perez
525931787050962945,2014-10-25 08:48:04,gritty reboot of Thomas More
525924236720750592,2014-10-25 08:18:03,gritty reboot of Scepovic
525916689792118784,2014-10-25 07:48:04,gritty reboot of Stephen Harper
525909137931001857,2014-10-25 07:18:04,gritty reboot of Inbox
525901589908062208,2014-10-25 06:48:04,gritty reboot of Cold Lake
525894041041264641,2014-10-25 06:18:04,gritty reboot of Stormont
525886488978808833,2014-10-25 05:48:04,gritty reboot of Peyton Manning
525878939005095937,2014-10-25 05:18:04,gritty reboot of Chili Davis
525871388901396481,2014-10-25 04:48:03,gritty reboot of Simon Stevens
525863846825586690,2014-10-25 04:18:05,gritty reboot of Edward Mordrake
525856288756875265,2014-10-25 03:48:03,gritty reboot of Cedar Hill
525848741131984896,2014-10-25 03:18:04,gritty reboot of Legally Blonde
525841190701133825,2014-10-25 02:48:04,gritty reboot of S Club 7
525833644259037185,2014-10-25 02:18:04,gritty reboot of America
525826092343373824,2014-10-25 01:48:04,gritty reboot of On The Road Again
525818543263059968,2014-10-25 01:18:04,gritty reboot of Diwali
525810989682290689,2014-10-25 00:48:03,gritty reboot of Svedberg
525803439771504640,2014-10-25 00:18:03,gritty reboot of Tennessee
525795896475123712,2014-10-24 23:48:05,gritty reboot of Lorenzo Cain
525788345670959105,2014-10-24 23:18:04,gritty reboot of Lizzie McGuire
525780792668995585,2014-10-24 22:48:04,gritty reboot of Attenborough
525773249724948481,2014-10-24 22:18:05,gritty reboot of Siachen
525765694634213377,2014-10-24 21:48:04,gritty reboot of Yes Abby
525758143146377216,2014-10-24 21:18:04,gritty reboot of RCMP
525750590576394240,2014-10-24 20:48:03,gritty reboot of Grady Sizemore
525743043886841856,2014-10-24 20:18:04,gritty reboot of Omaha
525735493531475970,2014-10-24 19:48:04,gritty reboot of Heisman House
525727946175041537,2014-10-24 19:18:04,gritty reboot of Jessica Lange
525720392069959681,2014-10-24 18:48:03,gritty reboot of Memphis
525712846353489921,2014-10-24 18:18:04,gritty reboot of Balotelli
525705296371392512,2014-10-24 17:48:04,gritty reboot of TJ Ward
525697745294594049,2014-10-24 17:18:04,gritty reboot of Stephen Harper
525690196252061697,2014-10-24 16:48:04,gritty reboot of Under Pressure
525682646932652032,2014-10-24 16:18:04,gritty reboot of Thirteen Ghosts
525675097659412480,2014-10-24 15:48:04,gritty reboot of Stage Builder
525667546158997505,2014-10-24 15:18:04,gritty reboot of Joe Haden
525660000744509440,2014-10-24 14:48:05,gritty reboot of Event Mode
525652445561491458,2014-10-24 14:18:03,gritty reboot of Doug Ford
525644894639902721,2014-10-24 13:48:03,gritty reboot of Wrong
525637348948602880,2014-10-24 13:18:04,gritty reboot of Richmond
525629795464249346,2014-10-24 12:48:03,gritty reboot of Scream 3
525622244995633152,2014-10-24 12:18:03,gritty reboot of New Orleans
525614697223950336,2014-10-24 11:48:03,gritty reboot of Bristol Palin
525607148193992704,2014-10-24 11:18:04,gritty reboot of O Canada
525599597490495489,2014-10-24 10:48:03,gritty reboot of Vancouver
525592050188578817,2014-10-24 10:18:04,gritty reboot of Ghost Ship
525584498675548161,2014-10-24 09:48:04,gritty reboot of Louisville
525576948332756992,2014-10-24 09:18:03,gritty reboot of Papa Pope
525569396433895425,2014-10-24 08:48:03,gritty reboot of Thankyou
525561849794674688,2014-10-24 08:18:04,gritty reboot of Rideau Centre
525554296339697664,2014-10-24 07:48:03,gritty reboot of Mobos
525546749654335488,2014-10-24 07:18:03,gritty reboot of Parliament Hill
525539199156383744,2014-10-24 06:48:03,gritty reboot of Zach Lowe
525531652542300160,2014-10-24 06:18:04,gritty reboot of Bowman
525524098814726144,2014-10-24 05:48:03,gritty reboot of Québec
525516547557556224,2014-10-24 05:18:03,gritty reboot of My Cinnamon Twist
525509002218573826,2014-10-24 04:48:04,gritty reboot of Thinking About You - Frank Ocean
525501452785954816,2014-10-24 04:18:04,gritty reboot of Strange Music
525493902984220672,2014-10-24 03:48:04,gritty reboot of Felicia Day
525486350418444288,2014-10-24 03:18:03,gritty reboot of Richard Flanagan
525478800864198656,2014-10-24 02:48:03,gritty reboot of Hamilton
525471253444825088,2014-10-24 02:18:04,gritty reboot of Professor Quirrell
525463700652564480,2014-10-24 01:48:03,gritty reboot of British Breeze
525456153481060353,2014-10-24 01:18:04,gritty reboot of West Africa
525448606502113280,2014-10-24 00:48:04,gritty reboot of Datsyuk
525441052535447553,2014-10-24 00:18:03,gritty reboot of Chelsea
525433501722877952,2014-10-23 23:48:03,gritty reboot of Raanta
525425954307710977,2014-10-23 23:18:04,gritty reboot of Sterling
525418401133371392,2014-10-23 22:48:03,gritty reboot of Plymouth
525410855383736320,2014-10-23 22:18:04,gritty reboot of Joe Torre
525403303266758656,2014-10-23 21:48:03,gritty reboot of South Park
525395758208802817,2014-10-23 21:18:04,gritty reboot of Home Alone
525388205181648896,2014-10-23 20:48:04,gritty reboot of Waterloo Road
525380655488966656,2014-10-23 20:18:04,gritty reboot of Viscant
525373106018603009,2014-10-23 19:48:04,gritty reboot of Jean Machi
525365561229066241,2014-10-23 19:18:05,gritty reboot of Ashton
525358008264843264,2014-10-23 18:48:04,gritty reboot of Jim Leyland
525350459889164288,2014-10-23 18:18:04,gritty reboot of Wilson
525342905695997952,2014-10-23 17:48:03,gritty reboot of Anfield
525335359446462464,2014-10-23 17:18:04,gritty reboot of Petry
525327807103000577,2014-10-23 16:48:03,gritty reboot of Drumline
525320264767131648,2014-10-23 16:18:05,gritty reboot of Gibbs
525312710108397568,2014-10-23 15:48:04,gritty reboot of Gerald Green
525305158092075008,2014-10-23 15:18:04,gritty reboot of Subban
525297612274946050,2014-10-23 14:48:04,gritty reboot of Glad
525290061231702018,2014-10-23 14:18:04,gritty reboot of Jake Peavy
525282512663093248,2014-10-23 13:48:04,gritty reboot of Podolski
525274961426927616,2014-10-23 13:18:04,gritty reboot of Welsh NHS
525267412292083712,2014-10-23 12:48:04,gritty reboot of Zach Randolph
525259859906674689,2014-10-23 12:18:04,gritty reboot of Chloe
525252313061920769,2014-10-23 11:48:04,gritty reboot of UNCC
525244761645383681,2014-10-23 11:18:04,gritty reboot of Oscar Pistorius
525237213571715075,2014-10-23 10:48:04,gritty reboot of Giants
525229661123383296,2014-10-23 10:18:04,gritty reboot of Watford
