id,created_at,text
525481819563909120,2014-10-24 03:00:03,http://t.co/vVU09BmnYm http://t.co/b8vqIb10Sf
525300630156763136,2014-10-23 15:00:04,Education as Service by J. Krishnamurti http://t.co/TBWGEHPMF8 http://t.co/8GmuYH1GHN
525119459745624064,2014-10-23 03:00:10,Ten Thousand Wonderful Things by Edmund Fillingham King http://t.co/yxPFk4oMEP http://t.co/hOlDkJEFsV
524938241620058113,2014-10-22 15:00:04,Poetry of the Supernatural by Various http://t.co/IFyoj1KnLr http://t.co/42TUwDzK0V
524757048949743616,2014-10-22 03:00:04,Winner Take All by Larry Evans http://t.co/pPdiKCXnys http://t.co/yQXxuL0BY0
524575857688739840,2014-10-21 15:00:05,http://t.co/QgYlvPzm3v http://t.co/9QOV7U4Sxo
524394666809360387,2014-10-21 03:00:06,Su único hijo by Leopoldo Alas http://t.co/ZpuUSWSF9R http://t.co/vU3vdFsJ2C
524213460352397312,2014-10-20 15:00:03,http://t.co/YkAxg6W4RQ http://t.co/Fw8DmVo4ks
524032277828083712,2014-10-20 03:00:05,Verses 1889-1896 by Rudyard Kipling http://t.co/IFBlbaOM2i http://t.co/TkRV5H8ZzI
523851077184393216,2014-10-19 15:00:04,"The Sketches of Seymour (Illustrated), Part 2. by Robert Seymour http://t.co/WA5hq1AEGM http://t.co/tAdYRUCO9R"
523669884652486658,2014-10-19 03:00:04,The Green Casket by Mary Louisa Molesworth http://t.co/WnTALDDAhA http://t.co/9MGdF8z3Oe
523488701696188416,2014-10-18 15:00:07,Becket and other plays by Alfred Lord Tennyson http://t.co/YVB2fjWyA5 http://t.co/twvEqsLTz4
523307504789630976,2014-10-18 03:00:06,"Original Short Stories, Volume 10 (of 13) by Guy de Maupassant http://t.co/gFgcYOKTH8 http://t.co/8hoHZQ3kyj"
523126298626236416,2014-10-17 15:00:03,http://t.co/f6YA70Wblt http://t.co/i3U3m5TVB1
522945113228836864,2014-10-17 03:00:05,Dick Prescott's Third Year at West Point by H. Irving Hancock http://t.co/FC0sXPaGnL http://t.co/t6C6P9klpo
522763917937086465,2014-10-16 15:00:05,Le culte du moi 3 by Maurice Barrès http://t.co/hPBw9TrKPp http://t.co/9BYqJofrzl
522718306344919040,2014-10-16 11:58:50,Pocket Island by Charles Clark Munn http://t.co/MWcaYHWCgL http://t.co/jw5K3lQU4X
518958892756111360,2014-10-06 03:00:16,A World Called Crimson by Darius John Granger http://t.co/MtILX3YtnI http://t.co/Ok6JATOqyZ
518777662920081408,2014-10-05 15:00:07,James Pethel by Max Beerbohm http://t.co/tORDx8dqoR http://t.co/p0c2b0A5Es
518596474322432000,2014-10-05 03:00:09,The Plattner Story and Others by H. G. Wells http://t.co/3ts1UM1bWC http://t.co/ZTTlYE62zV
518415275247427585,2014-10-04 15:00:07,http://t.co/pnyzZHHEu7 http://t.co/656S3YkUi4
518234096175026176,2014-10-04 03:00:11,http://t.co/A2ezPqbvpf http://t.co/ZmfMEoGIln
518052885435670528,2014-10-03 15:00:07,http://t.co/PyDay9lBad http://t.co/ezDIKM2zO4
517871710389800963,2014-10-03 03:00:12,The Vitamine Manual by Walter H. Eddy http://t.co/sTYO4mKpgl http://t.co/9NiPL41Zer
517690506243870720,2014-10-02 15:00:09,NREN for All by Jean Armour Polly http://t.co/xlBbj6q0CS http://t.co/4Pvw6FY0NP
517509338659708928,2014-10-02 03:00:15,"The Satyricon, Volume 6 (Editor's Notes) by Petronius Arbiter http://t.co/nicTehUXPy http://t.co/UrgPejQT0P"
517328138775195648,2014-10-01 15:00:14,Oscar the Detective by Harlan Page Halsey http://t.co/x0aBy4nWa0 http://t.co/n3ZzpIxYEt
517146915117338625,2014-10-01 03:00:07,The Man of Adamant by Nathaniel Hawthorne http://t.co/FhqgpJxGyQ http://t.co/S68PkqIDOL
516965731011796992,2014-09-30 15:00:09,Seeds of Michigan Weeds by W. J. (William James) Beal http://t.co/a8nqlG2Ynx http://t.co/0aeAKzLLmU
516784530145804289,2014-09-30 03:00:08,The Hunted Outlaw by Anonymous http://t.co/9bTt7CdT4W http://t.co/EaPiCpNshu
516603344366735360,2014-09-29 15:00:09,Kvinnlighet och erotik II by Anne Charlotte Leffler http://t.co/tUJhSmjDJ4 http://t.co/KnRqUSvjnk
516422135011479553,2014-09-29 03:00:06,The Unity of Civilization by Various http://t.co/i33D4BA6SI http://t.co/UrHPjVWbGx
516240997366251520,2014-09-28 15:00:19,The Boys' Life of Mark Twain by Albert Bigelow Paine http://t.co/gdRQVI7jFW http://t.co/DM0MbYNuJw
516059754259435520,2014-09-28 03:00:08,"Encyclopaedia Britannica, 11th Edition, Volume 15,... by Various http://t.co/86GDE3abK2 http://t.co/aIUUOq8Mmj"
515878577946898433,2014-09-27 15:00:12,http://t.co/4YpXmPQ9eA http://t.co/gJUrn3UzsD
515697379408740354,2014-09-27 03:00:11,Dangers of the Trail in 1865 by Charles E  Young http://t.co/kplutO54rJ http://t.co/OXtJoR3MVw
515516196033028096,2014-09-26 15:00:13,Helena Brett's Career by Desmond Coke http://t.co/YHPqCjhdwN http://t.co/EnJSTx7owh
515334970546462721,2014-09-26 03:00:06,The Chums of Scranton High at Ice Hockey by Donald Ferguson http://t.co/3E2dOWoCwv http://t.co/E6Tm8J3XGO
