id,created_at,text
514501461628428289,2014-09-23 19:48:02,"The sea was angry that day my friends, like an old man sending back soup in a deli."
514139074890723328,2014-09-22 19:48:02,I've driven women to lesbianism before but never to a mental institution.
513776686056230912,2014-09-21 19:48:02,Is this a gym or a fitness museum?
513414295355277312,2014-09-20 19:48:01,I'm speechless. I have no speech.
513051909951741952,2014-09-19 19:48:02,Yo Yo Ma.
512689520718774272,2014-09-18 19:48:01,"Ted Danson makes $800,000 an episode. I can't live knowing that Ted Danson makes that much more than me."
512327132291141632,2014-09-17 19:48:01,There is no such thing as fun for the whole family.
511964746031964160,2014-09-16 19:48:01,"Well, I'm Out!"
511602358493913090,2014-09-15 19:48:02,Jerry...this woman hates me so much...I'm starting to like her.
511239966534283265,2014-09-14 19:48:01,"Let me just finish my coffee, and then we'll go watch them cut the fat bastard up."
510877579729854464,2014-09-13 19:48:01,Divorce is always hard. Especially on the kids. 'Course I am the result of my parents having stayed together so ya never know.
510515189888724994,2014-09-12 19:48:00,Everyone thinks we're gay!... Not that there's anything wrong with that.
510152803554054144,2014-09-11 19:48:01,Yo Yo Ma.
510054319442243585,2014-09-11 13:16:40,I had a dream last night that a hamburger was eating ME!
504354599948398593,2014-08-26 19:48:01,Do you ever get down on your knees and thank God you know me and have access to my dementia?
503992208848982016,2014-08-25 19:48:00,The Dewey Decimal System... What a scam that was!
503629834002923521,2014-08-24 19:48:04,"The sea was angry that day my friends, like an old man sending back soup in a deli."
500730720021524481,2014-08-16 19:48:01,I'm much more comfortable criticizing people behind their backs.
498194006153920514,2014-08-09 19:48:01,The cat - mmrrrooowwwrr - is out of the bag!
496382066351935491,2014-08-04 19:48:01,I hate asking for change. They always make a face. Like I'm asking them to donate a kidney.
496019675889680384,2014-08-03 19:48:00,"Boy, a little too much chlorine in that gene pool."
495657294382653440,2014-08-02 19:48:02,I can feel his blood inside of me. Borrowing things from my blood.
495294904197578752,2014-08-01 19:48:01,"If I had a son, I would name him Isosceles. Isosceles Kramer."
494932519721000960,2014-07-31 19:48:02,"You can stuff your sorrys in a sack, mister."
494570125069004800,2014-07-30 19:48:01,I'm much more comfortable criticizing people behind their backs.
